# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 33K of event 'cycles'
# Event count (approx.): 500598807923
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                                                                           
# ........  ........  ...............  ...................  .................................................................................................................................................................................
#
     1.87%     0.01%  swapper          [kernel.kallsyms]    [k] sysvec_apic_timer_interrupt
     1.84%     0.11%  mariadbd         [kernel.kallsyms]    [k] load_balance
     1.77%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_sendto
     1.77%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] __sys_sendto
     1.76%     0.00%  mariadbd         [kernel.kallsyms]    [k] common_interrupt
     1.75%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] sock_sendmsg
     1.74%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_sendmsg
     1.70%     0.06%  mariadbd         [kernel.kallsyms]    [k] ext4_map_blocks
     1.67%     0.40%  mariadbd         [kernel.kallsyms]    [k] enqueue_task_fair
     1.67%     0.03%  swapper          [kernel.kallsyms]    [k] ttwu_do_activate
     1.66%     0.07%  mariadbd         [kernel.kallsyms]    [k] ttwu_do_activate
     1.64%     0.01%  mariadbd         [kernel.kallsyms]    [k] __common_interrupt
     1.64%     0.56%  swapper          [kernel.kallsyms]    [k] enqueue_task_fair
     1.63%     0.01%  mariadbd         [kernel.kallsyms]    [k] handle_edge_irq
     1.61%     0.01%  mariadbd         [kernel.kallsyms]    [k] handle_irq_event
     1.57%     0.01%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_poll
     1.56%     0.01%  mariadbd         [kernel.kallsyms]    [k] bio_iov_iter_get_pages
     1.56%     0.26%  mariadbd         [kernel.kallsyms]    [k] select_idle_sibling
     1.55%     0.03%  mariadbd         [kernel.kallsyms]    [k] __bio_iov_iter_get_pages
     1.52%     0.00%  kswapd0          [kernel.kallsyms]    [k] balance_pgdat
     1.52%     0.00%  kswapd0          [kernel.kallsyms]    [k] kswapd
     1.52%     0.00%  kswapd0          [kernel.kallsyms]    [k] kthread
     1.52%     0.00%  kswapd0          [kernel.kallsyms]    [k] ret_from_fork
     1.52%     0.04%  mariadbd         [kernel.kallsyms]    [k] __handle_irq_event_percpu
     1.50%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_poll
     1.50%     0.08%  mariadbd         [kernel.kallsyms]    [k] do_sys_poll
     1.50%     0.16%  tclsh8.6         [kernel.kallsyms]    [k] do_sys_poll
     1.48%     0.00%  swapper          [kernel.kallsyms]    [k] start_kernel
     1.48%     0.02%  mariadbd         [kernel.kallsyms]    [k] nvme_irq
     1.46%     0.09%  mariadbd         [kernel.kallsyms]    [k] nvme_process_cq
     1.45%     0.08%  mariadbd         [kernel.kallsyms]    [k] __wake_up_common
     1.44%     0.01%  mariadbd         [kernel.kallsyms]    [k] ptep_clear_flush
     1.44%     0.00%  swapper          [kernel.kallsyms]    [k] asm_common_interrupt
     1.44%     0.05%  mariadbd         [kernel.kallsyms]    [k] flush_tlb_mm_range
     1.43%     0.00%  swapper          [kernel.kallsyms]    [k] __sysvec_call_function_single
     1.42%     0.01%  swapper          [kernel.kallsyms]    [k] common_interrupt
     1.42%     0.00%  kswapd0          [kernel.kallsyms]    [k] shrink_node_memcgs
     1.42%     0.00%  kswapd0          [kernel.kallsyms]    [k] shrink_node
     1.40%     0.00%  kswapd0          [kernel.kallsyms]    [k] evict_pages
     1.40%     0.00%  kswapd0          [kernel.kallsyms]    [k] lru_gen_shrink_lruvec
     1.40%     0.01%  mariadbd         [kernel.kallsyms]    [k] __wake_up_common_lock
