# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11928368488412
#
# Children      Self  Command          Shared Object      Symbol                                                        
# ........  ........  ...............  .................  ..............................................................
#
    26.01%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    26.01%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    26.00%     0.00%  swapper          [kernel.kallsyms]  [k] do_idle
    25.86%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    25.86%     0.01%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    25.70%    25.45%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    24.17%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    22.85%     0.15%  java             [kernel.kallsyms]  [k] asm_exc_page_fault
    21.68%     0.31%  java             [kernel.kallsyms]  [k] exc_page_fault
    19.31%     0.20%  java             [kernel.kallsyms]  [k] do_user_addr_fault
    14.21%     0.57%  java             [kernel.kallsyms]  [k] handle_mm_fault
    12.18%     2.97%  java             [kernel.kallsyms]  [k] __handle_mm_fault
     9.81%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     9.81%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] do_syscall_64
     9.10%     0.13%  LocalJobRunner   [kernel.kallsyms]  [k] asm_exc_page_fault
     7.96%     0.07%  LocalJobRunner   [kernel.kallsyms]  [k] exc_page_fault
     7.49%     0.19%  LocalJobRunner   [kernel.kallsyms]  [k] do_user_addr_fault
     7.48%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     7.48%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] do_syscall_64
     7.15%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] __x64_sys_read
     7.15%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] ksys_read
     7.15%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] vfs_read
     7.15%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] new_sync_read
     7.15%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] ext4_file_read_iter
     7.15%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] generic_file_read_iter
     7.15%     0.03%  localfetcher#1   [kernel.kallsyms]  [k] filemap_read
     6.99%     0.23%  LocalJobRunner   [kernel.kallsyms]  [k] handle_mm_fault
     6.26%     0.96%  LocalJobRunner   [kernel.kallsyms]  [k] __handle_mm_fault
     4.85%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ksys_write
     4.85%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __x64_sys_write
     4.85%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] vfs_write
     4.85%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] new_sync_write
     4.85%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_file_write_iter
     4.85%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_buffered_write_iter
     4.84%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] generic_perform_write
     4.69%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __x64_sys_read
     4.69%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ksys_read
     4.69%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] vfs_read
     4.69%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] new_sync_read
     4.69%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_file_read_iter
     4.69%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] generic_file_read_iter
     4.68%     0.11%  LocalJobRunner   [kernel.kallsyms]  [k] filemap_read
     4.65%     0.09%  java             [kernel.kallsyms]  [k] migrate_misplaced_page
     4.53%     4.50%  LocalJobRunner   [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     4.33%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] filemap_get_pages
     4.27%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] ondemand_readahead
     4.26%     0.03%  localfetcher#1   [kernel.kallsyms]  [k] page_cache_ra_unbounded
     4.21%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     4.21%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] do_syscall_64
     4.20%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] page_cache_async_ra
     4.00%     0.35%  java             [kernel.kallsyms]  [k] migrate_pages
     3.94%     3.91%  java             [kernel.kallsyms]  [k] down_read_trylock
     3.64%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
