# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles'
# Event count (approx.): 1614699159179
#
# Children      Self  Command          Shared Object        Symbol                                           
# ........  ........  ...............  ...................  .................................................
#
     1.13%     0.00%  postgres         [kernel.kallsyms]    [k] tick_sched_handle
     1.12%     0.01%  postgres         [kernel.kallsyms]    [k] update_process_times
     1.06%     0.00%  postgres         [kernel.kallsyms]    [k] scheduler_tick
     1.03%     0.89%  postgres         [kernel.kallsyms]    [k] pick_next_task_fair
     1.02%     0.00%  swapper          [kernel.kallsyms]    [k] common_interrupt
     1.02%     0.00%  swapper          [kernel.kallsyms]    [k] asm_common_interrupt
     1.01%     0.00%  swapper          [kernel.kallsyms]    [k] __common_interrupt
     1.01%     0.00%  swapper          [kernel.kallsyms]    [k] handle_edge_irq
     1.01%     1.00%  postgres         [kernel.kallsyms]    [k] perf_event_task_tick
     1.01%     0.00%  swapper          [kernel.kallsyms]    [k] handle_irq_event
     1.00%     0.01%  swapper          [kernel.kallsyms]    [k] nvme_irq
     0.99%     0.01%  swapper          [kernel.kallsyms]    [k] __handle_irq_event_percpu
     0.99%     0.01%  postgres         [kernel.kallsyms]    [k] wait_on_page_bit_common
     0.98%     0.00%  swapper          [kernel.kallsyms]    [k] nvme_process_cq
     0.98%     0.00%  swapper          [kernel.kallsyms]    [k] nvme_pci_complete_rq
     0.98%     0.00%  postgres         [kernel.kallsyms]    [k] finish_task_switch.isra.0
     0.98%     0.00%  swapper          [kernel.kallsyms]    [k] nvme_complete_rq
     0.98%     0.00%  postgres         [kernel.kallsyms]    [k] io_schedule
     0.97%     0.00%  swapper          [kernel.kallsyms]    [k] blk_mq_end_request
     0.96%     0.00%  swapper          [kernel.kallsyms]    [k] bio_endio
     0.96%     0.00%  swapper          [kernel.kallsyms]    [k] blk_update_request
     0.96%     0.02%  postgres         [kernel.kallsyms]    [k] __wake_up_common
     0.92%     0.92%  swapper          [kernel.kallsyms]    [k] _raw_spin_lock_irqsave
     0.92%     0.00%  swapper          [kernel.kallsyms]    [k] __wake_up
     0.92%     0.00%  swapper          [kernel.kallsyms]    [k] __wake_up_common_lock
     0.92%     0.00%  swapper          [kernel.kallsyms]    [k] blk_flush_complete_seq
     0.92%     0.00%  swapper          [kernel.kallsyms]    [k] end_bio_bh_io_sync
     0.92%     0.00%  swapper          [kernel.kallsyms]    [k] journal_end_buffer_io_sync
     0.92%     0.00%  swapper          [kernel.kallsyms]    [k] mq_flush_data_end_io
     0.92%     0.00%  swapper          [kernel.kallsyms]    [k] unlock_buffer
     0.92%     0.00%  swapper          [kernel.kallsyms]    [k] wake_up_bit
     0.90%     0.00%  postgres         [kernel.kallsyms]    [k] common_interrupt
     0.90%     0.00%  postgres         [kernel.kallsyms]    [k] asm_common_interrupt
     0.90%     0.00%  postgres         [kernel.kallsyms]    [k] __common_interrupt
     0.90%     0.01%  postgres         [kernel.kallsyms]    [k] handle_edge_irq
     0.89%     0.00%  postgres         [kernel.kallsyms]    [k] handle_irq_event
