# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles'
# Event count (approx.): 1614699159179
#
# Children      Self  Command          Shared Object        Symbol                                           
# ........  ........  ...............  ...................  .................................................
#
     0.08%     0.00%  kworker/u97:0-e  [kernel.kallsyms]    [k] submit_bio
     0.08%     0.00%  kworker/u97:0-e  [kernel.kallsyms]    [k] submit_bio_noacct
     0.08%     0.00%  postgres         [kernel.kallsyms]    [k] __page_cache_alloc
     0.08%     0.08%  postgres         [kernel.kallsyms]    [k] lru_add_drain_cpu
     0.08%     0.00%  postgres         [kernel.kallsyms]    [k] __sys_recvfrom
     0.08%     0.00%  postgres         [kernel.kallsyms]    [k] __x64_sys_recvfrom
     0.08%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] flush_tlb_mm_range
     0.08%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] native_flush_tlb_multi
     0.08%     0.03%  swapper          [kernel.kallsyms]    [k] menu_select
     0.07%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] ptep_clear_flush
     0.07%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] try_to_migrate
     0.07%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] try_to_migrate_one
     0.07%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] enqueue_task
     0.07%     0.00%  kworker/u97:0-e  [kernel.kallsyms]    [k] blk_update_request
     0.07%     0.00%  kworker/u97:0-e  [kernel.kallsyms]    [k] __common_interrupt
     0.07%     0.00%  kworker/u97:0-e  [kernel.kallsyms]    [k] __handle_irq_event_percpu
     0.07%     0.00%  kworker/u97:0-e  [kernel.kallsyms]    [k] asm_common_interrupt
     0.07%     0.00%  kworker/u97:0-e  [kernel.kallsyms]    [k] blk_mq_end_request
     0.07%     0.00%  kworker/u97:0-e  [kernel.kallsyms]    [k] common_interrupt
     0.07%     0.00%  kworker/u97:0-e  [kernel.kallsyms]    [k] handle_edge_irq
     0.07%     0.00%  kworker/u97:0-e  [kernel.kallsyms]    [k] handle_irq_event
     0.07%     0.00%  kworker/u97:0-e  [kernel.kallsyms]    [k] nvme_complete_rq
     0.07%     0.00%  kworker/u97:0-e  [kernel.kallsyms]    [k] nvme_irq
     0.07%     0.00%  kworker/u97:0-e  [kernel.kallsyms]    [k] nvme_pci_complete_rq
     0.07%     0.00%  kworker/u97:0-e  [kernel.kallsyms]    [k] nvme_process_cq
     0.07%     0.01%  postgres         [kernel.kallsyms]    [k] xas_find
     0.07%     0.00%  postgres         [kernel.kallsyms]    [k] mod_lruvec_page_state.constprop.0
     0.07%     0.00%  postgres         [kernel.kallsyms]    [k] file_modified
     0.07%     0.00%  postgres         [kernel.kallsyms]    [k] file_update_time
     0.07%     0.00%  postgres         [kernel.kallsyms]    [k] generic_update_time
     0.07%     0.02%  postgres         [kernel.kallsyms]    [k] switch_fpu_return
     0.07%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] on_each_cpu_cond_mask
     0.07%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] ttwu_do_activate
     0.07%     0.00%  postgres         [kernel.kallsyms]    [k] __getblk_gfp
     0.07%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] asm_sysvec_call_function
     0.07%     0.06%  postgres         [kernel.kallsyms]    [k] __mod_memcg_lruvec_state
     0.07%     0.07%  kcompactd1       [kernel.kallsyms]    [k] clear_page_erms
     0.07%     0.00%  kcompactd1       [kernel.kallsyms]    [k] post_alloc_hook
     0.07%     0.01%  kworker/u97:0-e  [kernel.kallsyms]    [k] bio_endio
     0.07%     0.00%  kcompactd1       [kernel.kallsyms]    [k] migrate_page
     0.07%     0.00%  kcompactd1       [kernel.kallsyms]    [k] move_to_new_page
     0.07%     0.05%  postgres         [kernel.kallsyms]    [k] update_curr
     0.07%     0.01%  postgres         [kernel.kallsyms]    [k] load_balance
     0.07%     0.02%  postgres         [kernel.kallsyms]    [k] filemap_get_read_batch
     0.06%     0.00%  postgres         [kernel.kallsyms]    [k] getname_flags.part.0
     0.06%     0.03%  swapper          [kernel.kallsyms]    [k] enqueue_task_fair
     0.06%     0.00%  postgres         [kernel.kallsyms]    [k] page_cache_async_ra
     0.06%     0.06%  postgres         [kernel.kallsyms]    [k] available_idle_cpu
     0.06%     0.02%  postgres         [kernel.kallsyms]    [k] submit_bio
     0.06%     0.03%  postgres         [kernel.kallsyms]    [k] flush_tlb_mm_range
     0.06%     0.00%  kworker/u97:0-e  [kernel.kallsyms]    [k] ext4_end_bio
     0.06%     0.00%  kworker/u97:0-e  [kernel.kallsyms]    [k] ext4_finish_bio
     0.06%     0.06%  postgres         [kernel.kallsyms]    [k] try_grab_compound_head
     0.06%     0.00%  swapper          [kernel.kallsyms]    [k] irq_exit_rcu
     0.06%     0.00%  postgres         [kernel.kallsyms]    [k] asm_sysvec_call_function_single
     0.06%     0.01%  postgres         [kernel.kallsyms]    [k] link_path_walk.part.0
     0.06%     0.04%  postgres         [kernel.kallsyms]    [k] security_inode_getattr
     0.06%     0.00%  postgres         [kernel.kallsyms]    [k] do_writepages
     0.06%     0.00%  postgres         [kernel.kallsyms]    [k] ext4_writepages
     0.06%     0.00%  postgres         [kernel.kallsyms]    [k] filemap_fdatawrite_wbc
     0.06%     0.00%  swapper          [kernel.kallsyms]    [k] __softirqentry_text_start
     0.06%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] wake_up_q
     0.06%     0.00%  postgres         [kernel.kallsyms]    [k] __mod_lruvec_state
     0.06%     0.00%  postgres         [kernel.kallsyms]    [k] __ext4_mark_inode_dirty
     0.05%     0.00%  postgres         [kernel.kallsyms]    [k] lru_cache_add
     0.05%     0.00%  postgres         [kernel.kallsyms]    [k] ext4_es_insert_extent
     0.05%     0.00%  postgres         [kernel.kallsyms]    [k] sysvec_call_function_single
     0.05%     0.05%  postgres         [kernel.kallsyms]    [k] __restore_fpregs_from_fpstate
     0.05%     0.01%  postgres         [kernel.kallsyms]    [k] __alloc_skb
     0.05%     0.00%  postgres         [kernel.kallsyms]    [k] alloc_skb_with_frags
     0.05%     0.00%  postgres         [kernel.kallsyms]    [k] sock_alloc_send_pskb
     0.05%     0.03%  postgres         [kernel.kallsyms]    [k] ext4_getattr
     0.05%     0.00%  postgres         [kernel.kallsyms]    [k] __sysvec_call_function_single
     0.05%     0.00%  postgres         [kernel.kallsyms]    [k] generic_smp_call_function_single_interrupt
     0.05%     0.00%  postgres         [kernel.kallsyms]    [k] sock_recvmsg
     0.05%     0.05%  postgres         [kernel.kallsyms]    [k] _raw_spin_lock_irqsave
     0.05%     0.01%  postgres         [kernel.kallsyms]    [k] flush_smp_call_function_queue
     0.05%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] pick_next_task_fair
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] sysvec_call_function
     0.05%     0.04%  tclsh8.6         [kernel.kallsyms]    [k] smp_call_function_many_cond
     0.05%     0.04%  tclsh8.6         [kernel.kallsyms]    [k] select_task_rq_fair
     0.05%     0.00%  postgres         [kernel.kallsyms]    [k] mpage_prepare_extent_to_map
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_recvfrom
     0.05%     0.01%  postgres         [kernel.kallsyms]    [k] __pagevec_lru_add
     0.05%     0.05%  kcompactd1       [kernel.kallsyms]    [k] copy_page
     0.05%     0.01%  postgres         [kernel.kallsyms]    [k] __find_get_block
     0.05%     0.05%  kworker/u97:0-e  [kernel.kallsyms]    [k] _raw_spin_lock_irqsave
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __alloc_skb
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] alloc_skb_with_frags
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] sock_alloc_send_pskb
     0.05%     0.00%  postgres         [kernel.kallsyms]    [k] submit_bio_noacct
     0.05%     0.00%  postgres         [kernel.kallsyms]    [k] unix_stream_recvmsg
     0.05%     0.00%  swapper          [kernel.kallsyms]    [k] run_rebalance_domains
     0.05%     0.00%  postgres         [kernel.kallsyms]    [k] schedule_hrtimeout_range
     0.05%     0.00%  postgres         [kernel.kallsyms]    [k] schedule_hrtimeout_range_clock
     0.05%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] enqueue_task_fair
     0.05%     0.00%  postgres         [kernel.kallsyms]    [k] __read_extent_tree_block
     0.05%     0.05%  postgres         [kernel.kallsyms]    [k] __update_load_avg_cfs_rq
     0.05%     0.00%  postgres         [kernel.kallsyms]    [k] set_task_cpu
     0.05%     0.01%  postgres         [kernel.kallsyms]    [k] __alloc_file
     0.05%     0.00%  postgres         [kernel.kallsyms]    [k] alloc_empty_file
     0.04%     0.03%  postgres         [kernel.kallsyms]    [k] kmem_cache_free
     0.04%     0.04%  swapper          [kernel.kallsyms]    [k] __switch_to_asm
     0.04%     0.01%  postgres         [kernel.kallsyms]    [k] __submit_bio
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_read_generic
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __sys_recvfrom
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] sock_recvmsg
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_recvmsg
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __sysvec_call_function
     0.04%     0.01%  postgres         [kernel.kallsyms]    [k] xas_store
     0.04%     0.02%  postgres         [kernel.kallsyms]    [k] unix_stream_read_generic
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] generic_smp_call_function_single_interrupt
     0.04%     0.01%  postgres         [kernel.kallsyms]    [k] migrate_task_rq_fair
     0.04%     0.00%  swapper          [kernel.kallsyms]    [k] __sysvec_apic_timer_interrupt
     0.04%     0.00%  postgres         [kernel.kallsyms]    [k] ____fput
     0.04%     0.00%  postgres         [kernel.kallsyms]    [k] __do_fault
     0.04%     0.03%  swapper          [kernel.kallsyms]    [k] update_blocked_averages
     0.04%     0.00%  postgres         [kernel.kallsyms]    [k] getname
     0.04%     0.02%  postgres         [kernel.kallsyms]    [k] __fput
     0.04%     0.00%  swapper          [kernel.kallsyms]    [k] __hrtimer_run_queues
     0.04%     0.00%  swapper          [kernel.kallsyms]    [k] hrtimer_interrupt
     0.04%     0.01%  postgres         [kernel.kallsyms]    [k] sched_ttwu_pending
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] newidle_balance
     0.04%     0.03%  postgres         [kernel.kallsyms]    [k] __switch_to_asm
     0.04%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] dequeue_task_fair
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] dequeue_task
     0.04%     0.01%  postgres         [kernel.kallsyms]    [k] __cond_resched
     0.04%     0.00%  postgres         [kernel.kallsyms]    [k] mpage_process_page_bufs
     0.04%     0.00%  postgres         [kernel.kallsyms]    [k] mpage_submit_page
     0.04%     0.02%  postgres         [kernel.kallsyms]    [k] kmem_cache_alloc
     0.04%     0.01%  postgres         [kernel.kallsyms]    [k] strncpy_from_user
     0.04%     0.01%  postgres         [kernel.kallsyms]    [k] ext4_finish_bio
     0.04%     0.00%  postgres         [kernel.kallsyms]    [k] ext4_end_bio
     0.04%     0.00%  postgres         [kernel.kallsyms]    [k] blk_finish_plug
     0.03%     0.03%  postgres         [kernel.kallsyms]    [k] update_cfs_rq_h_load
     0.03%     0.03%  postgres         [kernel.kallsyms]    [k] mark_wake_futex
     0.03%     0.03%  kcompactd1       [kernel.kallsyms]    [k] smp_call_function_many_cond
     0.03%     0.00%  kcompactd1       [kernel.kallsyms]    [k] flush_tlb_mm_range
     0.03%     0.00%  kcompactd1       [kernel.kallsyms]    [k] native_flush_tlb_multi
     0.03%     0.00%  kcompactd1       [kernel.kallsyms]    [k] on_each_cpu_cond_mask
     0.03%     0.00%  kcompactd1       [kernel.kallsyms]    [k] ptep_clear_flush
     0.03%     0.00%  swapper          [kernel.kallsyms]    [k] asm_sysvec_call_function_single
     0.03%     0.00%  swapper          [kernel.kallsyms]    [k] try_to_wake_up
     0.03%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] enqueue_entity
     0.03%     0.00%  postgres         [kernel.kallsyms]    [k] find_busiest_group
     0.03%     0.01%  swapper          [kernel.kallsyms]    [k] enqueue_entity
     0.03%     0.00%  postgres         [kernel.kallsyms]    [k] blk_flush_plug_list
     0.03%     0.00%  postgres         [kernel.kallsyms]    [k] blk_mq_flush_plug_list
     0.03%     0.00%  postgres         [kernel.kallsyms]    [k] blk_mq_sched_insert_requests
     0.03%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] load_balance
     0.03%     0.00%  postgres         [kernel.kallsyms]    [k] account_process_tick
     0.03%     0.03%  postgres         [kernel.kallsyms]    [k] __fget_light
     0.03%     0.03%  postgres         [kernel.kallsyms]    [k] __mod_zone_page_state
     0.03%     0.02%  postgres         [kernel.kallsyms]    [k] set_next_entity
     0.03%     0.01%  postgres         [kernel.kallsyms]    [k] do_set_pte
     0.03%     0.03%  postgres         [kernel.kallsyms]    [k] _find_next_bit
     0.03%     0.03%  postgres         [kernel.kallsyms]    [k] cpumask_any_but
     0.03%     0.02%  postgres         [kernel.kallsyms]    [k] update_sd_lb_stats.constprop.0
     0.03%     0.00%  postgres         [kernel.kallsyms]    [k] blk_mq_submit_bio
     0.03%     0.03%  postgres         [kernel.kallsyms]    [k] __es_insert_extent
     0.03%     0.01%  kworker/u97:0-e  [kernel.kallsyms]    [k] test_clear_page_writeback
     0.03%     0.00%  kworker/u97:0-e  [kernel.kallsyms]    [k] end_page_writeback
     0.03%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] dequeue_entity
     0.03%     0.00%  postgres         [kernel.kallsyms]    [k] __blk_mq_try_issue_directly
     0.03%     0.00%  postgres         [kernel.kallsyms]    [k] blk_mq_try_issue_list_directly
     0.03%     0.01%  postgres         [kernel.kallsyms]    [k] try_to_unlazy
     0.03%     0.00%  postgres         [kernel.kallsyms]    [k] complete_walk
     0.03%     0.01%  postgres         [kernel.kallsyms]    [k] try_charge_memcg
     0.03%     0.00%  postgres         [kernel.kallsyms]    [k] getname_flags
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] asm_common_interrupt
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] common_interrupt
     0.03%     0.00%  postgres         [kernel.kallsyms]    [k] sockfd_lookup_light
     0.03%     0.03%  postgres         [kernel.kallsyms]    [k] copy_page
     0.03%     0.01%  postgres         [kernel.kallsyms]    [k] __check_object_size
     0.03%     0.00%  postgres         [kernel.kallsyms]    [k] ext4_bio_write_page
     0.03%     0.01%  postgres         [kernel.kallsyms]    [k] kmem_cache_alloc_node
     0.03%     0.00%  postgres         [kernel.kallsyms]    [k] pte_alloc_one
     0.03%     0.00%  postgres         [kernel.kallsyms]    [k] task_tick_fair
     0.03%     0.01%  postgres         [kernel.kallsyms]    [k] nvme_queue_rq
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] kmem_cache_alloc_node
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] obj_cgroup_charge
     0.03%     0.01%  swapper          [kernel.kallsyms]    [k] tick_nohz_idle_exit
     0.03%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] __fget_light
     0.03%     0.00%  postgres         [kernel.kallsyms]    [k] ext4_mark_iloc_dirty
     0.03%     0.00%  postgres         [kernel.kallsyms]    [k] __mem_cgroup_charge
     0.03%     0.00%  postgres         [kernel.kallsyms]    [k] charge_memcg
     0.03%     0.00%  swapper          [kernel.kallsyms]    [k] sysvec_call_function_single
     0.03%     0.01%  postgres         [kernel.kallsyms]    [k] lru_gen_add_page
     0.03%     0.03%  postgres         [kernel.kallsyms]    [k] __update_load_avg_se
     0.03%     0.00%  swapper          [kernel.kallsyms]    [k] finish_task_switch.isra.0
     0.03%     0.00%  postgres         [kernel.kallsyms]    [k] shmem_fault
     0.03%     0.00%  postgres         [kernel.kallsyms]    [k] shmem_getpage_gfp
     0.03%     0.00%  swapper          [kernel.kallsyms]    [k] pick_next_task_fair
     0.03%     0.00%  postgres         [kernel.kallsyms]    [k] migrate_page
     0.03%     0.00%  postgres         [kernel.kallsyms]    [k] move_to_new_page
     0.03%     0.00%  postgres         [kernel.kallsyms]    [k] ttwu_queue_wakelist
     0.03%     0.00%  postgres         [kernel.kallsyms]    [k] task_numa_fault
     0.03%     0.00%  postgres         [kernel.kallsyms]    [k] task_numa_migrate.isra.0
     0.03%     0.01%  swapper          [kernel.kallsyms]    [k] switch_mm_irqs_off
     0.03%     0.01%  postgres         [kernel.kallsyms]    [k] find_vma
     0.03%     0.00%  postgres         [kernel.kallsyms]    [k] rmap_walk
     0.02%     0.00%  postgres         [kernel.kallsyms]    [k] __entry_text_start
     0.02%     0.00%  swapper          [kernel.kallsyms]    [k] __read_end_io
     0.02%     0.00%  swapper          [kernel.kallsyms]    [k] mpage_end_io
     0.02%     0.02%  postgres         [kernel.kallsyms]    [k] __switch_to
     0.02%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] _raw_spin_lock_irqsave
     0.02%     0.00%  postgres         [kernel.kallsyms]    [k] __wake_up
     0.02%     0.00%  postgres         [kernel.kallsyms]    [k] balance_dirty_pages_ratelimited
     0.02%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] psi_group_change
     0.02%     0.02%  postgres         [kernel.kallsyms]    [k] generic_fillattr
     0.02%     0.02%  postgres         [kernel.kallsyms]    [k] memset_erms
     0.02%     0.02%  swapper          [kernel.kallsyms]    [k] set_next_entity
     0.02%     0.00%  postgres         [kernel.kallsyms]    [k] ext4_inode_csum_set
     0.02%     0.02%  postgres         [kernel.kallsyms]    [k] rcu_all_qs
     0.02%     0.00%  postgres         [kernel.kallsyms]    [k] ext4_inode_csum
     0.02%     0.00%  swapper          [kernel.kallsyms]    [k] tick_sched_handle
     0.02%     0.00%  swapper          [kernel.kallsyms]    [k] tick_sched_timer
     0.02%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] down_read_trylock
     0.02%     0.02%  postgres         [kernel.kallsyms]    [k] crc32c_pcl_intel_update
     0.02%     0.02%  kworker/u97:0-e  [kernel.kallsyms]    [k] blk_attempt_plug_merge
     0.02%     0.00%  postgres         [kernel.kallsyms]    [k] workingset_update_node
     0.02%     0.02%  postgres         [kernel.kallsyms]    [k] account_system_index_time
     0.02%     0.00%  postgres         [kernel.kallsyms]    [k] account_system_time
     0.02%     0.01%  swapper          [kernel.kallsyms]    [k] update_process_times
     0.02%     0.01%  postgres         [kernel.kallsyms]    [k] __get_user_nocheck_1
     0.02%     0.01%  postgres         [kernel.kallsyms]    [k] security_file_alloc
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] obj_cgroup_charge_pages
     0.02%     0.00%  postgres         [kernel.kallsyms]    [k] rmap_walk_anon
     0.02%     0.00%  postgres         [kernel.kallsyms]    [k] __filemap_fdatawait_range
     0.02%     0.00%  swapper          [kernel.kallsyms]    [k] __sysvec_call_function_single
     0.02%     0.00%  swapper          [kernel.kallsyms]    [k] generic_smp_call_function_single_interrupt
     0.02%     0.02%  postgres         [kernel.kallsyms]    [k] list_lru_del
     0.02%     0.02%  swapper          [kernel.kallsyms]    [k] rcu_eqs_enter.constprop.0
     0.02%     0.00%  postgres         [kernel.kallsyms]    [k] consume_skb
     0.02%     0.02%  postgres         [kernel.kallsyms]    [k] cpuacct_charge
     0.02%     0.01%  postgres         [kernel.kallsyms]    [k] __test_set_page_writeback
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] nvme_pci_complete_rq
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __common_interrupt
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __handle_irq_event_percpu
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] handle_edge_irq
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] handle_irq_event
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] nvme_irq
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] nvme_process_cq
     0.02%     0.01%  postgres         [kernel.kallsyms]    [k] sched_clock_cpu
     0.02%     0.02%  postgres         [kernel.kallsyms]    [k] xas_start
     0.02%     0.02%  swapper          [kernel.kallsyms]    [k] update_rq_clock
     0.02%     0.01%  swapper          [kernel.kallsyms]    [k] psi_task_change
     0.02%     0.02%  postgres         [kernel.kallsyms]    [k] page_counter_try_charge
     0.02%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] update_load_avg
     0.02%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] llist_reverse_order
     0.02%     0.00%  postgres         [kernel.kallsyms]    [k] vfs_open
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] consume_skb
     0.02%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] unmap_page_range
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_exit_group
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] do_exit
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] do_group_exit
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] exit_mmap
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] mmput
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] unmap_single_vma
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] unmap_vmas
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] psi_task_change
     0.02%     0.02%  postgres         [kernel.kallsyms]    [k] mem_cgroup_css_rstat_flush
     0.02%     0.00%  postgres         [kernel.kallsyms]    [k] balance_dirty_pages
     0.02%     0.00%  postgres         [kernel.kallsyms]    [k] cgroup_rstat_flush_irqsafe
     0.02%     0.00%  postgres         [kernel.kallsyms]    [k] cgroup_rstat_flush_locked
     0.02%     0.00%  postgres         [kernel.kallsyms]    [k] mem_cgroup_wb_stats
     0.02%     0.00%  swapper          [kernel.kallsyms]    [k] __wake_up_common
     0.02%     0.00%  swapper          [kernel.kallsyms]    [k] __wake_up_locked_key_bookmark
     0.02%     0.00%  swapper          [kernel.kallsyms]    [k] unlock_page
     0.02%     0.00%  swapper          [kernel.kallsyms]    [k] wake_page_function
     0.02%     0.00%  swapper          [kernel.kallsyms]    [k] wake_up_page_bit
     0.02%     0.00%  swapper          [kernel.kallsyms]    [k] wake_up_state
     0.02%     0.00%  postgres         [kernel.kallsyms]    [k] stop_this_handle
     0.02%     0.00%  postgres         [kernel.kallsyms]    [k] __ext4_journal_stop
     0.02%     0.00%  postgres         [kernel.kallsyms]    [k] jbd2_journal_stop
     0.02%     0.02%  postgres         [kernel.kallsyms]    [k] update_rq_clock
     0.02%     0.02%  postgres         [kernel.kallsyms]    [k] __set_page_dirty_no_writeback
     0.02%     0.01%  postgres         [kernel.kallsyms]    [k] put_prev_entity
     0.02%     0.02%  postgres         [kernel.kallsyms]    [k] page_add_file_rmap
     0.02%     0.02%  postgres         [kernel.kallsyms]    [k] filp_close
     0.02%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] psi_task_switch
     0.02%     0.00%  kworker/u97:0-e  [kernel.kallsyms]    [k] __test_set_page_writeback
     0.02%     0.00%  kworker/u97:0-e  [kernel.kallsyms]    [k] __lock_text_start
     0.02%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]    [k] jbd2_journal_commit_transaction
     0.02%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]    [k] kjournald2
     0.02%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]    [k] kthread
     0.02%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]    [k] ret_from_fork
     0.02%     0.00%  postgres         [kernel.kallsyms]    [k] do_wp_page
     0.02%     0.00%  postgres         [kernel.kallsyms]    [k] wp_page_copy
     0.02%     0.00%  swapper          [kernel.kallsyms]    [k] tick_nohz_get_sleep_length
     0.02%     0.00%  postgres         [kernel.kallsyms]    [k] inet_sendmsg
     0.02%     0.00%  postgres         [kernel.kallsyms]    [k] udp_sendmsg
     0.02%     0.01%  swapper          [kernel.kallsyms]    [k] update_load_avg
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] try_charge_memcg
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __read_end_io
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __wake_up_locked_key_bookmark
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] bio_endio
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] blk_mq_end_request
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] blk_update_request
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] mpage_end_io
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] nvme_complete_rq
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] unlock_page
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] wake_page_function
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] wake_up_page_bit
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] wake_up_state
     0.02%     0.02%  postgres         [kernel.kallsyms]    [k] copy_page_to_iter
     0.02%     0.02%  postgres         [kernel.kallsyms]    [k] lockref_put_return
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __kmalloc_node_track_caller
     0.02%     0.02%  kworker/u97:0-e  [kernel.kallsyms]    [k] bio_integrity_prep
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] page_counter_uncharge
     0.02%     0.00%  postgres         [kernel.kallsyms]    [k] __ext4_get_inode_loc
     0.02%     0.00%  postgres         [kernel.kallsyms]    [k] ext4_get_inode_loc
     0.02%     0.00%  postgres         [kernel.kallsyms]    [k] ext4_reserve_inode_write
     0.02%     0.00%  postgres         [kernel.kallsyms]    [k] wait_on_page_bit
     0.02%     0.00%  postgres         [kernel.kallsyms]    [k] wait_on_page_writeback
     0.02%     0.02%  postgres         [kernel.kallsyms]    [k] ext4_release_file
     0.02%     0.01%  swapper          [kernel.kallsyms]    [k] __update_load_avg_cfs_rq
     0.02%     0.02%  swapper          [kernel.kallsyms]    [k] native_sched_clock
     0.02%     0.00%  swapper          [kernel.kallsyms]    [k] sched_clock_cpu
     0.02%     0.02%  postgres         [kernel.kallsyms]    [k] vmacache_find
     0.02%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] llist_add_batch
     0.02%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] flush_smp_call_function_queue
     0.02%     0.00%  postgres         [kernel.kallsyms]    [k] __legitimize_path
     0.02%     0.02%  kcompactd1       [kernel.kallsyms]    [k] _raw_spin_lock
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] asm_sysvec_call_function_single
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] sysvec_call_function_single
     0.02%     0.02%  kcompactd1       [kernel.kallsyms]    [k] page_counter_cancel
     0.02%     0.00%  kcompactd1       [kernel.kallsyms]    [k] __mem_cgroup_uncharge
     0.02%     0.00%  kcompactd1       [kernel.kallsyms]    [k] __put_page
     0.02%     0.00%  kcompactd1       [kernel.kallsyms]    [k] uncharge_batch
     0.02%     0.00%  postgres         [kernel.kallsyms]    [k] rcu_core
     0.02%     0.00%  postgres         [kernel.kallsyms]    [k] rcu_core_si
     0.02%     0.02%  postgres         [kernel.kallsyms]    [k] __cgroup_account_cputime_field
     0.02%     0.00%  postgres         [kernel.kallsyms]    [k] do_dentry_open
