# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles'
# Event count (approx.): 1161849396427
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
    49.65%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    49.65%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    49.65%     0.61%  swapper          [kernel.kallsyms]  [k] do_idle
    49.47%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    48.94%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    48.93%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    48.82%    48.64%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    43.87%     0.00%  postgres         [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    43.87%     0.00%  postgres         [kernel.kallsyms]  [k] do_syscall_64
    35.57%     0.02%  postgres         [kernel.kallsyms]  [k] exit_mmap
    35.57%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_exit_group
    35.57%     0.00%  postgres         [kernel.kallsyms]  [k] do_exit
    35.57%     0.00%  postgres         [kernel.kallsyms]  [k] do_group_exit
    35.57%     0.00%  postgres         [kernel.kallsyms]  [k] mmput
    34.46%     0.00%  postgres         [kernel.kallsyms]  [k] unmap_single_vma
    34.46%     0.00%  postgres         [kernel.kallsyms]  [k] unmap_vmas
    34.11%    24.17%  postgres         [kernel.kallsyms]  [k] unmap_page_range
     6.23%     3.78%  postgres         [kernel.kallsyms]  [k] page_remove_rmap
     3.35%     0.00%  postgres         [kernel.kallsyms]  [k] do_futex
     3.35%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_futex
     3.29%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compact_zone
     3.29%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kcompactd
     3.29%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kthread
     3.29%     0.00%  kcompactd0       [kernel.kallsyms]  [k] proactive_compact_node
     3.29%     0.00%  kcompactd0       [kernel.kallsyms]  [k] ret_from_fork
     3.29%     0.00%  postgres         [kernel.kallsyms]  [k] futex_wait
     3.27%     1.53%  postgres         [kernel.kallsyms]  [k] futex_wait_queue_me
     3.27%     0.04%  kcompactd0       [kernel.kallsyms]  [k] migrate_pages
     2.96%     0.00%  postgres         [kernel.kallsyms]  [k] tlb_flush_mmu
     2.69%     0.00%  kcompactd0       [kernel.kallsyms]  [k] rmap_walk
     2.67%     0.00%  kcompactd0       [kernel.kallsyms]  [k] rmap_walk_file
     2.55%     0.06%  postgres         [kernel.kallsyms]  [k] free_pages_and_swap_cache
     2.42%     1.69%  postgres         [kernel.kallsyms]  [k] release_pages
     2.27%     0.00%  kcompactd0       [kernel.kallsyms]  [k] try_to_migrate
     2.25%     0.02%  kcompactd0       [kernel.kallsyms]  [k] try_to_migrate_one
     2.20%     0.00%  postgres         [kernel.kallsyms]  [k] vfs_read
     2.19%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_file_read_iter
     2.19%     0.00%  postgres         [kernel.kallsyms]  [k] filemap_read
     2.19%     0.00%  postgres         [kernel.kallsyms]  [k] generic_file_read_iter
     2.19%     0.00%  postgres         [kernel.kallsyms]  [k] new_sync_read
     2.15%     0.00%  kcompactd1       [kernel.kallsyms]  [k] compact_zone
     2.15%     0.00%  kcompactd1       [kernel.kallsyms]  [k] kcompactd
     2.15%     0.00%  kcompactd1       [kernel.kallsyms]  [k] kthread
     2.15%     0.00%  kcompactd1       [kernel.kallsyms]  [k] proactive_compact_node
     2.15%     0.00%  kcompactd1       [kernel.kallsyms]  [k] ret_from_fork
     2.14%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_pread64
     2.13%     0.00%  kcompactd1       [kernel.kallsyms]  [k] migrate_pages
     2.12%     0.00%  postgres         [kernel.kallsyms]  [k] filemap_get_pages
     2.10%     0.02%  postgres         [kernel.kallsyms]  [k] page_cache_sync_ra
     2.08%     0.00%  postgres         [kernel.kallsyms]  [k] ondemand_readahead
     2.08%     0.00%  postgres         [kernel.kallsyms]  [k] page_cache_ra_unbounded
     2.04%     0.00%  postgres         [kernel.kallsyms]  [k] add_to_page_cache_lru
     2.04%     0.00%  postgres         [kernel.kallsyms]  [k] cgroup_rstat_flush_irqsafe
     2.04%     0.00%  postgres         [kernel.kallsyms]  [k] mem_cgroup_flush_stats
     2.04%     0.00%  postgres         [kernel.kallsyms]  [k] workingset_refault
     2.03%     1.93%  postgres         [kernel.kallsyms]  [k] cgroup_rstat_flush_locked
     1.95%     0.00%  postgres         [kernel.kallsyms]  [k] __sys_sendto
     1.95%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_sendto
     1.95%     1.89%  postgres         [kernel.kallsyms]  [k] PageHuge
     1.94%     0.00%  postgres         [kernel.kallsyms]  [k] sock_sendmsg
     1.86%     1.86%  postgres         [kernel.kallsyms]  [k] aa_sk_perm
     1.86%     0.00%  postgres         [kernel.kallsyms]  [k] apparmor_socket_sendmsg
     1.86%     0.00%  postgres         [kernel.kallsyms]  [k] security_socket_sendmsg
     1.77%     0.00%  postgres         [kernel.kallsyms]  [k] schedule
     1.77%     0.01%  postgres         [kernel.kallsyms]  [k] __schedule
     1.68%     0.00%  postgres         [kernel.kallsyms]  [k] dequeue_task
     1.68%     0.00%  postgres         [kernel.kallsyms]  [k] dequeue_task_fair
     1.67%     1.65%  postgres         [kernel.kallsyms]  [k] dequeue_entity
     1.65%     0.00%  postgres         [kernel.kallsyms]  [k] update_min_vruntime
     1.60%     0.00%  kcompactd1       [kernel.kallsyms]  [k] rmap_walk
     1.58%     1.58%  kcompactd0       [kernel.kallsyms]  [k] PageHuge
     1.56%     0.00%  kcompactd1       [kernel.kallsyms]  [k] rmap_walk_file
     1.23%     0.00%  kcompactd1       [kernel.kallsyms]  [k] try_to_migrate
     1.12%     0.40%  kcompactd1       [kernel.kallsyms]  [k] try_to_migrate_one
     0.98%     0.02%  postgres         [kernel.kallsyms]  [k] free_pgd_range
     0.98%     0.00%  postgres         [kernel.kallsyms]  [k] free_pgtables
     0.96%     0.30%  postgres         [kernel.kallsyms]  [k] ___pte_free_tlb
     0.71%     0.04%  postgres         [kernel.kallsyms]  [k] free_unref_page_list
     0.71%     0.61%  postgres         [kernel.kallsyms]  [k] set_page_dirty
     0.66%     0.02%  postgres         [kernel.kallsyms]  [k] free_unref_page_commit.constprop.0
     0.64%     0.00%  postgres         [kernel.kallsyms]  [k] tlb_remove_page
     0.64%     0.11%  postgres         [kernel.kallsyms]  [k] free_pcppages_bulk
     0.62%     0.58%  kcompactd0       [kernel.kallsyms]  [k] page_vma_mapped_walk
     0.53%     0.53%  postgres         [kernel.kallsyms]  [k] free_swap_cache
     0.46%     0.43%  kcompactd1       [kernel.kallsyms]  [k] page_vma_mapped_walk
     0.45%     0.00%  postgres         [kernel.kallsyms]  [k] __do_sys_newfstatat
     0.45%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_newfstatat
     0.44%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.44%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] do_syscall_64
     0.43%     0.41%  postgres         [kernel.kallsyms]  [k] __free_one_page
     0.41%     0.02%  postgres         [kernel.kallsyms]  [k] vfs_statx
     0.41%     0.33%  postgres         [kernel.kallsyms]  [k] _raw_spin_lock
     0.39%     0.35%  postgres         [kernel.kallsyms]  [k] lock_page_memcg
     0.35%     0.02%  kcompactd0       [kernel.kallsyms]  [k] remove_migration_pte
     0.32%     0.23%  postgres         [kernel.kallsyms]  [k] unlock_page_memcg
     0.29%     0.00%  kcompactd0       [kernel.kallsyms]  [k] migrate_page
     0.29%     0.00%  kcompactd0       [kernel.kallsyms]  [k] move_to_new_page
     0.29%     0.04%  kcompactd1       [kernel.kallsyms]  [k] remove_migration_pte
     0.27%     0.22%  postgres         [kernel.kallsyms]  [k] mark_page_accessed
     0.27%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __x64_sys_futex
     0.27%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] do_futex
     0.24%     0.02%  kcompactd1       [kernel.kallsyms]  [k] flush_tlb_mm_range
     0.24%     0.00%  kcompactd1       [kernel.kallsyms]  [k] ptep_clear_flush
     0.23%     0.00%  kcompactd1       [kernel.kallsyms]  [k] compaction_alloc
     0.22%     0.00%  postgres         [kernel.kallsyms]  [k] user_path_at_empty
     0.22%     0.00%  kcompactd1       [kernel.kallsyms]  [k] native_flush_tlb_multi
     0.22%     0.00%  kcompactd1       [kernel.kallsyms]  [k] on_each_cpu_cond_mask
     0.21%     0.21%  kcompactd0       [kernel.kallsyms]  [k] _raw_spin_lock
     0.21%     0.00%  postgres         [kernel.kallsyms]  [k] asm_exc_page_fault
     0.21%     0.00%  postgres         [kernel.kallsyms]  [k] exc_page_fault
     0.20%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compaction_alloc
     0.20%     0.00%  postgres         [kernel.kallsyms]  [k] do_user_addr_fault
     0.20%     0.00%  postgres         [kernel.kallsyms]  [k] handle_mm_fault
     0.20%     0.20%  kcompactd1       [kernel.kallsyms]  [k] _raw_spin_lock
     0.19%     0.19%  swapper          [unknown]          [.] 0000000000000000
