# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3280087772487
#
# Children      Self  Command          Shared Object                        Symbol                                                                                                                                                           
# ........  ........  ...............  ...................................  .................................................................................................................................................................
#
     1.40%     1.24%  Executor task l  [kernel.kallsyms]                    [k] x86_pmu_disable_all
     1.37%     0.12%  Executor task l  [kernel.kallsyms]                    [k] __pagevec_lru_add
     1.37%     0.00%  Executor task l  [kernel.kallsyms]                    [k] asm_common_interrupt
     1.35%     0.01%  Executor task l  [kernel.kallsyms]                    [k] common_interrupt
     1.30%     0.01%  Executor task l  [kernel.kallsyms]                    [k] __ext4_mark_inode_dirty
     1.29%     0.89%  Executor task l  [kernel.kallsyms]                    [k] rmqueue_bulk
     1.29%     0.33%  Executor task l  [kernel.kallsyms]                    [k] _raw_spin_lock_irqsave
     1.26%     1.21%  Executor task l  [kernel.kallsyms]                    [k] ktime_get_update_offsets_now
     1.21%     0.03%  Executor task l  [kernel.kallsyms]                    [k] __common_interrupt
     1.20%     0.19%  Executor task l  [kernel.kallsyms]                    [k] rcu_sched_clock_irq
     1.19%     0.74%  Executor task l  [kernel.kallsyms]                    [k] xas_load
     1.18%     0.03%  Executor task l  [kernel.kallsyms]                    [k] handle_edge_irq
     1.18%     0.03%  Executor task l  [kernel.kallsyms]                    [k] mem_cgroup_charge
     1.08%     0.02%  Executor task l  [kernel.kallsyms]                    [k] handle_irq_event
     1.07%     0.61%  Executor task l  [kernel.kallsyms]                    [k] filemap_get_read_batch
     1.06%     0.15%  Executor task l  [kernel.kallsyms]                    [k] __softirqentry_text_start
     1.00%     0.03%  Executor task l  [kernel.kallsyms]                    [k] __handle_irq_event_percpu
     0.99%     0.00%  Executor task l  [kernel.kallsyms]                    [k] __alloc_pages_slowpath.constprop.0
     0.98%     0.00%  Executor task l  [kernel.kallsyms]                    [k] nvme_irq
     0.97%     0.12%  Executor task l  [kernel.kallsyms]                    [k] nvme_process_cq
     0.95%     0.00%  swapper          [kernel.kallsyms]                    [k] cpu_startup_entry
     0.95%     0.00%  swapper          [kernel.kallsyms]                    [k] secondary_startup_64_no_verify
     0.95%     0.01%  swapper          [kernel.kallsyms]                    [k] do_idle
     0.94%     0.86%  Executor task l  [kernel.kallsyms]                    [k] ktime_get
     0.94%     0.39%  Executor task l  [kernel.kallsyms]                    [k] rcu_pending
     0.93%     0.43%  Executor task l  [kernel.kallsyms]                    [k] kmem_cache_alloc
     0.87%     0.01%  Executor task l  [kernel.kallsyms]                    [k] blk_finish_plug
     0.86%     0.00%  Executor task l  [kernel.kallsyms]                    [k] try_to_free_pages
     0.86%     0.00%  Executor task l  [kernel.kallsyms]                    [k] do_try_to_free_pages
     0.86%     0.00%  Executor task l  [kernel.kallsyms]                    [k] shrink_node
     0.86%     0.00%  Executor task l  [kernel.kallsyms]                    [k] shrink_node_memcgs
     0.86%     0.00%  Executor task l  [kernel.kallsyms]                    [k] shrink_zones
     0.86%     0.00%  Executor task l  [kernel.kallsyms]                    [k] lru_gen_shrink_lruvec
     0.85%     0.00%  Executor task l  [kernel.kallsyms]                    [k] evict_pages
     0.85%     0.18%  Executor task l  [kernel.kallsyms]                    [k] __pagevec_lru_add_fn
     0.85%     0.02%  Executor task l  [kernel.kallsyms]                    [k] blk_mq_flush_plug_list
     0.84%     0.02%  Executor task l  [kernel.kallsyms]                    [k] ext4_mark_iloc_dirty
     0.84%     0.01%  Executor task l  [kernel.kallsyms]                    [k] shrink_page_list
     0.82%     0.02%  Executor task l  [kernel.kallsyms]                    [k] blk_mq_sched_insert_requests
     0.82%     0.00%  Executor task l  [kernel.kallsyms]                    [k] __x64_sys_openat
     0.81%     0.00%  Executor task l  [kernel.kallsyms]                    [k] do_sys_openat2
     0.81%     0.01%  Executor task l  [kernel.kallsyms]                    [k] __remove_mapping
     0.80%     0.01%  swapper          [kernel.kallsyms]                    [k] cpuidle_idle_call
     0.80%     0.07%  kswapd0          [kernel.kallsyms]                    [k] __remove_mapping
     0.80%     0.03%  Executor task l  [kernel.kallsyms]                    [k] blk_mq_try_issue_list_directly
     0.78%     0.77%  Executor task l  [kernel.kallsyms]                    [k] __update_load_avg_cfs_rq
     0.77%     0.00%  kswapd0          [kernel.kallsyms]                    [k] do_shrink_slab
     0.77%     0.28%  Executor task l  [kernel.kallsyms]                    [k] ext4_do_update_inode.isra.0
     0.76%     0.36%  Executor task l  [kernel.kallsyms]                    [k] update_rq_clock_task
     0.75%     0.02%  Executor task l  [kernel.kallsyms]                    [k] __blk_mq_try_issue_directly
     0.75%     0.01%  kswapd0          [kernel.kallsyms]                    [k] shrink_slab_memcg
     0.74%     0.66%  Executor task l  [kernel.kallsyms]                    [k] __update_load_avg_se
     0.72%     0.01%  Executor task l  [kernel.kallsyms]                    [k] do_filp_open
     0.71%     0.01%  Executor task l  [kernel.kallsyms]                    [k] path_openat
     0.71%     0.08%  Executor task l  [kernel.kallsyms]                    [k] nvme_queue_rq
     0.71%     0.00%  kswapd0          [kernel.kallsyms]                    [k] super_cache_scan
     0.70%     0.00%  kworker/u64:38-  [kernel.kallsyms]                    [k] worker_thread
     0.70%     0.00%  kworker/u64:38-  [kernel.kallsyms]                    [k] kthread
     0.70%     0.00%  kworker/u64:38-  [kernel.kallsyms]                    [k] ret_from_fork
     0.70%     0.00%  kworker/u64:38-  [kernel.kallsyms]                    [k] process_one_work
     0.70%     0.09%  Executor task l  [kernel.kallsyms]                    [k] __mem_cgroup_charge
     0.69%     0.00%  kswapd0          [kernel.kallsyms]                    [k] prune_icache_sb
     0.69%     0.69%  Executor task l  [kernel.kallsyms]                    [k] hrtimer_active
     0.69%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] kcompactd
     0.69%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] kthread
     0.69%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] ret_from_fork
     0.69%     0.00%  kswapd0          [kernel.kallsyms]                    [k] __list_lru_walk_one
     0.69%     0.00%  kswapd0          [kernel.kallsyms]                    [k] list_lru_walk_one
     0.69%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] compact_zone
     0.68%     0.00%  kswapd0          [kernel.kallsyms]                    [k] inode_lru_isolate
     0.68%     0.00%  kswapd0          [kernel.kallsyms]                    [k] __invalidate_mapping_pages
     0.68%     0.01%  Executor task l  [kernel.kallsyms]                    [k] __submit_bio_noacct_mq
     0.67%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] migrate_pages
     0.67%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] unmap_and_move
     0.67%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] proactive_compact_node
     0.66%     0.04%  Executor task l  [kernel.kallsyms]                    [k] blk_mq_submit_bio
     0.66%     0.00%  swapper          [kernel.kallsyms]                    [k] cpuidle_enter
     0.66%     0.02%  swapper          [kernel.kallsyms]                    [k] cpuidle_enter_state
     0.64%     0.26%  Executor task l  [kernel.kallsyms]                    [k] lru_gen_add_page
     0.62%     0.36%  Executor task l  [kernel.kallsyms]                    [k] irqtime_account_irq
     0.60%     0.18%  Executor task l  [kernel.kallsyms]                    [k] xas_store
     0.60%     0.60%  Executor task l  [kernel.kallsyms]                    [k] __list_del_entry_valid
     0.59%     0.01%  Executor task l  [kernel.kallsyms]                    [k] __ext4_journal_start_sb
     0.58%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] __unmap_and_move
     0.57%     0.56%  Executor task l  [kernel.kallsyms]                    [k] memset
     0.57%     0.45%  Executor task l  [kernel.kallsyms]                    [k] __cgroup_account_cputime_field
     0.56%     0.17%  Executor task l  [kernel.kallsyms]                    [k] __mod_lruvec_page_state
     0.55%     0.01%  Executor task l  [kernel.kallsyms]                    [k] file_update_time
     0.55%     0.00%  kworker/u64:36-  [kernel.kallsyms]                    [k] worker_thread
     0.55%     0.00%  kworker/u64:36-  [kernel.kallsyms]                    [k] kthread
     0.55%     0.00%  kworker/u64:36-  [kernel.kallsyms]                    [k] ret_from_fork
     0.55%     0.00%  kworker/u64:36-  [kernel.kallsyms]                    [k] process_one_work
     0.53%     0.13%  Executor task l  [kernel.kallsyms]                    [k] xa_load
     0.52%     0.05%  Executor task l  [kernel.kallsyms]                    [k] jbd2__journal_start
     0.52%     0.01%  Executor task l  [kernel.kallsyms]                    [k] generic_update_time
     0.51%     0.51%  Executor task l  [kernel.kallsyms]                    [k] update_cfs_group
     0.51%     0.02%  Executor task l  [kernel.kallsyms]                    [k] create_page_buffers
     0.51%     0.03%  Executor task l  [kernel.kallsyms]                    [k] zero_user_segments
     0.50%     0.00%  kworker/u64:37-  [kernel.kallsyms]                    [k] worker_thread
     0.50%     0.00%  kworker/u64:37-  [kernel.kallsyms]                    [k] kthread
     0.50%     0.00%  kworker/u64:37-  [kernel.kallsyms]                    [k] ret_from_fork
     0.50%     0.00%  kworker/u64:37-  [kernel.kallsyms]                    [k] process_one_work
     0.50%     0.00%  kworker/u64:38-  [kernel.kallsyms]                    [k] wb_workfn
     0.50%     0.00%  kworker/u64:38-  [kernel.kallsyms]                    [k] wb_do_writeback
     0.50%     0.02%  Executor task l  [kernel.kallsyms]                    [k] create_empty_buffers
     0.49%     0.00%  kworker/u64:38-  [kernel.kallsyms]                    [k] wb_writeback
     0.49%     0.00%  kworker/u64:38-  [kernel.kallsyms]                    [k] __writeback_inodes_wb
     0.49%     0.00%  kworker/u64:38-  [kernel.kallsyms]                    [k] writeback_sb_inodes
     0.49%     0.00%  kworker/u64:38-  [kernel.kallsyms]                    [k] __writeback_single_inode
     0.49%     0.00%  kworker/u64:38-  [kernel.kallsyms]                    [k] do_writepages
     0.49%     0.00%  kworker/u64:38-  [kernel.kallsyms]                    [k] ext4_writepages
     0.49%     0.05%  Executor task l  [kernel.kallsyms]                    [k] clockevents_program_event
     0.49%     0.47%  Executor task l  [kernel.kallsyms]                    [k] xas_start
     0.48%     0.48%  Executor task l  [kernel.kallsyms]                    [k] check_cpu_stall
     0.48%     0.11%  Executor task l  [kernel.kallsyms]                    [k] exit_to_user_mode_prepare
     0.47%     0.01%  Executor task l  [kernel.kallsyms]                    [k] blk_mq_end_request
     0.46%     0.04%  Executor task l  [kernel.kallsyms]                    [k] alloc_page_buffers
     0.46%     0.14%  Executor task l  [kernel.kallsyms]                    [k] amd_pmu_wait_on_overflow
     0.45%     0.43%  Executor task l  [kernel.kallsyms]                    [k] get_mem_cgroup_from_mm
     0.45%     0.05%  Executor task l  [kernel.kallsyms]                    [k] nvme_map_data
     0.45%     0.04%  kswapd0          [kernel.kallsyms]                    [k] free_unref_page_list
     0.44%     0.01%  Executor task l  [kernel.kallsyms]                    [k] syscall_exit_to_user_mode
     0.44%     0.01%  Executor task l  [kernel.kallsyms]                    [k] ext4_reserve_inode_write
     0.44%     0.33%  Executor task l  [kernel.kallsyms]                    [k] _raw_spin_lock
     0.44%     0.06%  Executor task l  [kernel.kallsyms]                    [k] rcu_core
     0.43%     0.00%  kworker/u64:38-  [kernel.kallsyms]                    [k] wb_check_old_data_flush
     0.43%     0.43%  Executor task l  [kernel.kallsyms]                    [k] arch_scale_freq_tick
     0.43%     0.01%  Executor task l  [kernel.kallsyms]                    [k] alloc_buffer_head
     0.42%     0.30%  Executor task l  [kernel.kallsyms]                    [k] __mod_memcg_lruvec_state
     0.42%     0.02%  Executor task l  [kernel.kallsyms]                    [k] ext4_map_blocks
     0.41%     0.09%  Executor task l  [kernel.kallsyms]                    [k] enqueue_hrtimer
     0.40%     0.40%  Executor task l  [kernel.kallsyms]                    [k] x86_pmu_disable
     0.40%     0.40%  Executor task l  [kernel.kallsyms]                    [k] __irqentry_text_end
     0.40%     0.40%  Executor task l  [kernel.kallsyms]                    [k] update_irq_load_avg
     0.40%     0.07%  Executor task l  [kernel.kallsyms]                    [k] blk_update_request
     0.39%     0.02%  Executor task l  [kernel.kallsyms]                    [k] ext4_da_get_block_prep
     0.39%     0.14%  Executor task l  [kernel.kallsyms]                    [k] xa_get_order
     0.38%     0.17%  Executor task l  [kernel.kallsyms]                    [k] tick_sched_do_timer
     0.37%     0.37%  Executor task l  [kernel.kallsyms]                    [k] irq_work_tick
     0.37%     0.06%  Executor task l  [kernel.kallsyms]                    [k] ext4_da_map_blocks.constprop.0
     0.37%     0.03%  Executor task l  [kernel.kallsyms]                    [k] __block_commit_write.constprop.0.isra.0
     0.37%     0.03%  kswapd0          [kernel.kallsyms]                    [k] page_cache_delete
     0.37%     0.11%  Executor task l  [kernel.kallsyms]                    [k] timerqueue_del
     0.36%     0.20%  Executor task l  [kernel.kallsyms]                    [k] start_this_handle
     0.35%     0.04%  kswapd0          [kernel.kallsyms]                    [k] free_pcppages_bulk
     0.34%     0.00%  Executor task l  [kernel.kallsyms]                    [k] irqentry_exit_to_user_mode
     0.34%     0.28%  Executor task l  [kernel.kallsyms]                    [k] alloc_pages
