# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 15768515484236
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
    36.32%     0.00%  swapper          [kernel.kallsyms]     [k] secondary_startup_64_no_verify
    36.31%     0.00%  swapper          [kernel.kallsyms]     [k] cpu_startup_entry
    36.31%     0.01%  swapper          [kernel.kallsyms]     [k] do_idle
    36.19%     0.00%  swapper          [kernel.kallsyms]     [k] cpuidle_enter
    36.19%     0.01%  swapper          [kernel.kallsyms]     [k] cpuidle_enter_state
    36.05%    33.26%  swapper          [kernel.kallsyms]     [k] mwait_idle_with_hints.constprop.0
    34.75%     0.00%  swapper          [kernel.kallsyms]     [k] start_secondary
    17.73%     0.10%  java             [kernel.kallsyms]     [k] asm_exc_page_fault
    17.03%     0.24%  java             [kernel.kallsyms]     [k] exc_page_fault
    15.13%     0.13%  java             [kernel.kallsyms]     [k] do_user_addr_fault
    10.96%     0.40%  java             [kernel.kallsyms]     [k] handle_mm_fault
     9.84%     0.11%  LocalJobRunner   [kernel.kallsyms]     [k] asm_exc_page_fault
     9.45%     2.29%  java             [kernel.kallsyms]     [k] __handle_mm_fault
     8.90%     0.07%  LocalJobRunner   [kernel.kallsyms]     [k] exc_page_fault
     8.47%     0.16%  LocalJobRunner   [kernel.kallsyms]     [k] do_user_addr_fault
     8.04%     0.18%  LocalJobRunner   [kernel.kallsyms]     [k] handle_mm_fault
     7.62%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     7.62%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] do_syscall_64
     7.50%     0.75%  LocalJobRunner   [kernel.kallsyms]     [k] __handle_mm_fault
     6.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     6.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] do_syscall_64
     5.93%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     5.93%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] do_syscall_64
     5.62%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] ksys_read
     5.62%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] __x64_sys_read
     5.61%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] vfs_read
     5.61%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] ext4_file_read_iter
     5.61%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] new_sync_read
     5.61%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] generic_file_read_iter
     5.61%     0.02%  localfetcher#1   [kernel.kallsyms]     [k] filemap_read
     3.90%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] __x64_sys_read
     3.90%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ksys_read
     3.90%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] vfs_read
     3.90%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] new_sync_read
     3.90%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_file_read_iter
     3.90%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] generic_file_read_iter
     3.90%     0.02%  pool-4-thread-1  [kernel.kallsyms]     [k] filemap_read
     3.76%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_write
     3.76%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ksys_write
     3.76%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] vfs_write
     3.76%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] new_sync_write
     3.76%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_file_write_iter
     3.76%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_buffered_write_iter
     3.75%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] generic_perform_write
     3.68%     3.65%  LocalJobRunner   [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     3.65%     0.06%  java             [kernel.kallsyms]     [k] migrate_misplaced_page
     3.64%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_read
     3.64%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ksys_read
     3.64%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] vfs_read
     3.64%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] new_sync_read
     3.64%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_file_read_iter
     3.64%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] generic_file_read_iter
     3.64%     0.09%  LocalJobRunner   [kernel.kallsyms]     [k] filemap_read
     3.63%     0.06%  pool-4-thread-1  [kernel.kallsyms]     [k] add_to_page_cache_lru
     3.48%     0.11%  LocalJobRunner   [kernel.kallsyms]     [k] __alloc_pages
     3.35%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] filemap_get_pages
     3.35%     0.37%  LocalJobRunner   [kernel.kallsyms]     [k] get_page_from_freelist
     3.33%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ondemand_readahead
     3.33%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] page_cache_async_ra
     3.32%     0.03%  pool-4-thread-1  [kernel.kallsyms]     [k] page_cache_ra_unbounded
     3.21%     3.20%  java             [kernel.kallsyms]     [k] down_read_trylock
     3.09%     0.26%  java             [kernel.kallsyms]     [k] migrate_pages
     2.97%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] filemap_get_pages
