# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles'
# Event count (approx.): 211064953437
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                                      
# ........  ........  ...............  ...................  ............................................................................................................................................
#
     2.04%     0.00%  kswapd0          [kernel.kallsyms]    [k] lru_gen_shrink_lruvec
     2.03%     0.26%  swapper          [kernel.kallsyms]    [k] menu_select
     2.03%     0.01%  mariadbd         [kernel.kallsyms]    [k] common_interrupt
     1.93%     0.14%  mariadbd         [kernel.kallsyms]    [k] dequeue_entity
     1.93%     0.22%  swapper          [kernel.kallsyms]    [k] sched_ttwu_pending
     1.87%     0.02%  kswapd0          [kernel.kallsyms]    [k] shrink_page_list
     1.86%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] __sys_sendto
     1.86%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_sendto
     1.85%     0.01%  mariadbd         [kernel.kallsyms]    [k] __common_interrupt
     1.84%     0.00%  mariadbd         [kernel.kallsyms]    [k] handle_edge_irq
     1.84%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] sock_sendmsg
     1.82%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_sendmsg
     1.82%     0.01%  swapper          [kernel.kallsyms]    [k] sysvec_apic_timer_interrupt
     1.82%     0.00%  swapper          [kernel.kallsyms]    [k] asm_sysvec_apic_timer_interrupt
     1.80%     0.78%  mariadbd         [kernel.kallsyms]    [k] _raw_spin_lock
     1.79%     0.04%  mariadbd         [kernel.kallsyms]    [k] handle_irq_event
     1.76%     0.02%  mariadbd         [kernel.kallsyms]    [k] ptep_clear_flush
     1.75%     0.06%  mariadbd         [kernel.kallsyms]    [k] flush_tlb_mm_range
     1.70%     0.87%  mariadbd         [kernel.kallsyms]    [k] update_load_avg
     1.69%     0.09%  mariadbd         [kernel.kallsyms]    [k] ttwu_do_activate
     1.67%     0.09%  mariadbd         [kernel.kallsyms]    [k] load_balance
     1.66%     0.37%  mariadbd         [kernel.kallsyms]    [k] enqueue_task_fair
     1.64%     0.03%  mariadbd         [kernel.kallsyms]    [k] __handle_irq_event_percpu
     1.63%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_poll
     1.60%     0.02%  mariadbd         [kernel.kallsyms]    [k] nvme_irq
     1.58%     0.08%  mariadbd         [kernel.kallsyms]    [k] nvme_process_cq
     1.56%     0.03%  mariadbd         [kernel.kallsyms]    [k] do_sys_poll
     1.56%     0.26%  mariadbd         [kernel.kallsyms]    [k] select_idle_sibling
     1.55%     0.11%  mariadbd         [kernel.kallsyms]    [k] exit_to_user_mode_prepare
     1.55%     0.01%  swapper          [kernel.kallsyms]    [k] asm_common_interrupt
     1.52%     0.02%  swapper          [kernel.kallsyms]    [k] common_interrupt
     1.50%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_recvfrom
     1.49%     0.04%  tclsh8.6         [kernel.kallsyms]    [k] __sys_recvfrom
     1.49%     0.56%  mariadbd         [kernel.kallsyms]    [k] smp_call_function_many_cond
     1.49%     0.00%  mariadbd         [kernel.kallsyms]    [k] on_each_cpu_cond_mask
     1.49%     0.60%  mariadbd         [kernel.kallsyms]    [k] update_curr
     1.49%     0.03%  swapper          [kernel.kallsyms]    [k] ttwu_do_activate
     1.48%     0.10%  mariadbd         [kernel.kallsyms]    [k] do_poll.constprop.0
     1.46%     0.43%  swapper          [kernel.kallsyms]    [k] enqueue_task_fair
     1.44%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_poll
     1.43%     0.11%  tclsh8.6         [kernel.kallsyms]    [k] do_sys_poll
     1.42%     0.01%  mariadbd         [kernel.kallsyms]    [k] bio_iov_iter_get_pages
     1.41%     0.02%  mariadbd         [kernel.kallsyms]    [k] __bio_iov_iter_get_pages
     1.40%     0.01%  mariadbd         [kernel.kallsyms]    [k] __read_swap_cache_async
     1.36%     0.13%  mariadbd         [kernel.kallsyms]    [k] __wake_up_common
     1.35%     0.01%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_recvfrom
     1.35%     0.05%  swapper          [kernel.kallsyms]    [k] __common_interrupt
     1.34%     0.02%  mariadbd         [kernel.kallsyms]    [k] __sys_recvfrom
     1.31%     0.03%  mariadbd         [kernel.kallsyms]    [k] __wake_up_common_lock
     1.30%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_recvmsg
     1.30%     0.02%  mariadbd         [kernel.kallsyms]    [k] ext4_map_blocks
     1.30%     0.10%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_read_generic
     1.29%     0.00%  swapper          [kernel.kallsyms]    [k] start_kernel
     1.29%     0.06%  mariadbd         [kernel.kallsyms]    [k] sock_def_readable
     1.29%     0.02%  swapper          [kernel.kallsyms]    [k] handle_edge_irq
     1.27%     0.10%  swapper          [kernel.kallsyms]    [k] flush_smp_call_function_from_idle
     1.27%     0.00%  swapper          [kernel.kallsyms]    [k] __sysvec_apic_timer_interrupt
     1.25%     0.01%  swapper          [kernel.kallsyms]    [k] hrtimer_interrupt
     1.25%     0.12%  tclsh8.6         [kernel.kallsyms]    [k] do_poll.constprop.0
     1.24%     0.00%  mariadbd         [kernel.kallsyms]    [k] schedule_hrtimeout_range_clock
     1.23%     0.02%  swapper          [kernel.kallsyms]    [k] handle_irq_event
     1.23%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_futex
     1.23%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] do_futex
