# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 27742558279198
#
# Children      Self  Command          Shared Object          Symbol                                                                
# ........  ........  ...............  .....................  ......................................................................
#
     4.15%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] drain_stock
     4.12%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] page_counter_uncharge
     4.10%     0.15%  memcached        [kernel.kallsyms]      [k] __wake_up_common_lock
     4.02%     0.05%  memcached        [kernel.kallsyms]      [k] unix_stream_recvmsg
     4.00%     0.07%  memcached        [kernel.kallsyms]      [k] sock_def_readable
     3.98%     0.17%  memcached        [kernel.kallsyms]      [k] unix_stream_read_generic
     3.82%     0.19%  memcached        [kernel.kallsyms]      [k] __wake_up_common
     3.76%     0.02%  memcached        [kernel.kallsyms]      [k] zram_rw_page
     3.74%     0.45%  memcached        [kernel.kallsyms]      [k] ep_poll_callback
     3.74%     0.13%  memtier_benchma  [kernel.kallsyms]      [k] __wake_up_common_lock
     3.67%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] sock_def_readable
     3.64%     0.12%  memcached        [kernel.kallsyms]      [k] zram_bvec_rw.constprop.0
     3.57%     3.55%  memtier_benchma  [kernel.kallsyms]      [k] propagate_protected_usage
     3.56%     0.17%  memtier_benchma  [kernel.kallsyms]      [k] __wake_up_common
     3.49%     0.21%  memtier_benchma  [kernel.kallsyms]      [k] ep_poll_callback
     3.48%     0.10%  memcached        [kernel.kallsyms]      [k] schedule
     3.47%     0.05%  memcached        [kernel.kallsyms]      [k] schedule_hrtimeout_range_clock
     3.38%     0.66%  memcached        [kernel.kallsyms]      [k] __schedule
     3.31%     0.03%  memcached        [kernel.kallsyms]      [k] obj_cgroup_charge
     3.26%     0.41%  memcached        [kernel.kallsyms]      [k] kmem_cache_alloc_node
     3.08%     1.11%  memcached        [kernel.kallsyms]      [k] refill_obj_stock
     3.03%     1.06%  memtier_benchma  [kernel.kallsyms]      [k] refill_obj_stock
     2.98%     0.12%  memtier_benchma  [kernel.kallsyms]      [k] obj_cgroup_uncharge_pages
     2.97%     0.06%  memcached        [kernel.kallsyms]      [k] autoremove_wake_function
     2.95%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] autoremove_wake_function
     2.91%     0.11%  memcached        [kernel.kallsyms]      [k] try_to_wake_up
     2.87%     0.11%  memtier_benchma  [kernel.kallsyms]      [k] try_to_wake_up
     2.82%     0.09%  swapper          [kernel.kallsyms]      [k] schedule_idle
     2.76%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] schedule_hrtimeout_range_clock
     2.74%     0.02%  memcached        [kernel.kallsyms]      [k] consume_skb
     2.72%     0.35%  swapper          [kernel.kallsyms]      [k] __schedule
     2.72%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] schedule
     2.65%     0.47%  memtier_benchma  [kernel.kallsyms]      [k] __schedule
     2.55%     0.00%  memcached        [kernel.kallsyms]      [k] on_each_cpu_cond_mask
     2.55%     1.15%  memcached        [kernel.kallsyms]      [k] smp_call_function_many_cond
     2.41%     0.06%  memcached        [kernel.kallsyms]      [k] skb_release_data
     2.34%     0.85%  memtier_benchma  [kernel.kallsyms]      [k] page_counter_try_charge
     2.32%     0.37%  memcached        [kernel.kallsyms]      [k] kfree
     2.30%     0.02%  memcached        [kernel.kallsyms]      [k] swap_readpage
     2.25%     0.00%  memcached        [kernel.kallsyms]      [k] try_to_unmap_flush_dirty
     2.25%     0.01%  memcached        [kernel.kallsyms]      [k] arch_tlbbatch_flush
     2.21%     0.03%  memcached        [kernel.kallsyms]      [k] bdev_read_page
     2.19%     0.37%  swapper          [kernel.kallsyms]      [k] menu_select
