# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 27742558279198
#
# Children      Self  Command          Shared Object          Symbol                                                                
# ........  ........  ...............  .....................  ......................................................................
#
     0.05%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] security_file_permission
     0.05%     0.05%  swapper          [kernel.kallsyms]      [k] rcu_nocb_flush_deferred_wakeup
     0.05%     0.05%  memcached        [kernel.kallsyms]      [k] prepare_task_switch
     0.05%     0.04%  memcached        [kernel.kallsyms]      [k] syscall_enter_from_user_mode
     0.05%     0.05%  memcached        [kernel.kallsyms]      [k] kmalloc_slab
     0.05%     0.05%  memcached        [kernel.kallsyms]      [k] cpuacct_charge
     0.05%     0.05%  memcached        [kernel.kallsyms]      [k] __mod_node_page_state
     0.05%     0.01%  swapper          [kernel.kallsyms]      [k] rebalance_domains
     0.05%     0.00%  memcached        [kernel.kallsyms]      [k] end_page_writeback
     0.05%     0.05%  memtier_benchma  memtier_benchmark      [.] _ZN6client14create_requestE7timevalj
     0.05%     0.05%  swapper          [kernel.kallsyms]      [k] rcu_needs_cpu
     0.05%     0.04%  kswapd0          [kernel.kallsyms]      [k] _find_next_bit
     0.04%     0.04%  memcached        libevent-2.1.so.6.0.2  [.] 0x000000000002f770
     0.04%     0.04%  memcached        [kernel.kallsyms]      [k] __frontswap_load
     0.04%     0.00%  sshd             [kernel.kallsyms]      [k] arch_tlbbatch_flush
     0.04%     0.00%  sshd             [kernel.kallsyms]      [k] try_to_unmap_flush_dirty
     0.04%     0.04%  memcached        libevent-2.1.so.6.0.2  [.] 0x0000000000024b5f
     0.04%     0.02%  memcached        [kernel.kallsyms]      [k] handle_pte_fault
     0.04%     0.04%  memtier_benchma  [unknown]              [.] 0x00007f2d0db760f7
     0.04%     0.04%  swapper          [kernel.kallsyms]      [k] llist_reverse_order
     0.04%     0.00%  tuned            [kernel.kallsyms]      [k] asm_exc_page_fault
     0.04%     0.00%  tuned            [kernel.kallsyms]      [k] __handle_mm_fault
     0.04%     0.00%  tuned            [kernel.kallsyms]      [k] do_user_addr_fault
     0.04%     0.00%  tuned            [kernel.kallsyms]      [k] exc_page_fault
     0.04%     0.00%  tuned            [kernel.kallsyms]      [k] handle_mm_fault
     0.04%     0.00%  tuned            [kernel.kallsyms]      [k] do_swap_page
     0.04%     0.04%  memcached        [kernel.kallsyms]      [k] xas_clear_mark
     0.04%     0.04%  memtier_benchma  memtier_benchmark      [.] _ZN9run_stats14roll_cur_statsEP7timeval
     0.04%     0.00%  swapper          [kernel.kallsyms]      [k] ttwu_do_activate
     0.04%     0.01%  swapper          [kernel.kallsyms]      [k] amd_pmu_wait_on_overflow
     0.04%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] put_prev_task_fair
     0.04%     0.00%  tuned            [kernel.kallsyms]      [k] __alloc_pages
     0.04%     0.00%  tuned            [kernel.kallsyms]      [k] __alloc_pages_slowpath.constprop.0
     0.04%     0.00%  tuned            [kernel.kallsyms]      [k] alloc_pages_vma
     0.04%     0.00%  tuned            [kernel.kallsyms]      [k] try_to_free_pages
     0.04%     0.00%  tuned            [kernel.kallsyms]      [k] do_try_to_free_pages
     0.04%     0.00%  tuned            [kernel.kallsyms]      [k] shrink_node
     0.04%     0.00%  tuned            [kernel.kallsyms]      [k] shrink_node_memcgs
     0.04%     0.00%  tuned            [kernel.kallsyms]      [k] shrink_zones
     0.04%     0.04%  memtier_benchma  memtier_benchmark      [.] _ZN6client15handle_responseEj7timevalP7requestP17protocol_response
     0.04%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] reweight_entity
     0.04%     0.04%  swapper          [kernel.kallsyms]      [k] sched_idle_set_state
     0.04%     0.04%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee26880
     0.04%     0.01%  swapper          [kernel.kallsyms]      [k] enqueue_task_fair
     0.04%     0.03%  memcached        [kernel.kallsyms]      [k] get_scan_count
     0.04%     0.02%  memcached        [kernel.kallsyms]      [k] set_task_cpu
     0.04%     0.04%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee33ddf
     0.04%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] entry_SYSCALL_64_safe_stack
     0.04%     0.00%  tuned            [kernel.kallsyms]      [k] shrink_lruvec
     0.04%     0.01%  memcached        [kernel.kallsyms]      [k] futex_wake
     0.04%     0.00%  memcached        [kernel.kallsyms]      [k] xas_find
     0.04%     0.00%  swapper          [kernel.kallsyms]      [k] load_balance
     0.04%     0.04%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee29df0
     0.04%     0.00%  sshd             [kernel.kallsyms]      [k] on_each_cpu_cond_mask
     0.04%     0.04%  swapper          [kernel.kallsyms]      [k] __update_load_avg_se
     0.04%     0.00%  tuned            [kernel.kallsyms]      [k] shrink_inactive_list
     0.04%     0.02%  sshd             [kernel.kallsyms]      [k] smp_call_function_many_cond
     0.04%     0.03%  memcached        [kernel.kallsyms]      [k] page_mapping
     0.04%     0.04%  memcached        memcached              [.] 0x0000000000013211
     0.04%     0.04%  memcached        memcached              [.] 0x0000000000013254
     0.04%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] __restore_fpregs_from_fpstate
     0.04%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] set_task_cpu
     0.04%     0.03%  memcached        [kernel.kallsyms]      [k] error_entry
     0.04%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] __check_heap_object
     0.04%     0.04%  memtier_benchma  [unknown]              [.] 0x00007f2d0daff0f3
     0.04%     0.04%  memcached        [kernel.kallsyms]      [k] mem_cgroup_id_put_many
     0.04%     0.04%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee263e9
     0.04%     0.01%  memcached        [kernel.kallsyms]      [k] release_pages
     0.04%     0.04%  memcached        [kernel.kallsyms]      [k] queued_spin_unlock
     0.04%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] amd_pmu_addr_offset
     0.04%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] kmalloc_slab
     0.04%     0.00%  swapper          [kernel.kallsyms]      [k] sysvec_call_function_single
     0.04%     0.04%  memcached        memcached              [.] 0x0000000000013d27
     0.04%     0.04%  kcompactd0       [kernel.kallsyms]      [k] llist_add_batch
     0.04%     0.04%  memcached        [kernel.kallsyms]      [k] __check_heap_object
     0.04%     0.02%  memcached        [kernel.kallsyms]      [k] sock_recvmsg
     0.04%     0.03%  memcached        [kernel.kallsyms]      [k] xas_start
     0.04%     0.04%  swapper          [kernel.kallsyms]      [k] cpuidle_get_cpu_driver
     0.04%     0.03%  memcached        [kernel.kallsyms]      [k] get_swap_device
     0.04%     0.03%  memcached        [kernel.kallsyms]      [k] put_prev_entity
     0.03%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] __irq_exit_rcu
     0.03%     0.03%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee25bf5
     0.03%     0.00%  memcached        [kernel.kallsyms]      [k] task_tick_fair
     0.03%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] rb_insert_color
     0.03%     0.00%  tuned            [kernel.kallsyms]      [k] shrink_page_list
     0.03%     0.03%  memtier_benchma  [unknown]              [.] 0x00007f2d0daf9a26
     0.03%     0.03%  memcached        [kernel.kallsyms]      [k] amd_pmu_addr_offset
     0.03%     0.03%  memcached        libevent-2.1.so.6.0.2  [.] 0x000000000002f8a8
     0.03%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] update_min_vruntime
     0.03%     0.00%  memcached        [kernel.kallsyms]      [k] test_clear_page_writeback
     0.03%     0.03%  memcached        [kernel.kallsyms]      [k] rb_insert_color
     0.03%     0.03%  memcached        memcached              [.] 0x000000000001932a
     0.03%     0.00%  memcached        [kernel.kallsyms]      [k] sendmsg_copy_msghdr
     0.03%     0.00%  perf             [kernel.kallsyms]      [k] do_syscall_64
     0.03%     0.00%  perf             [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
     0.03%     0.02%  memcached        [kernel.kallsyms]      [k] mem_cgroup_iter
     0.03%     0.03%  memcached        [kernel.kallsyms]      [k] is_cpu_allowed
     0.03%     0.03%  memtier_benchma  [unknown]              [.] 0x00007ffcf24bdc10
     0.03%     0.03%  memcached        [kernel.kallsyms]      [k] update_min_vruntime
     0.03%     0.03%  memcached        [kernel.kallsyms]      [k] _raw_read_unlock_irqrestore
     0.03%     0.03%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee3d5ae
     0.03%     0.00%  perf             [kernel.kallsyms]      [k] ext4_buffered_write_iter
     0.03%     0.00%  perf             [kernel.kallsyms]      [k] ksys_write
     0.03%     0.00%  perf             [kernel.kallsyms]      [k] new_sync_write
     0.03%     0.00%  perf             [kernel.kallsyms]      [k] vfs_write
     0.03%     0.03%  memcached        [kernel.kallsyms]      [k] unlock_page
     0.03%     0.03%  memcached        [kernel.kallsyms]      [k] scm_recv.constprop.0
     0.03%     0.00%  perf             [kernel.kallsyms]      [k] generic_perform_write
     0.03%     0.03%  memcached        [kernel.kallsyms]      [k] path_put
     0.03%     0.03%  swapper          [kernel.kallsyms]      [k] can_stop_idle_tick
     0.03%     0.00%  memcached        [kernel.kallsyms]      [k] mem_cgroup_uncharge_list
     0.03%     0.03%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee3a789
     0.03%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] _find_next_bit
     0.03%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] __fdget_pos
     0.03%     0.03%  memcached        memcached              [.] 0x0000000000013243
     0.03%     0.03%  memcached        [kernel.kallsyms]      [k] xas_create
     0.03%     0.03%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee44792
     0.03%     0.03%  swapper          [kernel.kallsyms]      [k] ktime_get_update_offsets_now
     0.03%     0.02%  memcached        [kernel.kallsyms]      [k] sysvec_reschedule_ipi
     0.03%     0.03%  memcached        libevent-2.1.so.6.0.2  [.] 0x0000000000024b58
     0.03%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] __calc_delta
     0.03%     0.03%  memcached        [kernel.kallsyms]      [k] __x64_sys_read
     0.03%     0.00%  memcached        [kernel.kallsyms]      [k] __softirqentry_text_start
     0.03%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] prepare_task_switch
     0.03%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] __list_del_entry_valid
     0.03%     0.01%  memcached        [kernel.kallsyms]      [k] amd_pmu_wait_on_overflow
     0.03%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] __softirqentry_text_start
     0.03%     0.03%  memtier_benchma  [unknown]              [.] 0x00007f2d0db6c62b
     0.03%     0.03%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee3a55b
     0.03%     0.03%  memtier_benchma  [unknown]              [.] 0x00007f2d0db6c69f
     0.03%     0.03%  memcached        [kernel.kallsyms]      [k] __swap_count
     0.03%     0.03%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee3d59e
     0.03%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] _raw_read_unlock_irqrestore
     0.03%     0.03%  memtier_benchma  [unknown]              [.] 0x00007f2d0db6c74f
     0.03%     0.01%  swapper          [kernel.kallsyms]      [k] enqueue_entity
     0.03%     0.00%  perf             [kernel.kallsyms]      [k] ext4_da_write_begin
     0.03%     0.03%  memcached        [kernel.kallsyms]      [k] skb_put
     0.03%     0.00%  swapper          [kernel.kallsyms]      [k] find_busiest_group
     0.03%     0.03%  memcached        libc-2.28.so           [.] __libc_disable_asynccancel
     0.03%     0.03%  memcached        memcached              [.] 0x00000000000093c1
     0.03%     0.02%  memcached        [kernel.kallsyms]      [k] cgroup_throttle_swaprate
     0.03%     0.00%  perf             [kernel.kallsyms]      [k] pagecache_get_page
     0.03%     0.00%  perf             [kernel.kallsyms]      [k] grab_cache_page_write_begin
     0.03%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] __list_add_valid
     0.03%     0.03%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee2e690
     0.03%     0.00%  perf             [kernel.kallsyms]      [k] __alloc_pages
     0.03%     0.00%  perf             [kernel.kallsyms]      [k] __alloc_pages_slowpath.constprop.0
     0.03%     0.00%  perf             [kernel.kallsyms]      [k] try_to_free_pages
     0.03%     0.00%  perf             [kernel.kallsyms]      [k] shrink_node_memcgs
     0.03%     0.00%  perf             [kernel.kallsyms]      [k] do_try_to_free_pages
     0.03%     0.00%  perf             [kernel.kallsyms]      [k] shrink_node
     0.03%     0.00%  perf             [kernel.kallsyms]      [k] shrink_zones
     0.03%     0.03%  memcached        [kernel.kallsyms]      [k] copy_page
     0.03%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] sysvec_reschedule_ipi
     0.03%     0.03%  memcached        libevent-2.1.so.6.0.2  [.] 0x0000000000024af0
     0.03%     0.00%  perf             [kernel.kallsyms]      [k] shrink_lruvec
     0.03%     0.03%  memcached        libevent-2.1.so.6.0.2  [.] 0x0000000000020491
     0.03%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] amd_pmu_wait_on_overflow
     0.03%     0.02%  memcached        [kernel.kallsyms]      [k] _raw_read_lock
     0.03%     0.03%  memtier_benchma  [unknown]              [.] 0x00007f2d0db76106
     0.03%     0.03%  memcached        [kernel.kallsyms]      [k] __secure_computing
     0.03%     0.03%  memcached        [kernel.kallsyms]      [k] mem_cgroup_swap_full
     0.03%     0.00%  swapper          [kernel.kallsyms]      [k] update_sd_lb_stats.constprop.0
     0.03%     0.03%  swapper          [kernel.kallsyms]      [k] flush_tlb_func
     0.03%     0.03%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee2c8b4
     0.03%     0.03%  memtier_benchma  [unknown]              [.] 0x00007f2d0dbd662b
     0.03%     0.03%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee39b58
     0.03%     0.03%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee2d2c4
     0.03%     0.03%  memcached        [kernel.kallsyms]      [k] __lock_text_start
     0.03%     0.03%  memcached        [vdso]                 [.] 0x00000000000007f0
     0.03%     0.03%  memcached        [kernel.kallsyms]      [k] __calc_delta
     0.03%     0.03%  memcached        libevent-2.1.so.6.0.2  [.] event_changelist_remove_all_
     0.03%     0.03%  memcached        memcached              [.] 0x0000000000016e60
     0.03%     0.03%  swapper          [kernel.kallsyms]      [k] __list_del_entry_valid
     0.03%     0.03%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee39af0
     0.03%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] is_cpu_allowed
     0.03%     0.02%  memcached        [kernel.kallsyms]      [k] anon_vma_interval_tree_iter_first
     0.03%     0.03%  memcached        memcached              [.] 0x0000000000022352
     0.03%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] scm_recv.constprop.0
     0.03%     0.03%  memtier_benchma  memtier_benchmark      [.] _ZN16shard_connection13fill_pipelineEv
     0.03%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] native_queued_spin_lock_slowpath.part.0
     0.03%     0.00%  sshd             [kernel.kallsyms]      [k] pageout
     0.03%     0.03%  memcached        [kernel.kallsyms]      [k] native_apic_mem_write
     0.03%     0.03%  memcached        [kernel.kallsyms]      [k] native_flush_tlb_one_user
     0.03%     0.03%  swapper          [kernel.kallsyms]      [k] tick_nohz_idle_retain_tick
     0.03%     0.03%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee44330
     0.03%     0.00%  perf             [kernel.kallsyms]      [k] shrink_inactive_list
     0.03%     0.03%  memcached        [kernel.kallsyms]      [k] rcu_all_qs
     0.03%     0.03%  kswapd0          [kernel.kallsyms]      [k] mem_cgroup_calculate_protection
     0.03%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] wake_affine_weight
     0.03%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] cpumask_next
     0.03%     0.00%  swapper          [kernel.kallsyms]      [k] update_blocked_averages
     0.03%     0.03%  memcached        [kernel.kallsyms]      [k] entry_SYSCALL_64_safe_stack
     0.03%     0.02%  memcached        [kernel.kallsyms]      [k] __free_one_page
     0.03%     0.03%  memtier_benchma  [unknown]              [.] 0x00007f2d0daf9a14
     0.03%     0.03%  memtier_benchma  [unknown]              [.] 0x00007f2d0daff0e0
     0.03%     0.00%  swapper          [kernel.kallsyms]      [k] irq_enter_rcu
     0.03%     0.00%  swapper          [kernel.kallsyms]      [k] run_rebalance_domains
     0.03%     0.00%  memcached        [kernel.kallsyms]      [k] wake_up_q
     0.03%     0.00%  kswapd0          [kernel.kallsyms]      [k] shrink_active_list
     0.03%     0.01%  swapper          [kernel.kallsyms]      [k] irqtime_account_irq
     0.03%     0.03%  memcached        memcached              [.] 0x000000000000b654
     0.03%     0.01%  memcached        [kernel.kallsyms]      [k] page_remove_rmap
     0.02%     0.02%  memcached        [kernel.kallsyms]      [k] switch_mm_irqs_off
     0.02%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] __lock_text_start
     0.02%     0.02%  memcached        [vdso]                 [.] 0x00000000000008fe
     0.02%     0.02%  memcached        [kernel.kallsyms]      [k] __radix_tree_lookup
     0.02%     0.02%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee2ac49
     0.02%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] rcu_all_qs
     0.02%     0.02%  memcached        [kernel.kallsyms]      [k] native_smp_send_reschedule
     0.02%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] queued_spin_unlock
     0.02%     0.00%  sshd             [kernel.kallsyms]      [k] bdev_write_page
     0.02%     0.00%  sshd             [kernel.kallsyms]      [k] __swap_writepage
     0.02%     0.00%  perf             [kernel.kallsyms]      [k] shrink_page_list
     0.02%     0.02%  memcached        memcached              [.] 0x00000000000139e7
     0.02%     0.02%  kswapd0          [kernel.kallsyms]      [k] find_alloced_obj
     0.02%     0.00%  swapper          [kernel.kallsyms]      [k] __sysvec_call_function_single
     0.02%     0.00%  memcached        [kernel.kallsyms]      [k] swap_free
     0.02%     0.02%  memtier_benchma  [unknown]              [.] 0x00007f2d0db767ae
     0.02%     0.02%  swapper          [kernel.kallsyms]      [k] cpuidle_select
     0.02%     0.02%  memtier_benchma  [unknown]              [.] 0x00007f2d0db3c950
     0.02%     0.01%  swapper          [kernel.kallsyms]      [k] tick_irq_enter
     0.02%     0.02%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee34174
     0.02%     0.01%  memcached        [kernel.kallsyms]      [k] wake_affine_weight
     0.02%     0.00%  sshd             [kernel.kallsyms]      [k] zram_rw_page
     0.02%     0.02%  swapper          [kernel.kallsyms]      [k] rb_erase
     0.02%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] check_stack_object
     0.02%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] task_tick_fair
     0.02%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] maybe_add_creds
     0.02%     0.02%  memcached        [kernel.kallsyms]      [k] ptep_clear_flush_young
     0.02%     0.02%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee24904
     0.02%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] sock_recvmsg
     0.02%     0.02%  swapper          [kernel.kallsyms]      [k] acpi_idle_do_entry
     0.02%     0.00%  swapper          [kernel.kallsyms]      [k] rcu_sched_clock_irq
     0.02%     0.02%  kswapd0          [kernel.kallsyms]      [k] get_scan_count
     0.02%     0.02%  memcached        memcached              [.] 0x0000000000013c3c
     0.02%     0.02%  memtier_benchma  memtier_benchmark      [.] _ZN17one_sec_cmd_stats9update_opEjjjj
     0.02%     0.02%  memtier_benchma  [unknown]              [.] 0x00007f2d0daf99c3
     0.02%     0.02%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee268c5
     0.02%     0.02%  swapper          [kernel.kallsyms]      [k] rcu_dynticks_eqs_enter
     0.02%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] asm_exc_page_fault
     0.02%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] do_user_addr_fault
     0.02%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] exc_page_fault
     0.02%     0.02%  memcached        memcached              [.] 0x00000000000093f2
     0.02%     0.00%  sshd             [kernel.kallsyms]      [k] zram_bvec_rw.constprop.0
     0.02%     0.02%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee42320
     0.02%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] migrate_task_rq_fair
     0.02%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] cgroup_rstat_updated
     0.02%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] __handle_mm_fault
     0.02%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] handle_mm_fault
     0.02%     0.02%  memtier_benchma  memtier_benchmark      [.] _ZN16shard_connection7pop_reqEv
     0.02%     0.00%  memcached        [kernel.kallsyms]      [k] get_shadow_from_swap_cache
     0.02%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] put_prev_entity
     0.02%     0.01%  memcached        [kernel.kallsyms]      [k] migrate_task_rq_fair
     0.02%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] do_anonymous_page
     0.02%     0.02%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee341f5
     0.02%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] native_smp_send_reschedule
     0.02%     0.02%  memcached        libevent-2.1.so.6.0.2  [.] 0x00000000000249d2
     0.02%     0.02%  memcached        libevent-2.1.so.6.0.2  [.] 0x000000000002f8a6
     0.02%     0.02%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee448a8
     0.02%     0.00%  memcached        [kernel.kallsyms]      [k] fix_fullness_group
     0.02%     0.02%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee38aa0
     0.02%     0.02%  memcached        [kernel.kallsyms]      [k] ktime_get_coarse_real_ts64
     0.02%     0.02%  memcached        memcached              [.] 0x00000000000132df
     0.02%     0.02%  memcached        memcached              [.] 0x0000000000013c83
     0.02%     0.02%  swapper          [kernel.kallsyms]      [k] timer_clear_idle
     0.02%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] cpumask_next_wrap
     0.02%     0.00%  sshd             [kernel.kallsyms]      [k] __zram_bvec_write.constprop.0.isra.0
     0.02%     0.02%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee29e4e
     0.02%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] alloc_pages_vma
     0.02%     0.02%  swapper          [kernel.kallsyms]      [k] update_sg_lb_stats
     0.02%     0.02%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee3d5c7
     0.02%     0.02%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee2a9e0
     0.02%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] __alloc_pages
     0.02%     0.02%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee32650
     0.02%     0.02%  memcached        memcached              [.] 0x000000000000ae72
     0.02%     0.02%  memcached        memcached              [.] 0x00000000000133f7
     0.02%     0.02%  swapper          [kernel.kallsyms]      [k] local_touch_nmi
     0.02%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] __alloc_pages_slowpath.constprop.0
     0.02%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] do_try_to_free_pages
     0.02%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] shrink_node
     0.02%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] shrink_node_memcgs
     0.02%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] shrink_zones
     0.02%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] try_to_free_pages
     0.02%     0.02%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee2d39f
     0.02%     0.02%  memcached        [kernel.kallsyms]      [k] check_stack_object
     0.02%     0.02%  memcached        memcached              [.] 0x000000000001390a
     0.02%     0.02%  memcached        memcached              [.] 0x0000000000009a23
     0.02%     0.00%  memcached        [kernel.kallsyms]      [k] _copy_from_user
     0.02%     0.02%  memcached        [kernel.kallsyms]      [k] nohz_newidle_balance
     0.02%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] shrink_inactive_list
     0.02%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] shrink_lruvec
     0.02%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] ktime_get_coarse_real_ts64
     0.02%     0.00%  swapper          [kernel.kallsyms]      [k] rcu_pending
     0.02%     0.02%  swapper          [kernel.kallsyms]      [k] rcu_eqs_enter.constprop.0
     0.02%     0.02%  kswapd0          [kernel.kallsyms]      [k] mem_cgroup_iter
     0.02%     0.02%  memcached        memcached              [.] 0x00000000000163e4
     0.02%     0.00%  memcached        [kernel.kallsyms]      [k] import_iovec
     0.02%     0.00%  memcached        [kernel.kallsyms]      [k] uncharge_batch
     0.02%     0.02%  swapper          [kernel.kallsyms]      [k] __const_udelay
     0.02%     0.02%  memtier_benchma  [unknown]              [.] 0x00007f2d0db3c966
     0.02%     0.02%  swapper          [kernel.kallsyms]      [k] __list_add_valid
     0.02%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] skb_put
     0.02%     0.02%  memcached        [kernel.kallsyms]      [k] __part_start_io_acct
     0.02%     0.02%  memcached        memcached              [.] 0x000000000001405b
     0.02%     0.00%  memcached        [kernel.kallsyms]      [k] xa_load
     0.02%     0.02%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee2a2f6
     0.02%     0.02%  memtier_benchma  [unknown]              [.] 0x00007f2d0daff0f0
     0.02%     0.02%  memcached        memcached              [.] 0x00000000000138a0
     0.02%     0.01%  memcached        [kernel.kallsyms]      [k] swap_set_page_dirty
     0.02%     0.02%  memtier_benchma  [unknown]              [.] 0x00007f2d0dafec48
     0.02%     0.02%  memtier_benchma  memtier_benchmark      [.] _ZN16shard_connection16send_get_commandEP7timevalPKcij
     0.02%     0.02%  memtier_benchma  memtier_benchmark      [.] _ZN6client8finishedEv
     0.02%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] wait_for_unix_gc
     0.02%     0.00%  memcached        [kernel.kallsyms]      [k] __import_iovec
     0.02%     0.02%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee3d360
     0.02%     0.02%  swapper          [kernel.kallsyms]      [k] put_prev_task_idle
     0.02%     0.00%  memcached        [kernel.kallsyms]      [k] try_to_free_swap.part.0
     0.02%     0.02%  memcached        [kernel.kallsyms]      [k] ktime_get
     0.02%     0.02%  memcached        libpthread-2.28.so     [.] __pthread_mutex_unlock
     0.02%     0.02%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee35491
     0.02%     0.02%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee39b5f
     0.02%     0.02%  memtier_benchma  [unknown]              [.] 0x00007f2d0dbd9580
     0.02%     0.02%  memtier_benchma  [unknown]              [.] 0x00007f2d0e46cd94
     0.02%     0.02%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee2d2c0
     0.02%     0.02%  memtier_benchma  [unknown]              [.] 0x00007f2d0dafbe7d
     0.02%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] mntput
     0.02%     0.02%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee44770
     0.02%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] shrink_page_list
     0.02%     0.02%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee26886
     0.02%     0.02%  memcached        [kernel.kallsyms]      [k] maybe_add_creds
     0.02%     0.02%  memcached        memcached              [.] 0x0000000000013c57
     0.02%     0.02%  memcached        libc-2.28.so           [.] __libc_enable_asynccancel
     0.02%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] ___slab_alloc
     0.02%     0.01%  memcached        [kernel.kallsyms]      [k] cpumask_next_wrap
     0.02%     0.00%  memcached        [kernel.kallsyms]      [k] page_swapcount
     0.02%     0.02%  memcached        memcached              [.] 0x0000000000008720
