# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 863K of event 'cycles'
# Event count (approx.): 1583163104197
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                      
# ........  ........  ...............  ..................................  ............................................................................................................................................................
#
    38.71%     0.09%  Executor task l  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
    38.05%     0.07%  Executor task l  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
    33.41%     0.39%  Executor task l  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
    32.77%     0.80%  Executor task l  [kernel.kallsyms]                   [k] hrtimer_interrupt
    28.53%     0.65%  Executor task l  [kernel.kallsyms]                   [k] __hrtimer_run_queues
    27.88%     0.08%  Executor task l  [kernel.kallsyms]                   [k] __run_hrtimer
    26.81%     0.05%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_timer
    25.34%     0.05%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_handle
    25.23%     1.05%  Executor task l  [kernel.kallsyms]                   [k] update_process_times
    18.42%     0.79%  Executor task l  [kernel.kallsyms]                   [k] scheduler_tick
    16.44%     0.04%  Executor task l  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
    16.40%     0.03%  Executor task l  [kernel.kallsyms]                   [k] do_syscall_64
    10.59%     0.01%  Executor task l  [kernel.kallsyms]                   [k] ksys_read
    10.45%     0.06%  Executor task l  [kernel.kallsyms]                   [k] vfs_read
    10.29%     0.08%  Executor task l  [kernel.kallsyms]                   [k] new_sync_read
    10.16%     0.17%  Executor task l  [kernel.kallsyms]                   [k] filemap_read
     8.09%     1.02%  Executor task l  [kernel.kallsyms]                   [k] task_tick_fair
     7.58%     0.67%  Executor task l  [kernel.kallsyms]                   [k] perf_event_task_tick
     6.91%     3.15%  Executor task l  [kernel.kallsyms]                   [k] perf_adjust_freq_unthr_context
     5.66%     0.04%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter
     5.62%     0.07%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter_iovec
     5.56%     5.43%  Executor task l  [kernel.kallsyms]                   [k] copy_user_generic_string
     4.14%     0.03%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_pages
     3.81%     0.44%  Executor task l  [kernel.kallsyms]                   [k] __irq_exit_rcu
     3.72%     0.01%  Executor task l  [kernel.kallsyms]                   [k] __x64_sys_openat
     3.71%     0.01%  Executor task l  [kernel.kallsyms]                   [k] do_sys_openat2
     3.32%     0.02%  Executor task l  [kernel.kallsyms]                   [k] do_filp_open
     3.29%     0.01%  Executor task l  [kernel.kallsyms]                   [k] path_openat
     3.19%     0.02%  Executor task l  [kernel.kallsyms]                   [k] amd_pmu_disable_all
     3.15%     1.39%  Executor task l  [kernel.kallsyms]                   [k] update_load_avg
     2.98%     1.67%  Executor task l  [kernel.kallsyms]                   [k] account_user_time
     2.95%     0.50%  Executor task l  [kernel.kallsyms]                   [k] __softirqentry_text_start
     2.80%     0.03%  Executor task l  [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     2.20%     1.99%  Executor task l  [kernel.kallsyms]                   [k] x86_pmu_disable_all
     2.13%     2.06%  Executor task l  [kernel.kallsyms]                   [k] ktime_get_update_offsets_now
     1.95%     1.43%  Executor task l  [kernel.kallsyms]                   [k] update_curr
     1.62%     0.27%  Executor task l  [kernel.kallsyms]                   [k] rcu_sched_clock_irq
