# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3380620946685
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                           
# ........  ........  ...............  ..................................  .................................................................................................................................................................
#
     1.44%     0.03%  Executor task l  [kernel.kallsyms]                   [k] ext4_dirty_inode
     1.44%     0.07%  kswapd0          [kernel.kallsyms]                   [k] shrink_page_list
     1.43%     0.00%  Executor task l  [kernel.kallsyms]                   [k] try_to_free_pages
     1.42%     0.00%  Executor task l  [kernel.kallsyms]                   [k] do_try_to_free_pages
     1.42%     0.00%  Executor task l  [kernel.kallsyms]                   [k] shrink_node
     1.42%     0.00%  Executor task l  [kernel.kallsyms]                   [k] shrink_node_memcgs
     1.42%     0.00%  Executor task l  [kernel.kallsyms]                   [k] shrink_zones
     1.42%     0.00%  Executor task l  [kernel.kallsyms]                   [k] lru_gen_shrink_lruvec
     1.42%     0.00%  Executor task l  [kernel.kallsyms]                   [k] evict_pages
     1.41%     0.00%  Executor task l  [kernel.kallsyms]                   [k] asm_common_interrupt
     1.40%     0.01%  Executor task l  [kernel.kallsyms]                   [k] shrink_page_list
     1.39%     0.01%  Executor task l  [kernel.kallsyms]                   [k] common_interrupt
     1.37%     0.01%  Executor task l  [kernel.kallsyms]                   [k] __remove_mapping
     1.36%     1.19%  Executor task l  [kernel.kallsyms]                   [k] x86_pmu_disable_all
     1.34%     0.11%  Executor task l  [kernel.kallsyms]                   [k] __pagevec_lru_add
     1.28%     0.88%  Executor task l  [kernel.kallsyms]                   [k] rmqueue_bulk
     1.27%     0.01%  Executor task l  [kernel.kallsyms]                   [k] __ext4_mark_inode_dirty
     1.24%     0.78%  Executor task l  [kernel.kallsyms]                   [k] xas_load
     1.24%     0.03%  Executor task l  [kernel.kallsyms]                   [k] __common_interrupt
     1.21%     0.04%  Executor task l  [kernel.kallsyms]                   [k] handle_edge_irq
     1.17%     1.12%  Executor task l  [kernel.kallsyms]                   [k] ktime_get_update_offsets_now
     1.14%     0.03%  Executor task l  [kernel.kallsyms]                   [k] mem_cgroup_charge
     1.11%     0.01%  Executor task l  [kernel.kallsyms]                   [k] handle_irq_event
     1.10%     0.18%  Executor task l  [kernel.kallsyms]                   [k] rcu_sched_clock_irq
     1.09%     0.62%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_read_batch
     1.02%     0.03%  Executor task l  [kernel.kallsyms]                   [k] __handle_irq_event_percpu
     1.01%     0.13%  Executor task l  [kernel.kallsyms]                   [k] __softirqentry_text_start
     0.99%     0.00%  Executor task l  [kernel.kallsyms]                   [k] nvme_irq
     0.99%     0.11%  Executor task l  [kernel.kallsyms]                   [k] nvme_process_cq
     0.98%     0.00%  swapper          [kernel.kallsyms]                   [k] cpu_startup_entry
     0.98%     0.00%  swapper          [kernel.kallsyms]                   [k] secondary_startup_64_no_verify
     0.97%     0.01%  swapper          [kernel.kallsyms]                   [k] do_idle
     0.95%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] kcompactd
     0.95%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] kthread
     0.95%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] ret_from_fork
     0.95%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] compact_zone
     0.93%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] migrate_pages
     0.93%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] unmap_and_move
     0.92%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] proactive_compact_node
     0.92%     0.41%  Executor task l  [kernel.kallsyms]                   [k] kmem_cache_alloc
     0.91%     0.82%  Executor task l  [kernel.kallsyms]                   [k] ktime_get
     0.87%     0.01%  Executor task l  [kernel.kallsyms]                   [k] blk_finish_plug
     0.86%     0.39%  Executor task l  [kernel.kallsyms]                   [k] rcu_pending
     0.85%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] __unmap_and_move
     0.84%     0.02%  Executor task l  [kernel.kallsyms]                   [k] blk_mq_flush_plug_list
     0.83%     0.01%  swapper          [kernel.kallsyms]                   [k] cpuidle_idle_call
     0.81%     0.01%  Executor task l  [kernel.kallsyms]                   [k] blk_mq_sched_insert_requests
     0.81%     0.02%  Executor task l  [kernel.kallsyms]                   [k] ext4_mark_iloc_dirty
     0.80%     0.04%  Executor task l  [kernel.kallsyms]                   [k] blk_mq_try_issue_list_directly
     0.79%     0.14%  Executor task l  [kernel.kallsyms]                   [k] __pagevec_lru_add_fn
     0.79%     0.00%  Executor task l  [kernel.kallsyms]                   [k] __x64_sys_openat
     0.78%     0.00%  Executor task l  [kernel.kallsyms]                   [k] do_sys_openat2
     0.77%     0.04%  kswapd0          [kernel.kallsyms]                   [k] __remove_mapping
     0.75%     0.00%  kworker/u64:36-  [kernel.kallsyms]                   [k] worker_thread
     0.75%     0.00%  kworker/u64:36-  [kernel.kallsyms]                   [k] kthread
     0.75%     0.00%  kworker/u64:36-  [kernel.kallsyms]                   [k] ret_from_fork
     0.75%     0.00%  kworker/u64:36-  [kernel.kallsyms]                   [k] process_one_work
     0.75%     0.28%  Executor task l  [kernel.kallsyms]                   [k] ext4_do_update_inode.isra.0
     0.74%     0.02%  Executor task l  [kernel.kallsyms]                   [k] __blk_mq_try_issue_directly
     0.73%     0.00%  kswapd0          [kernel.kallsyms]                   [k] do_shrink_slab
     0.72%     0.36%  Executor task l  [kernel.kallsyms]                   [k] update_rq_clock_task
     0.71%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_slab_memcg
     0.71%     0.09%  Executor task l  [kernel.kallsyms]                   [k] __mem_cgroup_charge
     0.70%     0.08%  Executor task l  [kernel.kallsyms]                   [k] nvme_queue_rq
     0.69%     0.00%  Executor task l  [kernel.kallsyms]                   [k] do_filp_open
     0.68%     0.00%  Executor task l  [kernel.kallsyms]                   [k] path_openat
     0.68%     0.59%  Executor task l  [kernel.kallsyms]                   [k] __update_load_avg_se
     0.68%     0.00%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter
     0.68%     0.02%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter_state
     0.67%     0.01%  Executor task l  [kernel.kallsyms]                   [k] __submit_bio_noacct_mq
     0.66%     0.00%  kswapd0          [kernel.kallsyms]                   [k] super_cache_scan
     0.66%     0.00%  kworker/u64:36-  [kernel.kallsyms]                   [k] wb_workfn
     0.65%     0.00%  kworker/u64:36-  [kernel.kallsyms]                   [k] wb_do_writeback
     0.65%     0.00%  kworker/u64:36-  [kernel.kallsyms]                   [k] wb_writeback
     0.65%     0.03%  Executor task l  [kernel.kallsyms]                   [k] blk_mq_submit_bio
     0.65%     0.00%  kworker/u64:36-  [kernel.kallsyms]                   [k] __writeback_inodes_wb
     0.65%     0.00%  kworker/u64:36-  [kernel.kallsyms]                   [k] writeback_sb_inodes
     0.65%     0.00%  kworker/u64:36-  [kernel.kallsyms]                   [k] __writeback_single_inode
     0.65%     0.00%  kworker/u64:36-  [kernel.kallsyms]                   [k] do_writepages
     0.65%     0.00%  kworker/u64:36-  [kernel.kallsyms]                   [k] ext4_writepages
     0.65%     0.24%  Executor task l  [kernel.kallsyms]                   [k] xas_store
     0.64%     0.00%  kswapd0          [kernel.kallsyms]                   [k] prune_icache_sb
     0.64%     0.16%  Executor task l  [kernel.kallsyms]                   [k] __mod_lruvec_page_state
     0.64%     0.00%  kswapd0          [kernel.kallsyms]                   [k] __list_lru_walk_one
     0.64%     0.00%  kswapd0          [kernel.kallsyms]                   [k] list_lru_walk_one
     0.63%     0.63%  Executor task l  [kernel.kallsyms]                   [k] hrtimer_active
     0.63%     0.00%  kswapd0          [kernel.kallsyms]                   [k] __invalidate_mapping_pages
     0.63%     0.00%  kswapd0          [kernel.kallsyms]                   [k] inode_lru_isolate
