# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 266K of event 'cycles'
# Event count (approx.): 5333163077093
#
# Children      Self  Command          Shared Object                       Symbol                                          
# ........  ........  ...............  ..................................  ................................................
#
     0.00%     0.00%  ReadStage-132    [kernel.kallsyms]                   [k] __alloc_pages
     0.00%     0.00%  ReadStage-132    [kernel.kallsyms]                   [k] __page_cache_alloc
     0.00%     0.00%  ReadStage-132    [kernel.kallsyms]                   [k] alloc_pages
     0.00%     0.00%  ReadStage-29     [kernel.kallsyms]                   [k] ext4_mpage_readpages
     0.00%     0.00%  ReadStage-29     [kernel.kallsyms]                   [k] ext4_readahead
     0.00%     0.00%  ReadStage-110    [kernel.kallsyms]                   [k] asm_sysvec_call_function
     0.00%     0.00%  ReadStage-79     [kernel.kallsyms]                   [k] _raw_spin_lock_irqsave
     0.00%     0.00%  ReadStage-17     [kernel.kallsyms]                   [k] __schedule
     0.00%     0.00%  ReadStage-6      [kernel.kallsyms]                   [k] xas_load
     0.00%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_update_pacing_rate
     0.00%     0.00%  ReadStage-132    [kernel.kallsyms]                   [k] __x64_sys_futex
     0.00%     0.00%  ReadStage-132    [kernel.kallsyms]                   [k] do_futex
     0.00%     0.00%  Thread-119       [kernel.kallsyms]                   [k] cgroup_rstat_updated
     0.00%     0.00%  ReadStage-112    [kernel.kallsyms]                   [k] asm_sysvec_call_function
     0.00%     0.00%  ReadStage-20     [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.00%     0.00%  ReadStage-20     [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.00%     0.00%  kswapd0          [kernel.kallsyms]                   [k] workingset_update_node
     0.00%     0.00%  ReadStage-144    [kernel.kallsyms]                   [k] mem_cgroup_css_rstat_flush
     0.00%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] blk_account_io_done
     0.00%     0.00%  ReadStage-62     [kernel.kallsyms]                   [k] __schedule
     0.00%     0.00%  ReadStage-62     [kernel.kallsyms]                   [k] schedule
     0.00%     0.00%  ReadStage-78     [kernel.kallsyms]                   [k] __schedule
     0.00%     0.00%  ReadStage-87     [kernel.kallsyms]                   [k] __schedule
     0.00%     0.00%  ReadStage-87     [kernel.kallsyms]                   [k] schedule
     0.00%     0.00%  Thread-62        [kernel.kallsyms]                   [k] dequeue_task_fair
     0.00%     0.00%  ReadStage-51     [kernel.kallsyms]                   [k] __schedule
     0.00%     0.00%  ReadStage-51     [kernel.kallsyms]                   [k] schedule
     0.00%     0.00%  ReadStage-130    [kernel.kallsyms]                   [k] _raw_spin_lock_irqsave
     0.00%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] task_tick_fair
     0.00%     0.00%  swapper          [kernel.kallsyms]                   [k] sugov_iowait_boost
     0.00%     0.00%  ReadStage-24     [kernel.kallsyms]                   [k] __schedule
     0.00%     0.00%  ReadStage-24     [kernel.kallsyms]                   [k] schedule
     0.00%     0.00%  Thread-115       [kernel.kallsyms]                   [k] update_curr
     0.00%     0.00%  ReadStage-149    [kernel.kallsyms]                   [k] _raw_spin_lock
     0.00%     0.00%  ReadStage-7      [kernel.kallsyms]                   [k] ttwu_do_activate
     0.00%     0.00%  ReadStage-138    [kernel.kallsyms]                   [k] schedule
     0.00%     0.00%  Thread-32        [kernel.kallsyms]                   [k] dequeue_entity
     0.00%     0.00%  Thread-32        [kernel.kallsyms]                   [k] dequeue_task
     0.00%     0.00%  Thread-32        [kernel.kallsyms]                   [k] dequeue_task_fair
     0.00%     0.00%  ReadStage-97     [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.00%     0.00%  ReadStage-138    [kernel.kallsyms]                   [k] asm_sysvec_call_function
     0.00%     0.00%  ReadStage-21     [kernel.kallsyms]                   [k] dequeue_task_fair
     0.00%     0.00%  Thread-138       [kernel.kallsyms]                   [k] dequeue_entity
     0.00%     0.00%  Thread-38        [kernel.kallsyms]                   [k] dequeue_entity
     0.00%     0.00%  Thread-38        [kernel.kallsyms]                   [k] dequeue_task
     0.00%     0.00%  Thread-38        [kernel.kallsyms]                   [k] dequeue_task_fair
     0.00%     0.00%  Thread-43        [kernel.kallsyms]                   [k] update_curr
     0.00%     0.00%  ReadStage-5      [kernel.kallsyms]                   [k] _raw_spin_lock_irqsave
     0.00%     0.00%  ReadStage-24     [kernel.kallsyms]                   [k] lru_cache_add
     0.00%     0.00%  Thread-7         [kernel.kallsyms]                   [k] exit_to_user_mode_prepare
     0.00%     0.00%  ReadStage-115    [kernel.kallsyms]                   [k] futex_wait
     0.00%     0.00%  ReadStage-54     [kernel.kallsyms]                   [k] flush_smp_call_function_queue
     0.00%     0.00%  ReadStage-62     [kernel.kallsyms]                   [k] filemap_map_pages
     0.00%     0.00%  Thread-98        [kernel.kallsyms]                   [k] update_curr
     0.00%     0.00%  Thread-97        [kernel.kallsyms]                   [k] __cgroup_account_cputime
     0.00%     0.00%  Thread-116       [kernel.kallsyms]                   [k] dequeue_entity
     0.00%     0.00%  ReadStage-40     [kernel.kallsyms]                   [k] sysvec_call_function
     0.00%     0.00%  ReadStage-72     [kernel.kallsyms]                   [k] generic_smp_call_function_single_interrupt
     0.00%     0.00%  ReadStage-103    [kernel.kallsyms]                   [k] ttwu_do_activate
     0.00%     0.00%  ReadStage-117    [kernel.kallsyms]                   [k] __schedule
     0.00%     0.00%  ReadStage-117    [kernel.kallsyms]                   [k] schedule
     0.00%     0.00%  ReadStage-154    [kernel.kallsyms]                   [k] __x64_sys_futex
     0.00%     0.00%  ReadStage-154    [kernel.kallsyms]                   [k] do_futex
     0.00%     0.00%  ReadStage-10     [kernel.kallsyms]                   [k] flush_smp_call_function_queue
     0.00%     0.00%  ReadStage-10     [kernel.kallsyms]                   [k] generic_smp_call_function_single_interrupt
     0.00%     0.00%  kworker/47:1-mm  [kernel.kallsyms]                   [k] process_one_work
     0.00%     0.00%  ReadStage-131    [kernel.kallsyms]                   [k] wait_on_page_bit_common
     0.00%     0.00%  ReadStage-138    [kernel.kallsyms]                   [k] try_to_wake_up
     0.00%     0.00%  swapper          [kernel.kallsyms]                   [k] bio_uninit
     0.00%     0.00%  ReadStage-98     [kernel.kallsyms]                   [k] ttwu_do_activate
     0.00%     0.00%  ReadStage-26     [kernel.kallsyms]                   [k] do_set_pte
     0.00%     0.00%  ReadStage-26     [kernel.kallsyms]                   [k] page_add_file_rmap
     0.00%     0.00%  ReadStage-95     [kernel.kallsyms]                   [k] filemap_map_pages
     0.00%     0.00%  ReadStage-27     [kernel.kallsyms]                   [k] __sysvec_call_function
     0.00%     0.00%  ReadStage-27     [kernel.kallsyms]                   [k] generic_smp_call_function_single_interrupt
     0.00%     0.00%  swapper          [kernel.kallsyms]                   [k] cpufreq_driver_resolve_freq
     0.00%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] sugov_update_single_freq
     0.00%     0.00%  kworker/41:1-mm  [kernel.kallsyms]                   [k] _raw_spin_lock
     0.00%     0.00%  kworker/41:1-mm  [kernel.kallsyms]                   [k] drain_local_pages_wq
     0.00%     0.00%  kworker/41:1-mm  [kernel.kallsyms]                   [k] drain_pages_zone
     0.00%     0.00%  kworker/41:1-mm  [kernel.kallsyms]                   [k] free_pcppages_bulk
     0.00%     0.00%  ReadStage-10     [kernel.kallsyms]                   [k] cgroup_rstat_updated
     0.00%     0.00%  Thread-52        [kernel.kallsyms]                   [k] dequeue_task_fair
     0.00%     0.00%  ReadStage-6      [kernel.kallsyms]                   [k] __sysvec_call_function
     0.00%     0.00%  ReadStage-6      [kernel.kallsyms]                   [k] generic_smp_call_function_single_interrupt
     0.00%     0.00%  ReadStage-75     [kernel.kallsyms]                   [k] xas_load
     0.00%     0.00%  kworker/4:2-mm_  [kernel.kallsyms]                   [k] __pagevec_lru_add
     0.00%     0.00%  kworker/4:2-mm_  [kernel.kallsyms]                   [k] lru_add_drain_cpu
     0.00%     0.00%  kworker/4:2-mm_  [kernel.kallsyms]                   [k] lru_add_drain_per_cpu
     0.00%     0.00%  Thread-91        [kernel.kallsyms]                   [k] dequeue_entity
     0.00%     0.00%  Thread-91        [kernel.kallsyms]                   [k] dequeue_task
     0.00%     0.00%  Thread-91        [kernel.kallsyms]                   [k] dequeue_task_fair
     0.00%     0.00%  ReadStage-12     [kernel.kallsyms]                   [k] filemap_map_pages
     0.00%     0.00%  Thread-106       [kernel.kallsyms]                   [k] exit_to_user_mode_prepare
     0.00%     0.00%  Thread-64        [kernel.kallsyms]                   [k] dequeue_task_fair
     0.00%     0.00%  Thread-64        [kernel.kallsyms]                   [k] dequeue_task
     0.00%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __x64_sys_mprotect
     0.00%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] do_mprotect_pkey
     0.00%     0.00%  ReadStage-22     [kernel.kallsyms]                   [k] __sysvec_call_function
     0.00%     0.00%  ReadStage-22     [kernel.kallsyms]                   [k] generic_smp_call_function_single_interrupt
     0.00%     0.00%  ReadStage-24     [kernel.kallsyms]                   [k] ttwu_do_activate
     0.00%     0.00%  ReadStage-60     [kernel.kallsyms]                   [k] submit_bio
     0.00%     0.00%  ReadStage-148    [kernel.kallsyms]                   [k] cgroup_rstat_flush_locked
     0.00%     0.00%  Thread-51        [kernel.kallsyms]                   [k] update_curr
     0.00%     0.00%  ReadStage-22     [kernel.kallsyms]                   [k] __mod_lruvec_state
     0.00%     0.00%  ReadStage-71     [kernel.kallsyms]                   [k] __schedule
     0.00%     0.00%  ReadStage-71     [kernel.kallsyms]                   [k] schedule
     0.00%     0.00%  ReadStage-142    [kernel.kallsyms]                   [k] read_pages
     0.00%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] rcu_read_unlock_strict
     0.00%     0.00%  Thread-44        [kernel.kallsyms]                   [k] switch_fpu_return
     0.00%     0.00%  ReadStage-31     [kernel.kallsyms]                   [k] _raw_spin_lock_irqsave
     0.00%     0.00%  MutationStage-6  [kernel.kallsyms]                   [k] __do_sys_prctl
     0.00%     0.00%  MutationStage-6  [kernel.kallsyms]                   [k] __x64_sys_prctl
     0.00%     0.00%  ReadStage-84     [kernel.kallsyms]                   [k] __mod_lruvec_state
     0.00%     0.00%  ReadStage-70     [kernel.kallsyms]                   [k] clear_page_erms
     0.00%     0.00%  ReadStage-78     [kernel.kallsyms]                   [k] enqueue_task_fair
     0.00%     0.00%  ReadStage-55     [kernel.kallsyms]                   [k] io_schedule
     0.00%     0.00%  ReadStage-161    [kernel.kallsyms]                   [k] ondemand_readahead
     0.00%     0.00%  ReadStage-161    [kernel.kallsyms]                   [k] page_cache_async_ra
     0.00%     0.00%  ReadStage-53     [kernel.kallsyms]                   [k] enqueue_task
     0.00%     0.00%  ReadStage-105    [kernel.kallsyms]                   [k] dequeue_entity
     0.00%     0.00%  Thread-62        [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.00%     0.00%  swapper          [kernel.kallsyms]                   [k] arch_scale_freq_tick
     0.00%     0.00%  ReadStage-94     [kernel.kallsyms]                   [k] flush_smp_call_function_queue
     0.00%     0.00%  ReadStage-74     [kernel.kallsyms]                   [k] filemap_map_pages
     0.00%     0.00%  ReadStage-102    [kernel.kallsyms]                   [k] lru_cache_add
     0.00%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] down_read_trylock
     0.00%     0.00%  ReadStage-111    [kernel.kallsyms]                   [k] futex_wake
     0.00%     0.00%  ReadStage-38     [kernel.kallsyms]                   [k] ext4_mpage_readpages
     0.00%     0.00%  ReadStage-38     [kernel.kallsyms]                   [k] ext4_readahead
     0.00%     0.00%  ReadStage-13     [kernel.kallsyms]                   [k] update_load_avg
     0.00%     0.00%  Thread-69        [kernel.kallsyms]                   [k] __restore_fpregs_from_fpstate
     0.00%     0.00%  Thread-69        [kernel.kallsyms]                   [k] exit_to_user_mode_prepare
     0.00%     0.00%  Thread-69        [kernel.kallsyms]                   [k] switch_fpu_return
     0.00%     0.00%  Thread-69        [kernel.kallsyms]                   [k] syscall_exit_to_user_mode
     0.00%     0.00%  ReadStage-48     [kernel.kallsyms]                   [k] __blk_mq_try_issue_directly
     0.00%     0.00%  ReadStage-48     [kernel.kallsyms]                   [k] blk_flush_plug_list
     0.00%     0.00%  ReadStage-48     [kernel.kallsyms]                   [k] blk_mq_flush_plug_list
     0.00%     0.00%  ReadStage-48     [kernel.kallsyms]                   [k] blk_mq_sched_insert_requests
     0.00%     0.00%  ReadStage-48     [kernel.kallsyms]                   [k] blk_mq_try_issue_list_directly
     0.00%     0.00%  ReadStage-48     [kernel.kallsyms]                   [k] nvme_queue_rq
     0.00%     0.00%  Thread-128       [kernel.kallsyms]                   [k] psi_task_switch
     0.00%     0.00%  ReadStage-51     [kernel.kallsyms]                   [k] _raw_spin_lock_irqsave
     0.00%     0.00%  ReadStage-1      [kernel.kallsyms]                   [k] futex_wait
     0.00%     0.00%  ReadStage-1      [kernel.kallsyms]                   [k] futex_wait_queue_me
     0.00%     0.00%  Thread-84        [kernel.kallsyms]                   [k] dequeue_entity
     0.00%     0.00%  Thread-84        [kernel.kallsyms]                   [k] dequeue_task_fair
     0.00%     0.00%  ReadStage-86     [kernel.kallsyms]                   [k] cgroup_rstat_updated
     0.00%     0.00%  Thread-110       [kernel.kallsyms]                   [k] __restore_fpregs_from_fpstate
     0.00%     0.00%  Thread-110       [kernel.kallsyms]                   [k] exit_to_user_mode_prepare
     0.00%     0.00%  Thread-110       [kernel.kallsyms]                   [k] switch_fpu_return
     0.00%     0.00%  Thread-110       [kernel.kallsyms]                   [k] syscall_exit_to_user_mode
     0.00%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] xa_get_order
     0.00%     0.00%  kworker/11:1-mm  [kernel.kallsyms]                   [k] __pagevec_lru_add
     0.00%     0.00%  kworker/11:1-mm  [kernel.kallsyms]                   [k] lru_add_drain_cpu
     0.00%     0.00%  kworker/11:1-mm  [kernel.kallsyms]                   [k] lru_add_drain_per_cpu
     0.00%     0.00%  java             [kernel.kallsyms]                   [k] up_write
     0.00%     0.00%  ReadStage-15     [kernel.kallsyms]                   [k] __schedule
     0.00%     0.00%  ReadStage-15     [kernel.kallsyms]                   [k] schedule
     0.00%     0.00%  ReadStage-19     [kernel.kallsyms]                   [k] io_schedule
     0.00%     0.00%  ReadStage-119    [kernel.kallsyms]                   [k] ext4_mpage_readpages
     0.00%     0.00%  ReadStage-119    [kernel.kallsyms]                   [k] ext4_readahead
     0.00%     0.00%  Thread-82        [kernel.kallsyms]                   [k] dequeue_task_fair
     0.00%     0.00%  ReadStage-59     [kernel.kallsyms]                   [k] asm_sysvec_call_function
     0.00%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] ext4_reserve_inode_write
     0.00%     0.00%  kworker/21:1-mm  [kernel.kallsyms]                   [k] lru_add_drain_cpu
     0.00%     0.00%  kworker/21:1-mm  [kernel.kallsyms]                   [k] lru_add_drain_per_cpu
     0.00%     0.00%  swapper          [kernel.kallsyms]                   [k] arch_cpu_idle_exit
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]                   [k] kthread
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]                   [k] rcu_gp_kthread
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]                   [k] ret_from_fork
     0.00%     0.00%  kswapd0          [kernel.kallsyms]                   [k] perf_event_task_tick
     0.00%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] select_task_rq_fair
     0.00%     0.00%  kworker/18:0-mm  [kernel.kallsyms]                   [k] kthread
     0.00%     0.00%  kworker/18:0-mm  [kernel.kallsyms]                   [k] ret_from_fork
     0.00%     0.00%  kworker/18:0-mm  [kernel.kallsyms]                   [k] worker_thread
     0.00%     0.00%  Thread-61        [kernel.kallsyms]                   [k] psi_task_switch
     0.00%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] tick_program_event
     0.00%     0.00%  ReadStage-88     [kernel.kallsyms]                   [k] native_queued_spin_lock_slowpath
     0.00%     0.00%  kworker/7:2-mm_  [kernel.kallsyms]                   [k] native_queued_spin_lock_slowpath
     0.00%     0.00%  ReadStage-27     [kernel.kallsyms]                   [k] __do_sys_prctl
     0.00%     0.00%  ReadStage-27     [kernel.kallsyms]                   [k] __x64_sys_prctl
     0.00%     0.00%  MutationStage-8  [kernel.kallsyms]                   [k] perf_iterate_sb
     0.00%     0.00%  MutationStage-8  [kernel.kallsyms]                   [k] __set_task_comm
     0.00%     0.00%  ReadStage-130    [kernel.kallsyms]                   [k] futex_wait_queue_me
     0.00%     0.00%  Thread-63        [kernel.kallsyms]                   [k] update_curr
     0.00%     0.00%  ReadStage-1      [kernel.kallsyms]                   [k] __schedule
     0.00%     0.00%  ReadStage-1      [kernel.kallsyms]                   [k] schedule
     0.00%     0.00%  ReadStage-125    [kernel.kallsyms]                   [k] schedule
     0.00%     0.00%  ReadStage-6      [kernel.kallsyms]                   [k] enqueue_task_fair
     0.00%     0.00%  MutationStage-8  [kernel.kallsyms]                   [k] wake_up_q
     0.00%     0.00%  ReadStage-23     [kernel.kallsyms]                   [k] select_task_rq_fair
     0.00%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_ack_update_rtt
     0.00%     0.00%  ReadStage-121    [kernel.kallsyms]                   [k] __add_to_page_cache_locked
     0.00%     0.00%  ReadStage-62     [kernel.kallsyms]                   [k] asm_sysvec_call_function
     0.00%     0.00%  ReadStage-62     [kernel.kallsyms]                   [k] sysvec_call_function
     0.00%     0.00%  ReadStage-114    [kernel.kallsyms]                   [k] __add_to_page_cache_locked
     0.00%     0.00%  ReadStage-134    [kernel.kallsyms]                   [k] filemap_map_pages
     0.00%     0.00%  ReadStage-45     [kernel.kallsyms]                   [k] hrtimer_wakeup
     0.00%     0.00%  ReadStage-45     [kernel.kallsyms]                   [k] wake_up_process
     0.00%     0.00%  perf             [kernel.kallsyms]                   [k] poll_freewait
     0.00%     0.00%  Thread-96        [kernel.kallsyms]                   [k] dequeue_entity
     0.00%     0.00%  ReadStage-144    [kernel.kallsyms]                   [k] __add_to_page_cache_locked
     0.00%     0.00%  Thread-115       [kernel.kallsyms]                   [k] psi_task_switch
     0.00%     0.00%  ReadStage-56     [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.00%     0.00%  ReadStage-108    [kernel.kallsyms]                   [k] _raw_spin_lock
     0.00%     0.00%  ReadStage-143    [kernel.kallsyms]                   [k] ext4_mpage_readpages
     0.00%     0.00%  ReadStage-143    [kernel.kallsyms]                   [k] ext4_readahead
     0.00%     0.00%  ReadStage-149    [kernel.kallsyms]                   [k] ondemand_readahead
     0.00%     0.00%  ReadStage-149    [kernel.kallsyms]                   [k] page_cache_async_ra
     0.00%     0.00%  ReadStage-65     [kernel.kallsyms]                   [k] wait_on_page_bit_common
     0.00%     0.00%  ReadStage-61     [kernel.kallsyms]                   [k] read_pages
     0.00%     0.00%  ReadStage-68     [kernel.kallsyms]                   [k] futex_wait
     0.00%     0.00%  ReadStage-105    [kernel.kallsyms]                   [k] wake_up_q
     0.00%     0.00%  ReadStage-48     [kernel.kallsyms]                   [k] asm_sysvec_call_function
     0.00%     0.00%  ReadStage-48     [kernel.kallsyms]                   [k] sysvec_call_function
     0.00%     0.00%  ReadStage-78     [kernel.kallsyms]                   [k] __sysvec_call_function
     0.00%     0.00%  ReadStage-78     [kernel.kallsyms]                   [k] generic_smp_call_function_single_interrupt
     0.00%     0.00%  MutationStage-1  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.00%     0.00%  MutationStage-1  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.00%     0.00%  ReadStage-16     [kernel.kallsyms]                   [k] update_load_avg
     0.00%     0.00%  kworker/37:1-mm  [kernel.kallsyms]                   [k] kthread
     0.00%     0.00%  kworker/37:1-mm  [kernel.kallsyms]                   [k] process_one_work
     0.00%     0.00%  kworker/37:1-mm  [kernel.kallsyms]                   [k] ret_from_fork
     0.00%     0.00%  kworker/37:1-mm  [kernel.kallsyms]                   [k] worker_thread
     0.00%     0.00%  ReadStage-8      [kernel.kallsyms]                   [k] __mod_lruvec_state
     0.00%     0.00%  ReadStage-57     [kernel.kallsyms]                   [k] __schedule
     0.00%     0.00%  ReadStage-57     [kernel.kallsyms]                   [k] schedule
     0.00%     0.00%  MutationStage-5  [kernel.kallsyms]                   [k] try_to_wake_up
     0.00%     0.00%  ReadStage-57     [kernel.kallsyms]                   [k] futex_wait_queue_me
     0.00%     0.00%  ReadStage-12     [kernel.kallsyms]                   [k] xas_load
     0.00%     0.00%  ReadStage-90     [kernel.kallsyms]                   [k] asm_sysvec_call_function
     0.00%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ipv4_dst_check
     0.00%     0.00%  ReadStage-151    [kernel.kallsyms]                   [k] _raw_spin_lock
     0.00%     0.00%  Thread-80        [kernel.kallsyms]                   [k] update_curr
     0.00%     0.00%  ReadStage-139    [kernel.kallsyms]                   [k] cgroup_rstat_updated
     0.00%     0.00%  ReadStage-95     [kernel.kallsyms]                   [k] dma_pool_alloc
     0.00%     0.00%  ReadStage-95     [kernel.kallsyms]                   [k] nvme_queue_rq
     0.00%     0.00%  ReadStage-113    [kernel.kallsyms]                   [k] __common_interrupt
     0.00%     0.00%  ReadStage-113    [kernel.kallsyms]                   [k] __handle_irq_event_percpu
     0.00%     0.00%  ReadStage-113    [kernel.kallsyms]                   [k] asm_common_interrupt
     0.00%     0.00%  ReadStage-113    [kernel.kallsyms]                   [k] common_interrupt
     0.00%     0.00%  ReadStage-113    [kernel.kallsyms]                   [k] handle_edge_irq
     0.00%     0.00%  ReadStage-113    [kernel.kallsyms]                   [k] handle_irq_event
     0.00%     0.00%  ReadStage-113    [kernel.kallsyms]                   [k] nvme_irq
     0.00%     0.00%  ReadStage-113    [kernel.kallsyms]                   [k] nvme_pci_complete_rq
     0.00%     0.00%  ReadStage-113    [kernel.kallsyms]                   [k] nvme_process_cq
     0.00%     0.00%  ReadStage-9      [kernel.kallsyms]                   [k] dequeue_task_fair
     0.00%     0.00%  ReadStage-9      [kernel.kallsyms]                   [k] dequeue_task
     0.00%     0.00%  Thread-139       [kernel.kallsyms]                   [k] dequeue_entity
     0.00%     0.00%  kworker/u98:5-w  [kernel.kallsyms]                   [k] blk_mq_submit_bio
     0.00%     0.00%  kworker/u98:5-w  [kernel.kallsyms]                   [k] __submit_bio
     0.00%     0.00%  kworker/u98:5-w  [kernel.kallsyms]                   [k] submit_bio
     0.00%     0.00%  kworker/u98:5-w  [kernel.kallsyms]                   [k] submit_bio_noacct
     0.00%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] eth_type_trans
     0.00%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] try_to_wake_up
     0.00%     0.00%  ReadStage-134    [kernel.kallsyms]                   [k] __add_to_page_cache_locked
     0.00%     0.00%  kswapd0          [kernel.kallsyms]                   [k] count_shadow_nodes
     0.00%     0.00%  ReadStage-28     [kernel.kallsyms]                   [k] cgroup_rstat_updated
     0.00%     0.00%  java             [kernel.kallsyms]                   [k] find_vma
     0.00%     0.00%  ReadStage-145    [kernel.kallsyms]                   [k] __page_cache_alloc
     0.00%     0.00%  Thread-113       [kernel.kallsyms]                   [k] update_curr
     0.00%     0.00%  ReadStage-37     [kernel.kallsyms]                   [k] _raw_spin_lock_irqsave
     0.00%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] jbd2__journal_start
     0.00%     0.00%  ReadStage-91     [kernel.kallsyms]                   [k] flush_smp_call_function_queue
     0.00%     0.00%  ReadStage-91     [kernel.kallsyms]                   [k] generic_smp_call_function_single_interrupt
     0.00%     0.00%  ReadStage-155    [kernel.kallsyms]                   [k] __add_to_page_cache_locked
     0.00%     0.00%  ReadStage-10     [kernel.kallsyms]                   [k] clear_page_erms
     0.00%     0.00%  ReadStage-27     [kernel.kallsyms]                   [k] __mem_cgroup_charge
     0.00%     0.00%  ReadStage-158    [kernel.kallsyms]                   [k] __page_cache_alloc
     0.00%     0.00%  ReadStage-158    [kernel.kallsyms]                   [k] alloc_pages
     0.00%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] start_this_handle
     0.00%     0.00%  ReadStage-102    [kernel.kallsyms]                   [k] _raw_spin_lock_irqsave
     0.00%     0.00%  ReadStage-88     [kernel.kallsyms]                   [k] futex_wait
     0.00%     0.00%  ReadStage-73     [kernel.kallsyms]                   [k] __mod_memcg_state.part.0
     0.00%     0.00%  ReadStage-73     [kernel.kallsyms]                   [k] __mod_lruvec_state
     0.00%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] cpufreq_stats_record_transition
     0.00%     0.00%  Thread-40        [kernel.kallsyms]                   [k] dequeue_task_fair
     0.00%     0.00%  ReadStage-89     [kernel.kallsyms]                   [k] dequeue_entity
     0.00%     0.00%  ReadStage-89     [kernel.kallsyms]                   [k] dequeue_task
     0.00%     0.00%  ReadStage-89     [kernel.kallsyms]                   [k] dequeue_task_fair
     0.00%     0.00%  ReadStage-45     [kernel.kallsyms]                   [k] next_uptodate_page
     0.00%     0.00%  ReadStage-91     [kernel.kallsyms]                   [k] cgroup_rstat_updated
     0.00%     0.00%  ReadStage-149    [kernel.kallsyms]                   [k] futex_wait
     0.00%     0.00%  ReadStage-43     [kernel.kallsyms]                   [k] futex_wait
     0.00%     0.00%  ReadStage-43     [kernel.kallsyms]                   [k] ext4_mpage_readpages
     0.00%     0.00%  ReadStage-43     [kernel.kallsyms]                   [k] ext4_readahead
     0.00%     0.00%  ReadStage-75     [kernel.kallsyms]                   [k] next_uptodate_page
     0.00%     0.00%  ReadStage-131    [kernel.kallsyms]                   [k] asm_sysvec_call_function
     0.00%     0.00%  kworker/6:2-mm_  [kernel.kallsyms]                   [k] native_queued_spin_lock_slowpath
     0.00%     0.00%  kworker/6:2-mm_  [kernel.kallsyms]                   [k] __pagevec_lru_add
     0.00%     0.00%  kworker/6:2-mm_  [kernel.kallsyms]                   [k] _raw_spin_lock_irqsave
     0.00%     0.00%  kworker/6:2-mm_  [kernel.kallsyms]                   [k] lock_page_lruvec_irqsave
     0.00%     0.00%  kworker/6:2-mm_  [kernel.kallsyms]                   [k] lru_add_drain_cpu
     0.00%     0.00%  kworker/6:2-mm_  [kernel.kallsyms]                   [k] lru_add_drain_per_cpu
     0.00%     0.00%  Thread-137       [kernel.kallsyms]                   [k] dequeue_task
     0.00%     0.00%  Thread-11        [kernel.kallsyms]                   [k] update_curr
     0.00%     0.00%  ReadStage-106    [kernel.kallsyms]                   [k] asm_sysvec_call_function
     0.00%     0.00%  ReadStage-42     [kernel.kallsyms]                   [k] sysvec_call_function
     0.00%     0.00%  ReadStage-78     [kernel.kallsyms]                   [k] clear_page_erms
     0.00%     0.00%  ReadStage-93     [kernel.kallsyms]                   [k] wake_up_q
     0.00%     0.00%  kworker/29:2-mm  [kernel.kallsyms]                   [k] process_one_work
     0.00%     0.00%  kworker/13:1-mm  [kernel.kallsyms]                   [k] native_queued_spin_lock_slowpath
     0.00%     0.00%  ReadStage-95     [kernel.kallsyms]                   [k] schedule
     0.00%     0.00%  ReadStage-9      [kernel.kallsyms]                   [k] submit_bio
     0.00%     0.00%  ReadStage-3      [kernel.kallsyms]                   [k] rmqueue_bulk
     0.00%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] syscall_return_via_sysret
     0.00%     0.00%  ReadStage-149    [kernel.kallsyms]                   [k] try_to_wake_up
     0.00%     0.00%  ReadStage-61     [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
