# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 266K of event 'cycles'
# Event count (approx.): 5333163077093
#
# Children      Self  Command          Shared Object                       Symbol                                          
# ........  ........  ...............  ..................................  ................................................
#
     1.05%     0.08%  cluster1-nio-wo  [kernel.kallsyms]                   [k] try_to_wake_up
     1.03%     0.20%  NonPeriodicTask  [kernel.kallsyms]                   [k] deactivate_file_page
     0.94%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __x64_sys_writev
     0.94%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] do_writev
     0.92%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] vfs_writev
     0.90%     0.01%  kswapd1          [kernel.kallsyms]                   [k] rmap_walk
     0.89%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] do_iter_write
     0.89%     0.01%  swapper          [kernel.kallsyms]                   [k] cpuidle_select
     0.88%     0.88%  Native-Transpor  [kernel.kallsyms]                   [k] mem_cgroup_css_rstat_flush
     0.88%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_iter_readv_writev
     0.88%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] sock_write_iter
     0.87%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] sock_sendmsg
     0.87%     0.47%  swapper          [kernel.kallsyms]                   [k] menu_select
     0.86%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] inet_sendmsg
     0.86%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_sendmsg
     0.84%     0.03%  kswapd1          [kernel.kallsyms]                   [k] rmap_walk_file
     0.84%     0.36%  NonPeriodicTask  [kernel.kallsyms]                   [k] pagevec_lru_move_fn
     0.81%     0.03%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_sendmsg_locked
     0.80%     0.01%  swapper          [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.78%     0.02%  swapper          [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.73%     0.37%  Native-Transpor  [kernel.kallsyms]                   [k] __add_to_page_cache_locked
     0.71%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] alloc_pages
     0.70%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __page_cache_alloc
     0.70%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] __alloc_pages
     0.69%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] page_cache_async_ra
     0.69%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] ondemand_readahead
     0.65%     0.09%  Native-Transpor  [kernel.kallsyms]                   [k] get_page_from_freelist
     0.64%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.64%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ttwu_do_activate
     0.63%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] dequeue_task
     0.63%     0.02%  swapper          [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.62%     0.01%  kswapd0          [kernel.kallsyms]                   [k] rmap_walk
     0.62%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.62%     0.06%  Native-Transpor  [kernel.kallsyms]                   [k] dequeue_task_fair
     0.59%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] enqueue_task
     0.58%     0.01%  swapper          [kernel.kallsyms]                   [k] ttwu_do_activate
     0.57%     0.02%  kswapd0          [kernel.kallsyms]                   [k] rmap_walk_file
     0.57%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] try_to_wake_up
     0.56%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.55%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.55%     0.03%  swapper          [kernel.kallsyms]                   [k] try_to_wake_up
     0.54%     0.52%  Native-Transpor  [kernel.kallsyms]                   [k] _raw_spin_lock
     0.54%     0.02%  kswapd1          [kernel.kallsyms]                   [k] page_referenced
     0.54%     0.03%  swapper          [kernel.kallsyms]                   [k] enqueue_task
     0.52%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] asm_sysvec_call_function
     0.51%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] read_pages
     0.51%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] dequeue_entity
     0.50%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.49%     0.00%  kswapd1          [kernel.kallsyms]                   [k] try_to_unmap_flush
     0.49%     0.00%  kswapd1          [kernel.kallsyms]                   [k] arch_tlbbatch_flush
     0.49%     0.04%  kswapd1          [kernel.kallsyms]                   [k] native_flush_tlb_multi
     0.49%     0.01%  swapper          [kernel.kallsyms]                   [k] hrtimer_wakeup
     0.48%     0.00%  swapper          [kernel.kallsyms]                   [k] wake_up_process
     0.47%     0.00%  swapper          [kernel.kallsyms]                   [k] common_interrupt
     0.47%     0.00%  swapper          [kernel.kallsyms]                   [k] asm_common_interrupt
     0.47%     0.46%  Native-Transpor  [kernel.kallsyms]                   [k] clear_page_erms
     0.45%     0.02%  kswapd1          [kernel.kallsyms]                   [k] __remove_mapping
     0.45%     0.01%  swapper          [kernel.kallsyms]                   [k] __common_interrupt
     0.44%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] sysvec_call_function
     0.44%     0.01%  swapper          [kernel.kallsyms]                   [k] handle_edge_irq
     0.44%     0.00%  kswapd1          [kernel.kallsyms]                   [k] on_each_cpu_cond_mask
     0.43%     0.06%  swapper          [kernel.kallsyms]                   [k] psi_task_switch
     0.42%     0.08%  swapper          [kernel.kallsyms]                   [k] enqueue_task_fair
     0.42%     0.00%  swapper          [kernel.kallsyms]                   [k] handle_irq_event
     0.41%     0.00%  swapper          [kernel.kallsyms]                   [k] __handle_irq_event_percpu
     0.40%     0.00%  swapper          [kernel.kallsyms]                   [k] nvme_irq
     0.40%     0.02%  swapper          [kernel.kallsyms]                   [k] nvme_process_cq
     0.39%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] wake_up_process
     0.39%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_wakeup
     0.38%     0.00%  kswapd1          [kernel.kallsyms]                   [k] try_to_unmap
     0.38%     0.04%  swapper          [kernel.kallsyms]                   [k] pick_next_task_fair
     0.38%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __x64_sys_read
     0.38%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ksys_read
     0.37%     0.06%  kswapd1          [kernel.kallsyms]                   [k] page_referenced_one
     0.37%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] vfs_read
     0.37%     0.00%  swapper          [kernel.kallsyms]                   [k] nvme_pci_complete_rq
     0.37%     0.04%  Native-Transpor  [kernel.kallsyms]                   [k] filemap_map_pages
     0.37%     0.02%  kswapd0          [kernel.kallsyms]                   [k] page_referenced
     0.37%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __sysvec_call_function
     0.36%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] new_sync_read
     0.36%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __x64_sys_prctl
     0.36%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_read_iter
     0.36%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] generic_smp_call_function_single_interrupt
     0.36%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     0.36%     0.33%  kswapd1          [kernel.kallsyms]                   [k] smp_call_function_many_cond
     0.36%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_recvmsg
     0.36%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] do_syscall_64
     0.36%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] inet6_recvmsg
     0.36%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_recvmsg
     0.36%     0.25%  swapper          [kernel.kallsyms]                   [k] switch_mm_irqs_off
     0.36%     0.36%  swapper          [kernel.kallsyms]                   [k] psi_group_change
