# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 6807455796385
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
    30.86%     0.32%  java             [kernel.kallsyms]         [k] asm_exc_page_fault
    28.53%     0.33%  java             [kernel.kallsyms]         [k] exc_page_fault
    26.03%     0.42%  java             [kernel.kallsyms]         [k] do_user_addr_fault
    21.43%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
    21.41%     0.02%  LocalJobRunner   [kernel.kallsyms]         [k] do_syscall_64
    21.11%     0.95%  java             [kernel.kallsyms]         [k] handle_mm_fault
    18.26%     3.93%  java             [kernel.kallsyms]         [k] __handle_mm_fault
    14.56%     0.16%  LocalJobRunner   [kernel.kallsyms]         [k] asm_exc_page_fault
    13.14%     0.11%  LocalJobRunner   [kernel.kallsyms]         [k] exc_page_fault
    12.48%     0.24%  LocalJobRunner   [kernel.kallsyms]         [k] do_user_addr_fault
    11.76%     0.30%  LocalJobRunner   [kernel.kallsyms]         [k] handle_mm_fault
    10.80%     1.36%  LocalJobRunner   [kernel.kallsyms]         [k] __handle_mm_fault
    10.26%     0.16%  java             [kernel.kallsyms]         [k] migrate_misplaced_page
    10.19%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] __x64_sys_write
    10.19%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ksys_write
    10.19%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] vfs_write
    10.18%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] new_sync_write
    10.18%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_file_write_iter
    10.18%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_buffered_write_iter
    10.16%     0.03%  LocalJobRunner   [kernel.kallsyms]         [k] generic_perform_write
     9.81%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] __x64_sys_read
     9.81%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ksys_read
     9.81%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] vfs_read
     9.80%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] new_sync_read
     9.80%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_file_read_iter
     9.80%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] generic_file_read_iter
     9.80%     0.18%  LocalJobRunner   [kernel.kallsyms]         [k] filemap_read
     9.55%     9.28%  LocalJobRunner   [kernel.kallsyms]         [k] copy_user_enhanced_fast_string
     9.02%     0.73%  java             [kernel.kallsyms]         [k] migrate_pages
     6.14%     0.00%  swapper          [kernel.kallsyms]         [k] secondary_startup_64_no_verify
     6.14%     0.00%  swapper          [kernel.kallsyms]         [k] cpu_startup_entry
     6.12%     0.02%  swapper          [kernel.kallsyms]         [k] do_idle
     5.94%     0.00%  swapper          [kernel.kallsyms]         [k] start_secondary
     5.73%     0.00%  swapper          [kernel.kallsyms]         [k] cpuidle_enter
     5.72%     0.00%  swapper          [kernel.kallsyms]         [k] cpuidle_enter_state
     5.68%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] asm_sysvec_apic_timer_interrupt
     5.65%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] sysvec_apic_timer_interrupt
     5.63%     0.16%  LocalJobRunner   [kernel.kallsyms]         [k] __alloc_pages
     5.60%     5.59%  swapper          [kernel.kallsyms]         [k] mwait_idle_with_hints.constprop.0
     5.44%     0.46%  LocalJobRunner   [kernel.kallsyms]         [k] get_page_from_freelist
     5.31%     0.12%  LocalJobRunner   [kernel.kallsyms]         [k] exit_to_user_mode_prepare
     5.21%     0.02%  LocalJobRunner   [kernel.kallsyms]         [k] irqentry_exit
     5.19%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] irqentry_exit_to_user_mode
     5.01%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] task_work_run
     5.00%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] task_numa_work
     5.00%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] change_prot_numa
     4.80%     0.03%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_da_write_begin
     4.47%     4.24%  LocalJobRunner   [kernel.kallsyms]         [k] change_protection
     4.21%     4.19%  LocalJobRunner   [kernel.kallsyms]         [k] clear_page_erms
     3.84%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] grab_cache_page_write_begin
     3.82%     0.08%  LocalJobRunner   [kernel.kallsyms]         [k] pagecache_get_page
     3.48%     3.45%  java             [kernel.kallsyms]         [k] down_read_trylock
     3.35%     0.06%  LocalJobRunner   [kernel.kallsyms]         [k] alloc_pages_vma
     3.06%     0.05%  java             [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     3.03%     0.01%  java             [kernel.kallsyms]         [k] move_to_new_page
     3.01%     0.00%  java             [kernel.kallsyms]         [k] migrate_page
     2.99%     0.06%  java             [kernel.kallsyms]         [k] do_syscall_64
     2.59%     0.01%  java             [kernel.kallsyms]         [k] asm_sysvec_apic_timer_interrupt
     2.56%     0.01%  java             [kernel.kallsyms]         [k] rmap_walk
     2.56%     0.01%  java             [kernel.kallsyms]         [k] sysvec_apic_timer_interrupt
     2.51%     0.25%  LocalJobRunner   [kernel.kallsyms]         [k] add_to_page_cache_lru
     2.30%     0.24%  java             [kernel.kallsyms]         [k] rmap_walk_anon
     2.30%     0.04%  LocalJobRunner   [kernel.kallsyms]         [k] migrate_misplaced_page
     2.27%     0.27%  LocalJobRunner   [kernel.kallsyms]         [k] __mem_cgroup_charge
     2.16%     0.03%  java             [kernel.kallsyms]         [k] __x64_sys_sched_yield
     2.16%     2.14%  java             [kernel.kallsyms]         [k] sync_regs
     2.12%     0.02%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_da_write_end
     2.12%     0.08%  java             [kernel.kallsyms]         [k] __alloc_pages
     2.12%     0.03%  LocalJobRunner   [kernel.kallsyms]         [k] alloc_pages
     2.09%     0.11%  LocalJobRunner   [kernel.kallsyms]         [k] generic_write_end
     2.08%     0.09%  java             [kernel.kallsyms]         [k] do_sched_yield
     2.03%     0.19%  java             [kernel.kallsyms]         [k] get_page_from_freelist
     2.02%     0.24%  java             [kernel.kallsyms]         [k] exit_to_user_mode_prepare
     1.99%     0.21%  LocalJobRunner   [kernel.kallsyms]         [k] migrate_pages
     1.85%     1.84%  java             [kernel.kallsyms]         [k] up_read
     1.77%     1.77%  java             [kernel.kallsyms]         [k] copy_page
     1.75%     0.03%  java             [kernel.kallsyms]         [k] schedule
     1.71%     0.38%  java             [kernel.kallsyms]         [k] __schedule
     1.60%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     1.60%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] do_syscall_64
     1.59%     0.02%  java             [kernel.kallsyms]         [k] irqentry_exit
     1.57%     1.56%  java             [kernel.kallsyms]         [k] clear_page_erms
     1.57%     0.02%  java             [kernel.kallsyms]         [k] irqentry_exit_to_user_mode
     1.56%     0.04%  LocalJobRunner   [kernel.kallsyms]         [k] __mark_inode_dirty
     1.54%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] __x64_sys_read
     1.54%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] ksys_read
     1.54%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] vfs_read
     1.54%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] ext4_file_read_iter
     1.54%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] generic_file_read_iter
     1.54%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] new_sync_read
     1.54%     0.02%  Sampler Reader   [kernel.kallsyms]         [k] filemap_read
     1.53%     0.00%  java             [kernel.kallsyms]         [k] try_to_migrate
     1.52%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_dirty_inode
     1.50%     0.65%  LocalJobRunner   [kernel.kallsyms]         [k] charge_memcg
     1.48%     0.94%  LocalJobRunner   [kernel.kallsyms]         [k] __add_to_page_cache_locked
     1.33%     1.00%  Sampler Reader   [kernel.kallsyms]         [k] copy_user_enhanced_fast_string
     1.28%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] filemap_get_pages
     1.25%     0.03%  java             [kernel.kallsyms]         [k] __sysvec_apic_timer_interrupt
     1.23%     0.01%  java             [kernel.kallsyms]         [k] __put_page
     1.22%     0.04%  java             [kernel.kallsyms]         [k] hrtimer_interrupt
     1.21%     0.01%  java             [kernel.kallsyms]         [k] migrate_page_copy
     1.19%     0.13%  java             [kernel.kallsyms]         [k] migrate_page_states
     1.14%     0.27%  java             [kernel.kallsyms]         [k] try_to_migrate_one
     1.13%     0.01%  VM Thread        [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     1.12%     0.01%  VM Thread        [kernel.kallsyms]         [k] do_syscall_64
     1.08%     0.01%  java             [kernel.kallsyms]         [k] alloc_misplaced_dst_page
     1.07%     1.06%  LocalJobRunner   [kernel.kallsyms]         [k] sync_regs
     1.07%     0.02%  java             [kernel.kallsyms]         [k] alloc_pages_vma
     1.06%     0.00%  java             [kernel.kallsyms]         [k] task_work_run
     1.05%     0.00%  java             [kernel.kallsyms]         [k] task_numa_work
     1.05%     0.00%  java             [kernel.kallsyms]         [k] change_prot_numa
     1.03%     0.02%  java             [kernel.kallsyms]         [k] __hrtimer_run_queues
     1.03%     0.08%  java             [kernel.kallsyms]         [k] mem_cgroup_migrate
     1.00%     0.00%  kswapd1          [kernel.kallsyms]         [k] kswapd
     1.00%     0.00%  kswapd1          [kernel.kallsyms]         [k] kthread
     1.00%     0.00%  kswapd1          [kernel.kallsyms]         [k] ret_from_fork
     1.00%     0.00%  kswapd1          [kernel.kallsyms]         [k] balance_pgdat
     1.00%     0.00%  kswapd1          [kernel.kallsyms]         [k] shrink_node
     1.00%     0.08%  LocalJobRunner   [kernel.kallsyms]         [k] lru_cache_add
     0.98%     0.02%  LocalJobRunner   [kernel.kallsyms]         [k] __x64_sys_futex
     0.97%     0.06%  java             [kernel.kallsyms]         [k] isolate_lru_page
     0.97%     0.00%  kcompactd0       [kernel.kallsyms]         [k] kthread
     0.97%     0.00%  kcompactd0       [kernel.kallsyms]         [k] ret_from_fork
     0.97%     0.00%  kcompactd0       [kernel.kallsyms]         [k] kcompactd
     0.97%     0.00%  kcompactd0       [kernel.kallsyms]         [k] compact_zone
     0.96%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] do_futex
