# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11829649677068
#
# Children      Self  Command          Shared Object      Symbol                                               
# ........  ........  ...............  .................  .....................................................
#
     2.08%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     2.08%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] do_syscall_64
     2.07%     0.04%  LocalJobRunner   [kernel.kallsyms]  [k] alloc_pages_vma
     2.00%     1.98%  java             [kernel.kallsyms]  [k] up_read
     1.95%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] grab_cache_page_write_begin
     1.93%     0.02%  LocalJobRunner   [kernel.kallsyms]  [k] pagecache_get_page
     1.88%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] filemap_get_pages
     1.82%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] ondemand_readahead
     1.81%     0.02%  localfetcher#1   [kernel.kallsyms]  [k] page_cache_ra_unbounded
     1.80%     0.01%  localfetcher#1   [kernel.kallsyms]  [k] exc_page_fault
     1.80%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] page_cache_async_ra
     1.77%     0.02%  localfetcher#1   [kernel.kallsyms]  [k] do_user_addr_fault
     1.73%     0.01%  java             [kernel.kallsyms]  [k] alloc_pages_vma
     1.71%     0.03%  localfetcher#1   [kernel.kallsyms]  [k] handle_mm_fault
     1.64%     0.21%  java             [kernel.kallsyms]  [k] get_page_from_freelist
     1.63%     0.11%  localfetcher#1   [kernel.kallsyms]  [k] __handle_mm_fault
     1.59%     0.01%  InMemoryMerger   [kernel.kallsyms]  [k] ext4_da_write_begin
     1.55%     0.00%  swapper          [kernel.kallsyms]  [k] arch_call_rest_init
     1.55%     0.00%  swapper          [kernel.kallsyms]  [k] rest_init
     1.55%     0.00%  swapper          [kernel.kallsyms]  [k] start_kernel
     1.55%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_kernel
     1.55%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_reservations
     1.52%     1.51%  java             [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     1.47%     0.16%  LocalJobRunner   [kernel.kallsyms]  [k] __mem_cgroup_charge
     1.40%     0.01%  java             [kernel.kallsyms]  [k] move_to_new_page
     1.39%     0.00%  java             [kernel.kallsyms]  [k] migrate_page
     1.37%     0.00%  java             [kernel.kallsyms]  [k] rmap_walk
     1.37%     0.05%  localfetcher#1   [kernel.kallsyms]  [k] __alloc_pages
     1.30%     0.03%  LocalJobRunner   [kernel.kallsyms]  [k] migrate_misplaced_page
     1.29%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ksys_write
     1.29%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __x64_sys_write
     1.29%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] vfs_write
     1.29%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] new_sync_write
     1.29%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_buffered_write_iter
     1.29%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_file_write_iter
     1.28%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] generic_perform_write
     1.26%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] grab_cache_page_write_begin
     1.25%     0.02%  InMemoryMerger   [kernel.kallsyms]  [k] pagecache_get_page
     1.24%     0.11%  java             [kernel.kallsyms]  [k] rmap_walk_anon
     1.24%     0.14%  localfetcher#1   [kernel.kallsyms]  [k] get_page_from_freelist
     1.22%     0.00%  kswapd0          [kernel.kallsyms]  [k] kthread
     1.22%     0.00%  kswapd0          [kernel.kallsyms]  [k] ret_from_fork
     1.22%     0.00%  kswapd0          [kernel.kallsyms]  [k] kswapd
     1.22%     0.00%  kswapd0          [kernel.kallsyms]  [k] balance_pgdat
     1.22%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_node
     1.17%     0.12%  LocalJobRunner   [kernel.kallsyms]  [k] add_to_page_cache_lru
     1.16%     0.02%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_da_write_end
     1.15%     0.16%  LocalJobRunner   [kernel.kallsyms]  [k] migrate_pages
     1.14%     0.02%  LocalJobRunner   [kernel.kallsyms]  [k] generic_write_end
     1.13%     1.12%  java             [kernel.kallsyms]  [k] sync_regs
     1.12%     1.12%  java             [kernel.kallsyms]  [k] clear_page_erms
     1.11%     0.02%  java             [kernel.kallsyms]  [k] find_vma
     1.09%     1.08%  java             [kernel.kallsyms]  [k] vmacache_find
     1.06%     0.41%  LocalJobRunner   [kernel.kallsyms]  [k] charge_memcg
     1.05%     0.00%  kswapd1          [kernel.kallsyms]  [k] kswapd
     1.05%     0.00%  kswapd1          [kernel.kallsyms]  [k] kthread
     1.05%     0.00%  kswapd1          [kernel.kallsyms]  [k] ret_from_fork
     1.05%     0.00%  kswapd1          [kernel.kallsyms]  [k] balance_pgdat
     1.05%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_node
     1.03%     0.31%  java             [kernel.kallsyms]  [k] _raw_spin_lock
     1.00%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     1.00%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] do_syscall_64
     0.96%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] __x64_sys_read
     0.96%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] vfs_read
     0.96%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] ksys_read
     0.96%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] new_sync_read
     0.96%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] ext4_file_read_iter
     0.96%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] generic_file_read_iter
     0.96%     0.01%  Sampler Reader   [kernel.kallsyms]  [k] filemap_read
     0.93%     0.02%  LocalJobRunner   [kernel.kallsyms]  [k] alloc_pages
     0.93%     0.00%  java             [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.92%     0.02%  java             [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.92%     0.00%  java             [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.91%     0.07%  localfetcher#1   [kernel.kallsyms]  [k] add_to_page_cache_lru
     0.90%     0.02%  java             [kernel.kallsyms]  [k] do_syscall_64
     0.89%     0.88%  java             [kernel.kallsyms]  [k] copy_page
     0.88%     0.03%  LocalJobRunner   [kernel.kallsyms]  [k] __mark_inode_dirty
     0.87%     0.60%  LocalJobRunner   [kernel.kallsyms]  [k] __add_to_page_cache_locked
     0.86%     0.85%  localfetcher#1   [kernel.kallsyms]  [k] clear_page_erms
