# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11829649677068
#
# Children      Self  Command          Shared Object      Symbol                                               
# ........  ........  ...............  .................  .....................................................
#
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] do_memsw_account
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] update_curr
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]  [k] ext4_mb_find_by_goal
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] rwsem_down_read_slowpath
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]  [k] ___sys_sendmsg
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]  [k] __sys_sendmsg
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]  [k] __x64_sys_sendmsg
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]  [k] migrate_page_states
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]  [k] migrate_page_copy
     0.00%     0.00%  kworker/u97:10-  [kernel.kallsyms]  [k] bio_add_page
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]  [k] mem_cgroup_migrate
     0.00%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] __find_get_block
     0.00%     0.00%  VM Thread        [kernel.kallsyms]  [k] arch_local_irq_enable
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] _raw_spin_trylock
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] perf_event_fork
     0.00%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] native_write_msr
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] tick_sched_timer
     0.00%     0.00%  kworker/45:1-mm  [kernel.kallsyms]  [k] worker_thread
     0.00%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] account_process_tick
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]  [k] futex_wait_setup
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] refill_stock
     0.00%     0.00%  VM Thread        [kernel.kallsyms]  [k] ttwu_do_activate
     0.00%     0.00%  kworker/u97:10-  [kernel.kallsyms]  [k] mempool_kmalloc
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] dma_unmap_sg_attrs
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]  [k] unmap_page_range
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] set_task_cpu
     0.00%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] blk_mq_rq_ctx_init
     0.00%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] __blk_mq_alloc_request
     0.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_get_group_desc
     0.00%     0.00%  kworker/40:1-ev  [kernel.kallsyms]  [k] worker_thread
     0.00%     0.00%  kworker/40:1-ev  [kernel.kallsyms]  [k] kthread
     0.00%     0.00%  kworker/40:1-ev  [kernel.kallsyms]  [k] ret_from_fork
     0.00%     0.00%  kworker/u98:1    [kernel.kallsyms]  [k] __mod_node_page_state
     0.00%     0.00%  C2 CompilerThre  libjvm.so          [.] 0x0000000000640863
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] __memcg_kmem_charge_page
     0.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] mempool_alloc
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] down_write_killable
     0.00%     0.00%  Readahead Threa  [kernel.kallsyms]  [k] lru_cache_add
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]  [k] vfs_read
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]  [k] __x64_sys_read
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]  [k] ksys_read
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]  [k] tlb_finish_mmu
     0.00%     0.00%  java             [kernel.kallsyms]  [k] arch_local_irq_enable
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] __irqentry_text_end
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] set_next_entity
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] rwsem_down_write_slowpath
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] switch_mm_irqs_off
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] task_numa_migrate.isra.0
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] mb_update_avg_fragment_size.isra.0
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] mb_free_blocks
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]  [k] anon_vma_interval_tree_iter_first
     0.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] from_kgid
     0.00%     0.00%  kswapd0          [kernel.kallsyms]  [k] iput
     0.00%     0.00%  kswapd0          [kernel.kallsyms]  [k] iput.part.0
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] jbd2_journal_put_journal_head
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] rb_erase
     0.00%     0.00%  java             [kernel.kallsyms]  [k] perf_swevent_start
     0.00%     0.00%  java             [kernel.kallsyms]  [k] wbt_rqw_done
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]  [k] alloc_pages_vma
     0.00%     0.00%  kworker/u97:13-  [kernel.kallsyms]  [k] dec_zone_page_state
     0.00%     0.00%  VM Thread        [kernel.kallsyms]  [k] ___pte_free_tlb
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]  [k] new_sync_read
     0.00%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] pick_next_task_fair
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] strncpy_from_user
     0.00%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] mb_find_order_for_block
     0.00%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] load_balance
     0.00%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] newidle_balance
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] page_anon_vma
     0.00%     0.00%  java             [kernel.kallsyms]  [k] add_mm_counter_fast
     0.00%     0.00%  java             [kernel.kallsyms]  [k] hrtimer_start_range_ns
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] __slab_free
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_handle_dirty_dirblock
     0.00%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] update_sd_lb_stats.constprop.0
     0.00%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] find_busiest_group
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] inode_permission.part.0
     0.00%     0.00%  kswapd0          [kernel.kallsyms]  [k] arch_local_save_flags
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] futex_wait_setup
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __fget_light
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __hrtimer_next_event_base
     0.00%     0.00%  java             [kernel.kallsyms]  [k] mmap_region
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]  [k] tick_sched_timer
     0.00%     0.00%  kworker/u98:1    [kernel.kallsyms]  [k] xas_find
     0.00%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] PageHuge
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] deactivate_task
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __get_vm_area_node.constprop.0
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]  [k] native_send_call_func_single_ipi
     0.00%     0.00%  LocalJobRunner   [JIT] tid 1747     [.] 0x00007f7f0d0fb7fb
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] __ext4_get_inode_loc
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] alloc_vmap_area
     0.00%     0.00%  ksoftirqd/30     [kernel.kallsyms]  [k] rcu_cblist_dequeue
     0.00%     0.00%  kswapd1          [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.00%     0.00%  kswapd1          [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     0.00%     0.00%  kswapd1          [kernel.kallsyms]  [k] hrtimer_interrupt
     0.00%     0.00%  kswapd1          [kernel.kallsyms]  [k] tick_sched_timer
     0.00%     0.00%  communication t  [kernel.kallsyms]  [k] futex_wait_queue_me
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] complete_walk
     0.00%     0.00%  perf             [kernel.kallsyms]  [k] file_modified
     0.00%     0.00%  SpillThread      [kernel.kallsyms]  [k] unmap_single_vma
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] bio_to_wbt_flags
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]  [k] mem_cgroup_update_lru_size
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] ttwu_do_wakeup
     0.00%     0.00%  ksoftirqd/2      [kernel.kallsyms]  [k] radix_tree_node_rcu_free
     0.00%     0.00%  ksoftirqd/2      [kernel.kallsyms]  [k] rcu_core
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] account_idle_ticks
     0.00%     0.00%  VM Thread        [kernel.kallsyms]  [k] clear_buddies
     0.00%     0.00%  java             [kernel.kallsyms]  [k] rcu_gp_kthread_wake
     0.00%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] ext4_mb_init_cache
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] error_entry
     0.00%     0.00%  VM Thread        [kernel.kallsyms]  [k] irq_exit_rcu
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]  [k] __d_lookup
     0.00%     0.00%  Readahead Threa  [kernel.kallsyms]  [k] newidle_balance
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_setattr
     0.00%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] propagate_protected_usage
     0.00%     0.00%  ksoftirqd/7      [kernel.kallsyms]  [k] __softirqentry_text_start
     0.00%     0.00%  ksoftirqd/7      [kernel.kallsyms]  [k] kthread
     0.00%     0.00%  ksoftirqd/7      [kernel.kallsyms]  [k] rcu_core
     0.00%     0.00%  ksoftirqd/7      [kernel.kallsyms]  [k] rcu_core_si
     0.00%     0.00%  ksoftirqd/7      [kernel.kallsyms]  [k] ret_from_fork
     0.00%     0.00%  ksoftirqd/7      [kernel.kallsyms]  [k] run_ksoftirqd
     0.00%     0.00%  ksoftirqd/7      [kernel.kallsyms]  [k] smpboot_thread_fn
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]  [k] page_counter_charge
     0.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __blk_rq_map_sg
     0.00%     0.00%  kworker/0:3-eve  [kernel.kallsyms]  [k] acpi_ps_get_next_arg
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] try_to_migrate
     0.00%     0.00%  perf             [kernel.kallsyms]  [k] psi_task_switch
     0.00%     0.00%  kworker/u96:1    [kernel.kallsyms]  [k] __ext4_mark_inode_dirty
     0.00%     0.00%  kworker/39:1-ev  [kernel.kallsyms]  [k] kthread
     0.00%     0.00%  kworker/39:1-ev  [kernel.kallsyms]  [k] ret_from_fork
     0.00%     0.00%  Readahead Threa  [kernel.kallsyms]  [k] xas_store
     0.00%     0.00%  communication t  [kernel.kallsyms]  [k] tlb_finish_mmu
     0.00%     0.00%  :-1              [kernel.kallsyms]  [k] release_task
     0.00%     0.00%  Readahead Threa  [kernel.kallsyms]  [k] __pagevec_lru_add
     0.00%     0.00%  kworker/39:1-ev  [kernel.kallsyms]  [k] worker_thread
     0.00%     0.00%  LocalDistribute  [kernel.kallsyms]  [k] proc_fill_cache
     0.00%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] __queue_work
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]  [k] __queue_work
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] pmd_val
     0.00%     0.00%  kworker/u97:10-  [kernel.kallsyms]  [k] __bio_try_merge_page
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] put_prev_entity
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]  [k] get_page_from_freelist
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]  [k] __alloc_pages
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]  [k] alloc_pages
     0.00%     0.00%  kworker/0:3-eve  [kernel.kallsyms]  [k] acpi_ds_create_operand
     0.00%     0.00%  Readahead Threa  [kernel.kallsyms]  [k] xas_load
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] dma_direct_unmap_sg
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] perf_iterate_sb
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] update_cfs_group
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]  [k] switch_mm_irqs_off
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] ptep_clear_flush
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] __sysvec_call_function_single
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]  [k] kmem_cache_free
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] migrate_task_rq_fair
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] update_cfs_group
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] tick_check_broadcast_expired
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] __x86_indirect_thunk_rax
     0.00%     0.00%  kworker/u97:10-  [kernel.kallsyms]  [k] release_pages
     0.00%     0.00%  kworker/u97:10-  [kernel.kallsyms]  [k] __pagevec_release
     0.00%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] ktime_get
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] expected_page_refs
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] mod_lruvec_page_state.constprop.0
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __es_tree_search.isra.0
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]  [k] rcu_all_qs
     0.00%     0.00%  kworker/u97:10-  [kernel.kallsyms]  [k] xas_set_mark
     0.00%     0.00%  kworker/39:1-ev  [kernel.kallsyms]  [k] process_one_work
     0.00%     0.00%  java             [kernel.kallsyms]  [k] is_cpu_allowed
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] update_cfs_group
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] getname_flags
     0.00%     0.00%  VM Thread        [kernel.kallsyms]  [k] page_add_anon_rmap
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]  [k] page_mapping
     0.00%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] arch_local_irq_enable
     0.00%     0.00%  VM Thread        [kernel.kallsyms]  [k] do_page_add_anon_rmap
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] update_curr
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] wake_q_add_safe
     0.00%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] __mem_cgroup_threshold
     0.00%     0.00%  kworker/u97:10-  [kernel.kallsyms]  [k] inc_zone_page_state
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] rwsem_wake.isra.0
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] process_timeout
     0.00%     0.00%  localfetcher#1   [JIT] tid 1442     [.] 0x00007ff22106f17b
     0.00%     0.00%  kswapd1          [kernel.kallsyms]  [k] __lock_text_start
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]  [k] dma_direct_unmap_sg
     0.00%     0.00%  migration/38     [kernel.kallsyms]  [k] kthread
     0.00%     0.00%  migration/38     [kernel.kallsyms]  [k] ret_from_fork
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] task_numa_fault
     0.00%     0.00%  migration/38     [kernel.kallsyms]  [k] smpboot_thread_fn
     0.00%     0.00%  java             [kernel.kallsyms]  [k] cpumask_next_and
     0.00%     0.00%  perf             [kernel.kallsyms]  [k] schedule
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]  [k] kernfs_fop_read_iter
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]  [k] seq_read_iter
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] trigger_load_balance
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] alloc_misplaced_dst_page
     0.00%     0.00%  InMemoryMerger   [JIT] tid 2101     [.] 0x00007f634d0006d1
     0.00%     0.00%  kworker/u96:1    [kernel.kallsyms]  [k] pagevec_move_tail_fn
     0.00%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] ext4_read_block_bitmap_nowait
     0.00%     0.00%  Readahead Threa  [kernel.kallsyms]  [k] xas_create
     0.00%     0.00%  kworker/u96:1    [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] hrtimer_wakeup
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]  [k] sysfs_kf_seq_show
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]  [k] kernfs_seq_show
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] __cgroup_account_cputime_field
     0.00%     0.00%  kworker/2:2-mm_  [kernel.kallsyms]  [k] worker_thread
     0.00%     0.00%  kworker/2:2-mm_  [kernel.kallsyms]  [k] kthread
     0.00%     0.00%  kworker/2:2-mm_  [kernel.kallsyms]  [k] ret_from_fork
     0.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_inode_journal_mode
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] vmacache_find
     0.00%     0.00%  java             [kernel.kallsyms]  [k] jbd2_journal_grab_journal_head
     0.00%     0.00%  kswapd1          [kernel.kallsyms]  [k] memcg_check_events
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] __x64_sys_readlink
     0.00%     0.00%  kworker/13:1-mm  [kernel.kallsyms]  [k] worker_thread
     0.00%     0.00%  kworker/13:1-mm  [kernel.kallsyms]  [k] kthread
     0.00%     0.00%  kworker/13:1-mm  [kernel.kallsyms]  [k] ret_from_fork
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]  [k] new_slab
     0.00%     0.00%  kworker/u97:13-  [kernel.kallsyms]  [k] inc_zone_page_state
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] numa_migrate_prep
     0.00%     0.00%  kswapd0          [kernel.kallsyms]  [k] refill_stock
     0.00%     0.00%  kswapd0          [kernel.kallsyms]  [k] try_to_inc_min_seq
     0.00%     0.00%  java             [kernel.kallsyms]  [k] __note_gp_changes
     0.00%     0.00%  kworker/40:1-ev  [kernel.kallsyms]  [k] process_one_work
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] update_rt_rq_load_avg
     0.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __x64_sys_futex
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_get_reserved_space
     0.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] trigger_load_balance
     0.00%     0.00%  java             [kernel.kallsyms]  [k] swake_up_one
     0.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] do_futex
     0.00%     0.00%  perf             [kernel.kallsyms]  [k] affine_move_task
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]  [k] clear_page_erms
     0.00%     0.00%  kworker/u96:1    [kernel.kallsyms]  [k] start_this_handle
     0.00%     0.00%  kworker/u96:1    [kernel.kallsyms]  [k] jbd2_journal_start_reserved
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] set_next_entity
     0.00%     0.00%  perf             [kernel.kallsyms]  [k] file_update_time
     0.00%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] kmem_cache_free
     0.00%     0.00%  kworker/u96:1    [kernel.kallsyms]  [k] crypto_shash_update
     0.00%     0.00%  kworker/u97:10-  [kernel.kallsyms]  [k] __handle_irq_event_percpu
     0.00%     0.00%  kworker/u97:10-  [kernel.kallsyms]  [k] handle_irq_event
     0.00%     0.00%  kworker/u97:10-  [kernel.kallsyms]  [k] nvme_irq
     0.00%     0.00%  kworker/u97:10-  [kernel.kallsyms]  [k] nvme_pci_complete_rq
     0.00%     0.00%  kworker/u97:10-  [kernel.kallsyms]  [k] nvme_process_cq
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]  [k] free_pgtables
     0.00%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] rcu_sched_clock_irq
     0.00%     0.00%  java             [kernel.kallsyms]  [k] detach_entity_cfs_rq
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] task_numa_fault
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]  [k] __getblk_gfp
     0.00%     0.00%  migration/27     [kernel.kallsyms]  [k] __schedule
     0.00%     0.00%  migration/27     [kernel.kallsyms]  [k] schedule
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]  [k] ext4_reserve_inode_write
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]  [k] error_entry
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] entry_SYSCALL_64_safe_stack
     0.00%     0.00%  migration/27     [kernel.kallsyms]  [k] pick_next_entity
     0.00%     0.00%  migration/27     [kernel.kallsyms]  [k] __pick_next_task_fair
     0.00%     0.00%  migration/27     [kernel.kallsyms]  [k] pick_next_task_fair
     0.00%     0.00%  kworker/u97:13-  [kernel.kallsyms]  [k] ext4_mb_new_blocks
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] bio_alloc_bioset
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __inode_attach_wb
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] wb_get_create
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] touch_atime
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] page_cache_delete
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] tick_nohz_get_idle_calls_cpu
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] cgroup_post_fork
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] xas_start
     0.00%     0.00%  kworker/u97:13-  [kernel.kallsyms]  [k] fscrypt_mergeable_bio_bh
     0.00%     0.00%  migration/4      [kernel.kallsyms]  [k] smpboot_thread_fn
     0.00%     0.00%  migration/4      [kernel.kallsyms]  [k] kthread
     0.00%     0.00%  migration/4      [kernel.kallsyms]  [k] ret_from_fork
     0.00%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] rebalance_domains
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] sync_regs
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] get_unused_fd_flags
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] resched_curr
     0.00%     0.00%  Thread-5         [kernel.kallsyms]  [k] __put_page
     0.00%     0.00%  kworker/u98:1    [kernel.kallsyms]  [k] ext4_io_submit
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] rwsem_down_write_slowpath
     0.00%     0.00%  java             [kernel.kallsyms]  [k] wake_up_new_task
     0.00%     0.00%  kworker/u97:10-  [kernel.kallsyms]  [k] rcu_read_unlock_strict
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]  [k] finish_task_switch.isra.0
     0.00%     0.00%  migration/14     [kernel.kallsyms]  [k] stop_machine_yield
     0.00%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] native_irq_return_iret
     0.00%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] mod_node_page_state
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] __x64_sys_openat
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] delayed_work_timer_fn
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]  [k] uncharge_page
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] wb_get_lookup.part.0
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] bvec_free
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]  [k] __bio_add_page
     0.00%     0.00%  localfetcher#1   [JIT] tid 2067     [.] 0x00007f43710fba3b
     0.00%     0.00%  java             [kernel.kallsyms]  [k] timekeeping_update
     0.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] fscrypt_mergeable_bio
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] fscrypt_mergeable_bio
     0.00%     0.00%  VM Thread        [kernel.kallsyms]  [k] irqentry_enter
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] dma_pool_free
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]  [k] xas_load
     0.00%     0.00%  LocalJobRunner   [JIT] tid 1442     [.] 0x00007ff22106f17b
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]  [k] wbt_track
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]  [k] __rq_qos_track
     0.00%     0.00%  InMemoryMerger   [JIT] tid 2196     [.] 0x00007f14d50006ee
     0.00%     0.00%  java             [kernel.kallsyms]  [k] rq_qos_wake_function
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] workingset_refault
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] __jbd2_journal_remove_checkpoint
     0.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] unlock_page_memcg
     0.00%     0.00%  migration/15     [kernel.kallsyms]  [k] smpboot_thread_fn
     0.00%     0.00%  migration/15     [kernel.kallsyms]  [k] kthread
     0.00%     0.00%  migration/15     [kernel.kallsyms]  [k] ret_from_fork
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __kmalloc
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] intel_pmu_enable_all
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] x86_pmu_enable
     0.00%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] zone_watermark_ok
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __ext4_journal_get_create_access
     0.00%     0.00%  java             [kernel.kallsyms]  [k] get_nr_evictable
     0.00%     0.00%  top              [kernel.kallsyms]  [k] __do_sys_newfstatat
     0.00%     0.00%  top              [kernel.kallsyms]  [k] __x64_sys_newfstatat
     0.00%     0.00%  top              [kernel.kallsyms]  [k] vfs_statx
     0.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] isolate_lru_page
     0.00%     0.00%  perf             [kernel.kallsyms]  [k] poll_freewait
     0.00%     0.00%  Readahead Threa  [kernel.kallsyms]  [k] xas_alloc
     0.00%     0.00%  java             [kernel.kallsyms]  [k] invoke_rcu_core
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] rcu_eqs_enter.constprop.0
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __lookup_mnt
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
