# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 861K of event 'cycles'
# Event count (approx.): 1583414822661
#
# Children      Self  Command          Shared Object                              Symbol                                                                                                                                                           
# ........  ........  ...............  .........................................  .................................................................................................................................................................
#
     0.83%     0.07%  Executor task l  [kernel.kallsyms]                          [k] link_path_walk.part.0
     0.83%     0.02%  G1 Refine#1      [kernel.kallsyms]                          [k] hrtimer_interrupt
     0.82%     0.82%  Executor task l  [kernel.kallsyms]                          [k] update_cfs_group
     0.82%     0.02%  G1 Refine#0      [kernel.kallsyms]                          [k] __hrtimer_run_queues
     0.80%     0.00%  G1 Refine#0      [kernel.kallsyms]                          [k] __run_hrtimer
     0.80%     0.02%  Executor task l  [kernel.kallsyms]                          [k] syscall_exit_to_user_mode
     0.80%     0.00%  G1 Conc#5        [kernel.kallsyms]                          [k] asm_sysvec_apic_timer_interrupt
     0.80%     0.00%  G1 Conc#3        [kernel.kallsyms]                          [k] asm_sysvec_apic_timer_interrupt
     0.80%     0.07%  Executor task l  [kernel.kallsyms]                          [k] ext4_mpage_readpages
     0.80%     0.00%  GC Thread#15     [kernel.kallsyms]                          [k] asm_sysvec_apic_timer_interrupt
     0.79%     0.00%  Executor task l  [kernel.kallsyms]                          [k] irqentry_exit_to_user_mode
     0.79%     0.00%  GC Thread#15     [kernel.kallsyms]                          [k] sysvec_apic_timer_interrupt
     0.79%     0.00%  G1 Conc#0        [kernel.kallsyms]                          [k] asm_sysvec_apic_timer_interrupt
     0.78%     0.00%  G1 Conc#5        [kernel.kallsyms]                          [k] sysvec_apic_timer_interrupt
     0.78%     0.00%  G1 Conc#3        [kernel.kallsyms]                          [k] sysvec_apic_timer_interrupt
     0.78%     0.00%  G1 Conc#4        [kernel.kallsyms]                          [k] asm_sysvec_apic_timer_interrupt
     0.78%     0.00%  G1 Conc#0        [kernel.kallsyms]                          [k] sysvec_apic_timer_interrupt
     0.77%     0.00%  GC Thread#3      [kernel.kallsyms]                          [k] asm_sysvec_apic_timer_interrupt
     0.77%     0.00%  G1 Refine#0      [kernel.kallsyms]                          [k] tick_sched_timer
     0.77%     0.00%  G1 Conc#2        [kernel.kallsyms]                          [k] asm_sysvec_apic_timer_interrupt
     0.77%     0.00%  G1 Conc#1        [kernel.kallsyms]                          [k] asm_sysvec_apic_timer_interrupt
     0.77%     0.00%  GC Thread#5      [kernel.kallsyms]                          [k] asm_sysvec_apic_timer_interrupt
     0.77%     0.00%  GC Thread#21     [kernel.kallsyms]                          [k] asm_sysvec_apic_timer_interrupt
     0.77%     0.00%  GC Thread#3      [kernel.kallsyms]                          [k] sysvec_apic_timer_interrupt
     0.76%     0.00%  GC Thread#21     [kernel.kallsyms]                          [k] sysvec_apic_timer_interrupt
     0.76%     0.00%  G1 Conc#4        [kernel.kallsyms]                          [k] sysvec_apic_timer_interrupt
     0.76%     0.00%  GC Thread#5      [kernel.kallsyms]                          [k] sysvec_apic_timer_interrupt
     0.76%     0.00%  G1 Conc#1        [kernel.kallsyms]                          [k] sysvec_apic_timer_interrupt
     0.76%     0.00%  G1 Conc#2        [kernel.kallsyms]                          [k] sysvec_apic_timer_interrupt
     0.75%     0.00%  G1 Refine#3      [kernel.kallsyms]                          [k] asm_sysvec_apic_timer_interrupt
     0.74%     0.01%  G1 Refine#2      [kernel.kallsyms]                          [k] __sysvec_apic_timer_interrupt
     0.73%     0.00%  GC Thread#19     [kernel.kallsyms]                          [k] asm_sysvec_apic_timer_interrupt
     0.73%     0.00%  GC Thread#7      [kernel.kallsyms]                          [k] asm_sysvec_apic_timer_interrupt
     0.73%     0.01%  GC Thread#15     [kernel.kallsyms]                          [k] __sysvec_apic_timer_interrupt
     0.73%     0.00%  GC Thread#16     [kernel.kallsyms]                          [k] asm_sysvec_apic_timer_interrupt
     0.73%     0.00%  GC Thread#19     [kernel.kallsyms]                          [k] sysvec_apic_timer_interrupt
     0.73%     0.02%  G1 Refine#2      [kernel.kallsyms]                          [k] hrtimer_interrupt
     0.73%     0.00%  G1 Refine#0      [kernel.kallsyms]                          [k] tick_sched_handle
     0.73%     0.00%  GC Thread#7      [kernel.kallsyms]                          [k] sysvec_apic_timer_interrupt
     0.73%     0.00%  G1 Refine#3      [kernel.kallsyms]                          [k] sysvec_apic_timer_interrupt
     0.72%     0.03%  G1 Refine#0      [kernel.kallsyms]                          [k] update_process_times
     0.72%     0.00%  GC Thread#16     [kernel.kallsyms]                          [k] sysvec_apic_timer_interrupt
     0.72%     0.02%  G1 Refine#1      [kernel.kallsyms]                          [k] __hrtimer_run_queues
     0.72%     0.02%  GC Thread#15     [kernel.kallsyms]                          [k] hrtimer_interrupt
     0.72%     0.01%  GC Thread#3      [kernel.kallsyms]                          [k] __sysvec_apic_timer_interrupt
     0.71%     0.00%  GC Thread#20     [kernel.kallsyms]                          [k] asm_sysvec_apic_timer_interrupt
     0.71%     0.01%  GC Thread#5      [kernel.kallsyms]                          [k] __sysvec_apic_timer_interrupt
     0.71%     0.01%  GC Thread#21     [kernel.kallsyms]                          [k] __sysvec_apic_timer_interrupt
     0.71%     0.00%  GC Thread#20     [kernel.kallsyms]                          [k] sysvec_apic_timer_interrupt
     0.71%     0.00%  GC Thread#14     [kernel.kallsyms]                          [k] asm_sysvec_apic_timer_interrupt
