# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 861K of event 'cycles'
# Event count (approx.): 1583414822661
#
# Children      Self  Command          Shared Object                              Symbol                                                                                                                                                           
# ........  ........  ...............  .........................................  .................................................................................................................................................................
#
     0.02%     0.00%  GC Thread#13     [kernel.kallsyms]                          [k] get_page_from_freelist
     0.02%     0.02%  GC Thread#22     [kernel.kallsyms]                          [k] __update_load_avg_cfs_rq
     0.02%     0.02%  GC Thread#20     [kernel.kallsyms]                          [k] hrtimer_active
     0.02%     0.02%  GC Thread#10     [kernel.kallsyms]                          [k] ktime_get
     0.02%     0.00%  Executor task l  [kernel.kallsyms]                          [k] memcg_check_events
     0.02%     0.02%  G1 Refine#5      [kernel.kallsyms]                          [k] __update_load_avg_cfs_rq
     0.02%     0.00%  rhsmcertd-worke  [kernel.kallsyms]                          [k] tick_sched_timer
     0.02%     0.01%  GC Thread#5      [kernel.kallsyms]                          [k] update_rq_clock_task
     0.02%     0.00%  G1 Refine#2      [kernel.kallsyms]                          [k] wake_up_q
     0.02%     0.00%  sshd             [kernel.kallsyms]                          [k] __ip_queue_xmit
     0.02%     0.00%  VM Periodic Tas  [kernel.kallsyms]                          [k] __schedule
     0.02%     0.00%  G1 Conc#2        [kernel.kallsyms]                          [k] __x64_sys_futex
     0.02%     0.02%  GC Thread#14     [kernel.kallsyms]                          [k] __cgroup_account_cputime_field
     0.02%     0.02%  Executor task l  libc-2.28.so                               [.] __fxstat64
     0.02%     0.00%  Executor task l  [kernel.kallsyms]                          [k] raw_spin_rq_lock_nested
     0.02%     0.00%  GC Thread#5      [kernel.kallsyms]                          [k] get_page_from_freelist
     0.02%     0.00%  G1 Refine#4      [kernel.kallsyms]                          [k] futex_wait_queue_me
     0.02%     0.00%  G1 Refine#3      [kernel.kallsyms]                          [k] wake_up_q
     0.02%     0.02%  G1 Conc#5        [kernel.kallsyms]                          [k] update_cfs_group
     0.02%     0.00%  G1 Refine#3      [kernel.kallsyms]                          [k] amd_pmu_wait_on_overflow
     0.02%     0.02%  Executor task l  [kernel.kallsyms]                          [k] rcu_all_qs
     0.02%     0.02%  G1 Conc#2        [kernel.kallsyms]                          [k] update_cfs_group
     0.02%     0.00%  GC Thread#12     [kernel.kallsyms]                          [k] __handle_mm_fault
     0.02%     0.00%  GC Thread#12     [kernel.kallsyms]                          [k] asm_exc_page_fault
     0.02%     0.00%  GC Thread#12     [kernel.kallsyms]                          [k] do_anonymous_page
     0.02%     0.00%  GC Thread#12     [kernel.kallsyms]                          [k] do_user_addr_fault
     0.02%     0.00%  GC Thread#12     [kernel.kallsyms]                          [k] exc_page_fault
     0.02%     0.00%  GC Thread#12     [kernel.kallsyms]                          [k] handle_mm_fault
     0.02%     0.02%  G1 Refine#15     [kernel.kallsyms]                          [k] ktime_get_update_offsets_now
     0.02%     0.02%  GC Thread#6      [kernel.kallsyms]                          [k] ktime_get
     0.02%     0.00%  rcu_sched        [kernel.kallsyms]                          [k] swake_up_all
     0.02%     0.02%  GC Thread#1      [kernel.kallsyms]                          [k] __update_load_avg_cfs_rq
     0.02%     0.02%  G1 Conc#2        [kernel.kallsyms]                          [k] arch_scale_freq_tick
     0.02%     0.02%  G1 Conc#4        [kernel.kallsyms]                          [k] update_cfs_group
     0.02%     0.01%  Executor task l  [kernel.kallsyms]                          [k] nvme_submit_cmd
     0.02%     0.00%  irqbalance       [kernel.kallsyms]                          [k] do_syscall_64
     0.02%     0.00%  irqbalance       [kernel.kallsyms]                          [k] entry_SYSCALL_64_after_hwframe
     0.02%     0.02%  G1 Refine#18     [kernel.kallsyms]                          [k] ktime_get_update_offsets_now
     0.02%     0.01%  rcu_sched        [kernel.kallsyms]                          [k] update_curr
     0.02%     0.01%  G1 Refine#0      [kernel.kallsyms]                          [k] note_gp_changes
     0.02%     0.00%  GC Thread#7      [kernel.kallsyms]                          [k] tick_sched_do_timer
     0.02%     0.00%  GC Thread#13     [kernel.kallsyms]                          [k] __irq_exit_rcu
     0.02%     0.00%  GC Thread#21     [kernel.kallsyms]                          [k] handle_mm_fault
     0.02%     0.00%  GC Thread#2      [kernel.kallsyms]                          [k] asm_exc_page_fault
     0.02%     0.00%  GC Thread#2      [kernel.kallsyms]                          [k] do_user_addr_fault
     0.02%     0.00%  GC Thread#2      [kernel.kallsyms]                          [k] exc_page_fault
     0.02%     0.01%  kswapd0          [kernel.kallsyms]                          [k] __mod_memcg_lruvec_state
     0.02%     0.01%  G1 Refine#11     [kernel.kallsyms]                          [k] update_curr
     0.02%     0.02%  G1 Refine#1      [kernel.kallsyms]                          [k] check_cpu_stall
     0.02%     0.00%  G1 Refine#3      [kernel.kallsyms]                          [k] futex_wait_queue_me
     0.02%     0.02%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc595b991d
     0.02%     0.02%  GC Thread#6      [kernel.kallsyms]                          [k] __cgroup_account_cputime_field
     0.02%     0.00%  G1 Refine#5      [kernel.kallsyms]                          [k] try_to_wake_up
     0.02%     0.00%  G1 Refine#2      [kernel.kallsyms]                          [k] irqentry_exit_to_user_mode
     0.02%     0.02%  GC Thread#8      [kernel.kallsyms]                          [k] __update_load_avg_cfs_rq
     0.02%     0.01%  G1 Refine#6      [kernel.kallsyms]                          [k] __update_load_avg_se
     0.02%     0.00%  GC Thread#14     [kernel.kallsyms]                          [k] __handle_mm_fault
     0.02%     0.00%  GC Thread#14     [kernel.kallsyms]                          [k] do_anonymous_page
     0.02%     0.00%  GC Thread#14     [kernel.kallsyms]                          [k] handle_mm_fault
     0.02%     0.00%  GC Thread#15     [kernel.kallsyms]                          [k] __softirqentry_text_start
     0.02%     0.02%  Executor task l  libjvm.so                                  [.] _ZN14AccessInternal19PostRuntimeDispatchIN12G1BarrierSet13AccessBarrierILm1097812ES1_EELNS_11BarrierTypeE2ELm1097812EE18oop_access_barrierEPv
     0.02%     0.02%  G1 Refine#4      [kernel.kallsyms]                          [k] __cgroup_account_cputime_field
     0.02%     0.00%  GC Thread#10     [kernel.kallsyms]                          [k] __alloc_pages
     0.02%     0.00%  GC Thread#10     [kernel.kallsyms]                          [k] alloc_pages_vma
     0.02%     0.00%  G1 Conc#2        [kernel.kallsyms]                          [k] do_futex
     0.02%     0.02%  GC Thread#7      [kernel.kallsyms]                          [k] __cgroup_account_cputime_field
     0.02%     0.02%  GC Thread#9      [kernel.kallsyms]                          [k] __update_load_avg_cfs_rq
     0.02%     0.01%  GC Thread#11     [kernel.kallsyms]                          [k] update_rq_clock_task
     0.02%     0.00%  G1 Refine#5      [kernel.kallsyms]                          [k] futex_wait_queue_me
     0.02%     0.00%  G1 Refine#7      [kernel.kallsyms]                          [k] futex_wake
     0.02%     0.00%  G1 Refine#9      [kernel.kallsyms]                          [k] schedule
     0.02%     0.00%  kswapd0          [kernel.kallsyms]                          [k] asm_sysvec_apic_timer_interrupt
     0.02%     0.02%  G1 Conc#2        [kernel.kallsyms]                          [k] __const_udelay
     0.02%     0.00%  G1 Refine#4      [kernel.kallsyms]                          [k] wake_up_q
     0.02%     0.02%  rhsmcertd-worke  [kernel.kallsyms]                          [k] copy_user_generic_string
     0.02%     0.00%  rhsmcertd-worke  [kernel.kallsyms]                          [k] copy_page_to_iter
     0.02%     0.00%  rhsmcertd-worke  [kernel.kallsyms]                          [k] copy_page_to_iter_iovec
     0.02%     0.02%  rpc-client-1-7   [kernel.kallsyms]                          [k] free_pcp_prepare
     0.02%     0.01%  kswapd0          [kernel.kallsyms]                          [k] workingset_update_node
     0.02%     0.00%  kswapd0          [kernel.kallsyms]                          [k] sysvec_apic_timer_interrupt
     0.02%     0.01%  G1 Refine#20     [kernel.kallsyms]                          [k] update_curr
     0.02%     0.00%  G1 Refine#1      [kernel.kallsyms]                          [k] load_balance
     0.02%     0.01%  G1 Refine#21     [kernel.kallsyms]                          [k] account_user_time
     0.02%     0.00%  GC Thread#22     [kernel.kallsyms]                          [k] get_page_from_freelist
     0.02%     0.00%  G1 Refine#0      [kernel.kallsyms]                          [k] try_to_wake_up
     0.02%     0.00%  G1 Refine#11     [kernel.kallsyms]                          [k] __x64_sys_futex
     0.02%     0.02%  GC Thread#10     [kernel.kallsyms]                          [k] __update_load_avg_cfs_rq
     0.02%     0.00%  G1 Refine#22     [kernel.kallsyms]                          [k] __softirqentry_text_start
     0.02%     0.01%  GC Thread#18     [kernel.kallsyms]                          [k] rcu_pending
     0.02%     0.01%  G1 Refine#5      [kernel.kallsyms]                          [k] update_rq_clock_task
     0.02%     0.02%  GC Thread#22     [kernel.kallsyms]                          [k] clear_page_rep
     0.02%     0.00%  GC Thread#22     [kernel.kallsyms]                          [k] kernel_init_free_pages.part.0
     0.02%     0.02%  GC Thread#4      [kernel.kallsyms]                          [k] __cgroup_account_cputime_field
     0.02%     0.00%  G1 Conc#1        [kernel.kallsyms]                          [k] futex_wait
     0.02%     0.00%  G1 Conc#4        [kernel.kallsyms]                          [k] clockevents_program_event
     0.02%     0.01%  GC Thread#1      [kernel.kallsyms]                          [k] rcu_pending
     0.02%     0.02%  G1 Refine#12     [kernel.kallsyms]                          [k] x86_pmu_disable_all
     0.02%     0.02%  Executor task l  [kernel.kallsyms]                          [k] nvme_setup_rw
     0.02%     0.02%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc5868e300
     0.02%     0.02%  GC Thread#19     [kernel.kallsyms]                          [k] __cgroup_account_cputime_field
     0.02%     0.02%  rm               [kernel.kallsyms]                          [k] __list_del_entry_valid
     0.02%     0.01%  GC Thread#9      [kernel.kallsyms]                          [k] ktime_get
     0.02%     0.01%  GC Thread#3      [kernel.kallsyms]                          [k] irqtime_account_irq
     0.02%     0.00%  G1 Refine#8      [kernel.kallsyms]                          [k] rcu_sched_clock_irq
     0.02%     0.00%  C2 CompilerThre  [kernel.kallsyms]                          [k] asm_sysvec_apic_timer_interrupt
     0.02%     0.02%  GC Thread#5      [kernel.kallsyms]                          [k] clear_page_rep
     0.02%     0.00%  GC Thread#5      [kernel.kallsyms]                          [k] kernel_init_free_pages.part.0
     0.02%     0.01%  GC Thread#17     [kernel.kallsyms]                          [k] rcu_pending
     0.02%     0.00%  GC Thread#8      [kernel.kallsyms]                          [k] __alloc_pages
     0.02%     0.00%  GC Thread#8      [kernel.kallsyms]                          [k] alloc_pages_vma
     0.02%     0.01%  GC Thread#10     [kernel.kallsyms]                          [k] update_rq_clock_task
     0.02%     0.02%  Executor task l  libjava.so                                 [.] readBytes
     0.02%     0.02%  GC Thread#3      [kernel.kallsyms]                          [k] __cgroup_account_cputime_field
     0.02%     0.01%  GC Thread#1      [kernel.kallsyms]                          [k] update_rq_clock_task
     0.02%     0.01%  GC Thread#22     [kernel.kallsyms]                          [k] __update_load_avg_se
     0.02%     0.02%  swapper          [kernel.kallsyms]                          [k] mwait_idle_with_hints
     0.02%     0.01%  rcu_sched        [kernel.kallsyms]                          [k] _raw_spin_lock_irqsave
     0.02%     0.01%  G1 Refine#1      [kernel.kallsyms]                          [k] note_gp_changes
     0.02%     0.00%  G1 Refine#9      [kernel.kallsyms]                          [k] __schedule
     0.02%     0.02%  kswapd0          [kernel.kallsyms]                          [k] page_mapping
     0.02%     0.01%  G1 Refine#13     [kernel.kallsyms]                          [k] update_curr
     0.02%     0.02%  kcompactd0       [kernel.kallsyms]                          [k] llist_add_batch
     0.02%     0.02%  G1 Refine#16     [kernel.kallsyms]                          [k] ktime_get_update_offsets_now
     0.02%     0.00%  rhsmcertd-worke  [kernel.kallsyms]                          [k] handle_mm_fault
     0.02%     0.00%  G1 Refine#13     [kernel.kallsyms]                          [k] entry_SYSCALL_64_after_hwframe
     0.02%     0.00%  G1 Refine#5      [kernel.kallsyms]                          [k] irqentry_exit_to_user_mode
     0.02%     0.00%  G1 Conc#0        [kernel.kallsyms]                          [k] load_balance
     0.02%     0.01%  GC Thread#1      [kernel.kallsyms]                          [k] ktime_get
     0.02%     0.02%  G1 Conc#1        [kernel.kallsyms]                          [k] __const_udelay
     0.02%     0.01%  GC Thread#2      [kernel.kallsyms]                          [k] rcu_pending
     0.02%     0.00%  G1 Refine#7      [kernel.kallsyms]                          [k] rcu_core
     0.02%     0.00%  G1 Refine#1      [kernel.kallsyms]                          [k] pick_next_task_fair
     0.02%     0.00%  GC Thread#8      [kernel.kallsyms]                          [k] rcu_sched_clock_irq
     0.02%     0.02%  G1 Refine#4      [kernel.kallsyms]                          [k] hrtimer_active
     0.02%     0.00%  G1 Refine#2      [kernel.kallsyms]                          [k] load_balance
     0.02%     0.00%  G1 Refine#4      [kernel.kallsyms]                          [k] irqentry_exit_to_user_mode
     0.02%     0.00%  G1 Refine#11     [kernel.kallsyms]                          [k] do_futex
     0.02%     0.00%  G1 Refine#13     [kernel.kallsyms]                          [k] do_syscall_64
     0.02%     0.01%  rcu_sched        [kernel.kallsyms]                          [k] del_timer_sync
     0.02%     0.00%  G1 Conc#4        [kernel.kallsyms]                          [k] load_balance
     0.02%     0.00%  G1 Refine#10     [kernel.kallsyms]                          [k] rcu_sched_clock_irq
     0.02%     0.02%  G1 Refine#0      [kernel.kallsyms]                          [k] update_irq_load_avg
     0.02%     0.02%  Executor task l  libjvm.so                                  [.] _ZN10HandleMark15pop_and_restoreEv
     0.02%     0.02%  GC Thread#4      [kernel.kallsyms]                          [k] hrtimer_active
     0.02%     0.00%  kswapd0          [kernel.kallsyms]                          [k] mem_cgroup_uncharge_list
     0.02%     0.02%  GC Thread#19     [kernel.kallsyms]                          [k] __irqentry_text_end
     0.02%     0.00%  C2 CompilerThre  [kernel.kallsyms]                          [k] sysvec_apic_timer_interrupt
     0.02%     0.00%  Executor task l  [kernel.kallsyms]                          [k] xas_alloc
     0.02%     0.01%  GC Thread#22     [kernel.kallsyms]                          [k] ktime_get
     0.02%     0.00%  G1 Refine#14     [kernel.kallsyms]                          [k] rcu_sched_clock_irq
     0.02%     0.02%  G1 Conc#1        libjvm.so                                  [.] _ZN7oopDesc4sizeEv
     0.02%     0.00%  GC Thread#9      [kernel.kallsyms]                          [k] rcu_sched_clock_irq
     0.02%     0.02%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc59588ff8
     0.02%     0.00%  G1 Refine#9      [kernel.kallsyms]                          [k] rcu_sched_clock_irq
     0.02%     0.01%  G1 Refine#5      [kernel.kallsyms]                          [k] __cgroup_account_cputime_field
     0.02%     0.00%  Executor task l  [kernel.kallsyms]                          [k] allocate_slab
     0.02%     0.00%  GC Thread#21     [kernel.kallsyms]                          [k] __handle_mm_fault
     0.02%     0.00%  rhsmcertd-worke  [kernel.kallsyms]                          [k] __handle_mm_fault
     0.02%     0.00%  G1 Conc#5        [kernel.kallsyms]                          [k] clockevents_program_event
     0.02%     0.02%  Executor task l  libjvm.so                                  [.] _ZN8PtrQueue20enqueue_known_activeEPv
     0.02%     0.02%  G1 Conc#5        libjvm.so                                  [.] _ZN7oopDesc4sizeEv
     0.02%     0.00%  Executor task l  [kernel.kallsyms]                          [k] ghes_poll_func
     0.02%     0.00%  G1 Refine#12     [kernel.kallsyms]                          [k] rcu_sched_clock_irq
     0.02%     0.02%  GC Thread#3      [kernel.kallsyms]                          [k] update_cfs_group
     0.02%     0.00%  GC Thread#16     [kernel.kallsyms]                          [k] alloc_pages_vma
     0.02%     0.02%  GC Thread#17     [kernel.kallsyms]                          [k] update_cfs_group
     0.02%     0.01%  GC Thread#8      [kernel.kallsyms]                          [k] ktime_get
     0.02%     0.01%  Executor task l  [kernel.kallsyms]                          [k] __cgroup_account_cputime
     0.02%     0.01%  G1 Refine#13     [kernel.kallsyms]                          [k] x86_pmu_disable_all
     0.02%     0.02%  G1 Conc#4        [kernel.kallsyms]                          [k] check_cpu_stall
     0.02%     0.00%  G1 Refine#1      [kernel.kallsyms]                          [k] futex_wait_queue_me
     0.02%     0.00%  G1 Refine#2      [kernel.kallsyms]                          [k] clockevents_program_event
     0.02%     0.00%  G1 Conc#5        [kernel.kallsyms]                          [k] load_balance
     0.02%     0.01%  swapper          [kernel.kallsyms]                          [k] need_update
     0.02%     0.00%  rm               [kernel.kallsyms]                          [k] list_lru_del
     0.02%     0.01%  GC Thread#0      [kernel.kallsyms]                          [k] rcu_pending
     0.02%     0.01%  kswapd0          [kernel.kallsyms]                          [k] count_shadow_nodes
     0.02%     0.02%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc5954eed4
     0.02%     0.00%  GC Thread#10     [kernel.kallsyms]                          [k] get_page_from_freelist
     0.02%     0.00%  GC Thread#10     [kernel.kallsyms]                          [k] rcu_sched_clock_irq
     0.02%     0.02%  G1 Conc#5        [kernel.kallsyms]                          [k] check_cpu_stall
     0.02%     0.00%  GC Thread#16     [kernel.kallsyms]                          [k] __alloc_pages
     0.02%     0.02%  GC Thread#13     [kernel.kallsyms]                          [k] clear_page_rep
     0.02%     0.00%  GC Thread#13     [kernel.kallsyms]                          [k] kernel_init_free_pages.part.0
     0.01%     0.01%  GC Thread#15     [kernel.kallsyms]                          [k] irqtime_account_irq
     0.01%     0.00%  GC Thread#22     [kernel.kallsyms]                          [k] rcu_sched_clock_irq
     0.01%     0.00%  G1 Conc#0        [kernel.kallsyms]                          [k] exit_to_user_mode_prepare
     0.01%     0.00%  G1 Refine#2      [kernel.kallsyms]                          [k] pick_next_task_fair
     0.01%     0.00%  G1 Refine#6      [kernel.kallsyms]                          [k] exit_to_user_mode_prepare
     0.01%     0.00%  G1 Refine#6      [kernel.kallsyms]                          [k] futex_wait
     0.01%     0.01%  Executor task l  [kernel.kallsyms]                          [k] find_busiest_queue
     0.01%     0.01%  G1 Refine#14     [kernel.kallsyms]                          [k] x86_pmu_disable_all
     0.01%     0.01%  GC Thread#17     [kernel.kallsyms]                          [k] irqtime_account_irq
     0.01%     0.01%  G1 Refine#15     [kernel.kallsyms]                          [k] x86_pmu_disable_all
     0.01%     0.01%  Executor task l  [kernel.kallsyms]                          [k] resched_curr
     0.01%     0.01%  GC Thread#11     [kernel.kallsyms]                          [k] ktime_get
     0.01%     0.01%  Executor task l  [kernel.kallsyms]                          [k] sg_init_table
     0.01%     0.00%  G1 Refine#1      [kernel.kallsyms]                          [k] tick_sched_do_timer
     0.01%     0.00%  G1 Conc#1        [kernel.kallsyms]                          [k] load_balance
     0.01%     0.01%  GC Thread#19     [kernel.kallsyms]                          [k] irqtime_account_irq
     0.01%     0.00%  G1 Refine#11     [kernel.kallsyms]                          [k] rcu_sched_clock_irq
     0.01%     0.01%  G1 Refine#10     [kernel.kallsyms]                          [k] ktime_get
     0.01%     0.01%  GC Thread#13     [kernel.kallsyms]                          [k] update_rq_clock_task
     0.01%     0.01%  G1 Refine#2      [kernel.kallsyms]                          [k] __const_udelay
     0.01%     0.00%  GC Thread#18     [kernel.kallsyms]                          [k] __handle_mm_fault
     0.01%     0.00%  GC Thread#18     [kernel.kallsyms]                          [k] asm_exc_page_fault
     0.01%     0.00%  GC Thread#18     [kernel.kallsyms]                          [k] do_anonymous_page
     0.01%     0.00%  GC Thread#18     [kernel.kallsyms]                          [k] do_user_addr_fault
     0.01%     0.00%  GC Thread#18     [kernel.kallsyms]                          [k] exc_page_fault
     0.01%     0.00%  GC Thread#18     [kernel.kallsyms]                          [k] handle_mm_fault
     0.01%     0.01%  G1 Conc#3        [kernel.kallsyms]                          [k] __irqentry_text_end
     0.01%     0.01%  Executor task l  [kernel.kallsyms]                          [k] perf_swevent_start
     0.01%     0.01%  Executor task l  [kernel.kallsyms]                          [k] kthread_is_per_cpu
     0.01%     0.00%  G1 Conc#0        [kernel.kallsyms]                          [k] irqentry_exit_to_user_mode
     0.01%     0.01%  GC Thread#14     [kernel.kallsyms]                          [k] update_cfs_group
     0.01%     0.01%  GC Thread#0      [kernel.kallsyms]                          [k] __update_load_avg_se
     0.01%     0.01%  Executor task l  [kernel.kallsyms]                          [k] from_kuid_munged
     0.01%     0.00%  G1 Refine#0      [kernel.kallsyms]                          [k] rcu_report_qs_rdp
     0.01%     0.01%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc5954ee0a
     0.01%     0.01%  G1 Refine#17     [kernel.kallsyms]                          [k] update_curr
     0.01%     0.00%  G1 Conc#0        [kernel.kallsyms]                          [k] futex_wait
     0.01%     0.01%  GC Thread#18     [kernel.kallsyms]                          [k] hrtimer_active
     0.01%     0.01%  G1 Refine#1      [kernel.kallsyms]                          [k] irqtime_account_irq
     0.01%     0.00%  G1 Conc#3        [kernel.kallsyms]                          [k] load_balance
     0.01%     0.01%  swapper          [kernel.kallsyms]                          [k] update_dl_rq_load_avg
     0.01%     0.00%  G1 Conc#0        [kernel.kallsyms]                          [k] clockevents_program_event
     0.01%     0.00%  rcu_sched        [kernel.kallsyms]                          [k] newidle_balance
     0.01%     0.01%  GC Thread#9      [kernel.kallsyms]                          [k] update_rq_clock_task
     0.01%     0.01%  G1 Refine#2      [kernel.kallsyms]                          [k] check_cpu_stall
     0.01%     0.01%  GC Thread#0      [kernel.kallsyms]                          [k] hrtimer_active
     0.01%     0.01%  GC Thread#6      [kernel.kallsyms]                          [k] rcu_pending
     0.01%     0.01%  G1 Refine#1      [kernel.kallsyms]                          [k] arch_scale_freq_tick
     0.01%     0.00%  G1 Conc#2        [kernel.kallsyms]                          [k] clockevents_program_event
     0.01%     0.00%  GC Thread#20     [kernel.kallsyms]                          [k] asm_exc_page_fault
     0.01%     0.00%  GC Thread#20     [kernel.kallsyms]                          [k] do_user_addr_fault
     0.01%     0.00%  GC Thread#20     [kernel.kallsyms]                          [k] exc_page_fault
     0.01%     0.00%  VM Thread        [kernel.kallsyms]                          [k] __x64_sys_futex
     0.01%     0.01%  G1 Refine#7      [kernel.kallsyms]                          [k] __update_load_avg_cfs_rq
     0.01%     0.01%  G1 Conc#5        [kernel.kallsyms]                          [k] __const_udelay
     0.01%     0.01%  G1 Conc#0        [kernel.kallsyms]                          [k] tick_sched_do_timer
     0.01%     0.00%  Executor task l  [kernel.kallsyms]                          [k] __queue_work
     0.01%     0.01%  Executor task l  [kernel.kallsyms]                          [k] osq_lock
     0.01%     0.00%  GC Thread#6      [kernel.kallsyms]                          [k] alloc_pages_vma
     0.01%     0.00%  G1 Conc#1        [kernel.kallsyms]                          [k] clockevents_program_event
     0.01%     0.01%  G1 Refine#16     [kernel.kallsyms]                          [k] update_curr
     0.01%     0.00%  GC Thread#0      [kernel.kallsyms]                          [k] __handle_mm_fault
     0.01%     0.00%  GC Thread#0      [kernel.kallsyms]                          [k] asm_exc_page_fault
     0.01%     0.00%  GC Thread#0      [kernel.kallsyms]                          [k] do_anonymous_page
     0.01%     0.00%  GC Thread#0      [kernel.kallsyms]                          [k] do_user_addr_fault
     0.01%     0.00%  GC Thread#0      [kernel.kallsyms]                          [k] exc_page_fault
     0.01%     0.00%  GC Thread#0      [kernel.kallsyms]                          [k] handle_mm_fault
     0.01%     0.01%  G1 Refine#19     [kernel.kallsyms]                          [k] update_curr
     0.01%     0.00%  kworker/1:2-mm_  [kernel.kallsyms]                          [k] fb_flashcursor
     0.01%     0.01%  G1 Refine#8      [kernel.kallsyms]                          [k] __update_load_avg_cfs_rq
     0.01%     0.01%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc58674f7d
     0.01%     0.01%  G1 Refine#18     [kernel.kallsyms]                          [k] update_curr
     0.01%     0.00%  G1 Refine#7      [kernel.kallsyms]                          [k] exit_to_user_mode_prepare
     0.01%     0.00%  G1 Refine#10     [kernel.kallsyms]                          [k] schedule
     0.01%     0.00%  G1 Conc#1        [kernel.kallsyms]                          [k] futex_wait_queue_me
     0.01%     0.00%  G1 Refine#5      [kernel.kallsyms]                          [k] amd_pmu_wait_on_overflow
     0.01%     0.00%  swapper          [kernel.kallsyms]                          [k] rcu_idle_exit
     0.01%     0.00%  G1 Refine#5      [kernel.kallsyms]                          [k] wake_up_q
     0.01%     0.00%  Spark Context C  [kernel.kallsyms]                          [k] __x64_sys_futex
     0.01%     0.01%  swapper          [kernel.kallsyms]                          [k] __update_load_avg_cfs_rq
     0.01%     0.01%  G1 Refine#21     [kernel.kallsyms]                          [k] ktime_get_update_offsets_now
     0.01%     0.00%  GC Thread#3      [kernel.kallsyms]                          [k] get_page_from_freelist
     0.01%     0.00%  GC Thread#19     [kernel.kallsyms]                          [k] __softirqentry_text_start
     0.01%     0.01%  G1 Refine#0      [kernel.kallsyms]                          [k] x86_pmu_disable
     0.01%     0.01%  G1 Refine#1      [kernel.kallsyms]                          [k] __irqentry_text_end
     0.01%     0.00%  G1 Refine#14     [kernel.kallsyms]                          [k] entry_SYSCALL_64_after_hwframe
     0.01%     0.01%  Executor task l  [kernel.kallsyms]                          [k] page_mapping
     0.01%     0.01%  GC Thread#21     [kernel.kallsyms]                          [k] __irqentry_text_end
     0.01%     0.01%  Executor task l  [kernel.kallsyms]                          [k] dma_direct_map_sg
     0.01%     0.01%  G1 Refine#2      [kernel.kallsyms]                          [k] arch_scale_freq_tick
     0.01%     0.01%  GC Thread#13     [kernel.kallsyms]                          [k] __cgroup_account_cputime_field
     0.01%     0.00%  G1 Conc#2        [kernel.kallsyms]                          [k] __do_sys_getrusage
     0.01%     0.01%  GC Thread#12     [kernel.kallsyms]                          [k] hrtimer_active
     0.01%     0.01%  G1 Refine#11     [kernel.kallsyms]                          [k] ktime_get
     0.01%     0.01%  GC Thread#12     [kernel.kallsyms]                          [k] update_cfs_group
     0.01%     0.00%  swapper          [kernel.kallsyms]                          [k] cpumask_next_and
     0.01%     0.01%  GC Thread#16     [kernel.kallsyms]                          [k] __cgroup_account_cputime_field
     0.01%     0.01%  GC Thread#21     [kernel.kallsyms]                          [k] irqtime_account_irq
     0.01%     0.01%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc5920e009
     0.01%     0.01%  GC Thread#18     [kernel.kallsyms]                          [k] ktime_get
     0.01%     0.00%  G1 Refine#6      [kernel.kallsyms]                          [k] rcu_pending
     0.01%     0.00%  G1 Conc#3        [kernel.kallsyms]                          [k] clockevents_program_event
     0.01%     0.00%  GC Thread#21     [kernel.kallsyms]                          [k] do_anonymous_page
     0.01%     0.01%  Executor task l  [kernel.kallsyms]                          [k] process_measurement
     0.01%     0.01%  GC Thread#7      [kernel.kallsyms]                          [k] irqtime_account_irq
     0.01%     0.00%  Executor task l  [kernel.kallsyms]                          [k] ghes_proc
     0.01%     0.00%  GC Thread#11     [kernel.kallsyms]                          [k] __alloc_pages
     0.01%     0.00%  GC Thread#11     [kernel.kallsyms]                          [k] alloc_pages_vma
     0.01%     0.01%  GC Thread#22     [kernel.kallsyms]                          [k] __cgroup_account_cputime_field
     0.01%     0.00%  VM Thread        [kernel.kallsyms]                          [k] do_futex
     0.01%     0.00%  G1 Refine#14     [kernel.kallsyms]                          [k] do_syscall_64
     0.01%     0.00%  G1 Refine#8      [kernel.kallsyms]                          [k] futex_wake
     0.01%     0.01%  G1 Refine#2      [kernel.kallsyms]                          [k] irqtime_account_irq
     0.01%     0.01%  G1 Refine#7      [kernel.kallsyms]                          [k] __cgroup_account_cputime_field
     0.01%     0.01%  G1 Refine#22     [kernel.kallsyms]                          [k] update_curr
     0.01%     0.01%  swapper          [kernel.kallsyms]                          [k] irqentry_enter
     0.01%     0.00%  Executor task l  [kernel.kallsyms]                          [k] nvme_complete_rq
     0.01%     0.01%  G1 Refine#0      [kernel.kallsyms]                          [k] tick_program_event
     0.01%     0.00%  G1 Refine#11     [kernel.kallsyms]                          [k] schedule
     0.01%     0.00%  G1 Refine#8      [kernel.kallsyms]                          [k] exit_to_user_mode_prepare
     0.01%     0.01%  GC Thread#10     [kernel.kallsyms]                          [k] __cgroup_account_cputime_field
     0.01%     0.01%  GC Thread#21     [kernel.kallsyms]                          [k] __cgroup_account_cputime_field
