# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 301K of event 'cycles'
# Event count (approx.): 8955303910291
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
     2.47%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] generic_file_read_iter
     2.47%     0.03%  pool-4-thread-1  [kernel.kallsyms]  [k] filemap_read
     2.40%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] grab_cache_page_write_begin
     2.40%     0.03%  pool-4-thread-1  [kernel.kallsyms]  [k] pagecache_get_page
     2.27%     0.01%  kswapd1          [kernel.kallsyms]  [k] shrink_lruvec
     2.24%     0.01%  kswapd1          [kernel.kallsyms]  [k] evict_pages
     2.19%     1.80%  pool-4-thread-1  [kernel.kallsyms]  [k] __add_to_page_cache_locked
     2.07%     1.26%  java             [kernel.kallsyms]  [k] __handle_mm_fault
     2.00%     2.00%  java             [kernel.kallsyms]  [k] down_read_trylock
     1.98%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     1.98%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] do_syscall_64
     1.85%     0.13%  InMemoryMerger   [kernel.kallsyms]  [k] add_to_page_cache_lru
     1.64%     1.62%  localfetcher#1   [kernel.kallsyms]  [k] clear_page_erms
     1.64%     0.14%  localfetcher#1   [kernel.kallsyms]  [k] add_to_page_cache_lru
     1.58%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] page_cache_ra_unbounded
     1.58%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] filemap_get_pages
     1.57%     0.13%  kswapd1          [kernel.kallsyms]  [k] shrink_page_list
     1.54%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ondemand_readahead
     1.52%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] page_cache_async_ra
     1.35%     0.01%  localfetcher#1   [kernel.kallsyms]  [k] alloc_pages
     1.34%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] __page_cache_alloc
     1.34%     1.33%  pool-4-thread-1  [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     1.34%     0.00%  kswapd0          [kernel.kallsyms]  [k] kswapd
