# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 2077848604405
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                                                               
# ........  ........  ...............  ..................................  .....................................................................................................................................................................................................
#
    39.03%     0.10%  Executor task l  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
    37.87%     0.06%  Executor task l  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
    33.21%     0.40%  Executor task l  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
    32.49%     0.82%  Executor task l  [kernel.kallsyms]                   [k] hrtimer_interrupt
    28.43%     0.66%  Executor task l  [kernel.kallsyms]                   [k] __hrtimer_run_queues
    27.78%     0.07%  Executor task l  [kernel.kallsyms]                   [k] __run_hrtimer
    26.60%     0.05%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_timer
    25.15%     0.05%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_handle
    25.00%     1.09%  Executor task l  [kernel.kallsyms]                   [k] update_process_times
    18.62%     0.87%  Executor task l  [kernel.kallsyms]                   [k] scheduler_tick
    15.66%     0.04%  Executor task l  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
    15.62%     0.03%  Executor task l  [kernel.kallsyms]                   [k] do_syscall_64
     9.12%     0.01%  Executor task l  [kernel.kallsyms]                   [k] ksys_read
     9.00%     0.04%  Executor task l  [kernel.kallsyms]                   [k] vfs_read
     8.85%     0.06%  Executor task l  [kernel.kallsyms]                   [k] new_sync_read
     8.75%     0.13%  Executor task l  [kernel.kallsyms]                   [k] filemap_read
     8.57%     0.91%  Executor task l  [kernel.kallsyms]                   [k] task_tick_fair
     7.15%     0.55%  Executor task l  [kernel.kallsyms]                   [k] perf_event_task_tick
     6.59%     2.91%  Executor task l  [kernel.kallsyms]                   [k] perf_adjust_freq_unthr_context
     4.72%     0.04%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter
     4.68%     0.06%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter_iovec
     4.67%     4.51%  Executor task l  [kernel.kallsyms]                   [k] copy_user_generic_string
     3.85%     0.41%  Executor task l  [kernel.kallsyms]                   [k] __irq_exit_rcu
     3.74%     0.03%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_pages
     3.68%     1.61%  Executor task l  [kernel.kallsyms]                   [k] update_load_avg
     3.18%     0.00%  Executor task l  [kernel.kallsyms]                   [k] __x64_sys_openat
     3.18%     0.01%  Executor task l  [kernel.kallsyms]                   [k] do_sys_openat2
     3.12%     0.02%  Executor task l  [kernel.kallsyms]                   [k] amd_pmu_disable_all
     3.00%     0.52%  Executor task l  [kernel.kallsyms]                   [k] __softirqentry_text_start
     2.83%     0.02%  Executor task l  [kernel.kallsyms]                   [k] do_filp_open
     2.81%     0.01%  Executor task l  [kernel.kallsyms]                   [k] path_openat
     2.53%     0.02%  Executor task l  [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     2.45%     1.27%  Executor task l  [kernel.kallsyms]                   [k] account_user_time
     2.09%     1.89%  Executor task l  [kernel.kallsyms]                   [k] x86_pmu_disable_all
     2.09%     1.40%  Executor task l  [kernel.kallsyms]                   [k] update_curr
     2.06%     0.00%  swapper          [kernel.kallsyms]                   [k] cpu_startup_entry
     2.06%     0.00%  swapper          [kernel.kallsyms]                   [k] secondary_startup_64_no_verify
     2.06%     0.01%  swapper          [kernel.kallsyms]                   [k] do_idle
     2.01%     1.94%  Executor task l  [kernel.kallsyms]                   [k] ktime_get_update_offsets_now
     1.92%     0.17%  Executor task l  [kernel.kallsyms]                   [k] exit_to_user_mode_prepare
     1.88%     0.01%  swapper          [kernel.kallsyms]                   [k] cpuidle_idle_call
     1.66%     0.26%  Executor task l  [kernel.kallsyms]                   [k] rcu_sched_clock_irq
     1.65%     0.00%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter
     1.65%     0.03%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter_state
     1.54%     0.17%  Executor task l  [kernel.kallsyms]                   [k] rcu_core
     1.45%     0.00%  Executor task l  [kernel.kallsyms]                   [k] irqentry_exit_to_user_mode
     1.43%     0.06%  Executor task l  [kernel.kallsyms]                   [k] exit_to_user_mode_loop
     1.30%     1.17%  Executor task l  [kernel.kallsyms]                   [k] ktime_get
     1.30%     0.07%  Executor task l  [kernel.kallsyms]                   [k] schedule
     1.24%     0.01%  Executor task l  [kernel.kallsyms]                   [k] asm_exc_page_fault
     1.23%     0.23%  Executor task l  [kernel.kallsyms]                   [k] __schedule
     1.23%     0.40%  Executor task l  [kernel.kallsyms]                   [k] rcu_pending
     1.16%     0.03%  swapper          [kernel.kallsyms]                   [k] asm_sysvec_call_function_single
     1.13%     0.01%  swapper          [kernel.kallsyms]                   [k] sysvec_call_function_single
     1.10%     0.00%  GC Thread#22     [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     1.10%     0.01%  swapper          [kernel.kallsyms]                   [k] __irq_exit_rcu
     1.10%     0.00%  GC Thread#22     [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     1.09%     0.08%  swapper          [kernel.kallsyms]                   [k] __softirqentry_text_start
     1.09%     0.01%  Executor task l  [kernel.kallsyms]                   [k] read_pages
     1.09%     1.07%  Executor task l  [kernel.kallsyms]                   [k] __update_load_avg_cfs_rq
     1.08%     0.57%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_read_batch
     1.06%     0.51%  Executor task l  [kernel.kallsyms]                   [k] update_rq_clock_task
     1.03%     0.00%  GC Thread#8      [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     1.03%     0.00%  GC Thread#11     [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     1.02%     0.00%  GC Thread#12     [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
