# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 191K of event 'cycles'
# Event count (approx.): 17297680199363
#
# Children      Self  Command          Shared Object                       Symbol                                           
# ........  ........  ...............  ..................................  .................................................
#
     0.75%     0.00%  kswapd1          [kernel.kallsyms]                   [k] arch_tlbbatch_flush
     0.75%     0.00%  kswapd1          [kernel.kallsyms]                   [k] try_to_unmap_flush
     0.74%     0.06%  kswapd1          [kernel.kallsyms]                   [k] native_flush_tlb_multi
     0.74%     0.01%  kswapd0          [kernel.kallsyms]                   [k] rmap_walk
     0.74%     0.19%  NonPeriodicTask  [kernel.kallsyms]                   [k] pagevec_lru_move_fn
     0.74%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __x64_sys_munmap
     0.74%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __vm_munmap
     0.73%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __do_munmap
     0.73%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_region
     0.71%     0.04%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_sendmsg_locked
     0.68%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_single_vma
     0.68%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_vmas
     0.68%     0.02%  kswapd0          [kernel.kallsyms]                   [k] rmap_walk_file
     0.67%     0.22%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_page_range
     0.67%     0.00%  swapper          [kernel.kallsyms]                   [k] asm_common_interrupt
     0.67%     0.00%  kswapd1          [kernel.kallsyms]                   [k] on_each_cpu_cond_mask
     0.66%     0.01%  swapper          [kernel.kallsyms]                   [k] common_interrupt
     0.66%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __x64_sys_futex
     0.66%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_push
     0.66%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __tcp_push_pending_frames
     0.66%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] futex_wait_queue_me
     0.66%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_futex
     0.66%     0.02%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_write_xmit
     0.65%     0.06%  cluster1-nio-wo  [kernel.kallsyms]                   [k] futex_wake
     0.64%     0.02%  epollEventLoopG  [kernel.kallsyms]                   [k] __tcp_transmit_skb
     0.63%     0.01%  swapper          [kernel.kallsyms]                   [k] __common_interrupt
     0.62%     0.01%  swapper          [kernel.kallsyms]                   [k] handle_edge_irq
     0.59%     0.00%  swapper          [kernel.kallsyms]                   [k] handle_irq_event
     0.59%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_queue_xmit
     0.59%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] __ip_queue_xmit
     0.58%     0.01%  swapper          [kernel.kallsyms]                   [k] cpuidle_select
     0.58%     0.00%  swapper          [kernel.kallsyms]                   [k] __handle_irq_event_percpu
     0.58%     0.00%  swapper          [kernel.kallsyms]                   [k] nvme_irq
     0.57%     0.04%  swapper          [kernel.kallsyms]                   [k] nvme_process_cq
     0.57%     0.49%  kswapd1          [kernel.kallsyms]                   [k] smp_call_function_many_cond
     0.57%     0.00%  swapper          [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.57%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_local_out
     0.56%     0.29%  swapper          [kernel.kallsyms]                   [k] menu_select
     0.56%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] schedule
     0.56%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_output
     0.55%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_finish_output
     0.55%     0.02%  kswapd1          [kernel.kallsyms]                   [k] page_referenced
     0.54%     0.04%  cluster1-nio-wo  [kernel.kallsyms]                   [k] try_to_wake_up
     0.53%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __ip_finish_output
     0.53%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] wake_up_q
     0.53%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_finish_output2
     0.52%     0.01%  swapper          [kernel.kallsyms]                   [k] nvme_pci_complete_rq
     0.52%     0.11%  Native-Transpor  [kernel.kallsyms]                   [k] __schedule
     0.51%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_push
     0.51%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __tcp_push_pending_frames
     0.50%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_write_xmit
     0.50%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __tcp_transmit_skb
     0.50%     0.00%  swapper          [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.50%     0.01%  kswapd1          [kernel.kallsyms]                   [k] __delete_from_page_cache
     0.49%     0.45%  kswapd1          [kernel.kallsyms]                   [k] isolate_lru_pages
     0.47%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __local_bh_enable_ip
     0.47%     0.00%  kswapd1          [kernel.kallsyms]                   [k] try_to_unmap
     0.47%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_queue_xmit
     0.47%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __ip_queue_xmit
     0.47%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_softirq
     0.47%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] __softirqentry_text_start
     0.45%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] net_rx_action
