# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 8046560974409
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
    27.90%     0.26%  java             [kernel.kallsyms]         [k] asm_exc_page_fault
    25.92%     0.25%  java             [kernel.kallsyms]         [k] exc_page_fault
    23.90%     0.36%  java             [kernel.kallsyms]         [k] do_user_addr_fault
    21.65%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
    21.64%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] do_syscall_64
    20.02%     0.75%  java             [kernel.kallsyms]         [k] handle_mm_fault
    17.29%     3.22%  java             [kernel.kallsyms]         [k] __handle_mm_fault
    13.35%     0.15%  LocalJobRunner   [kernel.kallsyms]         [k] asm_exc_page_fault
    12.31%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ksys_read
    12.31%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] __x64_sys_read
    12.30%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] vfs_read
    12.30%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] new_sync_read
    12.30%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_file_read_iter
    12.30%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] generic_file_read_iter
    12.30%     0.12%  LocalJobRunner   [kernel.kallsyms]         [k] filemap_read
    12.12%     0.09%  LocalJobRunner   [kernel.kallsyms]         [k] exc_page_fault
    11.53%     0.21%  LocalJobRunner   [kernel.kallsyms]         [k] do_user_addr_fault
    10.86%     0.26%  LocalJobRunner   [kernel.kallsyms]         [k] handle_mm_fault
     9.86%     1.20%  LocalJobRunner   [kernel.kallsyms]         [k] __handle_mm_fault
     8.39%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] __x64_sys_write
     8.39%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ksys_write
     8.39%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] vfs_write
     8.39%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] new_sync_write
     8.39%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_file_write_iter
     8.39%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_buffered_write_iter
     8.36%     0.03%  LocalJobRunner   [kernel.kallsyms]         [k] generic_perform_write
     7.32%     0.22%  LocalJobRunner   [kernel.kallsyms]         [k] add_to_page_cache_lru
     7.31%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] filemap_get_pages
     7.13%     0.04%  LocalJobRunner   [kernel.kallsyms]         [k] page_cache_ra_unbounded
     7.08%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ondemand_readahead
     6.46%     0.12%  java             [kernel.kallsyms]         [k] migrate_misplaced_page
     6.29%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] page_cache_async_ra
     5.98%     0.00%  kswapd1          [kernel.kallsyms]         [k] kthread
     5.98%     0.00%  kswapd1          [kernel.kallsyms]         [k] ret_from_fork
     5.98%     0.00%  kswapd1          [kernel.kallsyms]         [k] kswapd
     5.98%     0.00%  kswapd1          [kernel.kallsyms]         [k] balance_pgdat
     5.98%     0.00%  kswapd1          [kernel.kallsyms]         [k] shrink_node
     5.92%     0.14%  LocalJobRunner   [kernel.kallsyms]         [k] __alloc_pages
     5.69%     0.49%  java             [kernel.kallsyms]         [k] migrate_pages
     5.64%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] cgroup_rstat_flush_irqsafe
     5.59%     0.02%  kswapd1          [kernel.kallsyms]         [k] shrink_lruvec
     5.59%     5.50%  LocalJobRunner   [kernel.kallsyms]         [k] copy_user_enhanced_fast_string
     5.40%     0.08%  LocalJobRunner   [kernel.kallsyms]         [k] workingset_refault
     4.94%     0.42%  LocalJobRunner   [kernel.kallsyms]         [k] get_page_from_freelist
     4.78%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] mem_cgroup_flush_stats
     4.51%     0.77%  LocalJobRunner   [kernel.kallsyms]         [k] cgroup_rstat_flush_locked
     4.36%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] asm_sysvec_apic_timer_interrupt
     4.33%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] sysvec_apic_timer_interrupt
     4.31%     0.00%  swapper          [kernel.kallsyms]         [k] secondary_startup_64_no_verify
     4.31%     0.00%  swapper          [kernel.kallsyms]         [k] cpu_startup_entry
     4.29%     0.01%  swapper          [kernel.kallsyms]         [k] do_idle
     4.20%     0.00%  swapper          [kernel.kallsyms]         [k] start_secondary
     4.09%     0.10%  LocalJobRunner   [kernel.kallsyms]         [k] exit_to_user_mode_prepare
     4.06%     0.00%  swapper          [kernel.kallsyms]         [k] cpuidle_enter
     4.06%     0.00%  swapper          [kernel.kallsyms]         [k] cpuidle_enter_state
     4.02%     0.00%  kswapd0          [kernel.kallsyms]         [k] kthread
     4.02%     0.00%  kswapd0          [kernel.kallsyms]         [k] ret_from_fork
     4.02%     0.00%  kswapd0          [kernel.kallsyms]         [k] kswapd
     4.02%     0.00%  kswapd0          [kernel.kallsyms]         [k] balance_pgdat
