# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3355615340298
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                           
# ........  ........  ...............  ..................................  .................................................................................................................................................................
#
     1.41%     0.00%  Executor task l  [kernel.kallsyms]                   [k] asm_common_interrupt
     1.40%     0.01%  Executor task l  [kernel.kallsyms]                   [k] common_interrupt
     1.39%     0.96%  Executor task l  [kernel.kallsyms]                   [k] rmqueue_bulk
     1.28%     1.24%  Executor task l  [kernel.kallsyms]                   [k] ktime_get_update_offsets_now
     1.27%     0.12%  Executor task l  [kernel.kallsyms]                   [k] lru_cache_add
     1.26%     0.15%  Executor task l  [kernel.kallsyms]                   [k] rcu_sched_clock_irq
     1.25%     0.01%  Executor task l  [kernel.kallsyms]                   [k] __ext4_mark_inode_dirty
     1.23%     0.03%  Executor task l  [kernel.kallsyms]                   [k] __common_interrupt
     1.23%     0.78%  Executor task l  [kernel.kallsyms]                   [k] xas_load
     1.20%     0.03%  Executor task l  [kernel.kallsyms]                   [k] handle_edge_irq
     1.15%     0.12%  Executor task l  [kernel.kallsyms]                   [k] __pagevec_lru_add
     1.13%     0.03%  Executor task l  [kernel.kallsyms]                   [k] mem_cgroup_charge
     1.10%     0.29%  Executor task l  [kernel.kallsyms]                   [k] _raw_spin_lock_irqsave
     1.10%     0.02%  Executor task l  [kernel.kallsyms]                   [k] handle_irq_event
     1.09%     0.61%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_read_batch
     1.07%     0.16%  Executor task l  [kernel.kallsyms]                   [k] __softirqentry_text_start
     1.03%     0.02%  Executor task l  [kernel.kallsyms]                   [k] __handle_irq_event_percpu
     1.01%     0.45%  Executor task l  [kernel.kallsyms]                   [k] rcu_pending
     1.00%     0.00%  Executor task l  [kernel.kallsyms]                   [k] nvme_irq
     1.00%     0.11%  Executor task l  [kernel.kallsyms]                   [k] nvme_process_cq
     0.98%     0.08%  kswapd0          [kernel.kallsyms]                   [k] __remove_mapping
     0.91%     0.00%  swapper          [kernel.kallsyms]                   [k] cpu_startup_entry
     0.91%     0.00%  swapper          [kernel.kallsyms]                   [k] secondary_startup_64_no_verify
     0.91%     0.00%  swapper          [kernel.kallsyms]                   [k] do_idle
     0.89%     0.41%  Executor task l  [kernel.kallsyms]                   [k] kmem_cache_alloc
     0.88%     0.00%  Executor task l  [kernel.kallsyms]                   [k] blk_finish_plug
     0.85%     0.00%  Executor task l  [kernel.kallsyms]                   [k] __alloc_pages_slowpath.constprop.0
     0.85%     0.03%  Executor task l  [kernel.kallsyms]                   [k] blk_mq_flush_plug_list
     0.81%     0.01%  Executor task l  [kernel.kallsyms]                   [k] blk_mq_sched_insert_requests
     0.80%     0.03%  Executor task l  [kernel.kallsyms]                   [k] blk_mq_try_issue_list_directly
     0.80%     0.00%  Executor task l  [kernel.kallsyms]                   [k] __x64_sys_openat
     0.80%     0.00%  Executor task l  [kernel.kallsyms]                   [k] do_sys_openat2
     0.79%     0.71%  Executor task l  [kernel.kallsyms]                   [k] ktime_get
     0.79%     0.02%  Executor task l  [kernel.kallsyms]                   [k] ext4_mark_iloc_dirty
     0.78%     0.01%  swapper          [kernel.kallsyms]                   [k] cpuidle_idle_call
     0.76%     0.02%  Executor task l  [kernel.kallsyms]                   [k] __blk_mq_try_issue_directly
     0.75%     0.32%  Executor task l  [kernel.kallsyms]                   [k] __mod_lruvec_page_state
     0.74%     0.64%  Executor task l  [kernel.kallsyms]                   [k] __update_load_avg_se
     0.73%     0.27%  Executor task l  [kernel.kallsyms]                   [k] ext4_do_update_inode.isra.0
     0.72%     0.01%  Executor task l  [kernel.kallsyms]                   [k] do_filp_open
     0.71%     0.08%  Executor task l  [kernel.kallsyms]                   [k] nvme_queue_rq
     0.71%     0.00%  Executor task l  [kernel.kallsyms]                   [k] path_openat
     0.70%     0.69%  Executor task l  [kernel.kallsyms]                   [k] __update_load_avg_cfs_rq
     0.69%     0.00%  Executor task l  [kernel.kallsyms]                   [k] shrink_node_memcgs
     0.69%     0.00%  Executor task l  [kernel.kallsyms]                   [k] do_try_to_free_pages
     0.69%     0.00%  Executor task l  [kernel.kallsyms]                   [k] shrink_node
