# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 865K of event 'cycles'
# Event count (approx.): 1633088252747
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                                
# ........  ........  ...............  ..................................  ......................................................................................................................................................................
#
     0.95%     0.02%  G1 Refine#0      [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.92%     0.05%  Executor task l  [kernel.kallsyms]                   [k] exit_to_user_mode_loop
     0.89%     0.25%  Executor task l  [kernel.kallsyms]                   [k] amd_pmu_wait_on_overflow
     0.89%     0.00%  G1 Refine#2      [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.89%     0.01%  G1 Refine#1      [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.87%     0.85%  Executor task l  [kernel.kallsyms]                   [k] __update_load_avg_cfs_rq
     0.87%     0.00%  G1 Refine#2      [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.87%     0.02%  G1 Refine#1      [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.85%     0.85%  Executor task l  [kernel.kallsyms]                   [k] update_cfs_group
     0.84%     0.83%  Executor task l  [kernel.kallsyms]                   [k] __cgroup_account_cputime_field
     0.83%     0.02%  G1 Refine#0      [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.83%     0.07%  Executor task l  [kernel.kallsyms]                   [k] link_path_walk.part.0
     0.81%     0.00%  G1 Refine#0      [kernel.kallsyms]                   [k] __run_hrtimer
     0.81%     0.00%  G1 Conc#1        [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.81%     0.00%  G1 Conc#3        [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.81%     0.00%  G1 Conc#4        [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.80%     0.00%  G1 Conc#0        [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.80%     0.80%  Executor task l  [kernel.kallsyms]                   [k] check_cpu_stall
     0.80%     0.00%  G1 Conc#1        [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.80%     0.00%  G1 Conc#5        [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
