# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 350K of event 'cycles'
# Event count (approx.): 5662229416096
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
     1.79%     0.03%  kswapd1          [kernel.kallsyms]  [k] evict_pages
     1.77%     1.76%  java             [kernel.kallsyms]  [k] up_read
     1.73%     1.72%  pool-4-thread-1  [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     1.71%     0.06%  pool-4-thread-1  [kernel.kallsyms]  [k] __mark_inode_dirty
     1.65%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_dirty_inode
     1.65%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] exc_page_fault
     1.57%     0.03%  pool-4-thread-1  [kernel.kallsyms]  [k] do_user_addr_fault
     1.48%     0.04%  pool-4-thread-1  [kernel.kallsyms]  [k] handle_mm_fault
     1.47%     0.09%  pool-4-thread-1  [kernel.kallsyms]  [k] __alloc_pages
     1.42%     0.07%  java             [kernel.kallsyms]  [k] migrate_misplaced_page
     1.41%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] alloc_pages
     1.38%     0.10%  localfetcher#1   [kernel.kallsyms]  [k] add_to_page_cache_lru
     1.36%     0.21%  pool-4-thread-1  [kernel.kallsyms]  [k] get_page_from_freelist
     1.36%     0.01%  java             [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     1.35%     0.01%  java             [kernel.kallsyms]  [k] do_syscall_64
     1.34%     1.33%  localfetcher#1   [kernel.kallsyms]  [k] clear_page_erms
     1.30%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __x64_sys_write
     1.30%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ksys_write
     1.30%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] vfs_write
     1.30%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_file_write_iter
     1.30%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] new_sync_write
     1.30%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_buffered_write_iter
     1.30%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] generic_perform_write
     1.26%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] do_syscall_64
     1.26%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     1.25%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] __x64_sys_write
     1.25%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] ksys_write
     1.25%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] vfs_write
     1.25%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] ext4_buffered_write_iter
     1.25%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] ext4_file_write_iter
     1.25%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] new_sync_write
     1.25%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] generic_perform_write
     1.23%     0.22%  pool-4-thread-1  [kernel.kallsyms]  [k] __handle_mm_fault
     1.22%     1.22%  swapper          [unknown]          [.] 0000000000000000
     1.17%     0.05%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_block_write_begin
     1.17%     0.03%  java             [kernel.kallsyms]  [k] asm_sysvec_call_function
     1.16%     0.08%  kswapd1          [kernel.kallsyms]  [k] shrink_page_list
     1.14%     0.10%  java             [kernel.kallsyms]  [k] migrate_pages
     1.12%     0.01%  localfetcher#1   [kernel.kallsyms]  [k] alloc_pages
