# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 8497685029265
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
    28.56%     0.26%  java             [kernel.kallsyms]         [k] asm_exc_page_fault
    26.70%     0.30%  java             [kernel.kallsyms]         [k] exc_page_fault
    24.36%     0.33%  java             [kernel.kallsyms]         [k] do_user_addr_fault
    19.71%     0.73%  java             [kernel.kallsyms]         [k] handle_mm_fault
    17.42%     3.81%  java             [kernel.kallsyms]         [k] __handle_mm_fault
    17.31%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
    17.29%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] do_syscall_64
    16.35%     0.17%  LocalJobRunner   [kernel.kallsyms]         [k] asm_exc_page_fault
    14.95%     0.11%  LocalJobRunner   [kernel.kallsyms]         [k] exc_page_fault
    14.18%     0.23%  LocalJobRunner   [kernel.kallsyms]         [k] do_user_addr_fault
    13.33%     0.36%  LocalJobRunner   [kernel.kallsyms]         [k] handle_mm_fault
    12.31%     1.42%  LocalJobRunner   [kernel.kallsyms]         [k] __handle_mm_fault
     8.61%     0.20%  java             [kernel.kallsyms]         [k] migrate_misplaced_page
     8.50%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] __x64_sys_write
     8.50%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ksys_write
     8.50%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] vfs_write
     8.50%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] new_sync_write
     8.50%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_file_write_iter
     8.50%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_buffered_write_iter
     8.48%     0.03%  LocalJobRunner   [kernel.kallsyms]         [k] generic_perform_write
     7.44%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] __x64_sys_read
     7.44%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ksys_read
     7.44%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] vfs_read
     7.43%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] new_sync_read
     7.43%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_file_read_iter
     7.43%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] generic_file_read_iter
     7.43%     0.13%  LocalJobRunner   [kernel.kallsyms]         [k] filemap_read
     7.39%     0.00%  swapper          [kernel.kallsyms]         [k] secondary_startup_64_no_verify
     7.39%     0.00%  swapper          [kernel.kallsyms]         [k] cpu_startup_entry
