# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10K of event 'cycles'
# Event count (approx.): 1982639265364
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
    37.40%     0.03%  postgres         [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    37.35%     0.01%  postgres         [kernel.kallsyms]  [k] do_syscall_64
    32.04%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    32.04%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    32.01%     0.02%  swapper          [kernel.kallsyms]  [k] do_idle
    31.57%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    31.43%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    30.64%     0.02%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    29.99%    29.53%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    22.19%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_exit_group
    22.19%     0.00%  postgres         [kernel.kallsyms]  [k] do_exit
    22.19%     0.00%  postgres         [kernel.kallsyms]  [k] do_group_exit
    22.17%     0.00%  postgres         [kernel.kallsyms]  [k] exit_mmap
    22.17%     0.00%  postgres         [kernel.kallsyms]  [k] mmput
    20.68%     0.00%  postgres         [kernel.kallsyms]  [k] asm_exc_page_fault
    20.62%     0.00%  postgres         [kernel.kallsyms]  [k] exc_page_fault
    20.58%     0.03%  postgres         [kernel.kallsyms]  [k] do_user_addr_fault
    20.57%     0.00%  postgres         [kernel.kallsyms]  [k] unmap_single_vma
    20.57%     0.00%  postgres         [kernel.kallsyms]  [k] unmap_vmas
    20.52%     0.19%  postgres         [kernel.kallsyms]  [k] handle_mm_fault
    20.25%     0.06%  postgres         [kernel.kallsyms]  [k] __handle_mm_fault
    20.01%    15.94%  postgres         [kernel.kallsyms]  [k] unmap_page_range
    18.99%     0.01%  postgres         [kernel.kallsyms]  [k] __alloc_pages
    17.29%     0.00%  postgres         [kernel.kallsyms]  [k] __alloc_pages_slowpath.constprop.0
    17.29%     0.00%  postgres         [kernel.kallsyms]  [k] do_try_to_free_pages
    17.29%     0.00%  postgres         [kernel.kallsyms]  [k] shrink_node
    17.29%     0.00%  postgres         [kernel.kallsyms]  [k] try_to_free_pages
    17.25%     0.00%  postgres         [kernel.kallsyms]  [k] shrink_lruvec
    16.82%     0.00%  postgres         [kernel.kallsyms]  [k] rmap_walk
    14.65%     0.19%  postgres         [kernel.kallsyms]  [k] rmap_walk_file
    14.14%     0.00%  postgres         [kernel.kallsyms]  [k] page_referenced
    13.23%     0.01%  postgres         [kernel.kallsyms]  [k] __do_fault
    13.20%     0.00%  postgres         [kernel.kallsyms]  [k] shmem_fault
    13.20%     0.00%  postgres         [kernel.kallsyms]  [k] shmem_getpage_gfp
    13.17%     0.00%  postgres         [kernel.kallsyms]  [k] shmem_swapin_page
    12.91%     1.12%  postgres         [kernel.kallsyms]  [k] page_referenced_one
    12.85%     0.00%  postgres         [kernel.kallsyms]  [k] shmem_swapin
    12.85%     0.01%  postgres         [kernel.kallsyms]  [k] swap_cluster_readahead
    12.47%    12.22%  postgres         [kernel.kallsyms]  [k] page_vma_mapped_walk
    11.82%     0.00%  postgres         [kernel.kallsyms]  [k] __read_swap_cache_async
    10.54%     0.00%  postgres         [kernel.kallsyms]  [k] alloc_pages
     8.84%     0.01%  postgres         [kernel.kallsyms]  [k] shrink_active_list
     8.43%     0.00%  postgres         [kernel.kallsyms]  [k] alloc_pages_vma
     8.33%     0.00%  postgres         [kernel.kallsyms]  [k] shrink_page_list
     6.07%     0.00%  postgres         [kernel.kallsyms]  [k] vfs_read
     6.06%     0.01%  postgres         [kernel.kallsyms]  [k] new_sync_read
     6.05%     0.01%  postgres         [kernel.kallsyms]  [k] filemap_read
     6.05%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_file_read_iter
     6.05%     0.00%  postgres         [kernel.kallsyms]  [k] generic_file_read_iter
     5.95%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_pread64
     5.55%     0.00%  postgres         [kernel.kallsyms]  [k] pte_alloc_one
     4.75%     0.00%  postgres         [kernel.kallsyms]  [k] filemap_get_pages
