# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 105071331686
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                           
# ........  ........  ...............  ...................  .................................................................................................................................
#
    33.64%     0.04%  swapper          [kernel.kallsyms]    [k] cpu_startup_entry
    33.64%     0.00%  swapper          [kernel.kallsyms]    [k] secondary_startup_64_no_verify
    33.60%     0.15%  swapper          [kernel.kallsyms]    [k] do_idle
    32.80%     0.11%  mariadbd         [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
    32.69%     0.21%  mariadbd         [kernel.kallsyms]    [k] do_syscall_64
    27.83%     0.27%  swapper          [kernel.kallsyms]    [k] cpuidle_idle_call
    23.91%     0.03%  swapper          [kernel.kallsyms]    [k] cpuidle_enter
    23.88%     0.23%  swapper          [kernel.kallsyms]    [k] cpuidle_enter_state
    12.75%     0.17%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_futex
    12.58%     0.15%  mariadbd         [kernel.kallsyms]    [k] do_futex
    10.59%    10.19%  swapper          [kernel.kallsyms]    [k] poll_idle
     7.76%     0.34%  mariadbd         [kernel.kallsyms]    [k] schedule
     7.57%     0.60%  mariadbd         [kernel.kallsyms]    [k] __schedule
     7.51%     0.02%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_rw
     7.49%     0.16%  mariadbd         [kernel.kallsyms]    [k] __iomap_dio_rw
     6.96%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
     6.94%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] do_syscall_64
     6.92%     0.15%  swapper          [kernel.kallsyms]    [k] acpi_idle_enter
     6.84%     0.46%  mariadbd         [kernel.kallsyms]    [k] futex_wait
     6.79%     0.02%  mariadbd         [kernel.kallsyms]    [k] handle_mm_fault
     6.76%     0.02%  mariadbd         [kernel.kallsyms]    [k] __handle_mm_fault
     6.46%     0.01%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_pread64
     6.42%     0.02%  mariadbd         [kernel.kallsyms]    [k] vfs_read
     6.40%     0.03%  mariadbd         [kernel.kallsyms]    [k] ext4_dio_read_iter
     6.36%     0.06%  mariadbd         [kernel.kallsyms]    [k] new_sync_read
     5.96%     0.02%  mariadbd         [kernel.kallsyms]    [k] asm_exc_page_fault
     5.90%     0.48%  mariadbd         [kernel.kallsyms]    [k] try_to_wake_up
     5.87%     0.01%  mariadbd         [kernel.kallsyms]    [k] exc_page_fault
     5.86%     0.02%  mariadbd         [kernel.kallsyms]    [k] do_user_addr_fault
     5.58%     0.43%  mariadbd         [kernel.kallsyms]    [k] futex_wake
     5.45%     0.07%  mariadbd         [kernel.kallsyms]    [k] iomap_apply
     5.29%     0.16%  mariadbd         [kernel.kallsyms]    [k] futex_wait_queue_me
     4.42%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_io_submit
     4.39%     0.06%  mariadbd         [kernel.kallsyms]    [k] io_submit_one
     4.33%     0.05%  mariadbd         [kernel.kallsyms]    [k] wake_up_q
     4.12%     0.00%  mariadbd         [kernel.kallsyms]    [k] aio_write
     4.08%     0.03%  mariadbd         [kernel.kallsyms]    [k] ext4_dio_write_iter
     4.03%     0.05%  mariadbd         [kernel.kallsyms]    [k] ext4_map_blocks
     3.56%     0.00%  mariadbd         [kernel.kallsyms]    [k] asm_sysvec_apic_timer_interrupt
     3.55%     0.01%  mariadbd         [kernel.kallsyms]    [k] sysvec_apic_timer_interrupt
