# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 2120037017847
#
# Children      Self  Command          Shared Object                                     Symbol                                                                                                                                                                                               
# ........  ........  ...............  ................................................  .....................................................................................................................................................................................................
#
     1.03%     0.00%  GC Thread#2      [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
     1.03%     0.00%  GC Thread#20     [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
     1.02%     0.00%  GC Thread#10     [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
     1.02%     0.00%  GC Thread#16     [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
     1.02%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] exc_page_fault
     1.02%     0.00%  GC Thread#10     [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
     1.02%     0.00%  GC Thread#16     [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
     1.02%     0.02%  GC Thread#3      [kernel.kallsyms]                                 [k] hrtimer_interrupt
     1.01%     0.51%  Executor task l  [kernel.kallsyms]                                 [k] update_rq_clock_task
     1.01%     0.01%  GC Thread#18     [kernel.kallsyms]                                 [k] __sysvec_apic_timer_interrupt
     1.00%     0.00%  GC Thread#17     [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
     1.00%     0.00%  GC Thread#17     [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
     1.00%     0.00%  GC Thread#5      [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
     1.00%     0.02%  GC Thread#11     [kernel.kallsyms]                                 [k] __sysvec_apic_timer_interrupt
     1.00%     0.02%  GC Thread#18     [kernel.kallsyms]                                 [k] hrtimer_interrupt
     0.99%     0.00%  GC Thread#5      [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
     0.98%     0.27%  Executor task l  [kernel.kallsyms]                                 [k] amd_pmu_wait_on_overflow
     0.98%     0.02%  GC Thread#15     [kernel.kallsyms]                                 [k] __sysvec_apic_timer_interrupt
     0.98%     0.03%  GC Thread#11     [kernel.kallsyms]                                 [k] hrtimer_interrupt
     0.98%     0.00%  GC Thread#1      [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
     0.98%     0.00%  GC Thread#21     [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
     0.98%     0.00%  GC Thread#7      [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
     0.97%     0.00%  GC Thread#1      [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
     0.97%     0.00%  GC Thread#6      [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
     0.97%     0.00%  GC Thread#7      [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
     0.97%     0.00%  GC Thread#21     [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
     0.97%     0.00%  GC Thread#8      [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
     0.97%     0.00%  GC Thread#6      [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
     0.96%     0.02%  GC Thread#15     [kernel.kallsyms]                                 [k] hrtimer_interrupt
     0.96%     0.00%  GC Thread#8      [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
