# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 7618604159943
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
    37.87%     0.35%  java             [kernel.kallsyms]  [k] asm_exc_page_fault
    35.65%     0.43%  java             [kernel.kallsyms]  [k] exc_page_fault
    32.46%     0.51%  java             [kernel.kallsyms]  [k] do_user_addr_fault
    26.37%     1.27%  java             [kernel.kallsyms]  [k] handle_mm_fault
    22.73%     5.10%  java             [kernel.kallsyms]  [k] __handle_mm_fault
    18.81%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    18.79%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] do_syscall_64
    13.39%     0.33%  java             [kernel.kallsyms]  [k] migrate_misplaced_page
    11.47%     0.12%  LocalJobRunner   [kernel.kallsyms]  [k] asm_exc_page_fault
    11.37%     0.83%  java             [kernel.kallsyms]  [k] migrate_pages
    10.34%     0.08%  LocalJobRunner   [kernel.kallsyms]  [k] exc_page_fault
     9.75%     0.17%  LocalJobRunner   [kernel.kallsyms]  [k] do_user_addr_fault
     9.41%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __x64_sys_write
     9.41%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ksys_write
     9.40%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] vfs_write
     9.40%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] new_sync_write
     9.40%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_file_write_iter
     9.40%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_buffered_write_iter
     9.37%     0.03%  LocalJobRunner   [kernel.kallsyms]  [k] generic_perform_write
     9.06%     0.27%  LocalJobRunner   [kernel.kallsyms]  [k] handle_mm_fault
     8.31%     8.10%  LocalJobRunner   [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     8.28%     1.10%  LocalJobRunner   [kernel.kallsyms]  [k] __handle_mm_fault
     8.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __x64_sys_read
     8.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ksys_read
     8.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] vfs_read
     8.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] new_sync_read
     8.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_file_read_iter
     8.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] generic_file_read_iter
     7.99%     0.15%  LocalJobRunner   [kernel.kallsyms]  [k] filemap_read
     4.71%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     4.67%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     4.66%     0.17%  LocalJobRunner   [kernel.kallsyms]  [k] __alloc_pages
     4.47%     0.37%  LocalJobRunner   [kernel.kallsyms]  [k] get_page_from_freelist
     4.33%     0.03%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_da_write_begin
     4.30%     4.25%  java             [kernel.kallsyms]  [k] down_read_trylock
     4.18%     0.09%  LocalJobRunner   [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     4.07%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] irqentry_exit
     4.06%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     3.81%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] task_work_run
     3.81%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] task_numa_work
     3.80%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] change_prot_numa
     3.68%     0.02%  java             [kernel.kallsyms]  [k] move_to_new_page
     3.66%     0.01%  java             [kernel.kallsyms]  [k] migrate_page
     3.49%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
     3.49%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
     3.48%     0.01%  swapper          [kernel.kallsyms]  [k] do_idle
     3.47%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] grab_cache_page_write_begin
     3.45%     3.30%  LocalJobRunner   [kernel.kallsyms]  [k] change_protection
     3.43%     0.01%  java             [kernel.kallsyms]  [k] rmap_walk
     3.43%     0.04%  LocalJobRunner   [kernel.kallsyms]  [k] pagecache_get_page
     3.43%     3.41%  LocalJobRunner   [kernel.kallsyms]  [k] clear_page_erms
     3.41%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
     3.28%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
     3.28%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
     3.21%     3.21%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
     3.12%     0.29%  java             [kernel.kallsyms]  [k] rmap_walk_anon
     2.88%     0.01%  java             [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     2.84%     0.02%  java             [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     2.62%     0.05%  java             [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     2.61%     0.05%  LocalJobRunner   [kernel.kallsyms]  [k] alloc_pages_vma
     2.55%     0.06%  java             [kernel.kallsyms]  [k] do_syscall_64
     2.53%     2.51%  java             [kernel.kallsyms]  [k] sync_regs
     2.43%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     2.43%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] do_syscall_64
     2.36%     2.34%  java             [kernel.kallsyms]  [k] up_read
     2.30%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] __x64_sys_read
     2.30%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] ksys_read
     2.30%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] vfs_read
     2.30%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] new_sync_read
     2.30%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] generic_file_read_iter
     2.30%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] ext4_file_read_iter
     2.30%     0.02%  localfetcher#1   [kernel.kallsyms]  [k] filemap_read
     2.20%     0.10%  java             [kernel.kallsyms]  [k] __alloc_pages
     2.18%     0.01%  java             [kernel.kallsyms]  [k] try_to_migrate
     2.11%     2.10%  java             [kernel.kallsyms]  [k] copy_page
     2.08%     0.21%  java             [kernel.kallsyms]  [k] get_page_from_freelist
     2.02%     0.23%  java             [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     1.98%     0.02%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_da_write_end
     1.95%     0.03%  LocalJobRunner   [kernel.kallsyms]  [k] alloc_pages
     1.94%     0.09%  LocalJobRunner   [kernel.kallsyms]  [k] generic_write_end
     1.90%     0.23%  LocalJobRunner   [kernel.kallsyms]  [k] add_to_page_cache_lru
     1.82%     0.02%  java             [kernel.kallsyms]  [k] __x64_sys_sched_yield
     1.75%     0.09%  java             [kernel.kallsyms]  [k] do_sched_yield
     1.70%     0.34%  java             [kernel.kallsyms]  [k] try_to_migrate_one
     1.69%     0.22%  LocalJobRunner   [kernel.kallsyms]  [k] __mem_cgroup_charge
     1.66%     0.03%  java             [kernel.kallsyms]  [k] irqentry_exit
     1.63%     0.02%  java             [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     1.59%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
