# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 9401408291994
#
# Children      Self  Command          Shared Object              Symbol                                             
# ........  ........  ...............  .........................  ...................................................
#
     0.00%     0.00%  Readahead Threa  [kernel.kallsyms]          [k] blk_flush_plug_list
     0.00%     0.00%  Readahead Threa  [kernel.kallsyms]          [k] __schedule
     0.00%     0.00%  perf             [kernel.kallsyms]          [k] dequeue_task_fair
     0.00%     0.00%  Readahead Threa  [kernel.kallsyms]          [k] blk_mq_sched_insert_requests
     0.00%     0.00%  Readahead Threa  [kernel.kallsyms]          [k] blk_mq_try_issue_list_directly
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] ext4_mb_complex_scan_group
     0.00%     0.00%  Readahead Threa  [kernel.kallsyms]          [k] futex_wait_queue_me
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]          [k] do_wp_page
     0.00%     0.00%  communication t  [kernel.kallsyms]          [k] task_numa_fault
     0.00%     0.00%  kworker/10:2-ev  [kernel.kallsyms]          [k] kthread
     0.00%     0.00%  kworker/10:2-ev  [kernel.kallsyms]          [k] ret_from_fork
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]          [k] _raw_spin_lock
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]          [k] __x64_sys_mmap
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]          [k] ksys_mmap_pgoff
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]          [k] vm_mmap_pgoff
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] dequeue_task
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] deactivate_task
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] mod_lruvec_state.constprop.0
     0.00%     0.00%  java             [kernel.kallsyms]          [k] blk_stat_timer_fn
     0.00%     0.00%  kworker/u98:0-e  [kernel.kallsyms]          [k] page_mkclean
     0.00%     0.00%  kworker/9:1-eve  [kernel.kallsyms]          [k] device_del
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]          [k] ___slab_alloc
     0.00%     0.00%  top              [kernel.kallsyms]          [k] kvmalloc_node
     0.00%     0.00%  communication t  [kernel.kallsyms]          [k] __mod_memcg_lruvec_state
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]          [k] hrtimer_sleeper_start_expires
     0.00%     0.00%  kworker/u98:3    [kernel.kallsyms]          [k] __rq_qos_issue
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] __x64_sys_prctl
     0.00%     0.00%  perf             [kernel.kallsyms]          [k] ext4_get_inode_loc
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]          [k] __jbd2_journal_clean_checkpoint_list
     0.00%     0.00%  kworker/u98:0-e  [kernel.kallsyms]          [k] ext4_mb_complex_scan_group
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]          [k] vfs_open
     0.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]          [k] vfs_read
     0.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]          [k] __x64_sys_read
     0.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]          [k] ksys_read
     0.00%     0.00%  SpillThread      [kernel.kallsyms]          [k] release_pages
     0.00%     0.00%  java             [kernel.kallsyms]          [k] hash_futex
     0.00%     0.00%  C2 CompilerThre  libjvm.so                  [.] 0x0000000000640863
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] d_alloc_parallel
     0.00%     0.00%  kworker/u96:1-e  [kernel.kallsyms]          [k] dequeue_task_fair
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]          [k] hrtimer_cancel
     0.00%     0.00%  python3          [kernel.kallsyms]          [k] __do_fault
     0.00%     0.00%  python3          [kernel.kallsyms]          [k] filemap_fault
     0.00%     0.00%  python3          [kernel.kallsyms]          [k] page_cache_ra_unbounded
     0.00%     0.00%  kworker/10:2-ev  [kernel.kallsyms]          [k] worker_thread
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] mem_cgroup_calculate_protection
     0.00%     0.00%  kworker/u97:11-  [kernel.kallsyms]          [k] xas_clear_mark
     0.00%     0.00%  Readahead Threa  [kernel.kallsyms]          [k] handle_mm_fault
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] __do_sys_prctl
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]          [k] __x64_sys_exit
     0.00%     0.00%  perf             [kernel.kallsyms]          [k] new_slab
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] propagate_protected_usage
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]          [k] set_pfnblock_flags_mask
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]          [k] __common_interrupt
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]          [k] asm_common_interrupt
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]          [k] common_interrupt
     0.00%     0.00%  communication t  [kernel.kallsyms]          [k] __mod_lruvec_page_state
     0.00%     0.00%  kworker/2:2-eve  [kernel.kallsyms]          [k] process_one_work
     0.00%     0.00%  kworker/u98:3    [kernel.kallsyms]          [k] ttwu_do_activate
     0.00%     0.00%  kworker/33:2-mm  [kernel.kallsyms]          [k] kthread
     0.00%     0.00%  kworker/33:2-mm  [kernel.kallsyms]          [k] ret_from_fork
     0.00%     0.00%  Readahead Threa  [kernel.kallsyms]          [k] __mem_cgroup_charge
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] end_bio_bh_io_sync
     0.00%     0.00%  SpillThread      [kernel.kallsyms]          [k] exit_mm_release
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]          [k] try_to_migrate_one
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] tick_program_event
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] blk_cgroup_bio_start
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]          [k] _raw_write_lock
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] wake_q_add
     0.00%     0.00%  kworker/u98:0-e  [kernel.kallsyms]          [k] ext4_block_bitmap_csum_set
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] __mem_cgroup_threshold
     0.00%     0.00%  kworker/33:2-mm  [kernel.kallsyms]          [k] worker_thread
     0.00%     0.00%  kworker/u96:1-e  [kernel.kallsyms]          [k] bio_free
     0.00%     0.00%  kworker/u96:1-e  [kernel.kallsyms]          [k] bio_put
     0.00%     0.00%  kworker/u96:1-e  [kernel.kallsyms]          [k] mempool_free
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]          [k] error_return
     0.00%     0.00%  Thread-5         [kernel.kallsyms]          [k] copy_page
     0.00%     0.00%  migration/24     [kernel.kallsyms]          [k] smpboot_thread_fn
     0.00%     0.00%  migration/24     [kernel.kallsyms]          [k] kthread
     0.00%     0.00%  migration/24     [kernel.kallsyms]          [k] ret_from_fork
     0.00%     0.00%  perf             [kernel.kallsyms]          [k] fput
     0.00%     0.00%  kworker/u96:1-e  [kernel.kallsyms]          [k] hrtimer_interrupt
     0.00%     0.00%  kworker/u96:1-e  [kernel.kallsyms]          [k] __sysvec_apic_timer_interrupt
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]          [k] d_alloc
     0.00%     0.00%  kworker/u96:0-e  [kernel.kallsyms]          [k] ext4_ext_try_to_merge
     0.00%     0.00%  kworker/u98:3    [kernel.kallsyms]          [k] ext4_mb_complex_scan_group
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]          [k] dma_pool_alloc
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] __fsnotify_parent
     0.00%     0.00%  perf             [kernel.kallsyms]          [k] __pollwait
     0.00%     0.00%  kworker/u98:3    [kernel.kallsyms]          [k] schedule
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] timekeeping_advance
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] tick_do_update_jiffies64.part.0
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] update_wall_time
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]          [k] __sysvec_apic_timer_interrupt
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]          [k] hrtimer_interrupt
     0.00%     0.00%  java             [kernel.kallsyms]          [k] get_futex_key
     0.00%     0.00%  kworker/u97:11-  [kernel.kallsyms]          [k] kfree
     0.00%     0.00%  fido_id          [kernel.kallsyms]          [k] load_elf_binary
     0.00%     0.00%  fido_id          [kernel.kallsyms]          [k] __x64_sys_execve
     0.00%     0.00%  fido_id          [kernel.kallsyms]          [k] bprm_execve
     0.00%     0.00%  fido_id          [kernel.kallsyms]          [k] do_execveat_common
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]          [k] journal_clean_one_cp_list
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] mem_cgroup_get_nr_swap_pages
     0.00%     0.00%  migration/47     [kernel.kallsyms]          [k] kthread
     0.00%     0.00%  migration/47     [kernel.kallsyms]          [k] ret_from_fork
     0.00%     0.00%  VM Thread        [kernel.kallsyms]          [k] __switch_to_asm
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]          [k] __mod_lruvec_state
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]          [k] kmem_cache_free
     0.00%     0.00%  perf             [kernel.kallsyms]          [k] stop_one_cpu_nowait
     0.00%     0.00%  migration/47     [kernel.kallsyms]          [k] smpboot_thread_fn
     0.00%     0.00%  VM Thread        [kernel.kallsyms]          [k] asm_sysvec_call_function_single
     0.00%     0.00%  top              [kernel.kallsyms]          [k] d_hash_and_lookup
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] __page_cache_release
     0.00%     0.00%  kworker/u98:0-e  [kernel.kallsyms]          [k] io_schedule
     0.00%     0.00%  VM Thread        [kernel.kallsyms]          [k] update_sd_lb_stats.constprop.0
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] security_inode_need_killpriv
     0.00%     0.00%  VM Thread        [kernel.kallsyms]          [k] __update_load_avg_se
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] cpus_share_cache
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] __run_timers.part.0
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] run_timer_softirq
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]          [k] clear_page_erms
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]          [k] flush_tlb_func
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] file_remove_privs
     0.00%     0.00%  Thread-5         [kernel.kallsyms]          [k] clear_page_erms
     0.00%     0.00%  kworker/8:2-mm_  [kernel.kallsyms]          [k] process_one_work
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]          [k] mem_cgroup_from_task
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]          [k] __pte_alloc
     0.00%     0.00%  migration/14     [kernel.kallsyms]          [k] cpu_stopper_thread
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]          [k] update_cfs_group
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]          [k] put_prev_entity
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] security_task_alloc
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] queue_work_on
     0.00%     0.00%  VM Thread        [kernel.kallsyms]          [k] __switch_to
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] rb_erase
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] nvme_submit_cmd
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] ext4_dx_add_entry
     0.00%     0.00%  VM Thread        [kernel.kallsyms]          [k] queued_spin_unlock
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] blk_mq_complete_request_remote
     0.00%     0.00%  communication t  [kernel.kallsyms]          [k] cgroup_rstat_updated
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] security_inode_permission
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]          [k] task_tick_fair
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] __x86_indirect_thunk_rax
     0.00%     0.00%  kworker/u96:1-e  [kernel.kallsyms]          [k] ext4_inode_csum_set
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]          [k] __softirqentry_text_start
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]          [k] irq_exit_rcu
     0.00%     0.00%  kworker/4:2-eve  [kernel.kallsyms]          [k] free_pcppages_bulk
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] security_vm_enough_memory_mm
     0.00%     0.00%  localfetcher#1   [JIT] tid 1841             [.] 0x00007f54ed2a4e7b
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] __do_sys_statfs
     0.00%     0.00%  top              [kernel.kallsyms]          [k] single_release
     0.00%     0.00%  localfetcher#1   [JIT] tid 2001             [.] 0x00007f20b52148fb
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] intel_cpufreq_fast_switch
     0.00%     0.00%  kworker/u98:0-e  [kernel.kallsyms]          [k] __hrtimer_run_queues
     0.00%     0.00%  migration/7      [kernel.kallsyms]          [k] kthread
     0.00%     0.00%  migration/7      [kernel.kallsyms]          [k] ret_from_fork
     0.00%     0.00%  java             [kernel.kallsyms]          [k] set_next_buddy
     0.00%     0.00%  java             libc.so.6                  [.] 0x00000000001b2eae
     0.00%     0.00%  kswapd0          [kernel.kallsyms]          [k] page_mapped
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] enqueue_entity
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] cp_new_stat
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] irq_work_run_list
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] select_task_rq_fair
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] memcpy_erms
     0.00%     0.00%  Readahead Threa  [kernel.kallsyms]          [k] submit_bio_checks
     0.00%     0.00%  top              [kernel.kallsyms]          [k] inode_permission.part.0
     0.00%     0.00%  kworker/u96:1-e  [kernel.kallsyms]          [k] mempool_free_slab
     0.00%     0.00%  kworker/u98:3    [kernel.kallsyms]          [k] wait_on_page_writeback
     0.00%     0.00%  migration/45     [kernel.kallsyms]          [k] kthread
     0.00%     0.00%  migration/45     [kernel.kallsyms]          [k] ret_from_fork
     0.00%     0.00%  kworker/u97:0    [kernel.kallsyms]          [k] soft_cursor
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] bio_associate_blkg
     0.00%     0.00%  kworker/u98:3    [kernel.kallsyms]          [k] _find_next_bit
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] __lookup_mnt
     0.00%     0.00%  kworker/u97:11-  [kernel.kallsyms]          [k] dma_unmap_sg_attrs
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] page_vma_mapped_walk
     0.00%     0.00%  kworker/u97:11-  [kernel.kallsyms]          [k] ___slab_alloc
     0.00%     0.00%  java             [kernel.kallsyms]          [k] __wait_for_common
     0.00%     0.00%  InMemoryMerger   [kernel.kallsyms]          [k] add_transaction_credits
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] ext4_file_open
     0.00%     0.00%  migration/45     [kernel.kallsyms]          [k] smpboot_thread_fn
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]          [k] down_read
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] __switch_to_asm
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]          [k] journal_submit_commit_record.part.0
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] pagecache_get_page
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]          [k] __hrtimer_run_queues
     0.00%     0.00%  Thread-5         [kernel.kallsyms]          [k] __mem_cgroup_uncharge
     0.00%     0.00%  java             [kernel.kallsyms]          [k] wait_for_completion
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]          [k] cpuacct_charge
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] blk_mq_rq_ctx_init
     0.00%     0.00%  SpillThread      [kernel.kallsyms]          [k] perf_iterate_sb
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]          [k] do_renameat2
     0.00%     0.00%  kworker/28:2-mm  [kernel.kallsyms]          [k] kthread
     0.00%     0.00%  kworker/28:2-mm  [kernel.kallsyms]          [k] ret_from_fork
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]          [k] dev_attr_show
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]          [k] set_pfnblock_flags_mask
     0.00%     0.00%  kworker/u96:1-e  [kernel.kallsyms]          [k] update_load_avg
     0.00%     0.00%  kworker/u96:0-e  [kernel.kallsyms]          [k] __ext4_journal_start_reserved
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]          [k] update_load_avg
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] cpufreq_driver_fast_switch
     0.00%     0.00%  kworker/u98:0-e  [kernel.kallsyms]          [k] unlock_page_memcg
     0.00%     0.00%  kworker/28:2-mm  [kernel.kallsyms]          [k] worker_thread
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] hrtimer_wakeup
     0.00%     0.00%  perf             [kernel.kallsyms]          [k] dequeue_entity
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]          [k] find_busiest_group
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]          [k] sysfs_kf_seq_show
     0.00%     0.00%  InMemoryMerger   [kernel.kallsyms]          [k] memcg_slab_free_hook
     0.00%     0.00%  kworker/13:1-mm  [kernel.kallsyms]          [k] kthread
     0.00%     0.00%  kworker/13:1-mm  [kernel.kallsyms]          [k] ret_from_fork
     0.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]          [k] ext4_file_read_iter
     0.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]          [k] filemap_read
     0.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]          [k] generic_file_read_iter
     0.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]          [k] new_sync_read
     0.00%     0.00%  VM Thread        [kernel.kallsyms]          [k] sysvec_call_function_single
     0.00%     0.00%  kworker/u97:11-  [kernel.kallsyms]          [k] bio_endio
     0.00%     0.00%  communication t  [kernel.kallsyms]          [k] mm_release
     0.00%     0.00%  kworker/13:1-mm  [kernel.kallsyms]          [k] worker_thread
     0.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]          [k] add_to_page_cache_lru
     0.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]          [k] cgroup_rstat_flush_irqsafe
     0.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]          [k] mem_cgroup_flush_stats
     0.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]          [k] workingset_refault
     0.00%     0.00%  java             [kernel.kallsyms]          [k] filename_lookup
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]          [k] mem_cgroup_migrate
     0.00%     0.00%  Readahead Threa  [kernel.kallsyms]          [k] blk_finish_plug
     0.00%     0.00%  communication t  [kernel.kallsyms]          [k] lru_add_drain
     0.00%     0.00%  perf             [kernel.kallsyms]          [k] lru_cache_add
     0.00%     0.00%  VM Thread        [kernel.kallsyms]          [k] ktime_get
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]          [k] __ptep_modify_prot_start
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]          [k] mem_cgroup_migrate
     0.00%     0.00%  perf             [kernel.kallsyms]          [k] ext4_inode_csum_set
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]          [k] __mod_zone_page_state
     0.00%     0.00%  LocalDistribute  [kernel.kallsyms]          [k] proc_fill_cache
     0.00%     0.00%  kworker/u98:0-e  [kernel.kallsyms]          [k] dma_direct_unmap_sg
     0.00%     0.00%  communication t  [kernel.kallsyms]          [k] unlink_anon_vmas
     0.00%     0.00%  kworker/u98:4    [kernel.kallsyms]          [k] ext4_ext_map_blocks
     0.00%     0.00%  kworker/u98:4    [kernel.kallsyms]          [k] ext4_mb_new_blocks
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]          [k] __mem_cgroup_uncharge_list
     0.00%     0.00%  java             [kernel.kallsyms]          [k] profile_tick
     0.00%     0.00%  communication t  [kernel.kallsyms]          [k] lru_add_drain_cpu
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] sched_clock_idle_sleep_event
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]          [k] newidle_balance
     0.00%     0.00%  java             [kernel.kallsyms]          [k] path_lookupat
     0.00%     0.00%  migration/7      [kernel.kallsyms]          [k] smpboot_thread_fn
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]          [k] generic_smp_call_function_single_interrupt
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] __legitimize_mnt
     0.00%     0.00%  migration/19     [kernel.kallsyms]          [k] kthread
     0.00%     0.00%  migration/19     [kernel.kallsyms]          [k] ret_from_fork
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]          [k] hrtimer_start_range_ns
     0.00%     0.00%  VM Thread        [kernel.kallsyms]          [k] clockevents_program_event
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] __switch_to
     0.00%     0.00%  migration/19     [kernel.kallsyms]          [k] smpboot_thread_fn
     0.00%     0.00%  InMemoryMerger   [kernel.kallsyms]          [k] xas_start
     0.00%     0.00%  Thread-5         [kernel.kallsyms]          [k] try_to_migrate
     0.00%     0.00%  kworker/u98:0-e  [kernel.kallsyms]          [k] ext4_reserve_inode_write
     0.00%     0.00%  migration/31     [kernel.kallsyms]          [k] smpboot_thread_fn
     0.00%     0.00%  migration/31     [kernel.kallsyms]          [k] kthread
     0.00%     0.00%  migration/31     [kernel.kallsyms]          [k] ret_from_fork
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] wbt_track
     0.00%     0.00%  kworker/u96:0-e  [kernel.kallsyms]          [k] bvec_free
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] nvme_setup_rw
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]          [k] update_sd_lb_stats.constprop.0
     0.00%     0.00%  kworker/9:1-eve  [kernel.kallsyms]          [k] usb_disable_device
     0.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]          [k] cgroup_rstat_flush_locked
     0.00%     0.00%  LocalDistribute  [kernel.kallsyms]          [k] copy_page
     0.00%     0.00%  kworker/6:2-mm_  [kernel.kallsyms]          [k] process_one_work
     0.00%     0.00%  java             [kernel.kallsyms]          [k] acpi_ev_gpe_detect
     0.00%     0.00%  migration/26     [kernel.kallsyms]          [k] smpboot_thread_fn
     0.00%     0.00%  migration/26     [kernel.kallsyms]          [k] kthread
     0.00%     0.00%  migration/26     [kernel.kallsyms]          [k] ret_from_fork
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]          [k] page_counter_charge
     0.00%     0.00%  LocalDistribute  [kernel.kallsyms]          [k] native_queued_spin_lock_slowpath
     0.00%     0.00%  LocalDistribute  [kernel.kallsyms]          [k] _raw_spin_lock_irq
     0.00%     0.00%  LocalDistribute  [kernel.kallsyms]          [k] lock_page_lruvec_irq
     0.00%     0.00%  InMemoryMerger   [kernel.kallsyms]          [k] ext4_claim_free_clusters
     0.00%     0.00%  java             [kernel.kallsyms]          [k] cpu_stop_queue_work
     0.00%     0.00%  kworker/31:2-ev  [kernel.kallsyms]          [k] free_pcppages_bulk
     0.00%     0.00%  kworker/15:1-ev  [kernel.kallsyms]          [k] kthread
     0.00%     0.00%  kworker/15:1-ev  [kernel.kallsyms]          [k] ret_from_fork
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]          [k] _raw_spin_lock_irqsave
     0.00%     0.00%  systemd-logind   [kernel.kallsyms]          [k] do_syscall_64
     0.00%     0.00%  systemd-logind   [kernel.kallsyms]          [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]          [k] getname_flags
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] chacha_block_generic
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]          [k] page_add_new_anon_rmap
     0.00%     0.00%  top              [kernel.kallsyms]          [k] kmem_cache_alloc
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] add_mm_counter_fast
     0.00%     0.00%  java             [kernel.kallsyms]          [k] find_idlest_group
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]          [k] bio_add_page
     0.00%     0.00%  perf             [kernel.kallsyms]          [k] stop_this_handle
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] rcu_core_si
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]          [k] anon_vma_clone
     0.00%     0.00%  migration/32     [kernel.kallsyms]          [k] cpu_stopper_thread
     0.00%     0.00%  VM Thread        [kernel.kallsyms]          [k] anon_vma_interval_tree_iter_first
     0.00%     0.00%  migration/46     [kernel.kallsyms]          [k] multi_cpu_stop
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] d_instantiate_new
     0.00%     0.00%  kworker/u98:0-e  [kernel.kallsyms]          [k] cgroup_rstat_updated
     0.00%     0.00%  top              [kernel.kallsyms]          [k] walk_component
     0.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]          [k] filemap_get_pages
     0.00%     0.00%  perf             [kernel.kallsyms]          [k] exit_to_user_mode_prepare
     0.00%     0.00%  perf             [kernel.kallsyms]          [k] syscall_exit_to_user_mode
     0.00%     0.00%  systemd-journal  [kernel.kallsyms]          [k] __x64_sys_access
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] dma_unmap_sg_attrs
     0.00%     0.00%  kswapd0          [kernel.kallsyms]          [k] down_read_trylock
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]          [k] up_read
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] __blk_mq_sched_bio_merge
     0.00%     0.00%  java             [kernel.kallsyms]          [k] acpi_ev_detect_gpe
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]          [k] isolate_lru_page
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] user_statfs
     0.00%     0.00%  InMemoryMerger   [kernel.kallsyms]          [k] asm_sysvec_reschedule_ipi
     0.00%     0.00%  LocalDistribute  [kernel.kallsyms]          [k] get_page_from_freelist
     0.00%     0.00%  LocalDistribute  [kernel.kallsyms]          [k] __alloc_pages
     0.00%     0.00%  kworker/15:1-ev  [kernel.kallsyms]          [k] worker_thread
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] call_timer_fn
     0.00%     0.00%  kworker/u98:0-e  [kernel.kallsyms]          [k] page_mapped
     0.00%     0.00%  java             [kernel.kallsyms]          [k] native_smp_send_reschedule
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]          [k] wake_up_process
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] mempool_kfree
     0.00%     0.00%  VM Thread        [kernel.kallsyms]          [k] llist_add_batch
     0.00%     0.00%  InMemoryMerger   [kernel.kallsyms]          [k] down_read_trylock
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]          [k] should_numa_migrate_memory
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] do_faccessat
