# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 9401408291994
#
# Children      Self  Command          Shared Object              Symbol                                             
# ........  ........  ...............  .........................  ...................................................
#
     2.64%     2.49%  LocalJobRunner   [kernel.kallsyms]          [k] change_protection
     2.51%     0.00%  java             [kernel.kallsyms]          [k] rmap_walk
     2.49%     2.48%  LocalJobRunner   [kernel.kallsyms]          [k] clear_page_erms
     2.45%     0.38%  localfetcher#1   [kernel.kallsyms]          [k] cgroup_rstat_flush_locked
     2.35%     0.01%  localfetcher#1   [kernel.kallsyms]          [k] asm_exc_page_fault
     2.32%     0.01%  java             [kernel.kallsyms]          [k] asm_sysvec_apic_timer_interrupt
     2.29%     2.28%  java             [kernel.kallsyms]          [k] sync_regs
     2.29%     0.20%  java             [kernel.kallsyms]          [k] rmap_walk_anon
     2.28%     0.01%  java             [kernel.kallsyms]          [k] sysvec_apic_timer_interrupt
     2.04%     0.07%  java             [kernel.kallsyms]          [k] __alloc_pages
     2.01%     2.00%  localfetcher#1   [kernel.kallsyms]          [k] mem_cgroup_css_rstat_flush
     1.96%     0.20%  java             [kernel.kallsyms]          [k] get_page_from_freelist
     1.89%     0.19%  LocalJobRunner   [kernel.kallsyms]          [k] add_to_page_cache_lru
     1.84%     0.03%  LocalJobRunner   [kernel.kallsyms]          [k] ext4_da_write_end
     1.84%     0.03%  LocalJobRunner   [kernel.kallsyms]          [k] migrate_misplaced_page
     1.81%     0.11%  LocalJobRunner   [kernel.kallsyms]          [k] generic_write_end
     1.80%     1.78%  java             [kernel.kallsyms]          [k] copy_page
     1.73%     0.77%  java             [kernel.kallsyms]          [k] __count_memcg_events
     1.69%     0.03%  LocalJobRunner   [kernel.kallsyms]          [k] alloc_pages
     1.62%     0.16%  LocalJobRunner   [kernel.kallsyms]          [k] migrate_pages
     1.58%     1.22%  java             [kernel.kallsyms]          [k] cgroup_rstat_updated
     1.54%     0.00%  java             [kernel.kallsyms]          [k] try_to_migrate
     1.53%     0.02%  LocalJobRunner   [kernel.kallsyms]          [k] alloc_pages_vma
     1.50%     0.19%  java             [kernel.kallsyms]          [k] exit_to_user_mode_prepare
     1.50%     1.49%  java             [kernel.kallsyms]          [k] clear_page_erms
     1.45%     0.01%  localfetcher#1   [kernel.kallsyms]          [k] exc_page_fault
     1.43%     0.02%  LocalJobRunner   [kernel.kallsyms]          [k] __x64_sys_futex
     1.42%     0.02%  localfetcher#1   [kernel.kallsyms]          [k] do_user_addr_fault
     1.41%     0.02%  LocalJobRunner   [kernel.kallsyms]          [k] do_futex
     1.40%     0.02%  java             [kernel.kallsyms]          [k] irqentry_exit
     1.38%     0.02%  java             [kernel.kallsyms]          [k] irqentry_exit_to_user_mode
     1.37%     0.02%  localfetcher#1   [kernel.kallsyms]          [k] handle_mm_fault
     1.37%     0.03%  java             [kernel.kallsyms]          [k] find_vma
     1.35%     1.34%  java             [kernel.kallsyms]          [k] vmacache_find
     1.34%     0.04%  LocalJobRunner   [kernel.kallsyms]          [k] __mark_inode_dirty
     1.30%     0.01%  LocalJobRunner   [kernel.kallsyms]          [k] ext4_dirty_inode
     1.26%     1.26%  java             libc.so.6                  [.] 0x00000000001b2383
     1.26%     0.74%  LocalJobRunner   [kernel.kallsyms]          [k] __add_to_page_cache_locked
     1.25%     0.04%  java             [kernel.kallsyms]          [k] __sysvec_apic_timer_interrupt
     1.24%     0.09%  localfetcher#1   [kernel.kallsyms]          [k] __handle_mm_fault
     1.22%     0.25%  java             [kernel.kallsyms]          [k] try_to_migrate_one
     1.21%     0.04%  java             [kernel.kallsyms]          [k] hrtimer_interrupt
     1.18%     0.00%  kswapd1          [kernel.kallsyms]          [k] kthread
     1.18%     0.00%  kswapd1          [kernel.kallsyms]          [k] ret_from_fork
     1.18%     0.00%  kswapd1          [kernel.kallsyms]          [k] kswapd
     1.18%     0.00%  kswapd1          [kernel.kallsyms]          [k] balance_pgdat
     1.18%     0.00%  kswapd1          [kernel.kallsyms]          [k] shrink_node
     1.18%     0.00%  Sampler Reader   [kernel.kallsyms]          [k] entry_SYSCALL_64_after_hwframe
     1.18%     0.00%  Sampler Reader   [kernel.kallsyms]          [k] do_syscall_64
     1.16%     0.02%  java             [kernel.kallsyms]          [k] entry_SYSCALL_64_after_hwframe
     1.15%     0.01%  java             [kernel.kallsyms]          [k] migrate_page_copy
     1.14%     0.04%  localfetcher#1   [kernel.kallsyms]          [k] __alloc_pages
     1.14%     0.02%  java             [kernel.kallsyms]          [k] do_syscall_64
     1.13%     0.00%  Sampler Reader   [kernel.kallsyms]          [k] __x64_sys_read
     1.13%     0.00%  Sampler Reader   [kernel.kallsyms]          [k] ksys_read
