# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 31K of event 'cycles'
# Event count (approx.): 9051642699758
#
# Children      Self  Command          Shared Object                      Symbol                                        
# ........  ........  ...............  .................................  ..............................................
#
     0.00%     0.00%  ReadStage-11     [kernel.kallsyms]                  [k] cgroup_rstat_flush_locked
     0.00%     0.00%  PerDiskMemtable  [kernel.kallsyms]                  [k] __mark_inode_dirty
     0.00%     0.00%  PerDiskMemtable  [kernel.kallsyms]                  [k] ext4_dirty_inode
     0.00%     0.00%  ReadStage-7      [kernel.kallsyms]                  [k] blkcg_rstat_flush
     0.00%     0.00%  ReadStage-53     [kernel.kallsyms]                  [k] rmqueue_bulk
     0.00%     0.00%  Thread-8         [kernel.kallsyms]                  [k] do_syscall_64
     0.00%     0.00%  Thread-8         [kernel.kallsyms]                  [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  ReadStage-5      [kernel.kallsyms]                  [k] mem_cgroup_css_rstat_flush
     0.00%     0.00%  kswapd0          [kernel.kallsyms]                  [k] __bitmap_andnot
     0.00%     0.00%  java             [kernel.kallsyms]                  [k] task_tick_fair
     0.00%     0.00%  ReadStage-23     [kernel.kallsyms]                  [k] do_syscall_64
     0.00%     0.00%  ReadStage-23     [kernel.kallsyms]                  [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  kswapd0          [kernel.kallsyms]                  [k] uncharge_batch
     0.00%     0.00%  Thread-100       [kernel.kallsyms]                  [k] __schedule
     0.00%     0.00%  Thread-100       [kernel.kallsyms]                  [k] __x64_sys_futex
     0.00%     0.00%  Thread-100       [kernel.kallsyms]                  [k] do_futex
     0.00%     0.00%  Thread-100       [kernel.kallsyms]                  [k] do_syscall_64
     0.00%     0.00%  Thread-100       [kernel.kallsyms]                  [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  Thread-100       [kernel.kallsyms]                  [k] futex_wait
     0.00%     0.00%  Thread-100       [kernel.kallsyms]                  [k] futex_wait_queue_me
     0.00%     0.00%  Thread-100       [kernel.kallsyms]                  [k] schedule
     0.00%     0.00%  Thread-98        [kernel.kallsyms]                  [k] try_to_wake_up
     0.00%     0.00%  ReadStage-3      [kernel.kallsyms]                  [k] futex_wake
     0.00%     0.00%  ReadStage-3      [kernel.kallsyms]                  [k] __x64_sys_futex
     0.00%     0.00%  ReadStage-3      [kernel.kallsyms]                  [k] do_futex
     0.00%     0.00%  ReadStage-3      [kernel.kallsyms]                  [k] do_syscall_64
     0.00%     0.00%  ReadStage-3      [kernel.kallsyms]                  [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  ReadStage-82     [kernel.kallsyms]                  [k] ext4_mpage_readpages
     0.00%     0.00%  ReadStage-82     [kernel.kallsyms]                  [k] ext4_readahead
     0.00%     0.00%  ReadStage-82     [kernel.kallsyms]                  [k] read_pages
     0.00%     0.00%  Thread-56        [kernel.kallsyms]                  [k] do_syscall_64
     0.00%     0.00%  Thread-56        [kernel.kallsyms]                  [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  swapper          [kernel.kallsyms]                  [k] attach_entity_load_avg
     0.00%     0.00%  ReadStage-156    [kernel.kallsyms]                  [k] __sysvec_call_function
     0.00%     0.00%  ReadStage-156    [kernel.kallsyms]                  [k] asm_sysvec_call_function
     0.00%     0.00%  ReadStage-156    [kernel.kallsyms]                  [k] generic_smp_call_function_single_interrupt
     0.00%     0.00%  ReadStage-156    [kernel.kallsyms]                  [k] sysvec_call_function
     0.00%     0.00%  ReadStage-51     [kernel.kallsyms]                  [k] ext4_mpage_readpages
     0.00%     0.00%  ReadStage-51     [kernel.kallsyms]                  [k] ext4_readahead
     0.00%     0.00%  ReadStage-129    [kernel.kallsyms]                  [k] filemap_map_pages
     0.00%     0.00%  ReadStage-88     [kernel.kallsyms]                  [k] filemap_map_pages
     0.00%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] scheduler_tick
     0.00%     0.00%  Thread-77        [kernel.kallsyms]                  [k] futex_wait_queue_me
     0.00%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] balance_dirty_pages_ratelimited
     0.00%     0.00%  ReadStage-35     [kernel.kallsyms]                  [k] __alloc_pages
     0.00%     0.00%  ReadStage-35     [kernel.kallsyms]                  [k] __page_cache_alloc
     0.00%     0.00%  ReadStage-35     [kernel.kallsyms]                  [k] alloc_pages
     0.00%     0.00%  ReadStage-35     [kernel.kallsyms]                  [k] get_page_from_freelist
     0.00%     0.00%  ReadStage-25     [kernel.kallsyms]                  [k] __schedule
     0.00%     0.00%  ReadStage-25     [kernel.kallsyms]                  [k] schedule
     0.00%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] kfree_skbmem
     0.00%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] hrtimer_wakeup
     0.00%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] try_to_wake_up
     0.00%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] wake_up_process
     0.00%     0.00%  Thread-50        [kernel.kallsyms]                  [k] do_futex
     0.00%     0.00%  Thread-50        [kernel.kallsyms]                  [k] __x64_sys_futex
     0.00%     0.00%  Thread-50        [kernel.kallsyms]                  [k] do_syscall_64
     0.00%     0.00%  Thread-50        [kernel.kallsyms]                  [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  kswapd0          [kernel.kallsyms]                  [k] drop_buffers
     0.00%     0.00%  ReadStage-105    [kernel.kallsyms]                  [k] _raw_spin_lock
     0.00%     0.00%  ReadStage-114    [kernel.kallsyms]                  [k] add_to_page_cache_lru
     0.00%     0.00%  ReadStage-127    [kernel.kallsyms]                  [k] __x64_sys_futex
     0.00%     0.00%  ReadStage-127    [kernel.kallsyms]                  [k] do_futex
     0.00%     0.00%  ReadStage-127    [kernel.kallsyms]                  [k] do_syscall_64
     0.00%     0.00%  ReadStage-127    [kernel.kallsyms]                  [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  ReadStage-128    [kernel.kallsyms]                  [k] __do_fault
     0.00%     0.00%  ReadStage-128    [kernel.kallsyms]                  [k] filemap_fault
     0.00%     0.00%  ReadStage-128    [kernel.kallsyms]                  [k] page_cache_ra_unbounded
     0.00%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] sg_next
     0.00%     0.00%  ReadStage-13     [kernel.kallsyms]                  [k] ondemand_readahead
     0.00%     0.00%  ReadStage-13     [kernel.kallsyms]                  [k] page_cache_async_ra
     0.00%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] handle_irq_event
     0.00%     0.00%  perf             [kernel.kallsyms]                  [k] acpi_os_read_memory
     0.00%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] read_tsc
     0.00%     0.00%  ReadStage-46     [kernel.kallsyms]                  [k] __submit_bio
     0.00%     0.00%  ReadStage-46     [kernel.kallsyms]                  [k] blk_mq_submit_bio
     0.00%     0.00%  ReadStage-46     [kernel.kallsyms]                  [k] ext4_mpage_readpages
     0.00%     0.00%  ReadStage-46     [kernel.kallsyms]                  [k] ext4_readahead
     0.00%     0.00%  ReadStage-46     [kernel.kallsyms]                  [k] read_pages
     0.00%     0.00%  ReadStage-46     [kernel.kallsyms]                  [k] submit_bio
     0.00%     0.00%  ReadStage-46     [kernel.kallsyms]                  [k] submit_bio_noacct
     0.00%     0.00%  ReadStage-154    [kernel.kallsyms]                  [k] page_cache_ra_unbounded
     0.00%     0.00%  ReadStage-154    [kernel.kallsyms]                  [k] __do_fault
     0.00%     0.00%  ReadStage-154    [kernel.kallsyms]                  [k] do_page_cache_ra
     0.00%     0.00%  ReadStage-154    [kernel.kallsyms]                  [k] filemap_fault
     0.00%     0.00%  ReadStage-9      [kernel.kallsyms]                  [k] next_uptodate_page
     0.00%     0.00%  kswapd0          [kernel.kallsyms]                  [k] ptep_clear_flush_young
     0.00%     0.00%  NonPeriodicTask  [kernel.kallsyms]                  [k] cgroup_rstat_updated
     0.00%     0.00%  ReadStage-11     [kernel.kallsyms]                  [k] mark_wake_futex
     0.00%     0.00%  ReadStage-28     [kernel.kallsyms]                  [k] ondemand_readahead
     0.00%     0.00%  ReadStage-28     [kernel.kallsyms]                  [k] page_cache_async_ra
     0.00%     0.00%  ReadStage-48     [kernel.kallsyms]                  [k] __x64_sys_futex
     0.00%     0.00%  ReadStage-48     [kernel.kallsyms]                  [k] do_futex
     0.00%     0.00%  ReadStage-48     [kernel.kallsyms]                  [k] do_syscall_64
     0.00%     0.00%  ReadStage-48     [kernel.kallsyms]                  [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  swapper          [kernel.kallsyms]                  [k] cpufreq_this_cpu_can_update
     0.00%     0.00%  kworker/30:2-mm  [kernel.kallsyms]                  [k] kthread
     0.00%     0.00%  kworker/30:2-mm  [kernel.kallsyms]                  [k] ret_from_fork
     0.00%     0.00%  kworker/30:2-mm  [kernel.kallsyms]                  [k] worker_thread
     0.00%     0.00%  ReadStage-39     [kernel.kallsyms]                  [k] __x64_sys_futex
     0.00%     0.00%  ReadStage-39     [kernel.kallsyms]                  [k] do_futex
     0.00%     0.00%  ReadStage-39     [kernel.kallsyms]                  [k] futex_wake
     0.00%     0.00%  ReadStage-4      [kernel.kallsyms]                  [k] __submit_bio
     0.00%     0.00%  ReadStage-4      [kernel.kallsyms]                  [k] ext4_mpage_readpages
     0.00%     0.00%  ReadStage-4      [kernel.kallsyms]                  [k] ext4_readahead
     0.00%     0.00%  ReadStage-4      [kernel.kallsyms]                  [k] read_pages
     0.00%     0.00%  ReadStage-4      [kernel.kallsyms]                  [k] submit_bio
     0.00%     0.00%  ReadStage-4      [kernel.kallsyms]                  [k] submit_bio_noacct
     0.00%     0.00%  ReadStage-88     [kernel.kallsyms]                  [k] futex_wake
     0.00%     0.00%  ReadStage-88     [kernel.kallsyms]                  [k] __x64_sys_futex
     0.00%     0.00%  ReadStage-88     [kernel.kallsyms]                  [k] do_futex
     0.00%     0.00%  ReadStage-88     [kernel.kallsyms]                  [k] do_syscall_64
     0.00%     0.00%  ReadStage-88     [kernel.kallsyms]                  [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  ReadStage-94     [kernel.kallsyms]                  [k] __page_cache_alloc
     0.00%     0.00%  ReadStage-118    [kernel.kallsyms]                  [k] cgroup_rstat_flush_locked
     0.00%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] save_fpregs_to_fpstate
     0.00%     0.00%  Thread-91        [kernel.kallsyms]                  [k] __hrtimer_run_queues
     0.00%     0.00%  Thread-91        [kernel.kallsyms]                  [k] __sysvec_apic_timer_interrupt
     0.00%     0.00%  Thread-91        [kernel.kallsyms]                  [k] asm_sysvec_apic_timer_interrupt
     0.00%     0.00%  Thread-91        [kernel.kallsyms]                  [k] hrtimer_interrupt
     0.00%     0.00%  Thread-91        [kernel.kallsyms]                  [k] hrtimer_wakeup
     0.00%     0.00%  Thread-91        [kernel.kallsyms]                  [k] sysvec_apic_timer_interrupt
     0.00%     0.00%  Thread-91        [kernel.kallsyms]                  [k] try_to_wake_up
     0.00%     0.00%  Thread-91        [kernel.kallsyms]                  [k] wake_up_process
     0.00%     0.00%  ReadStage-19     [kernel.kallsyms]                  [k] asm_sysvec_call_function
     0.00%     0.00%  ReadStage-48     [kernel.kallsyms]                  [k] ondemand_readahead
     0.00%     0.00%  ReadStage-48     [kernel.kallsyms]                  [k] page_cache_async_ra
     0.00%     0.00%  ReadStage-113    [kernel.kallsyms]                  [k] __sysvec_call_function
     0.00%     0.00%  ReadStage-113    [kernel.kallsyms]                  [k] flush_smp_call_function_queue
     0.00%     0.00%  ReadStage-113    [kernel.kallsyms]                  [k] generic_smp_call_function_single_interrupt
     0.00%     0.00%  ReadStage-113    [kernel.kallsyms]                  [k] sysvec_call_function
     0.00%     0.00%  ReadStage-126    [kernel.kallsyms]                  [k] xas_load
     0.00%     0.00%  ReadStage-126    [kernel.kallsyms]                  [k] xas_find
     0.00%     0.00%  ReadStage-161    [kernel.kallsyms]                  [k] __handle_mm_fault
     0.00%     0.00%  ReadStage-161    [kernel.kallsyms]                  [k] asm_exc_page_fault
     0.00%     0.00%  ReadStage-161    [kernel.kallsyms]                  [k] do_user_addr_fault
     0.00%     0.00%  ReadStage-161    [kernel.kallsyms]                  [k] exc_page_fault
     0.00%     0.00%  ReadStage-161    [kernel.kallsyms]                  [k] handle_mm_fault
     0.00%     0.00%  ReadStage-25     [kernel.kallsyms]                  [k] workingset_refault
     0.00%     0.00%  VM Thread        [kernel.kallsyms]                  [k] do_syscall_64
     0.00%     0.00%  VM Thread        [kernel.kallsyms]                  [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  Thread-32        [kernel.kallsyms]                  [k] schedule
     0.00%     0.00%  ReadStage-23     [kernel.kallsyms]                  [k] sysvec_call_function
     0.00%     0.00%  ReadStage-5      [kernel.kallsyms]                  [k] clear_page_erms
     0.00%     0.00%  ReadStage-5      [kernel.kallsyms]                  [k] __alloc_pages
     0.00%     0.00%  ReadStage-5      [kernel.kallsyms]                  [k] __page_cache_alloc
     0.00%     0.00%  ReadStage-5      [kernel.kallsyms]                  [k] alloc_pages
     0.00%     0.00%  ReadStage-5      [kernel.kallsyms]                  [k] get_page_from_freelist
     0.00%     0.00%  ReadStage-26     [kernel.kallsyms]                  [k] ondemand_readahead
     0.00%     0.00%  ReadStage-26     [kernel.kallsyms]                  [k] page_cache_async_ra
     0.00%     0.00%  PERIODIC-COMMIT  [kernel.kallsyms]                  [k] smp_call_function_many_cond
     0.00%     0.00%  PERIODIC-COMMIT  [kernel.kallsyms]                  [k] clear_page_dirty_for_io
     0.00%     0.00%  PERIODIC-COMMIT  [kernel.kallsyms]                  [k] flush_tlb_mm_range
     0.00%     0.00%  PERIODIC-COMMIT  [kernel.kallsyms]                  [k] mpage_submit_page
     0.00%     0.00%  PERIODIC-COMMIT  [kernel.kallsyms]                  [k] native_flush_tlb_multi
     0.00%     0.00%  PERIODIC-COMMIT  [kernel.kallsyms]                  [k] on_each_cpu_cond_mask
     0.00%     0.00%  PERIODIC-COMMIT  [kernel.kallsyms]                  [k] page_mkclean
     0.00%     0.00%  PERIODIC-COMMIT  [kernel.kallsyms]                  [k] page_mkclean_one
     0.00%     0.00%  PERIODIC-COMMIT  [kernel.kallsyms]                  [k] ptep_clear_flush
     0.00%     0.00%  PERIODIC-COMMIT  [kernel.kallsyms]                  [k] rmap_walk
     0.00%     0.00%  PERIODIC-COMMIT  [kernel.kallsyms]                  [k] rmap_walk_file
     0.00%     0.00%  ReadStage-48     [kernel.kallsyms]                  [k] mem_cgroup_css_rstat_flush
     0.00%     0.00%  ReadStage-48     [kernel.kallsyms]                  [k] cgroup_rstat_flush_locked
     0.00%     0.00%  Thread-101       [kernel.kallsyms]                  [k] __schedule
     0.00%     0.00%  Thread-101       [kernel.kallsyms]                  [k] futex_wait
     0.00%     0.00%  Thread-101       [kernel.kallsyms]                  [k] futex_wait_queue_me
     0.00%     0.00%  Thread-101       [kernel.kallsyms]                  [k] schedule
     0.00%     0.00%  java             [kernel.kallsyms]                  [k] asm_common_interrupt
     0.00%     0.00%  java             [kernel.kallsyms]                  [k] common_interrupt
     0.00%     0.00%  ReadStage-90     [kernel.kallsyms]                  [k] __blk_mq_try_issue_directly
     0.00%     0.00%  ReadStage-90     [kernel.kallsyms]                  [k] blk_finish_plug
     0.00%     0.00%  ReadStage-90     [kernel.kallsyms]                  [k] blk_flush_plug_list
     0.00%     0.00%  ReadStage-90     [kernel.kallsyms]                  [k] blk_mq_flush_plug_list
     0.00%     0.00%  ReadStage-90     [kernel.kallsyms]                  [k] blk_mq_sched_insert_requests
     0.00%     0.00%  ReadStage-90     [kernel.kallsyms]                  [k] blk_mq_try_issue_list_directly
     0.00%     0.00%  ReadStage-90     [kernel.kallsyms]                  [k] nvme_queue_rq
     0.00%     0.00%  ReadStage-107    [kernel.kallsyms]                  [k] mem_cgroup_css_rstat_flush
     0.00%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] kmem_cache_alloc_node
     0.00%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] native_smp_send_reschedule
     0.00%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] x2apic_send_IPI
     0.00%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] percpu_counter_add_batch
     0.00%     0.00%  Thread-137       [kernel.kallsyms]                  [k] futex_wait
     0.00%     0.00%  Thread-137       [kernel.kallsyms]                  [k] __x64_sys_futex
     0.00%     0.00%  Thread-137       [kernel.kallsyms]                  [k] do_futex
     0.00%     0.00%  Thread-137       [kernel.kallsyms]                  [k] do_syscall_64
     0.00%     0.00%  Thread-137       [kernel.kallsyms]                  [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  epollEventLoopG  libc.so.6                          [.] writev
     0.00%     0.00%  ReadStage-6      [kernel.kallsyms]                  [k] __add_to_page_cache_locked
     0.00%     0.00%  NonPeriodicTask  [kernel.kallsyms]                  [k] xas_start
     0.00%     0.00%  Thread-13        [kernel.kallsyms]                  [k] __restore_fpregs_from_fpstate
     0.00%     0.00%  Thread-13        [kernel.kallsyms]                  [k] exit_to_user_mode_prepare
     0.00%     0.00%  Thread-13        [kernel.kallsyms]                  [k] switch_fpu_return
     0.00%     0.00%  Thread-13        [kernel.kallsyms]                  [k] syscall_exit_to_user_mode
     0.00%     0.00%  ReadStage-119    [kernel.kallsyms]                  [k] do_futex
     0.00%     0.00%  ReadStage-119    [kernel.kallsyms]                  [k] futex_wake
     0.00%     0.00%  ReadStage-119    [kernel.kallsyms]                  [k] try_to_wake_up
     0.00%     0.00%  ReadStage-119    [kernel.kallsyms]                  [k] wake_up_q
     0.00%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] kmem_cache_free
     0.00%     0.00%  ReadStage-17     [kernel.kallsyms]                  [k] __x64_sys_futex
     0.00%     0.00%  ReadStage-17     [kernel.kallsyms]                  [k] do_futex
     0.00%     0.00%  ReadStage-17     [kernel.kallsyms]                  [k] do_syscall_64
     0.00%     0.00%  ReadStage-17     [kernel.kallsyms]                  [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  ReadStage-17     [kernel.kallsyms]                  [k] futex_wake
     0.00%     0.00%  kswapd0          [kernel.kallsyms]                  [k] page_mapped
     0.00%     0.00%  ReadStage-163    [kernel.kallsyms]                  [k] ondemand_readahead
     0.00%     0.00%  ReadStage-163    [kernel.kallsyms]                  [k] page_cache_async_ra
     0.00%     0.00%  ReadStage-137    [kernel.kallsyms]                  [k] _raw_spin_lock
     0.00%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] __hrtimer_run_queues
     0.00%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] __sysvec_apic_timer_interrupt
     0.00%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] asm_sysvec_apic_timer_interrupt
     0.00%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] hrtimer_interrupt
     0.00%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] scheduler_tick
     0.00%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] sysvec_apic_timer_interrupt
     0.00%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] tick_sched_handle
     0.00%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] tick_sched_timer
     0.00%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] update_process_times
     0.00%     0.00%  ReadStage-136    [kernel.kallsyms]                  [k] update_curr
     0.00%     0.00%  ReadStage-136    [kernel.kallsyms]                  [k] __schedule
     0.00%     0.00%  ReadStage-136    [kernel.kallsyms]                  [k] dequeue_entity
     0.00%     0.00%  ReadStage-136    [kernel.kallsyms]                  [k] dequeue_task
     0.00%     0.00%  ReadStage-136    [kernel.kallsyms]                  [k] dequeue_task_fair
     0.00%     0.00%  ReadStage-136    [kernel.kallsyms]                  [k] io_schedule
     0.00%     0.00%  ReadStage-136    [kernel.kallsyms]                  [k] schedule
     0.00%     0.00%  ReadStage-136    [kernel.kallsyms]                  [k] wait_on_page_bit_common
     0.00%     0.00%  ReadStage-68     [kernel.kallsyms]                  [k] clear_page_erms
     0.00%     0.00%  ReadStage-156    [kernel.kallsyms]                  [k] handle_mm_fault
     0.00%     0.00%  ReadStage-33     [kernel.kallsyms]                  [k] asm_sysvec_call_function
     0.00%     0.00%  ReadStage-79     [kernel.kallsyms]                  [k] cgroup_rstat_flush_irqsafe
     0.00%     0.00%  ReadStage-79     [kernel.kallsyms]                  [k] mem_cgroup_flush_stats
     0.00%     0.00%  ReadStage-79     [kernel.kallsyms]                  [k] workingset_refault
     0.00%     0.00%  ReadStage-85     [kernel.kallsyms]                  [k] flush_smp_call_function_queue
     0.00%     0.00%  ReadStage-136    [kernel.kallsyms]                  [k] workingset_refault
     0.00%     0.00%  ReadStage-3      [kernel.kallsyms]                  [k] clear_page_erms
     0.00%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] __cgroup_bpf_run_filter_skb
     0.00%     0.00%  Thread-142       [kernel.kallsyms]                  [k] __restore_fpregs_from_fpstate
     0.00%     0.00%  Thread-142       [kernel.kallsyms]                  [k] exit_to_user_mode_prepare
     0.00%     0.00%  Thread-142       [kernel.kallsyms]                  [k] switch_fpu_return
     0.00%     0.00%  Thread-142       [kernel.kallsyms]                  [k] syscall_exit_to_user_mode
     0.00%     0.00%  Thread-103       [kernel.kallsyms]                  [k] dequeue_entity
     0.00%     0.00%  Thread-103       [kernel.kallsyms]                  [k] dequeue_task
     0.00%     0.00%  Thread-103       [kernel.kallsyms]                  [k] dequeue_task_fair
     0.00%     0.00%  MutationStage-4  [kernel.kallsyms]                  [k] futex_wake
     0.00%     0.00%  MutationStage-4  [kernel.kallsyms]                  [k] try_to_wake_up
     0.00%     0.00%  MutationStage-4  [kernel.kallsyms]                  [k] wake_up_q
     0.00%     0.00%  ReadStage-122    [kernel.kallsyms]                  [k] ondemand_readahead
     0.00%     0.00%  ReadStage-122    [kernel.kallsyms]                  [k] page_cache_async_ra
     0.00%     0.00%  ReadStage-49     [kernel.kallsyms]                  [k] __blk_rq_map_sg
     0.00%     0.00%  ReadStage-49     [kernel.kallsyms]                  [k] __blk_mq_try_issue_directly
     0.00%     0.00%  ReadStage-49     [kernel.kallsyms]                  [k] blk_finish_plug
     0.00%     0.00%  ReadStage-49     [kernel.kallsyms]                  [k] blk_flush_plug_list
     0.00%     0.00%  ReadStage-49     [kernel.kallsyms]                  [k] blk_mq_flush_plug_list
     0.00%     0.00%  ReadStage-49     [kernel.kallsyms]                  [k] blk_mq_sched_insert_requests
     0.00%     0.00%  ReadStage-49     [kernel.kallsyms]                  [k] blk_mq_try_issue_list_directly
     0.00%     0.00%  ReadStage-49     [kernel.kallsyms]                  [k] nvme_queue_rq
     0.00%     0.00%  ReadStage-23     [kernel.kallsyms]                  [k] xa_get_order
     0.00%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] nvme_setup_cmd
     0.00%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] llist_add_batch
     0.00%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] __kmalloc_node_track_caller
     0.00%     0.00%  ReadStage-96     [kernel.kallsyms]                  [k] cgroup_rstat_flush_locked
     0.00%     0.00%  ReadStage-96     [kernel.kallsyms]                  [k] cgroup_rstat_flush_irqsafe
     0.00%     0.00%  ReadStage-96     [kernel.kallsyms]                  [k] mem_cgroup_flush_stats
     0.00%     0.00%  ReadStage-96     [kernel.kallsyms]                  [k] workingset_refault
     0.00%     0.00%  Thread-44        [kernel.kallsyms]                  [k] do_syscall_64
     0.00%     0.00%  Thread-44        [kernel.kallsyms]                  [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  ReadStage-26     [kernel.kallsyms]                  [k] __x64_sys_futex
     0.00%     0.00%  ReadStage-26     [kernel.kallsyms]                  [k] do_futex
     0.00%     0.00%  ReadStage-26     [kernel.kallsyms]                  [k] do_syscall_64
     0.00%     0.00%  ReadStage-26     [kernel.kallsyms]                  [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  ReadStage-152    [kernel.kallsyms]                  [k] __mod_memcg_lruvec_state
     0.00%     0.00%  ReadStage-152    [kernel.kallsyms]                  [k] __mod_lruvec_state
     0.00%     0.00%  ReadStage-152    [kernel.kallsyms]                  [k] mod_lruvec_state.constprop.0
     0.00%     0.00%  ReadStage-122    [kernel.kallsyms]                  [k] mem_cgroup_css_rstat_flush
     0.00%     0.00%  ReadStage-123    [kernel.kallsyms]                  [k] __do_fault
     0.00%     0.00%  ReadStage-123    [kernel.kallsyms]                  [k] __handle_mm_fault
     0.00%     0.00%  ReadStage-123    [kernel.kallsyms]                  [k] add_to_page_cache_lru
     0.00%     0.00%  ReadStage-123    [kernel.kallsyms]                  [k] asm_exc_page_fault
     0.00%     0.00%  ReadStage-123    [kernel.kallsyms]                  [k] do_page_cache_ra
     0.00%     0.00%  ReadStage-123    [kernel.kallsyms]                  [k] do_user_addr_fault
     0.00%     0.00%  ReadStage-123    [kernel.kallsyms]                  [k] exc_page_fault
     0.00%     0.00%  ReadStage-123    [kernel.kallsyms]                  [k] filemap_fault
     0.00%     0.00%  ReadStage-123    [kernel.kallsyms]                  [k] handle_mm_fault
     0.00%     0.00%  ReadStage-123    [kernel.kallsyms]                  [k] page_cache_ra_unbounded
     0.00%     0.00%  ReadStage-123    [kernel.kallsyms]                  [k] workingset_refault
     0.00%     0.00%  kworker/45:1-mm  [kernel.kallsyms]                  [k] kthread
     0.00%     0.00%  kworker/45:1-mm  [kernel.kallsyms]                  [k] ret_from_fork
     0.00%     0.00%  kworker/45:1-mm  [kernel.kallsyms]                  [k] worker_thread
     0.00%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] free_pcp_prepare
     0.00%     0.00%  ReadStage-78     [kernel.kallsyms]                  [k] get_page_from_freelist
     0.00%     0.00%  ReadStage-78     [kernel.kallsyms]                  [k] __alloc_pages
     0.00%     0.00%  ReadStage-78     [kernel.kallsyms]                  [k] __page_cache_alloc
     0.00%     0.00%  ReadStage-78     [kernel.kallsyms]                  [k] alloc_pages
     0.00%     0.00%  ReadStage-54     [kernel.kallsyms]                  [k] mem_cgroup_css_rstat_flush
     0.00%     0.00%  kswapd1          [kernel.kallsyms]                  [k] jbd2_journal_grab_journal_head
     0.00%     0.00%  ReadStage-13     [kernel.kallsyms]                  [k] __common_interrupt
     0.00%     0.00%  ReadStage-13     [kernel.kallsyms]                  [k] __handle_irq_event_percpu
     0.00%     0.00%  ReadStage-13     [kernel.kallsyms]                  [k] asm_common_interrupt
     0.00%     0.00%  ReadStage-13     [kernel.kallsyms]                  [k] common_interrupt
     0.00%     0.00%  ReadStage-13     [kernel.kallsyms]                  [k] handle_edge_irq
     0.00%     0.00%  ReadStage-13     [kernel.kallsyms]                  [k] handle_irq_event
     0.00%     0.00%  ReadStage-13     [kernel.kallsyms]                  [k] nvme_irq
     0.00%     0.00%  ReadStage-13     [kernel.kallsyms]                  [k] nvme_process_cq
     0.00%     0.00%  ReadStage-71     [kernel.kallsyms]                  [k] asm_sysvec_call_function
     0.00%     0.00%  ReadStage-51     [kernel.kallsyms]                  [k] __schedule
     0.00%     0.00%  ReadStage-51     [kernel.kallsyms]                  [k] futex_wait
     0.00%     0.00%  ReadStage-51     [kernel.kallsyms]                  [k] futex_wait_queue_me
     0.00%     0.00%  ReadStage-51     [kernel.kallsyms]                  [k] schedule
     0.00%     0.00%  ReadStage-86     [kernel.kallsyms]                  [k] get_page_from_freelist
     0.00%     0.00%  ReadStage-86     [kernel.kallsyms]                  [k] __alloc_pages
