# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 31K of event 'cycles'
# Event count (approx.): 9051642699758
#
# Children      Self  Command          Shared Object                      Symbol                                        
# ........  ........  ...............  .................................  ..............................................
#
     1.20%     0.02%  swapper          [kernel.kallsyms]                  [k] enqueue_task_fair
     1.19%     1.19%  swapper          [kernel.kallsyms]                  [k] _raw_spin_lock_irqsave
     1.18%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] asm_common_interrupt
     1.18%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] common_interrupt
     1.18%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] __common_interrupt
     1.17%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] handle_edge_irq
     1.17%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] handle_irq_event
     1.16%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] __handle_irq_event_percpu
     1.16%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] nvme_irq
     1.16%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] nvme_process_cq
     1.16%     0.04%  swapper          [kernel.kallsyms]                  [k] enqueue_entity
     1.16%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] nvme_pci_complete_rq
     1.15%     0.01%  swapper          [kernel.kallsyms]                  [k] get_next_timer_interrupt
     1.15%     0.00%  swapper          [kernel.kallsyms]                  [k] hrtimer_get_next_event
     1.14%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] blk_mq_end_request
     1.14%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] nvme_complete_rq
     1.13%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] entry_SYSCALL_64_after_hwframe
     1.13%     1.08%  Native-Transpor  [kernel.kallsyms]                  [k] blk_update_request
     1.13%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] do_syscall_64
     1.10%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] asm_sysvec_apic_timer_interrupt
     1.09%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] sysvec_apic_timer_interrupt
     1.09%     0.04%  Native-Transpor  [kernel.kallsyms]                  [k] workingset_refault
     1.09%     0.00%  Thread-106       [kernel.kallsyms]                  [k] do_syscall_64
     1.09%     0.00%  Thread-106       [kernel.kallsyms]                  [k] entry_SYSCALL_64_after_hwframe
     1.09%     0.00%  Thread-106       [kernel.kallsyms]                  [k] __x64_sys_futex
     1.09%     0.00%  Thread-106       [kernel.kallsyms]                  [k] do_futex
     1.08%     0.00%  Thread-106       [kernel.kallsyms]                  [k] futex_wait
     1.08%     1.08%  Thread-106       [kernel.kallsyms]                  [k] _raw_spin_lock
     1.06%     0.92%  NonPeriodicTask  [kernel.kallsyms]                  [k] find_lock_entries
     1.06%     0.74%  Native-Transpor  [kernel.kallsyms]                  [k] __sysvec_apic_timer_interrupt
     1.04%     0.03%  swapper          [kernel.kallsyms]                  [k] update_cfs_group
     1.04%     0.01%  kswapd0          [kernel.kallsyms]                  [k] free_unref_page_list
     1.03%     0.00%  ReadStage-90     [kernel.kallsyms]                  [k] __handle_mm_fault
     1.03%     0.00%  ReadStage-90     [kernel.kallsyms]                  [k] asm_exc_page_fault
     1.03%     0.00%  ReadStage-90     [kernel.kallsyms]                  [k] do_user_addr_fault
     1.03%     0.00%  ReadStage-90     [kernel.kallsyms]                  [k] exc_page_fault
     1.03%     0.00%  ReadStage-90     [kernel.kallsyms]                  [k] handle_mm_fault
     1.03%     0.00%  ReadStage-90     [kernel.kallsyms]                  [k] __do_fault
     1.03%     0.00%  ReadStage-90     [kernel.kallsyms]                  [k] filemap_fault
     1.03%     0.00%  ReadStage-90     [kernel.kallsyms]                  [k] page_cache_ra_unbounded
     1.02%     0.00%  ReadStage-90     [kernel.kallsyms]                  [k] do_page_cache_ra
     1.02%     0.01%  kswapd0          [kernel.kallsyms]                  [k] free_unref_page_commit.constprop.0
     1.02%     0.00%  ReadStage-90     [kernel.kallsyms]                  [k] __alloc_pages
     1.02%     0.00%  ReadStage-90     [kernel.kallsyms]                  [k] __page_cache_alloc
     1.02%     0.00%  ReadStage-90     [kernel.kallsyms]                  [k] alloc_pages
     1.01%     1.01%  swapper          [kernel.kallsyms]                  [k] reweight_entity
     1.01%     0.00%  ReadStage-90     [kernel.kallsyms]                  [k] get_page_from_freelist
     1.01%     1.01%  ReadStage-90     [kernel.kallsyms]                  [k] rmqueue_bulk
     1.01%     0.94%  kswapd0          [kernel.kallsyms]                  [k] free_pcppages_bulk
     1.00%     0.00%  ReadStage-3      [kernel.kallsyms]                  [k] __handle_mm_fault
     1.00%     0.00%  ReadStage-3      [kernel.kallsyms]                  [k] asm_exc_page_fault
     1.00%     0.00%  ReadStage-3      [kernel.kallsyms]                  [k] do_user_addr_fault
     1.00%     0.00%  ReadStage-3      [kernel.kallsyms]                  [k] exc_page_fault
     1.00%     0.00%  ReadStage-3      [kernel.kallsyms]                  [k] handle_mm_fault
     1.00%     0.00%  ReadStage-3      [kernel.kallsyms]                  [k] __do_fault
     1.00%     0.00%  ReadStage-3      [kernel.kallsyms]                  [k] filemap_fault
     1.00%     0.00%  ReadStage-3      [kernel.kallsyms]                  [k] page_cache_ra_unbounded
     0.99%     0.00%  ReadStage-3      [kernel.kallsyms]                  [k] do_page_cache_ra
     0.99%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] mem_cgroup_flush_stats
     0.99%     0.00%  ReadStage-3      [kernel.kallsyms]                  [k] add_to_page_cache_lru
     0.98%     0.98%  swapper          [kernel.kallsyms]                  [k] pm_qos_read_value
     0.97%     0.00%  ReadStage-3      [kernel.kallsyms]                  [k] __add_to_page_cache_locked
     0.97%     0.97%  ReadStage-3      [kernel.kallsyms]                  [k] xas_load
     0.97%     0.00%  ReadStage-3      [kernel.kallsyms]                  [k] xa_get_order
     0.97%     0.00%  ReadStage-29     [kernel.kallsyms]                  [k] asm_exc_page_fault
     0.97%     0.00%  ReadStage-29     [kernel.kallsyms]                  [k] do_user_addr_fault
     0.97%     0.00%  ReadStage-29     [kernel.kallsyms]                  [k] exc_page_fault
     0.96%     0.00%  ReadStage-29     [kernel.kallsyms]                  [k] page_cache_ra_unbounded
     0.96%     0.00%  ReadStage-29     [kernel.kallsyms]                  [k] __do_fault
     0.96%     0.00%  ReadStage-29     [kernel.kallsyms]                  [k] __handle_mm_fault
     0.96%     0.00%  ReadStage-29     [kernel.kallsyms]                  [k] filemap_fault
     0.96%     0.00%  ReadStage-29     [kernel.kallsyms]                  [k] handle_mm_fault
     0.96%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] cgroup_rstat_flush_irqsafe
     0.96%     0.00%  ReadStage-29     [kernel.kallsyms]                  [k] add_to_page_cache_lru
     0.96%     0.00%  NonPeriodicTask  [kernel.kallsyms]                  [k] invalidate_mapping_pagevec
     0.96%     0.00%  ReadStage-29     [kernel.kallsyms]                  [k] mem_cgroup_flush_stats
     0.96%     0.00%  ReadStage-29     [kernel.kallsyms]                  [k] workingset_refault
     0.96%     0.00%  ReadStage-29     [kernel.kallsyms]                  [k] cgroup_rstat_flush_irqsafe
     0.95%     0.00%  ReadStage-29     [kernel.kallsyms]                  [k] cgroup_rstat_flush_locked
     0.95%     0.95%  ReadStage-29     [kernel.kallsyms]                  [k] mem_cgroup_css_rstat_flush
     0.94%     0.00%  ReadStage-29     [kernel.kallsyms]                  [k] ondemand_readahead
     0.94%     0.00%  ReadStage-29     [kernel.kallsyms]                  [k] page_cache_async_ra
     0.93%     0.03%  Native-Transpor  [kernel.kallsyms]                  [k] futex_wake
     0.92%     0.72%  Native-Transpor  [kernel.kallsyms]                  [k] __add_to_page_cache_locked
     0.88%     0.00%  kswapd1          [kernel.kallsyms]                  [k] ext4_releasepage
     0.88%     0.00%  kswapd1          [kernel.kallsyms]                  [k] jbd2_journal_try_to_free_buffers
     0.88%     0.00%  kswapd1          [kernel.kallsyms]                  [k] try_to_release_page
     0.88%     0.88%  kswapd1          [kernel.kallsyms]                  [k] __slab_free
     0.88%     0.00%  kswapd1          [kernel.kallsyms]                  [k] __free_slab
     0.88%     0.00%  kswapd1          [kernel.kallsyms]                  [k] discard_slab
     0.88%     0.00%  kswapd1          [kernel.kallsyms]                  [k] free_buffer_head
     0.88%     0.00%  kswapd1          [kernel.kallsyms]                  [k] kfree
     0.88%     0.00%  kswapd1          [kernel.kallsyms]                  [k] kmem_cache_free
     0.88%     0.00%  kswapd1          [kernel.kallsyms]                  [k] try_to_free_buffers
     0.86%     0.01%  swapper          [kernel.kallsyms]                  [k] schedule_idle
     0.84%     0.00%  ReadStage-113    [kernel.kallsyms]                  [k] __handle_mm_fault
     0.84%     0.00%  ReadStage-113    [kernel.kallsyms]                  [k] asm_exc_page_fault
     0.84%     0.00%  ReadStage-113    [kernel.kallsyms]                  [k] do_user_addr_fault
     0.84%     0.00%  ReadStage-113    [kernel.kallsyms]                  [k] exc_page_fault
     0.84%     0.00%  ReadStage-113    [kernel.kallsyms]                  [k] handle_mm_fault
     0.84%     0.00%  ReadStage-113    [kernel.kallsyms]                  [k] __do_fault
     0.84%     0.00%  ReadStage-113    [kernel.kallsyms]                  [k] filemap_fault
     0.84%     0.00%  ReadStage-113    [kernel.kallsyms]                  [k] page_cache_ra_unbounded
     0.84%     0.11%  swapper          [kernel.kallsyms]                  [k] __schedule
     0.83%     0.00%  ReadStage-113    [kernel.kallsyms]                  [k] do_page_cache_ra
     0.83%     0.00%  ReadStage-113    [kernel.kallsyms]                  [k] add_to_page_cache_lru
     0.83%     0.83%  Native-Transpor  [kernel.kallsyms]                  [k] mark_wake_futex
     0.83%     0.00%  ReadStage-113    [kernel.kallsyms]                  [k] cgroup_rstat_flush_locked
     0.83%     0.00%  ReadStage-113    [kernel.kallsyms]                  [k] cgroup_rstat_flush_irqsafe
     0.83%     0.00%  ReadStage-113    [kernel.kallsyms]                  [k] mem_cgroup_flush_stats
     0.83%     0.00%  ReadStage-113    [kernel.kallsyms]                  [k] workingset_refault
     0.82%     0.82%  ReadStage-113    [kernel.kallsyms]                  [k] mem_cgroup_css_rstat_flush
     0.76%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                  [k] __x64_sys_futex
     0.75%     0.75%  cluster1-nio-wo  [kernel.kallsyms]                  [k] entry_SYSCALL_64_safe_stack
     0.75%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] do_futex
     0.75%     0.07%  cluster1-nio-wo  [kernel.kallsyms]                  [k] futex_wake
     0.71%     0.11%  Native-Transpor  [kernel.kallsyms]                  [k] cgroup_rstat_flush_locked
     0.70%     0.00%  ReadStage-26     [kernel.kallsyms]                  [k] __handle_mm_fault
     0.70%     0.00%  ReadStage-26     [kernel.kallsyms]                  [k] asm_exc_page_fault
     0.70%     0.00%  ReadStage-26     [kernel.kallsyms]                  [k] do_user_addr_fault
     0.70%     0.00%  ReadStage-26     [kernel.kallsyms]                  [k] exc_page_fault
     0.70%     0.00%  ReadStage-26     [kernel.kallsyms]                  [k] handle_mm_fault
     0.70%     0.00%  ReadStage-26     [kernel.kallsyms]                  [k] __do_fault
     0.70%     0.00%  ReadStage-26     [kernel.kallsyms]                  [k] filemap_fault
     0.70%     0.00%  ReadStage-26     [kernel.kallsyms]                  [k] page_cache_ra_unbounded
     0.69%     0.00%  ReadStage-26     [kernel.kallsyms]                  [k] do_page_cache_ra
     0.69%     0.00%  ReadStage-26     [kernel.kallsyms]                  [k] add_to_page_cache_lru
     0.69%     0.00%  ReadStage-26     [kernel.kallsyms]                  [k] cgroup_rstat_flush_irqsafe
     0.69%     0.00%  ReadStage-26     [kernel.kallsyms]                  [k] mem_cgroup_flush_stats
     0.69%     0.00%  ReadStage-26     [kernel.kallsyms]                  [k] workingset_refault
     0.68%     0.00%  ReadStage-26     [kernel.kallsyms]                  [k] cgroup_rstat_flush_locked
     0.68%     0.68%  ReadStage-26     [kernel.kallsyms]                  [k] mem_cgroup_css_rstat_flush
     0.66%     0.01%  kswapd1          [kernel.kallsyms]                  [k] rmap_walk
     0.65%     0.00%  ReadStage-47     [kernel.kallsyms]                  [k] __handle_mm_fault
     0.65%     0.00%  ReadStage-47     [kernel.kallsyms]                  [k] asm_exc_page_fault
