# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 12555165565565
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
    33.02%     0.00%  swapper          [kernel.kallsyms]     [k] secondary_startup_64_no_verify
    33.02%     0.00%  swapper          [kernel.kallsyms]     [k] cpu_startup_entry
    33.02%     0.01%  swapper          [kernel.kallsyms]     [k] do_idle
    32.87%     0.00%  swapper          [kernel.kallsyms]     [k] cpuidle_enter
    32.87%     0.01%  swapper          [kernel.kallsyms]     [k] cpuidle_enter_state
    32.68%    31.30%  swapper          [kernel.kallsyms]     [k] mwait_idle_with_hints.constprop.0
    31.33%     0.00%  swapper          [kernel.kallsyms]     [k] start_secondary
    19.75%     0.13%  java             [kernel.kallsyms]     [k] asm_exc_page_fault
    18.80%     0.27%  java             [kernel.kallsyms]     [k] exc_page_fault
    16.70%     0.17%  java             [kernel.kallsyms]     [k] do_user_addr_fault
    12.22%     0.55%  java             [kernel.kallsyms]     [k] handle_mm_fault
    10.74%     2.69%  java             [kernel.kallsyms]     [k] __handle_mm_fault
     9.57%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     9.56%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] do_syscall_64
     9.00%     0.12%  LocalJobRunner   [kernel.kallsyms]     [k] asm_exc_page_fault
     7.95%     0.07%  LocalJobRunner   [kernel.kallsyms]     [k] exc_page_fault
     7.54%     0.15%  LocalJobRunner   [kernel.kallsyms]     [k] do_user_addr_fault
     7.08%     0.24%  LocalJobRunner   [kernel.kallsyms]     [k] handle_mm_fault
     6.49%     0.84%  LocalJobRunner   [kernel.kallsyms]     [k] __handle_mm_fault
     4.99%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     4.99%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] do_syscall_64
     4.76%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_write
     4.76%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ksys_write
     4.76%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] vfs_write
     4.76%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_file_write_iter
     4.76%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] new_sync_write
     4.76%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_buffered_write_iter
     4.75%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] generic_perform_write
     4.65%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] __x64_sys_read
     4.65%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] ksys_read
     4.65%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] vfs_read
     4.65%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] new_sync_read
     4.64%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] ext4_file_read_iter
     4.64%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] generic_file_read_iter
     4.64%     0.03%  localfetcher#1   [kernel.kallsyms]     [k] filemap_read
     4.56%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_read
     4.56%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ksys_read
     4.56%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] vfs_read
     4.56%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] new_sync_read
     4.56%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] generic_file_read_iter
     4.56%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_file_read_iter
     4.55%     0.11%  LocalJobRunner   [kernel.kallsyms]     [k] filemap_read
     4.49%     4.45%  LocalJobRunner   [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     4.25%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     4.25%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] do_syscall_64
     4.07%     0.10%  java             [kernel.kallsyms]     [k] migrate_misplaced_page
     3.44%     3.41%  java             [kernel.kallsyms]     [k] down_read_trylock
     3.40%     0.28%  java             [kernel.kallsyms]     [k] migrate_pages
     3.12%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     3.11%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] sysvec_apic_timer_interrupt
     3.09%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] do_syscall_64
     3.09%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     3.08%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] __x64_sys_write
     3.08%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] ksys_write
     3.08%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] vfs_write
     3.08%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] new_sync_write
     3.08%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] ext4_file_write_iter
     3.08%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] ext4_buffered_write_iter
     3.08%     0.01%  InMemoryMerger   [kernel.kallsyms]     [k] generic_perform_write
     3.01%     0.08%  LocalJobRunner   [kernel.kallsyms]     [k] exit_to_user_mode_prepare
     3.00%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] irqentry_exit
     2.99%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     2.90%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] task_work_run
     2.90%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] task_numa_work
     2.90%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] change_prot_numa
     2.84%     0.11%  LocalJobRunner   [kernel.kallsyms]     [k] __alloc_pages
     2.80%     1.22%  localfetcher#1   [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     2.71%     0.34%  LocalJobRunner   [kernel.kallsyms]     [k] get_page_from_freelist
     2.70%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] __x64_sys_write
     2.70%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ksys_write
     2.70%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] vfs_write
     2.70%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_file_write_iter
     2.70%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] new_sync_write
     2.70%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_buffered_write_iter
     2.69%     0.01%  pool-4-thread-1  [kernel.kallsyms]     [k] generic_perform_write
     2.58%     0.01%  localfetcher#1   [kernel.kallsyms]     [k] asm_exc_page_fault
     2.45%     2.27%  LocalJobRunner   [kernel.kallsyms]     [k] change_protection
     2.31%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_da_write_begin
     1.96%     0.04%  LocalJobRunner   [kernel.kallsyms]     [k] alloc_pages_vma
     1.94%     1.93%  LocalJobRunner   [kernel.kallsyms]     [k] clear_page_erms
     1.84%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] grab_cache_page_write_begin
     1.82%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] pagecache_get_page
     1.80%     0.04%  java             [kernel.kallsyms]     [k] __alloc_pages
     1.79%     1.77%  java             [kernel.kallsyms]     [k] native_queued_spin_lock_slowpath
     1.73%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] filemap_get_pages
     1.70%     1.68%  java             [kernel.kallsyms]     [k] up_read
     1.70%     0.00%  swapper          [kernel.kallsyms]     [k] arch_call_rest_init
     1.70%     0.00%  swapper          [kernel.kallsyms]     [k] rest_init
     1.70%     0.00%  swapper          [kernel.kallsyms]     [k] start_kernel
     1.70%     0.00%  swapper          [kernel.kallsyms]     [k] x86_64_start_kernel
     1.70%     0.00%  swapper          [kernel.kallsyms]     [k] x86_64_start_reservations
     1.67%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] ondemand_readahead
     1.66%     0.02%  localfetcher#1   [kernel.kallsyms]     [k] page_cache_ra_unbounded
     1.65%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] page_cache_async_ra
     1.64%     0.01%  InMemoryMerger   [kernel.kallsyms]     [k] ext4_da_write_begin
     1.63%     0.13%  LocalJobRunner   [kernel.kallsyms]     [k] __mem_cgroup_charge
     1.60%     0.01%  localfetcher#1   [kernel.kallsyms]     [k] exc_page_fault
     1.55%     0.02%  localfetcher#1   [kernel.kallsyms]     [k] do_user_addr_fault
