# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 19811833428013
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
     1.96%     0.00%  kswapd0          [kernel.kallsyms]     [k] ret_from_fork
     1.96%     0.00%  kswapd0          [kernel.kallsyms]     [k] kswapd
     1.95%     0.00%  kswapd0          [kernel.kallsyms]     [k] balance_pgdat
     1.95%     0.00%  kswapd0          [kernel.kallsyms]     [k] shrink_node
     1.83%     0.02%  postgres         [kernel.kallsyms]     [k] ttwu_do_activate
     1.79%     0.01%  kswapd0          [kernel.kallsyms]     [k] shrink_lruvec
     1.74%     0.03%  postgres         [kernel.kallsyms]     [k] enqueue_task
     1.69%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     1.67%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] do_syscall_64
     1.65%     1.53%  swapper          [kernel.kallsyms]     [k] poll_idle
     1.65%     1.61%  postgres         [kernel.kallsyms]     [k] next_uptodate_page
     1.63%     1.09%  postgres         [kernel.kallsyms]     [k] __add_to_page_cache_locked
     1.58%     0.08%  postgres         [kernel.kallsyms]     [k] exit_to_user_mode_prepare
     1.56%     1.53%  postgres         [kernel.kallsyms]     [k] clear_page_erms
     1.48%     1.39%  kcompactd1       [kernel.kallsyms]     [k] page_vma_mapped_walk
     1.45%     0.09%  kswapd0          [kernel.kallsyms]     [k] shrink_page_list
     1.42%     0.01%  postgres         [kernel.kallsyms]     [k] __softirqentry_text_start
     1.37%     0.01%  postgres         [kernel.kallsyms]     [k] __do_fault
     1.37%     0.01%  swapper          [kernel.kallsyms]     [k] schedule_idle
     1.36%     0.01%  postgres         [kernel.kallsyms]     [k] read_pages
     1.34%     0.03%  postgres         [kernel.kallsyms]     [k] dequeue_task
     1.33%     0.02%  postgres         [kernel.kallsyms]     [k] irq_exit_rcu
     1.33%     0.23%  swapper          [kernel.kallsyms]     [k] __schedule
     1.30%     1.02%  postgres         [kernel.kallsyms]     [k] update_blocked_averages
     1.29%     0.15%  postgres         [kernel.kallsyms]     [k] dequeue_task_fair
     1.22%     0.00%  postgres         [kernel.kallsyms]     [k] run_rebalance_domains
     1.19%     0.00%  kcompactd1       [kernel.kallsyms]     [k] try_to_migrate
     1.14%     0.02%  postgres         [kernel.kallsyms]     [k] ext4_readahead
     1.12%     0.03%  postgres         [kernel.kallsyms]     [k] shmem_fault
     1.12%     0.19%  postgres         [kernel.kallsyms]     [k] enqueue_task_fair
     1.11%     0.03%  postgres         [kernel.kallsyms]     [k] ext4_mpage_readpages
     1.09%     0.04%  postgres         [kernel.kallsyms]     [k] shmem_getpage_gfp
     1.09%     0.09%  postgres         [kernel.kallsyms]     [k] dequeue_entity
     1.09%     0.00%  postgres         [kernel.kallsyms]     [k] __x64_sys_sendto
     1.08%     0.01%  postgres         [kernel.kallsyms]     [k] __sys_sendto
     1.04%     0.11%  kcompactd1       [kernel.kallsyms]     [k] try_to_migrate_one
     1.01%     0.02%  postgres         [kernel.kallsyms]     [k] syscall_exit_to_user_mode
     1.00%     0.00%  postgres         [kernel.kallsyms]     [k] sock_sendmsg
     0.96%     0.46%  postgres         [kernel.kallsyms]     [k] update_load_avg
     0.95%     0.75%  postgres         [kernel.kallsyms]     [k] _raw_spin_lock
     0.94%     0.00%  kswapd1          [kernel.kallsyms]     [k] shrink_active_list
     0.93%     0.04%  postgres         [kernel.kallsyms]     [k] ext4_block_write_begin
     0.92%     0.00%  swapper          [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     0.91%     0.13%  postgres         [kernel.kallsyms]     [k] get_futex_key
     0.91%     0.00%  swapper          [kernel.kallsyms]     [k] sysvec_apic_timer_interrupt
     0.89%     0.00%  postgres         [kernel.kallsyms]     [k] asm_common_interrupt
     0.88%     0.00%  postgres         [kernel.kallsyms]     [k] common_interrupt
     0.88%     0.03%  kcompactd1       [kernel.kallsyms]     [k] remove_migration_pte
     0.87%     0.01%  postgres         [kernel.kallsyms]     [k] __common_interrupt
     0.87%     0.29%  postgres         [kernel.kallsyms]     [k] enqueue_entity
     0.87%     0.53%  postgres         [kernel.kallsyms]     [k] select_task_rq_fair
     0.84%     0.01%  postgres         [kernel.kallsyms]     [k] handle_edge_irq
     0.84%     0.82%  postgres         [kernel.kallsyms]     [k] psi_group_change
     0.83%     0.09%  postgres         [kernel.kallsyms]     [k] pick_next_task_fair
     0.82%     0.00%  postgres         [kernel.kallsyms]     [k] handle_irq_event
     0.79%     0.01%  postgres         [kernel.kallsyms]     [k] __handle_irq_event_percpu
     0.79%     0.76%  postgres         [kernel.kallsyms]     [k] xas_load
     0.79%     0.00%  swapper          [kernel.kallsyms]     [k] arch_call_rest_init
     0.79%     0.00%  swapper          [kernel.kallsyms]     [k] rest_init
     0.79%     0.00%  swapper          [kernel.kallsyms]     [k] start_kernel
     0.79%     0.00%  swapper          [kernel.kallsyms]     [k] x86_64_start_kernel
     0.79%     0.00%  swapper          [kernel.kallsyms]     [k] x86_64_start_reservations
     0.78%     0.01%  postgres         [kernel.kallsyms]     [k] nvme_irq
     0.78%     0.02%  postgres         [kernel.kallsyms]     [k] nvme_process_cq
     0.78%     0.00%  postgres         [kernel.kallsyms]     [k] __x64_sys_openat
     0.78%     0.01%  postgres         [kernel.kallsyms]     [k] get_user_pages_fast
     0.76%     0.04%  postgres         [kernel.kallsyms]     [k] __wake_up_common
     0.76%     0.01%  postgres         [kernel.kallsyms]     [k] do_sys_openat2
     0.75%     0.35%  postgres         [kernel.kallsyms]     [k] internal_get_user_pages_fast
     0.74%     0.01%  postgres         [kernel.kallsyms]     [k] pte_alloc_one
     0.74%     0.00%  postgres         [kernel.kallsyms]     [k] nvme_pci_complete_rq
     0.73%     0.00%  postgres         [kernel.kallsyms]     [k] task_work_run
     0.71%     0.01%  postgres         [kernel.kallsyms]     [k] ext4_map_blocks
     0.71%     0.06%  postgres         [kernel.kallsyms]     [k] switch_fpu_return
     0.70%     0.01%  swapper          [kernel.kallsyms]     [k] irq_exit_rcu
     0.70%     0.00%  postgres         [kernel.kallsyms]     [k] ext4_sync_file
     0.70%     0.20%  postgres         [kernel.kallsyms]     [k] futex_wait_setup
     0.70%     0.01%  postgres         [kernel.kallsyms]     [k] nvme_complete_rq
     0.69%     0.33%  postgres         [kernel.kallsyms]     [k] update_curr
     0.69%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] __x64_sys_sendto
     0.69%     0.00%  swapper          [kernel.kallsyms]     [k] __softirqentry_text_start
     0.69%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] __sys_sendto
     0.68%     0.00%  postgres         [kernel.kallsyms]     [k] blk_mq_end_request
     0.68%     0.00%  postgres         [kernel.kallsyms]     [k] file_write_and_wait_range
     0.67%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] sock_sendmsg
     0.67%     0.39%  postgres         [kernel.kallsyms]     [k] _raw_spin_lock_irqsave
     0.66%     0.06%  swapper          [kernel.kallsyms]     [k] flush_smp_call_function_from_idle
     0.66%     0.03%  postgres         [kernel.kallsyms]     [k] unix_stream_sendmsg
     0.65%     0.65%  postgres         [kernel.kallsyms]     [k] __restore_fpregs_from_fpstate
     0.65%     0.02%  tclsh8.6         [kernel.kallsyms]     [k] unix_stream_sendmsg
     0.65%     0.00%  swapper          [kernel.kallsyms]     [k] run_rebalance_domains
     0.64%     0.13%  postgres         [kernel.kallsyms]     [k] psi_task_change
     0.63%     0.01%  postgres         [kernel.kallsyms]     [k] __sysvec_apic_timer_interrupt
     0.63%     0.00%  postgres         [kernel.kallsyms]     [k] filemap_fdatawrite_wbc
     0.63%     0.00%  postgres         [kernel.kallsyms]     [k] do_writepages
     0.63%     0.01%  postgres         [kernel.kallsyms]     [k] ext4_writepages
     0.62%     0.03%  postgres         [kernel.kallsyms]     [k] blk_update_request
     0.62%     0.02%  postgres         [kernel.kallsyms]     [k] hrtimer_interrupt
     0.61%     0.01%  postgres         [kernel.kallsyms]     [k] irqentry_exit
     0.61%     0.03%  swapper          [kernel.kallsyms]     [k] flush_smp_call_function_queue
     0.60%     0.00%  postgres         [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     0.59%     0.00%  postgres         [kernel.kallsyms]     [k] bio_endio
     0.58%     0.00%  postgres         [kernel.kallsyms]     [k] __x64_sys_fdatasync
     0.58%     0.00%  postgres         [kernel.kallsyms]     [k] __x64_sys_write
     0.58%     0.00%  postgres         [kernel.kallsyms]     [k] ksys_write
     0.56%     0.02%  postgres         [kernel.kallsyms]     [k] ext4_da_write_end
     0.56%     0.09%  postgres         [kernel.kallsyms]     [k] psi_task_switch
     0.56%     0.22%  postgres         [kernel.kallsyms]     [k] cgroup_rstat_updated
     0.55%     0.06%  postgres         [kernel.kallsyms]     [k] newidle_balance
     0.55%     0.03%  postgres         [kernel.kallsyms]     [k] wait_on_page_bit_common
     0.55%     0.01%  postgres         [kernel.kallsyms]     [k] __hrtimer_run_queues
     0.54%     0.01%  postgres         [kernel.kallsyms]     [k] task_numa_work
     0.54%     0.00%  postgres         [kernel.kallsyms]     [k] __x64_sys_read
     0.54%     0.00%  postgres         [kernel.kallsyms]     [k] ksys_read
     0.54%     0.03%  swapper          [kernel.kallsyms]     [k] sched_ttwu_pending
     0.54%     0.05%  postgres         [kernel.kallsyms]     [k] generic_write_end
     0.53%     0.30%  kswapd1          [kernel.kallsyms]     [k] vma_interval_tree_iter_next
     0.53%     0.02%  postgres         [kernel.kallsyms]     [k] mpage_prepare_extent_to_map
     0.53%     0.04%  postgres         [kernel.kallsyms]     [k] ext4_da_get_block_prep
     0.53%     0.03%  kswapd0          [kernel.kallsyms]     [k] __remove_mapping
     0.53%     0.39%  swapper          [kernel.kallsyms]     [k] update_blocked_averages
     0.53%     0.01%  postgres         [kernel.kallsyms]     [k] do_filp_open
     0.53%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] __x64_sys_poll
     0.52%     0.00%  postgres         [kernel.kallsyms]     [k] __x64_sys_exit_group
     0.52%     0.00%  postgres         [kernel.kallsyms]     [k] do_exit
     0.52%     0.00%  postgres         [kernel.kallsyms]     [k] do_group_exit
     0.52%     0.06%  tclsh8.6         [kernel.kallsyms]     [k] do_sys_poll
     0.51%     0.51%  postgres         [unknown]             [.] 0000000000000000
     0.51%     0.01%  postgres         [kernel.kallsyms]     [k] path_openat
     0.51%     0.00%  postgres         [kernel.kallsyms]     [k] mmput
     0.51%     0.00%  postgres         [kernel.kallsyms]     [k] exit_mmap
     0.50%     0.00%  swapper          [kernel.kallsyms]     [k] ttwu_do_activate
     0.49%     0.00%  postgres         [kernel.kallsyms]     [k] io_schedule
     0.49%     0.00%  kcompactd0       [kernel.kallsyms]     [k] kthread
     0.49%     0.00%  kcompactd0       [kernel.kallsyms]     [k] ret_from_fork
     0.49%     0.00%  kcompactd0       [kernel.kallsyms]     [k] kcompactd
     0.49%     0.00%  kcompactd0       [kernel.kallsyms]     [k] compact_zone
     0.48%     0.11%  postgres         [kernel.kallsyms]     [k] unlock_page
     0.48%     0.47%  postgres         [kernel.kallsyms]     [k] available_idle_cpu
     0.48%     0.00%  postgres         [kernel.kallsyms]     [k] tick_sched_timer
     0.48%     0.00%  kcompactd0       [kernel.kallsyms]     [k] migrate_pages
     0.47%     0.03%  swapper          [kernel.kallsyms]     [k] enqueue_task
     0.47%     0.00%  postgres         [kernel.kallsyms]     [k] change_prot_numa
     0.47%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] schedule
     0.46%     0.23%  postgres         [kernel.kallsyms]     [k] kmem_cache_alloc
     0.46%     0.46%  postgres         [kernel.kallsyms]     [k] native_queued_spin_lock_slowpath
     0.46%     0.05%  postgres         [kernel.kallsyms]     [k] xas_find
     0.46%     0.05%  tclsh8.6         [kernel.kallsyms]     [k] __schedule
     0.46%     0.00%  postgres         [kernel.kallsyms]     [k] unmap_vmas
