# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10K of event 'cycles'
# Event count (approx.): 1989928846204
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
    55.63%     0.01%  postgres         [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    55.61%     0.01%  postgres         [kernel.kallsyms]  [k] do_syscall_64
    40.85%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_exit_group
    40.85%     0.00%  postgres         [kernel.kallsyms]  [k] do_exit
    40.85%     0.00%  postgres         [kernel.kallsyms]  [k] do_group_exit
    40.85%     0.00%  postgres         [kernel.kallsyms]  [k] exit_mmap
    40.85%     0.00%  postgres         [kernel.kallsyms]  [k] mmput
    39.39%     0.00%  postgres         [kernel.kallsyms]  [k] unmap_single_vma
    39.39%     0.00%  postgres         [kernel.kallsyms]  [k] unmap_vmas
    38.82%    29.74%  postgres         [kernel.kallsyms]  [k] unmap_page_range
    34.22%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    34.22%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    34.21%     0.01%  swapper          [kernel.kallsyms]  [k] do_idle
    33.64%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    33.41%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    33.40%     0.03%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    32.49%    32.03%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
     8.15%     0.00%  postgres         [kernel.kallsyms]  [k] vfs_read
     8.14%     0.01%  postgres         [kernel.kallsyms]  [k] new_sync_read
     8.13%     0.00%  postgres         [kernel.kallsyms]  [k] generic_file_read_iter
     8.13%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_file_read_iter
     8.13%     0.01%  postgres         [kernel.kallsyms]  [k] filemap_read
     8.02%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_pread64
     7.29%     0.00%  postgres         [kernel.kallsyms]  [k] filemap_get_pages
     5.62%     0.00%  postgres         [kernel.kallsyms]  [k] ondemand_readahead
     5.61%     0.00%  postgres         [kernel.kallsyms]  [k] page_cache_sync_ra
     5.60%     0.01%  postgres         [kernel.kallsyms]  [k] page_cache_ra_unbounded
     5.14%     4.30%  postgres         [kernel.kallsyms]  [k] page_remove_rmap
     3.88%     0.03%  postgres         [kernel.kallsyms]  [k] add_to_page_cache_lru
     3.68%     0.01%  postgres         [kernel.kallsyms]  [k] workingset_refault
     3.66%     0.00%  postgres         [kernel.kallsyms]  [k] cgroup_rstat_flush_irqsafe
     3.66%     0.00%  postgres         [kernel.kallsyms]  [k] mem_cgroup_flush_stats
     3.61%     0.66%  postgres         [kernel.kallsyms]  [k] cgroup_rstat_flush_locked
     3.50%     0.00%  postgres         [kernel.kallsyms]  [k] asm_exc_page_fault
     3.21%     0.01%  postgres         [kernel.kallsyms]  [k] __x64_sys_futex
     3.20%     0.00%  postgres         [kernel.kallsyms]  [k] do_futex
     3.18%     0.04%  postgres         [kernel.kallsyms]  [k] tlb_flush_mmu
     2.93%     2.90%  postgres         [kernel.kallsyms]  [k] mem_cgroup_css_rstat_flush
     2.88%     0.01%  postgres         [kernel.kallsyms]  [k] exc_page_fault
     2.86%     0.00%  postgres         [kernel.kallsyms]  [k] do_user_addr_fault
     2.76%     0.15%  postgres         [kernel.kallsyms]  [k] free_pages_and_swap_cache
     2.43%     1.44%  postgres         [kernel.kallsyms]  [k] release_pages
     2.37%     0.00%  postgres         [kernel.kallsyms]  [k] handle_mm_fault
     2.31%     0.62%  postgres         [kernel.kallsyms]  [k] __handle_mm_fault
     2.31%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     2.30%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] do_syscall_64
     1.95%     0.03%  postgres         [kernel.kallsyms]  [k] futex_wake
     1.92%     0.01%  postgres         [kernel.kallsyms]  [k] schedule
     1.92%     0.05%  postgres         [kernel.kallsyms]  [k] __schedule
     1.88%     0.01%  postgres         [kernel.kallsyms]  [k] alloc_pages
     1.88%     0.00%  postgres         [kernel.kallsyms]  [k] __alloc_pages
     1.87%     0.02%  postgres         [kernel.kallsyms]  [k] get_page_from_freelist
     1.78%     1.78%  postgres         [kernel.kallsyms]  [k] clear_page_erms
     1.68%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compact_zone
     1.68%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kcompactd
     1.68%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kthread
     1.68%     0.00%  kcompactd0       [kernel.kallsyms]  [k] proactive_compact_node
     1.68%     0.00%  kcompactd0       [kernel.kallsyms]  [k] ret_from_fork
     1.64%     0.05%  kcompactd0       [kernel.kallsyms]  [k] migrate_pages
     1.57%     0.00%  postgres         [kernel.kallsyms]  [k] vfs_write
     1.57%     0.00%  postgres         [kernel.kallsyms]  [k] new_sync_write
     1.57%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_buffered_write_iter
     1.57%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_file_write_iter
     1.54%     0.01%  postgres         [kernel.kallsyms]  [k] generic_perform_write
     1.47%     1.47%  postgres         [kernel.kallsyms]  [k] __update_load_avg_cfs_rq
     1.46%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_pwrite64
     1.43%     0.04%  postgres         [kernel.kallsyms]  [k] free_pgd_range
     1.43%     0.00%  postgres         [kernel.kallsyms]  [k] free_pgtables
     1.38%     0.31%  postgres         [kernel.kallsyms]  [k] ___pte_free_tlb
     1.32%     0.01%  postgres         [kernel.kallsyms]  [k] ext4_da_write_begin
     1.32%     0.00%  kcompactd0       [kernel.kallsyms]  [k] rmap_walk
     1.27%     0.03%  postgres         [kernel.kallsyms]  [k] pagecache_get_page
     1.26%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __sys_recvfrom
     1.26%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __x64_sys_recvfrom
     1.25%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] sock_recvmsg
     1.25%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] unix_stream_recvmsg
     1.25%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] unix_stream_read_generic
     1.23%     0.02%  postgres         [kernel.kallsyms]  [k] futex_wait
     1.23%     0.00%  postgres         [kernel.kallsyms]  [k] grab_cache_page_write_begin
     1.22%     1.22%  tclsh8.6         [kernel.kallsyms]  [k] mutex_lock
     1.20%     0.05%  postgres         [kernel.kallsyms]  [k] try_to_wake_up
     1.19%     0.00%  kcompactd1       [kernel.kallsyms]  [k] compact_zone
     1.19%     0.00%  kcompactd1       [kernel.kallsyms]  [k] kcompactd
     1.19%     0.00%  kcompactd1       [kernel.kallsyms]  [k] kthread
     1.19%     0.00%  kcompactd1       [kernel.kallsyms]  [k] proactive_compact_node
     1.19%     0.00%  kcompactd1       [kernel.kallsyms]  [k] ret_from_fork
