# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 336K of event 'cycles'
# Event count (approx.): 6496021750873
#
# Children      Self  Command          Shared Object       Symbol                                             
# ........  ........  ...............  ..................  ...................................................
#
     2.04%     0.00%  kswapd1          [kernel.kallsyms]   [k] kthread
     2.04%     0.00%  kswapd1          [kernel.kallsyms]   [k] ret_from_fork
     2.04%     0.00%  kswapd1          [kernel.kallsyms]   [k] balance_pgdat
     2.01%     1.58%  pool-4-thread-1  [kernel.kallsyms]   [k] __add_to_page_cache_locked
     1.96%     0.00%  kswapd1          [kernel.kallsyms]   [k] shrink_node
     1.87%     1.86%  java             [kernel.kallsyms]   [k] up_read
     1.77%     0.00%  kswapd1          [kernel.kallsyms]   [k] shrink_lruvec
     1.76%     1.76%  pool-4-thread-1  [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     1.76%     0.01%  kswapd1          [kernel.kallsyms]   [k] evict_pages
     1.64%     0.03%  java             [kernel.kallsyms]   [k] _raw_spin_lock_irq
     1.63%     0.05%  pool-4-thread-1  [kernel.kallsyms]   [k] __mark_inode_dirty
     1.58%     0.01%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_dirty_inode
     1.56%     1.55%  localfetcher#1   [kernel.kallsyms]   [k] clear_page_erms
     1.56%     0.09%  pool-4-thread-1  [kernel.kallsyms]   [k] __alloc_pages
     1.54%     0.13%  localfetcher#1   [kernel.kallsyms]   [k] add_to_page_cache_lru
     1.52%     1.52%  swapper          [unknown]           [.] 0000000000000000
     1.50%     0.01%  pool-4-thread-1  [kernel.kallsyms]   [k] alloc_pages
     1.48%     0.11%  kswapd0          [kernel.kallsyms]   [k] shrink_page_list
     1.29%     0.01%  localfetcher#1   [kernel.kallsyms]   [k] alloc_pages
     1.29%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] __page_cache_alloc
     1.26%     0.05%  java             [kernel.kallsyms]   [k] migrate_misplaced_page
     1.25%     0.03%  java             [kernel.kallsyms]   [k] do_swap_page
     1.24%     0.02%  pool-4-thread-1  [kernel.kallsyms]   [k] asm_exc_page_fault
     1.20%     0.12%  kswapd1          [kernel.kallsyms]   [k] shrink_page_list
     1.19%     0.01%  localfetcher#1   [kernel.kallsyms]   [k] alloc_pages_vma
     1.18%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] do_syscall_64
     1.18%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     1.14%     0.18%  pool-4-thread-1  [kernel.kallsyms]   [k] get_page_from_freelist
     1.14%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] __x64_sys_write
     1.14%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] ext4_buffered_write_iter
     1.14%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] ext4_file_write_iter
     1.14%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] ksys_write
     1.14%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] new_sync_write
     1.14%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] vfs_write
     1.13%     0.01%  InMemoryMerger   [kernel.kallsyms]   [k] generic_perform_write
     1.11%     0.82%  localfetcher#1   [kernel.kallsyms]   [k] __add_to_page_cache_locked
     1.08%     0.01%  pool-4-thread-1  [kernel.kallsyms]   [k] exc_page_fault
     1.07%     0.02%  java             [kernel.kallsyms]   [k] shrink_page_list
     1.06%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ksys_write
     1.06%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] __x64_sys_write
     1.06%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] vfs_write
     1.06%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] new_sync_write
     1.06%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ext4_file_write_iter
     1.06%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ext4_buffered_write_iter
     1.06%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] generic_perform_write
     1.05%     0.34%  java             [kernel.kallsyms]   [k] _raw_spin_lock
     1.05%     0.05%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_block_write_begin
     1.03%     0.10%  java             [kernel.kallsyms]   [k] migrate_pages
     1.03%     0.03%  pool-4-thread-1  [kernel.kallsyms]   [k] do_user_addr_fault
     0.98%     0.01%  java             [kernel.kallsyms]   [k] find_vma
     0.98%     0.00%  java             [kernel.kallsyms]   [k] rmap_walk
     0.98%     0.97%  java             [kernel.kallsyms]   [k] vmacache_find
     0.98%     0.10%  localfetcher#1   [kernel.kallsyms]   [k] __mem_cgroup_charge
     0.96%     0.03%  pool-4-thread-1  [kernel.kallsyms]   [k] handle_mm_fault
     0.93%     0.01%  java             [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     0.92%     0.89%  LocalJobRunner   [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     0.92%     0.01%  java             [kernel.kallsyms]   [k] do_syscall_64
     0.90%     0.06%  java             [kernel.kallsyms]   [k] rmap_walk_anon
     0.90%     0.01%  java             [kernel.kallsyms]   [k] swapin_readahead
     0.89%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] __x64_sys_read
     0.89%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ksys_read
     0.89%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] vfs_read
     0.89%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] new_sync_read
     0.89%     0.01%  LocalJobRunner   [kernel.kallsyms]   [k] filemap_read
     0.89%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ext4_file_read_iter
     0.89%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] generic_file_read_iter
     0.82%     0.05%  java             [kernel.kallsyms]   [k] exit_to_user_mode_prepare
     0.81%     0.01%  pool-4-thread-1  [kernel.kallsyms]   [k] __ext4_mark_inode_dirty
     0.78%     0.18%  pool-4-thread-1  [kernel.kallsyms]   [k] __handle_mm_fault
     0.72%     0.27%  localfetcher#1   [kernel.kallsyms]   [k] charge_memcg
     0.72%     0.72%  java             [kernel.kallsyms]   [k] sync_regs
     0.66%     0.66%  pool-4-thread-1  [kernel.kallsyms]   [k] clear_page_erms
     0.66%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] asm_exc_page_fault
     0.64%     0.09%  java             [kernel.kallsyms]   [k] get_page_from_freelist
     0.63%     0.06%  localfetcher#1   [kernel.kallsyms]   [k] lru_cache_add
     0.62%     0.00%  java             [kernel.kallsyms]   [k] syscall_exit_to_user_mode
     0.58%     0.01%  java             [kernel.kallsyms]   [k] asm_sysvec_call_function
     0.58%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] exc_page_fault
     0.58%     0.10%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_da_get_block_prep
     0.58%     0.00%  java             [kernel.kallsyms]   [k] arch_do_signal_or_restart
     0.58%     0.00%  java             [kernel.kallsyms]   [k] get_signal
     0.58%     0.00%  java             [kernel.kallsyms]   [k] do_exit
     0.58%     0.00%  java             [kernel.kallsyms]   [k] do_group_exit
     0.58%     0.00%  java             [kernel.kallsyms]   [k] exit_mmap
     0.58%     0.00%  java             [kernel.kallsyms]   [k] mmput
     0.58%     0.12%  java             [kernel.kallsyms]   [k] unmap_page_range
     0.58%     0.00%  java             [kernel.kallsyms]   [k] unmap_single_vma
     0.58%     0.00%  java             [kernel.kallsyms]   [k] unmap_vmas
     0.57%     0.01%  java             [kernel.kallsyms]   [k] __read_swap_cache_async
     0.56%     0.12%  pool-4-thread-1  [kernel.kallsyms]   [k] balance_dirty_pages_ratelimited
     0.56%     0.10%  localfetcher#1   [kernel.kallsyms]   [k] __pagevec_lru_add
     0.55%     0.01%  LocalJobRunner   [kernel.kallsyms]   [k] do_user_addr_fault
     0.53%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] ext4_da_write_begin
     0.53%     0.00%  kworker/u96:1+e  [kernel.kallsyms]   [k] kthread
     0.53%     0.00%  kworker/u96:1+e  [kernel.kallsyms]   [k] ret_from_fork
     0.53%     0.00%  kworker/u96:1+e  [kernel.kallsyms]   [k] worker_thread
     0.53%     0.00%  kworker/u96:1+e  [kernel.kallsyms]   [k] process_one_work
     0.53%     0.00%  kworker/u96:1+e  [kernel.kallsyms]   [k] ext4_end_io_rsv_work
     0.53%     0.00%  java             [kernel.kallsyms]   [k] page_referenced
     0.53%     0.00%  kworker/u96:1+e  [kernel.kallsyms]   [k] ext4_release_io_end
