# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles'
# Event count (approx.): 1465725164165
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
    49.51%     0.00%  postgres         [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    49.50%     0.00%  postgres         [kernel.kallsyms]  [k] do_syscall_64
    39.49%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    39.49%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    39.49%     0.04%  swapper          [kernel.kallsyms]  [k] do_idle
    39.25%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    39.25%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    39.05%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    38.05%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_exit_group
    38.05%     0.00%  postgres         [kernel.kallsyms]  [k] do_exit
    38.05%     0.00%  postgres         [kernel.kallsyms]  [k] do_group_exit
    38.04%     0.00%  postgres         [kernel.kallsyms]  [k] exit_mmap
    38.04%     0.00%  postgres         [kernel.kallsyms]  [k] mmput
    37.76%    37.56%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    35.73%     0.00%  postgres         [kernel.kallsyms]  [k] unmap_single_vma
    35.73%     0.00%  postgres         [kernel.kallsyms]  [k] unmap_vmas
    35.09%    28.62%  postgres         [kernel.kallsyms]  [k] unmap_page_range
     5.74%     0.00%  postgres         [kernel.kallsyms]  [k] vfs_read
     5.73%     0.00%  postgres         [kernel.kallsyms]  [k] new_sync_read
     5.73%     0.02%  postgres         [kernel.kallsyms]  [k] filemap_read
     5.73%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_file_read_iter
     5.73%     0.00%  postgres         [kernel.kallsyms]  [k] generic_file_read_iter
     5.58%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_pread64
     5.51%     0.00%  postgres         [kernel.kallsyms]  [k] filemap_get_pages
     5.47%     0.00%  postgres         [kernel.kallsyms]  [k] ondemand_readahead
     5.47%     0.00%  postgres         [kernel.kallsyms]  [k] page_cache_sync_ra
     5.46%     0.00%  postgres         [kernel.kallsyms]  [k] page_cache_ra_unbounded
     4.78%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_futex
     4.76%     0.01%  postgres         [kernel.kallsyms]  [k] do_futex
     4.48%     0.03%  postgres         [kernel.kallsyms]  [k] futex_wake
     4.12%     0.07%  postgres         [kernel.kallsyms]  [k] free_pages_and_swap_cache
     4.03%     0.05%  postgres         [kernel.kallsyms]  [k] tlb_flush_mmu
     3.26%     0.02%  postgres         [kernel.kallsyms]  [k] try_to_wake_up
     3.21%     0.00%  postgres         [kernel.kallsyms]  [k] wake_up_q
     3.18%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     3.18%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] do_syscall_64
