# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 133K of event 'cycles'
# Event count (approx.): 5321267836559
#
# Children      Self  Command          Shared Object                       Symbol                                        
# ........  ........  ...............  ..................................  ..............................................
#
     1.02%     1.02%  Native-Transpor  [kernel.kallsyms]                   [k] mem_cgroup_css_rstat_flush
     0.99%     0.09%  cluster1-nio-wo  [kernel.kallsyms]                   [k] try_to_wake_up
     0.99%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     0.99%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_syscall_64
     0.92%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] alloc_pages
     0.90%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] __alloc_pages
     0.90%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __page_cache_alloc
     0.89%     0.47%  Native-Transpor  [kernel.kallsyms]                   [k] __add_to_page_cache_locked
     0.86%     0.01%  swapper          [kernel.kallsyms]                   [k] cpuidle_select
     0.86%     0.14%  Native-Transpor  [kernel.kallsyms]                   [k] get_page_from_freelist
     0.85%     0.14%  NonPeriodicTask  [kernel.kallsyms]                   [k] deactivate_file_page
     0.84%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __x64_sys_writev
     0.84%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] do_writev
     0.83%     0.44%  swapper          [kernel.kallsyms]                   [k] menu_select
     0.82%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] vfs_writev
     0.80%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] do_iter_write
     0.79%     0.01%  swapper          [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.79%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_iter_readv_writev
     0.79%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] page_cache_async_ra
     0.79%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] sock_write_iter
     0.78%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] ondemand_readahead
     0.78%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] sock_sendmsg
     0.78%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] inet_sendmsg
     0.77%     0.02%  swapper          [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.77%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_sendmsg
     0.77%     0.03%  kswapd1          [kernel.kallsyms]                   [k] page_referenced
     0.76%     0.00%  kswapd1          [kernel.kallsyms]                   [k] try_to_unmap_flush
     0.76%     0.00%  kswapd1          [kernel.kallsyms]                   [k] arch_tlbbatch_flush
     0.76%     0.06%  kswapd1          [kernel.kallsyms]                   [k] native_flush_tlb_multi
     0.75%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] read_pages
     0.74%     0.30%  NonPeriodicTask  [kernel.kallsyms]                   [k] pagevec_lru_move_fn
     0.74%     0.03%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_sendmsg_locked
     0.69%     0.00%  kswapd1          [kernel.kallsyms]                   [k] on_each_cpu_cond_mask
     0.67%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] asm_sysvec_call_function
     0.65%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.62%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.61%     0.02%  swapper          [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.61%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ttwu_do_activate
     0.61%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] dequeue_task
     0.61%     0.59%  Native-Transpor  [kernel.kallsyms]                   [k] clear_page_erms
     0.59%     0.08%  Native-Transpor  [kernel.kallsyms]                   [k] filemap_map_pages
     0.59%     0.06%  Native-Transpor  [kernel.kallsyms]                   [k] dequeue_task_fair
     0.58%     0.52%  kswapd1          [kernel.kallsyms]                   [k] smp_call_function_many_cond
     0.58%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] try_to_wake_up
     0.57%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.57%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.56%     0.54%  Native-Transpor  [kernel.kallsyms]                   [k] _raw_spin_lock
     0.56%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] enqueue_task
     0.56%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] sysvec_call_function
     0.55%     0.01%  kswapd0          [kernel.kallsyms]                   [k] rmap_walk
     0.54%     0.01%  swapper          [kernel.kallsyms]                   [k] ttwu_do_activate
     0.54%     0.04%  kswapd1          [kernel.kallsyms]                   [k] __remove_mapping
