# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles'
# Event count (approx.): 1280482602832
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
    47.81%     0.01%  swapper          [kernel.kallsyms]  [k] do_idle
    47.81%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    47.81%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    47.68%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    47.68%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    46.90%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    46.46%    46.27%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    41.26%     0.00%  postgres         [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    41.26%     0.00%  postgres         [kernel.kallsyms]  [k] do_syscall_64
    32.64%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_exit_group
    32.64%     0.00%  postgres         [kernel.kallsyms]  [k] do_exit
    32.64%     0.00%  postgres         [kernel.kallsyms]  [k] do_group_exit
    32.60%     0.00%  postgres         [kernel.kallsyms]  [k] exit_mmap
    32.60%     0.00%  postgres         [kernel.kallsyms]  [k] mmput
    30.18%     0.00%  postgres         [kernel.kallsyms]  [k] unmap_single_vma
    30.18%     0.00%  postgres         [kernel.kallsyms]  [k] unmap_vmas
    29.48%    22.72%  postgres         [kernel.kallsyms]  [k] unmap_page_range
     5.01%     2.93%  postgres         [kernel.kallsyms]  [k] release_pages
     4.49%     0.09%  postgres         [kernel.kallsyms]  [k] free_pages_and_swap_cache
     4.49%     0.02%  postgres         [kernel.kallsyms]  [k] do_futex
     4.49%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_futex
     3.80%     0.06%  postgres         [kernel.kallsyms]  [k] tlb_flush_mmu
     3.77%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compact_zone
     3.77%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kcompactd
     3.77%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kthread
     3.77%     0.00%  kcompactd0       [kernel.kallsyms]  [k] proactive_compact_node
     3.77%     0.00%  kcompactd0       [kernel.kallsyms]  [k] ret_from_fork
     3.73%     0.00%  kcompactd0       [kernel.kallsyms]  [k] migrate_pages
     3.18%     0.00%  kcompactd0       [kernel.kallsyms]  [k] rmap_walk
     3.14%     0.04%  kcompactd0       [kernel.kallsyms]  [k] rmap_walk_file
     2.93%     0.02%  postgres         [kernel.kallsyms]  [k] schedule
     2.91%     0.00%  postgres         [kernel.kallsyms]  [k] futex_wait
     2.90%     1.35%  postgres         [kernel.kallsyms]  [k] __schedule
     2.88%     0.00%  postgres         [kernel.kallsyms]  [k] futex_wait_queue_me
     2.77%     0.04%  postgres         [kernel.kallsyms]  [k] free_unref_page_commit.constprop.0
     2.71%     0.04%  postgres         [kernel.kallsyms]  [k] free_pcppages_bulk
     2.58%     2.56%  kcompactd0       [kernel.kallsyms]  [k] page_vma_mapped_walk
     2.51%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] do_syscall_64
     2.51%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     2.28%     0.04%  kcompactd1       [kernel.kallsyms]  [k] migrate_pages
     2.28%     0.00%  kcompactd1       [kernel.kallsyms]  [k] compact_zone
     2.28%     0.00%  kcompactd1       [kernel.kallsyms]  [k] kcompactd
     2.28%     0.00%  kcompactd1       [kernel.kallsyms]  [k] kthread
     2.28%     0.00%  kcompactd1       [kernel.kallsyms]  [k] proactive_compact_node
     2.28%     0.00%  kcompactd1       [kernel.kallsyms]  [k] ret_from_fork
     2.12%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __sys_recvfrom
     2.12%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __x64_sys_recvfrom
     2.12%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] sock_recvmsg
     2.11%     2.11%  tclsh8.6         [kernel.kallsyms]  [k] aa_sk_perm
     2.11%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] apparmor_socket_recvmsg
     2.11%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] security_socket_recvmsg
     2.01%     0.16%  postgres         [kernel.kallsyms]  [k] free_unref_page_list
     1.99%     1.43%  postgres         [kernel.kallsyms]  [k] page_remove_rmap
     1.98%     0.00%  postgres         [kernel.kallsyms]  [k] asm_exc_page_fault
     1.97%     0.00%  postgres         [kernel.kallsyms]  [k] do_user_addr_fault
     1.97%     0.00%  postgres         [kernel.kallsyms]  [k] exc_page_fault
     1.96%     0.00%  postgres         [kernel.kallsyms]  [k] handle_mm_fault
     1.94%     0.02%  postgres         [kernel.kallsyms]  [k] __handle_mm_fault
     1.88%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_openat
