# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 1565327404084
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
    47.01%     0.00%  postgres         [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    47.00%     0.00%  postgres         [kernel.kallsyms]  [k] do_syscall_64
    44.43%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    44.43%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    44.40%     0.00%  swapper          [kernel.kallsyms]  [k] do_idle
    44.05%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    42.81%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    42.80%     0.03%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    42.21%    41.88%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    34.58%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_exit_group
    34.58%     0.00%  postgres         [kernel.kallsyms]  [k] do_exit
    34.58%     0.00%  postgres         [kernel.kallsyms]  [k] do_group_exit
    34.56%     0.00%  postgres         [kernel.kallsyms]  [k] exit_mmap
    34.56%     0.00%  postgres         [kernel.kallsyms]  [k] mmput
    33.15%     0.00%  postgres         [kernel.kallsyms]  [k] unmap_single_vma
    33.15%     0.00%  postgres         [kernel.kallsyms]  [k] unmap_vmas
    32.46%    26.04%  postgres         [kernel.kallsyms]  [k] unmap_page_range
    10.11%     0.01%  postgres         [kernel.kallsyms]  [k] vfs_read
    10.08%     0.01%  postgres         [kernel.kallsyms]  [k] ext4_file_read_iter
    10.08%     0.00%  postgres         [kernel.kallsyms]  [k] new_sync_read
    10.07%     0.02%  postgres         [kernel.kallsyms]  [k] filemap_read
    10.07%     0.00%  postgres         [kernel.kallsyms]  [k] generic_file_read_iter
    10.01%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_pread64
     8.12%     0.01%  postgres         [kernel.kallsyms]  [k] filemap_get_pages
     6.65%     0.00%  postgres         [kernel.kallsyms]  [k] page_cache_sync_ra
     6.65%     0.00%  postgres         [kernel.kallsyms]  [k] ondemand_readahead
     6.63%     0.01%  postgres         [kernel.kallsyms]  [k] page_cache_ra_unbounded
     6.49%     0.01%  postgres         [kernel.kallsyms]  [k] add_to_page_cache_lru
     4.80%     0.01%  postgres         [kernel.kallsyms]  [k] workingset_refault
     4.78%     0.00%  postgres         [kernel.kallsyms]  [k] mem_cgroup_flush_stats
     4.78%     0.00%  postgres         [kernel.kallsyms]  [k] cgroup_rstat_flush_irqsafe
