# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 219K of event 'cycles'
# Event count (approx.): 8179031430484
#
# Children      Self  Command          Shared Object      Symbol                                           
# ........  ........  ...............  .................  .................................................
#
     2.38%     1.58%  pool-4-thread-1  [kernel.kallsyms]  [k] __add_to_page_cache_locked
     2.34%     2.33%  java             [kernel.kallsyms]  [k] down_read_trylock
     2.05%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] grab_cache_page_write_begin
     2.04%     0.04%  InMemoryMerger   [kernel.kallsyms]  [k] pagecache_get_page
     1.98%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] grab_cache_page_write_begin
     1.97%     0.03%  pool-4-thread-1  [kernel.kallsyms]  [k] pagecache_get_page
     1.84%     0.07%  localfetcher#1   [kernel.kallsyms]  [k] add_to_page_cache_lru
     1.67%     0.01%  localfetcher#1   [kernel.kallsyms]  [k] exc_page_fault
     1.64%     0.02%  localfetcher#1   [kernel.kallsyms]  [k] do_user_addr_fault
     1.59%     0.02%  localfetcher#1   [kernel.kallsyms]  [k] handle_mm_fault
     1.49%     1.48%  pool-4-thread-1  [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     1.45%     0.11%  localfetcher#1   [kernel.kallsyms]  [k] __handle_mm_fault
     1.43%     0.10%  InMemoryMerger   [kernel.kallsyms]  [k] add_to_page_cache_lru
     1.31%     0.00%  kswapd0          [kernel.kallsyms]  [k] kthread
     1.31%     0.00%  kswapd0          [kernel.kallsyms]  [k] ret_from_fork
     1.31%     0.00%  kswapd0          [kernel.kallsyms]  [k] kswapd
     1.30%     0.00%  kswapd0          [kernel.kallsyms]  [k] balance_pgdat
     1.30%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_node
     1.30%     0.04%  localfetcher#1   [kernel.kallsyms]  [k] __alloc_pages
     1.24%     0.14%  localfetcher#1   [kernel.kallsyms]  [k] get_page_from_freelist
     1.22%     0.02%  InMemoryMerger   [kernel.kallsyms]  [k] ext4_da_write_end
     1.18%     0.03%  InMemoryMerger   [kernel.kallsyms]  [k] generic_write_end
     1.18%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_lruvec
     1.17%     0.83%  InMemoryMerger   [kernel.kallsyms]  [k] __add_to_page_cache_locked
     1.06%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_da_write_end
     1.06%     0.00%  kswapd1          [kernel.kallsyms]  [k] kthread
     1.06%     0.00%  kswapd1          [kernel.kallsyms]  [k] ret_from_fork
     1.06%     0.00%  kswapd1          [kernel.kallsyms]  [k] kswapd
     1.06%     0.00%  kswapd1          [kernel.kallsyms]  [k] balance_pgdat
     1.06%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_node
     1.04%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] generic_write_end
     1.03%     1.02%  java             [kernel.kallsyms]  [k] up_read
     0.98%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] alloc_pages
     0.98%     0.04%  pool-4-thread-1  [kernel.kallsyms]  [k] __alloc_pages
     0.93%     0.19%  pool-4-thread-1  [kernel.kallsyms]  [k] get_page_from_freelist
     0.91%     0.08%  kswapd0          [kernel.kallsyms]  [k] shrink_page_list
     0.90%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] asm_exc_page_fault
     0.89%     0.85%  pool-4-thread-1  [kernel.kallsyms]  [k] _raw_spin_lock
     0.87%     0.03%  InMemoryMerger   [kernel.kallsyms]  [k] __mark_inode_dirty
     0.87%     0.01%  kswapd1          [kernel.kallsyms]  [k] shrink_lruvec
     0.86%     0.85%  localfetcher#1   [kernel.kallsyms]  [k] clear_page_erms
     0.86%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] workingset_refault
     0.85%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] mem_cgroup_flush_stats
     0.85%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] cgroup_rstat_flush_irqsafe
     0.84%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] ext4_dirty_inode
     0.79%     0.00%  kworker/u98:0-w  [kernel.kallsyms]  [k] kthread
     0.79%     0.00%  kworker/u98:0-w  [kernel.kallsyms]  [k] ret_from_fork
     0.79%     0.00%  kworker/u98:0-w  [kernel.kallsyms]  [k] worker_thread
     0.79%     0.00%  kworker/u98:0-w  [kernel.kallsyms]  [k] process_one_work
     0.79%     0.00%  kworker/u98:0-w  [kernel.kallsyms]  [k] wb_workfn
     0.79%     0.00%  kworker/u98:0-w  [kernel.kallsyms]  [k] wb_writeback
     0.79%     0.00%  kworker/u98:0-w  [kernel.kallsyms]  [k] __writeback_inodes_wb
     0.79%     0.00%  kworker/u98:0-w  [kernel.kallsyms]  [k] __writeback_single_inode
     0.79%     0.00%  kworker/u98:0-w  [kernel.kallsyms]  [k] do_writepages
     0.79%     0.00%  kworker/u98:0-w  [kernel.kallsyms]  [k] writeback_sb_inodes
     0.79%     0.04%  kworker/u98:0-w  [kernel.kallsyms]  [k] ext4_writepages
     0.78%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] exc_page_fault
     0.77%     0.53%  localfetcher#1   [kernel.kallsyms]  [k] __add_to_page_cache_locked
     0.75%     0.75%  InMemoryMerger   [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     0.75%     0.01%  localfetcher#1   [kernel.kallsyms]  [k] __page_cache_alloc
     0.75%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] kthread
     0.75%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] ret_from_fork
     0.75%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] worker_thread
     0.75%     0.01%  localfetcher#1   [kernel.kallsyms]  [k] alloc_pages
     0.75%     0.13%  localfetcher#1   [kernel.kallsyms]  [k] cgroup_rstat_flush_locked
     0.75%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] do_user_addr_fault
     0.75%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] process_one_work
     0.75%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] ext4_end_io_rsv_work
     0.74%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] ext4_release_io_end
     0.74%     0.01%  InMemoryMerger   [kernel.kallsyms]  [k] asm_exc_page_fault
     0.73%     0.13%  kworker/u96:0-e  [kernel.kallsyms]  [k] ext4_finish_bio
     0.72%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] __mark_inode_dirty
     0.71%     0.07%  kswapd1          [kernel.kallsyms]  [k] shrink_page_list
     0.70%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] handle_mm_fault
     0.70%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_dirty_inode
     0.69%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.69%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] do_syscall_64
     0.67%     0.02%  java             [kernel.kallsyms]  [k] migrate_misplaced_page
     0.65%     0.01%  InMemoryMerger   [kernel.kallsyms]  [k] exc_page_fault
     0.62%     0.01%  InMemoryMerger   [kernel.kallsyms]  [k] do_user_addr_fault
     0.60%     0.05%  localfetcher#1   [kernel.kallsyms]  [k] __mem_cgroup_charge
     0.59%     0.58%  localfetcher#1   [kernel.kallsyms]  [k] mem_cgroup_css_rstat_flush
     0.59%     0.01%  InMemoryMerger   [kernel.kallsyms]  [k] handle_mm_fault
     0.57%     0.01%  localfetcher#1   [kernel.kallsyms]  [k] alloc_pages_vma
     0.56%     0.01%  java             [kernel.kallsyms]  [k] find_vma
     0.56%     0.02%  InMemoryMerger   [kernel.kallsyms]  [k] __alloc_pages
     0.56%     0.01%  InMemoryMerger   [kernel.kallsyms]  [k] alloc_pages
     0.56%     0.55%  java             [kernel.kallsyms]  [k] vmacache_find
     0.56%     0.03%  java             [kernel.kallsyms]  [k] migrate_pages
     0.53%     0.08%  InMemoryMerger   [kernel.kallsyms]  [k] get_page_from_freelist
     0.52%     0.16%  pool-4-thread-1  [kernel.kallsyms]  [k] cgroup_rstat_updated
     0.50%     0.50%  pool-4-thread-1  [kernel.kallsyms]  [k] clear_page_erms
     0.50%     0.00%  kworker/u98:0-w  [kernel.kallsyms]  [k] mpage_submit_page
     0.50%     0.18%  pool-4-thread-1  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.49%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __page_cache_alloc
     0.48%     0.03%  kworker/u96:0-e  [kernel.kallsyms]  [k] end_page_writeback
     0.45%     0.11%  pool-4-thread-1  [kernel.kallsyms]  [k] __handle_mm_fault
     0.45%     0.02%  InMemoryMerger   [kernel.kallsyms]  [k] ext4_block_write_begin
     0.45%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_block_write_begin
     0.44%     0.15%  localfetcher#1   [kernel.kallsyms]  [k] charge_memcg
     0.42%     0.10%  kworker/u96:0-e  [kernel.kallsyms]  [k] test_clear_page_writeback
     0.41%     0.29%  java             [kernel.kallsyms]  [k] cgroup_rstat_updated
     0.40%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kcompactd
     0.40%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kthread
     0.40%     0.00%  kcompactd0       [kernel.kallsyms]  [k] ret_from_fork
     0.40%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compact_zone
     0.40%     0.00%  kcompactd0       [kernel.kallsyms]  [k] proactive_compact_node
     0.40%     0.13%  InMemoryMerger   [kernel.kallsyms]  [k] __handle_mm_fault
     0.39%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] filemap_read
     0.39%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __x64_sys_read
     0.39%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_file_read_iter
     0.39%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] generic_file_read_iter
     0.39%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ksys_read
     0.39%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] new_sync_read
     0.39%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] vfs_read
     0.39%     0.16%  java             [kernel.kallsyms]  [k] __count_memcg_events
     0.38%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] __mem_cgroup_charge
     0.37%     0.00%  kcompactd0       [kernel.kallsyms]  [k] migrate_pages
     0.37%     0.36%  java             [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.37%     0.01%  InMemoryMerger   [kernel.kallsyms]  [k] __ext4_mark_inode_dirty
     0.37%     0.07%  kworker/u98:0-w  [kernel.kallsyms]  [k] ext4_bio_write_page
     0.36%     0.04%  kswapd0          [kernel.kallsyms]  [k] __remove_mapping
     0.36%     0.35%  pool-4-thread-1  [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.35%     0.12%  java             [kernel.kallsyms]  [k] _raw_spin_lock
     0.34%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] __ext4_journal_start_sb
     0.34%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] charge_memcg
     0.34%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] __mod_lruvec_state
     0.33%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] __ext4_mark_inode_dirty
     0.33%     0.00%  kcompactd1       [kernel.kallsyms]  [k] kcompactd
     0.33%     0.00%  kcompactd1       [kernel.kallsyms]  [k] kthread
     0.33%     0.00%  kcompactd1       [kernel.kallsyms]  [k] ret_from_fork
     0.33%     0.00%  kcompactd1       [kernel.kallsyms]  [k] proactive_compact_node
     0.33%     0.00%  kcompactd1       [kernel.kallsyms]  [k] compact_zone
     0.33%     0.07%  pool-4-thread-1  [kernel.kallsyms]  [k] __mod_lruvec_page_state
     0.32%     0.01%  kcompactd1       [kernel.kallsyms]  [k] migrate_pages
     0.31%     0.03%  pool-4-thread-1  [kernel.kallsyms]  [k] __block_commit_write.constprop.0.isra.0
     0.31%     0.02%  InMemoryMerger   [kernel.kallsyms]  [k] jbd2__journal_start
     0.31%     0.04%  pool-4-thread-1  [kernel.kallsyms]  [k] lru_cache_add
     0.30%     0.03%  kswapd1          [kernel.kallsyms]  [k] __remove_mapping
     0.30%     0.00%  java             [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.30%     0.04%  InMemoryMerger   [kernel.kallsyms]  [k] __block_commit_write.constprop.0.isra.0
     0.30%     0.00%  java             [kernel.kallsyms]  [k] do_syscall_64
     0.29%     0.01%  java             [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     0.29%     0.29%  InMemoryMerger   [kernel.kallsyms]  [k] clear_page_erms
     0.29%     0.04%  pool-4-thread-1  [kernel.kallsyms]  [k] mem_cgroup_charge_statistics.constprop.0
     0.28%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] migrate_misplaced_page
     0.27%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] mark_buffer_dirty
     0.27%     0.00%  kworker/u97:0-e  [kernel.kallsyms]  [k] kthread
     0.27%     0.00%  kworker/u97:0-e  [kernel.kallsyms]  [k] ret_from_fork
     0.27%     0.00%  kworker/u97:0-e  [kernel.kallsyms]  [k] worker_thread
     0.27%     0.00%  kworker/u97:0-e  [kernel.kallsyms]  [k] process_one_work
     0.27%     0.00%  kworker/u97:0-e  [kernel.kallsyms]  [k] __writeback_inodes_wb
     0.27%     0.00%  kworker/u97:0-e  [kernel.kallsyms]  [k] __writeback_single_inode
     0.27%     0.00%  kworker/u97:0-e  [kernel.kallsyms]  [k] do_writepages
     0.27%     0.00%  kworker/u97:0-e  [kernel.kallsyms]  [k] wb_workfn
     0.27%     0.00%  kworker/u97:0-e  [kernel.kallsyms]  [k] wb_writeback
     0.27%     0.00%  kworker/u97:0-e  [kernel.kallsyms]  [k] writeback_sb_inodes
     0.27%     0.03%  kworker/u97:0-e  [kernel.kallsyms]  [k] ext4_writepages
     0.27%     0.11%  pool-4-thread-1  [kernel.kallsyms]  [k] __pagevec_lru_add
     0.26%     0.10%  InMemoryMerger   [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.26%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] add_to_page_cache_lru
     0.26%     0.26%  java             [kernel.kallsyms]  [k] sync_regs
     0.26%     0.03%  InMemoryMerger   [kernel.kallsyms]  [k] mark_buffer_dirty
     0.26%     0.03%  localfetcher#1   [kernel.kallsyms]  [k] lru_cache_add
     0.25%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __ext4_journal_start_sb
     0.25%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] filemap_get_pages
     0.25%     0.08%  pool-4-thread-1  [kernel.kallsyms]  [k] __mod_memcg_state.part.0
     0.25%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ondemand_readahead
     0.24%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] page_cache_ra_unbounded
     0.24%     0.00%  kworker/u97:11-  [kernel.kallsyms]  [k] kthread
     0.24%     0.00%  kworker/u97:11-  [kernel.kallsyms]  [k] ret_from_fork
     0.24%     0.00%  kworker/u97:11-  [kernel.kallsyms]  [k] worker_thread
     0.24%     0.00%  kworker/u97:11-  [kernel.kallsyms]  [k] process_one_work
     0.24%     0.00%  kworker/u97:11-  [kernel.kallsyms]  [k] __writeback_inodes_wb
     0.24%     0.00%  kworker/u97:11-  [kernel.kallsyms]  [k] __writeback_single_inode
     0.24%     0.00%  kworker/u97:11-  [kernel.kallsyms]  [k] do_writepages
     0.24%     0.00%  kworker/u97:11-  [kernel.kallsyms]  [k] wb_workfn
     0.24%     0.00%  kworker/u97:11-  [kernel.kallsyms]  [k] wb_writeback
     0.24%     0.00%  kworker/u97:11-  [kernel.kallsyms]  [k] writeback_sb_inodes
     0.24%     0.01%  kworker/u97:11-  [kernel.kallsyms]  [k] ext4_writepages
     0.24%     0.04%  pool-4-thread-1  [kernel.kallsyms]  [k] migrate_pages
     0.24%     0.00%  java             [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.24%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] __do_munmap
     0.24%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] __vm_munmap
     0.24%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] __x64_sys_munmap
     0.24%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] unmap_region
     0.23%     0.00%  java             [kernel.kallsyms]  [k] arch_do_signal_or_restart
     0.23%     0.00%  java             [kernel.kallsyms]  [k] get_signal
     0.23%     0.00%  java             [kernel.kallsyms]  [k] do_exit
     0.23%     0.00%  java             [kernel.kallsyms]  [k] do_group_exit
     0.23%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] jbd2__journal_start
     0.23%     0.00%  java             [kernel.kallsyms]  [k] exit_mmap
     0.23%     0.00%  java             [kernel.kallsyms]  [k] mmput
     0.23%     0.00%  java             [kernel.kallsyms]  [k] unmap_single_vma
     0.23%     0.00%  java             [kernel.kallsyms]  [k] unmap_vmas
     0.23%     0.01%  kswapd0          [kernel.kallsyms]  [k] __delete_from_page_cache
     0.23%     0.05%  java             [kernel.kallsyms]  [k] unmap_page_range
     0.23%     0.22%  localfetcher#1   [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.23%     0.05%  pool-4-thread-1  [kernel.kallsyms]  [k] __mod_memcg_lruvec_state
     0.22%     0.08%  localfetcher#1   [kernel.kallsyms]  [k] __pagevec_lru_add
     0.22%     0.08%  InMemoryMerger   [kernel.kallsyms]  [k] balance_dirty_pages_ratelimited
     0.22%     0.04%  kswapd0          [kernel.kallsyms]  [k] free_unref_page_list
     0.22%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ksys_write
