# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 8317096202393
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
    36.53%     0.33%  java             [kernel.kallsyms]  [k] asm_exc_page_fault
    34.46%     0.47%  java             [kernel.kallsyms]  [k] exc_page_fault
    30.94%     0.44%  java             [kernel.kallsyms]  [k] do_user_addr_fault
    23.95%     1.30%  java             [kernel.kallsyms]  [k] handle_mm_fault
    20.21%     5.30%  java             [kernel.kallsyms]  [k] __handle_mm_fault
    18.35%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    18.33%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] do_syscall_64
    11.84%     0.11%  LocalJobRunner   [kernel.kallsyms]  [k] asm_exc_page_fault
    10.76%     0.16%  java             [kernel.kallsyms]  [k] migrate_misplaced_page
    10.66%     0.08%  LocalJobRunner   [kernel.kallsyms]  [k] exc_page_fault
    10.10%     0.16%  LocalJobRunner   [kernel.kallsyms]  [k] do_user_addr_fault
     9.46%     0.25%  LocalJobRunner   [kernel.kallsyms]  [k] handle_mm_fault
     9.35%     0.69%  java             [kernel.kallsyms]  [k] migrate_pages
     8.89%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __x64_sys_write
     8.89%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ksys_write
     8.89%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] vfs_write
     8.88%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] new_sync_write
     8.88%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_file_write_iter
     8.88%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_buffered_write_iter
     8.86%     0.03%  LocalJobRunner   [kernel.kallsyms]  [k] generic_perform_write
     8.73%     0.99%  LocalJobRunner   [kernel.kallsyms]  [k] __handle_mm_fault
     8.27%     7.77%  LocalJobRunner   [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     7.91%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __x64_sys_read
     7.91%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ksys_read
     7.90%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] vfs_read
     7.90%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] new_sync_read
     7.90%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_file_read_iter
     7.90%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] generic_file_read_iter
     7.89%     0.16%  LocalJobRunner   [kernel.kallsyms]  [k] filemap_read
     5.12%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
     5.12%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
     5.11%     0.01%  swapper          [kernel.kallsyms]  [k] do_idle
     5.06%     5.02%  java             [kernel.kallsyms]  [k] down_read_trylock
     5.00%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
     4.83%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
     4.83%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
     4.81%     0.16%  LocalJobRunner   [kernel.kallsyms]  [k] __alloc_pages
     4.71%     4.70%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
     4.62%     0.39%  LocalJobRunner   [kernel.kallsyms]  [k] get_page_from_freelist
     4.23%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     4.23%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] do_syscall_64
     4.07%     0.03%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_da_write_begin
     3.99%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] __x64_sys_read
     3.99%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] ksys_read
     3.99%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] vfs_read
     3.99%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] new_sync_read
     3.99%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] ext4_file_read_iter
     3.99%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] generic_file_read_iter
     3.99%     0.04%  localfetcher#1   [kernel.kallsyms]  [k] filemap_read
     3.88%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     3.84%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
