# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 13K of event 'cycles'
# Event count (approx.): 198811436039
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                           
# ........  ........  ...............  ...................  .................................................................................................................................
#
     2.02%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_futex
     2.02%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] do_futex
     2.01%     0.19%  mariadbd         [kernel.kallsyms]    [k] newidle_balance
     1.98%     0.97%  mariadbd         [kernel.kallsyms]    [k] update_load_avg
     1.97%     0.00%  swapper          [kernel.kallsyms]    [k] sysvec_call_function_single
     1.92%     0.21%  mariadbd         [kernel.kallsyms]    [k] dequeue_entity
     1.89%     0.03%  kswapd0          [kernel.kallsyms]    [k] shrink_page_list
     1.88%     0.01%  mariadbd         [kernel.kallsyms]    [k] common_interrupt
     1.87%     0.02%  swapper          [kernel.kallsyms]    [k] asm_sysvec_apic_timer_interrupt
     1.86%     0.00%  swapper          [kernel.kallsyms]    [k] sysvec_apic_timer_interrupt
     1.80%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __sys_sendto
     1.80%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_sendto
     1.79%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] sock_sendmsg
     1.78%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_sendmsg
     1.77%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_poll
     1.76%     0.12%  tclsh8.6         [kernel.kallsyms]    [k] do_sys_poll
     1.75%     0.03%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_poll
     1.72%     0.05%  tclsh8.6         [kernel.kallsyms]    [k] _raw_spin_lock
     1.72%     0.02%  mariadbd         [kernel.kallsyms]    [k] __common_interrupt
     1.71%     0.45%  mariadbd         [kernel.kallsyms]    [k] enqueue_task_fair
     1.70%     0.67%  mariadbd         [kernel.kallsyms]    [k] _raw_spin_lock
     1.70%     0.02%  mariadbd         [kernel.kallsyms]    [k] handle_edge_irq
     1.69%     0.14%  mariadbd         [kernel.kallsyms]    [k] do_sys_poll
     1.67%     1.64%  tclsh8.6         [kernel.kallsyms]    [k] native_queued_spin_lock_slowpath.part.0
     1.66%     0.23%  swapper          [kernel.kallsyms]    [k] sched_ttwu_pending
     1.65%     0.00%  mariadbd         [kernel.kallsyms]    [k] handle_irq_event
     1.63%     0.04%  mariadbd         [kernel.kallsyms]    [k] ttwu_do_activate
     1.59%     0.01%  mariadbd         [kernel.kallsyms]    [k] __handle_irq_event_percpu
     1.58%     0.01%  mariadbd         [kernel.kallsyms]    [k] nvme_irq
     1.57%     0.02%  mariadbd         [kernel.kallsyms]    [k] load_balance
     1.57%     0.08%  mariadbd         [kernel.kallsyms]    [k] nvme_process_cq
     1.53%     0.21%  mariadbd         [kernel.kallsyms]    [k] select_idle_sibling
     1.52%     0.12%  mariadbd         [kernel.kallsyms]    [k] exit_to_user_mode_prepare
     1.52%     0.13%  tclsh8.6         [kernel.kallsyms]    [k] do_poll.constprop.0
     1.49%     0.10%  mariadbd         [kernel.kallsyms]    [k] do_poll.constprop.0
     1.45%     0.08%  mariadbd         [kernel.kallsyms]    [k] __wake_up_common
     1.43%     0.08%  mariadbd         [kernel.kallsyms]    [k] sock_def_readable
     1.43%     0.02%  mariadbd         [kernel.kallsyms]    [k] bio_iov_iter_get_pages
     1.41%     0.01%  mariadbd         [kernel.kallsyms]    [k] __bio_iov_iter_get_pages
     1.39%     0.02%  swapper          [kernel.kallsyms]    [k] asm_common_interrupt
     1.39%     0.02%  mariadbd         [kernel.kallsyms]    [k] __wake_up_common_lock
     1.38%     0.00%  swapper          [kernel.kallsyms]    [k] start_kernel
     1.36%     0.02%  mariadbd         [kernel.kallsyms]    [k] ptep_clear_flush
     1.36%     0.00%  swapper          [kernel.kallsyms]    [k] common_interrupt
     1.35%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_recvfrom
     1.34%     0.02%  mariadbd         [kernel.kallsyms]    [k] flush_tlb_mm_range
     1.33%     0.03%  tclsh8.6         [kernel.kallsyms]    [k] __sys_recvfrom
     1.33%     0.03%  mariadbd         [kernel.kallsyms]    [k] __read_swap_cache_async
     1.33%     0.00%  swapper          [kernel.kallsyms]    [k] __sysvec_apic_timer_interrupt
     1.32%     0.03%  mariadbd         [kernel.kallsyms]    [k] perf_event_task_tick
     1.32%     0.02%  swapper          [kernel.kallsyms]    [k] hrtimer_interrupt
     1.31%     0.02%  mariadbd         [kernel.kallsyms]    [k] ext4_map_blocks
     1.29%     0.21%  mariadbd         [kernel.kallsyms]    [k] perf_adjust_freq_unthr_context
     1.28%     0.02%  mariadbd         [kernel.kallsyms]    [k] iov_iter_get_pages
     1.27%     0.02%  mariadbd         [kernel.kallsyms]    [k] blk_mq_end_request
     1.26%     0.03%  mariadbd         [kernel.kallsyms]    [k] pollwake
     1.25%     0.04%  swapper          [kernel.kallsyms]    [k] ttwu_do_activate
     1.25%     0.02%  mariadbd         [kernel.kallsyms]    [k] internal_get_user_pages_fast
     1.22%     0.04%  swapper          [kernel.kallsyms]    [k] tick_nohz_idle_stop_tick
     1.21%     0.30%  swapper          [kernel.kallsyms]    [k] enqueue_task_fair
     1.20%     0.01%  swapper          [kernel.kallsyms]    [k] __common_interrupt
     1.20%     0.01%  mariadbd         [kernel.kallsyms]    [k] schedule_hrtimeout_range_clock
     1.20%     0.53%  mariadbd         [kernel.kallsyms]    [k] update_curr
     1.20%     0.29%  mariadbd         [kernel.kallsyms]    [k] syscall_exit_work
     1.19%     0.01%  swapper          [kernel.kallsyms]    [k] handle_edge_irq
     1.18%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_recvfrom
     1.18%     0.43%  mariadbd         [kernel.kallsyms]    [k] smp_call_function_many_cond
     1.18%     0.00%  mariadbd         [kernel.kallsyms]    [k] on_each_cpu_cond_mask
     1.18%     0.01%  mariadbd         [kernel.kallsyms]    [k] __sys_recvfrom
     1.17%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_recvmsg
     1.17%     0.04%  tclsh8.6         [kernel.kallsyms]    [k] schedule
     1.17%     0.19%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_read_generic
     1.15%     0.01%  swapper          [kernel.kallsyms]    [k] __hrtimer_run_queues
     1.14%     0.03%  mariadbd         [kernel.kallsyms]    [k] blk_update_request
     1.14%     0.00%  swapper          [kernel.kallsyms]    [k] __run_hrtimer
     1.13%     1.12%  mariadbd         [kernel.kallsyms]    [k] native_queued_spin_lock_slowpath.part.0
     1.13%     0.05%  swapper          [kernel.kallsyms]    [k] flush_smp_call_function_from_idle
     1.13%     0.00%  mariadbd         [kernel.kallsyms]    [k] unix_stream_recvmsg
     1.13%     0.08%  mariadbd         [kernel.kallsyms]    [k] unix_stream_read_generic
     1.12%     0.12%  tclsh8.6         [kernel.kallsyms]    [k] __schedule
     1.12%     0.06%  mariadbd         [kernel.kallsyms]    [k] blk_mq_flush_plug_list
     1.12%     0.01%  swapper          [kernel.kallsyms]    [k] tick_sched_timer
     1.12%     0.02%  swapper          [kernel.kallsyms]    [k] handle_irq_event
     1.10%     0.06%  swapper          [kernel.kallsyms]    [k] __irq_exit_rcu
     1.10%     0.00%  swapper          [kernel.kallsyms]    [k] __sysvec_call_function_single
     1.09%     0.02%  mariadbd         [kernel.kallsyms]    [k] blk_finish_plug
     1.07%     0.03%  mariadbd         [kernel.kallsyms]    [k] blk_mq_sched_insert_requests
     1.06%     0.29%  mariadbd         [kernel.kallsyms]    [k] select_idle_cpu
     1.05%     0.02%  mariadbd         [kernel.kallsyms]    [k] amd_pmu_disable_all
     1.05%     0.01%  swapper          [kernel.kallsyms]    [k] __handle_irq_event_percpu
     1.04%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] futex_wait
     1.04%     0.28%  mariadbd         [kernel.kallsyms]    [k] enqueue_entity
     1.03%     0.00%  swapper          [kernel.kallsyms]    [k] nvme_irq
     1.03%     0.03%  tclsh8.6         [kernel.kallsyms]    [k] schedule_hrtimeout_range_clock
     1.03%     0.05%  swapper          [kernel.kallsyms]    [k] nvme_process_cq
     1.00%     0.27%  mariadbd         [kernel.kallsyms]    [k] ttwu_queue_wakelist
     1.00%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_pwrite64
     1.00%     0.00%  mariadbd         [kernel.kallsyms]    [k] ext4_buffered_write_iter
     1.00%     0.00%  mariadbd         [kernel.kallsyms]    [k] new_sync_write
     1.00%     0.00%  mariadbd         [kernel.kallsyms]    [k] vfs_write
     0.98%     0.01%  mariadbd         [kernel.kallsyms]    [k] find_busiest_group
     0.98%     0.05%  mariadbd         [kernel.kallsyms]    [k] blk_mq_try_issue_list_directly
     0.98%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] futex_wake
     0.98%     0.04%  mariadbd         [kernel.kallsyms]    [k] __submit_bio_noacct_mq
     0.98%     0.02%  mariadbd         [kernel.kallsyms]    [k] io_schedule_timeout
     0.97%     0.01%  mariadbd         [kernel.kallsyms]    [k] pagecache_get_page
     0.97%     0.08%  mariadbd         [kernel.kallsyms]    [k] update_sd_lb_stats.constprop.0
     0.96%     0.02%  swapper          [kernel.kallsyms]    [k] __softirqentry_text_start
     0.96%     0.00%  mariadbd         [kernel.kallsyms]    [k] generic_perform_write
     0.96%     0.33%  mariadbd         [kernel.kallsyms]    [k] futex_wait_setup
     0.95%     0.02%  mariadbd         [kernel.kallsyms]    [k] schedule_timeout
     0.95%     0.05%  tclsh8.6         [kernel.kallsyms]    [k] try_to_wake_up
