# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11612035658184
#
# Children      Self  Command          Shared Object                                     Symbol                                                                                                                                                                           
# ........  ........  ...............  ................................................  .................................................................................................................................................................................
#
     2.24%     0.00%  kswapd0          [kernel.kallsyms]                                 [k] evict_pages
     2.17%     0.21%  mariadbd         [kernel.kallsyms]                                 [k] newidle_balance
     2.10%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] asm_common_interrupt
     2.05%     0.22%  mariadbd         [kernel.kallsyms]                                 [k] dequeue_entity
     2.04%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] scheduler_tick
     2.03%     0.02%  swapper          [kernel.kallsyms]                                 [k] sysvec_call_function_single
     2.02%     0.27%  swapper          [kernel.kallsyms]                                 [k] menu_select
     2.01%     0.03%  kswapd0          [kernel.kallsyms]                                 [k] shrink_page_list
     1.88%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] common_interrupt
     1.85%     0.91%  mariadbd         [kernel.kallsyms]                                 [k] update_load_avg
     1.85%     0.14%  swapper          [kernel.kallsyms]                                 [k] sched_ttwu_pending
     1.81%     0.08%  mariadbd         [kernel.kallsyms]                                 [k] ttwu_do_activate
     1.79%     0.41%  mariadbd         [kernel.kallsyms]                                 [k] enqueue_task_fair
     1.74%     0.02%  swapper          [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
     1.73%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] __common_interrupt
     1.72%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] handle_edge_irq
     1.71%     0.01%  swapper          [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
     1.68%     0.07%  mariadbd         [kernel.kallsyms]                                 [k] load_balance
     1.68%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] handle_irq_event
     1.62%     0.67%  mariadbd         [kernel.kallsyms]                                 [k] _raw_spin_lock
     1.60%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] bio_iov_iter_get_pages
     1.60%     0.12%  mariadbd         [kernel.kallsyms]                                 [k] exit_to_user_mode_prepare
     1.59%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] __handle_irq_event_percpu
     1.59%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] __bio_iov_iter_get_pages
     1.58%     0.00%  tclsh8.6         [kernel.kallsyms]                                 [k] __x64_sys_sendto
     1.58%     0.01%  tclsh8.6         [kernel.kallsyms]                                 [k] __sys_sendto
     1.58%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] nvme_irq
     1.57%     0.10%  mariadbd         [kernel.kallsyms]                                 [k] nvme_process_cq
     1.56%     0.01%  tclsh8.6         [kernel.kallsyms]                                 [k] sock_sendmsg
     1.55%     0.03%  tclsh8.6         [kernel.kallsyms]                                 [k] unix_stream_sendmsg
     1.55%     0.25%  mariadbd         [kernel.kallsyms]                                 [k] select_idle_sibling
     1.49%     0.01%  swapper          [kernel.kallsyms]                                 [k] asm_common_interrupt
     1.49%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] ptep_clear_flush
     1.48%     0.03%  mariadbd         [kernel.kallsyms]                                 [k] flush_tlb_mm_range
     1.46%     0.01%  swapper          [kernel.kallsyms]                                 [k] common_interrupt
     1.46%     0.04%  swapper          [kernel.kallsyms]                                 [k] ttwu_do_activate
     1.42%     0.42%  swapper          [kernel.kallsyms]                                 [k] enqueue_task_fair
     1.42%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] iov_iter_get_pages
     1.42%     0.01%  tclsh8.6         [kernel.kallsyms]                                 [k] __x64_sys_poll
     1.40%     0.13%  tclsh8.6         [kernel.kallsyms]                                 [k] do_sys_poll
     1.40%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] internal_get_user_pages_fast
     1.37%     0.00%  swapper          [kernel.kallsyms]                                 [k] start_kernel
     1.36%     0.56%  mariadbd         [kernel.kallsyms]                                 [k] update_curr
     1.35%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] __x64_sys_poll
     1.35%     0.09%  mariadbd         [kernel.kallsyms]                                 [k] __wake_up_common
     1.33%     0.03%  mariadbd         [kernel.kallsyms]                                 [k] ext4_map_blocks
     1.29%     0.06%  mariadbd         [kernel.kallsyms]                                 [k] do_sys_poll
     1.28%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] __wake_up_common_lock
     1.28%     0.02%  swapper          [kernel.kallsyms]                                 [k] __common_interrupt
     1.27%     0.05%  mariadbd         [kernel.kallsyms]                                 [k] sock_def_readable
     1.27%     0.00%  mariadbd         [kernel.kallsyms]                                 [k] on_each_cpu_cond_mask
     1.27%     0.48%  mariadbd         [kernel.kallsyms]                                 [k] smp_call_function_many_cond
     1.26%     0.03%  swapper          [kernel.kallsyms]                                 [k] handle_edge_irq
     1.26%     0.03%  swapper          [kernel.kallsyms]                                 [k] tick_nohz_idle_stop_tick
     1.25%     0.01%  swapper          [kernel.kallsyms]                                 [k] __sysvec_call_function_single
     1.20%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] perf_event_task_tick
     1.20%     0.09%  tclsh8.6         [kernel.kallsyms]                                 [k] do_poll.constprop.0
     1.18%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] blk_mq_end_request
     1.18%     0.01%  swapper          [kernel.kallsyms]                                 [k] handle_irq_event
     1.18%     0.28%  mariadbd         [kernel.kallsyms]                                 [k] syscall_exit_work
     1.18%     0.16%  mariadbd         [kernel.kallsyms]                                 [k] perf_adjust_freq_unthr_context
     1.17%     0.06%  mariadbd         [kernel.kallsyms]                                 [k] do_poll.constprop.0
     1.17%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] __read_swap_cache_async
     1.15%     0.31%  mariadbd         [kernel.kallsyms]                                 [k] enqueue_entity
