# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 6647396362522
#
# Children      Self  Command          Shared Object         Symbol                                                                                                                                                                     
# ........  ........  ...............  ....................  ...........................................................................................................................................................................
#
     1.70%     0.03%  mariadbd         [kernel.kallsyms]     [k] scheduler_tick
     1.65%     0.02%  swapper          [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     1.64%     0.01%  swapper          [kernel.kallsyms]     [k] __sysvec_call_function_single
     1.63%     0.01%  swapper          [kernel.kallsyms]     [k] sysvec_apic_timer_interrupt
     1.61%     0.01%  mariadbd         [kernel.kallsyms]     [k] __common_interrupt
     1.60%     0.02%  mariadbd         [kernel.kallsyms]     [k] handle_edge_irq
     1.59%     0.04%  swapper          [kernel.kallsyms]     [k] ttwu_do_activate
     1.56%     0.46%  swapper          [kernel.kallsyms]     [k] enqueue_task_fair
     1.56%     0.02%  mariadbd         [kernel.kallsyms]     [k] handle_irq_event
     1.51%     0.00%  mariadbd         [kernel.kallsyms]     [k] aio_write
     1.49%     0.02%  mariadbd         [kernel.kallsyms]     [k] __handle_irq_event_percpu
     1.49%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] __x64_sys_sendto
     1.49%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] __sys_sendto
     1.49%     0.01%  swapper          [kernel.kallsyms]     [k] asm_common_interrupt
     1.48%     0.01%  mariadbd         [kernel.kallsyms]     [k] nvme_irq
     1.48%     0.01%  mariadbd         [kernel.kallsyms]     [k] ext4_dio_write_iter
     1.48%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] sock_sendmsg
     1.47%     0.09%  mariadbd         [kernel.kallsyms]     [k] nvme_process_cq
     1.46%     0.01%  swapper          [kernel.kallsyms]     [k] common_interrupt
     1.46%     0.02%  tclsh8.6         [kernel.kallsyms]     [k] unix_stream_sendmsg
     1.42%     0.00%  swapper          [kernel.kallsyms]     [k] start_kernel
     1.37%     0.68%  mariadbd         [kernel.kallsyms]     [k] update_load_avg
     1.31%     0.01%  swapper          [kernel.kallsyms]     [k] __common_interrupt
     1.30%     0.03%  swapper          [kernel.kallsyms]     [k] handle_edge_irq
     1.29%     0.12%  mariadbd         [kernel.kallsyms]     [k] pick_next_task_fair
     1.22%     0.02%  swapper          [kernel.kallsyms]     [k] handle_irq_event
     1.19%     0.02%  mariadbd         [kernel.kallsyms]     [k] blk_finish_plug
     1.19%     0.02%  mariadbd         [kernel.kallsyms]     [k] __x64_sys_poll
     1.18%     0.05%  mariadbd         [kernel.kallsyms]     [k] ttwu_do_activate
     1.17%     0.02%  swapper          [kernel.kallsyms]     [k] __handle_irq_event_percpu
     1.16%     0.02%  mariadbd         [kernel.kallsyms]     [k] iomap_dio_submit_bio
     1.16%     0.02%  mariadbd         [kernel.kallsyms]     [k] blk_mq_flush_plug_list
     1.15%     0.01%  swapper          [kernel.kallsyms]     [k] nvme_irq
     1.14%     0.28%  mariadbd         [kernel.kallsyms]     [k] enqueue_task_fair
     1.14%     0.09%  swapper          [kernel.kallsyms]     [k] nvme_process_cq
     1.14%     0.02%  mariadbd         [kernel.kallsyms]     [k] blk_mq_sched_insert_requests
     1.13%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] __x64_sys_poll
     1.12%     0.12%  tclsh8.6         [kernel.kallsyms]     [k] do_sys_poll
     1.12%     0.06%  mariadbd         [kernel.kallsyms]     [k] do_sys_poll
     1.11%     0.06%  mariadbd         [kernel.kallsyms]     [k] blk_mq_try_issue_list_directly
     1.11%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] __x64_sys_recvfrom
