# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 10490410651502
#
# Children      Self  Command          Shared Object               Symbol                                                                                                                                                                           
# ........  ........  ...............  ..........................  .................................................................................................................................................................................
#
     2.32%     0.00%  mariadbd         [kernel.kallsyms]           [k] shrink_zones
     2.32%     0.00%  mariadbd         [kernel.kallsyms]           [k] shrink_node_memcgs
     2.31%     0.01%  mariadbd         [kernel.kallsyms]           [k] sock_sendmsg
     2.31%     0.00%  mariadbd         [kernel.kallsyms]           [k] shrink_lruvec
     2.26%     0.01%  swapper          [kernel.kallsyms]           [k] sysvec_call_function_single
     2.25%     0.07%  mariadbd         [kernel.kallsyms]           [k] syscall_exit_to_user_mode
     2.24%     0.00%  mariadbd         [kernel.kallsyms]           [k] shrink_inactive_list
     2.23%     0.21%  mariadbd         [kernel.kallsyms]           [k] newidle_balance
     2.22%     0.03%  mariadbd         [kernel.kallsyms]           [k] unix_stream_sendmsg
     2.14%     0.02%  mariadbd         [kernel.kallsyms]           [k] ptep_clear_flush
     2.13%     0.29%  swapper          [kernel.kallsyms]           [k] menu_select
     2.12%     0.05%  mariadbd         [kernel.kallsyms]           [k] flush_tlb_mm_range
     2.12%     0.00%  mariadbd         [kernel.kallsyms]           [k] get_user_pages_unlocked
     2.11%     0.01%  mariadbd         [kernel.kallsyms]           [k] __get_user_pages
     2.07%     0.02%  mariadbd         [kernel.kallsyms]           [k] __read_swap_cache_async
     2.02%     0.20%  mariadbd         [kernel.kallsyms]           [k] dequeue_entity
     1.96%     0.02%  mariadbd         [kernel.kallsyms]           [k] scheduler_tick
     1.89%     0.15%  swapper          [kernel.kallsyms]           [k] sched_ttwu_pending
     1.86%     0.01%  mariadbd         [kernel.kallsyms]           [k] ext4_dio_write_checks
     1.83%     0.03%  mariadbd         [kernel.kallsyms]           [k] shrink_page_list
     1.77%     0.02%  swapper          [kernel.kallsyms]           [k] asm_sysvec_apic_timer_interrupt
     1.75%     0.02%  mariadbd         [kernel.kallsyms]           [k] ext4_iomap_begin
     1.75%     0.01%  mariadbd         [kernel.kallsyms]           [k] asm_common_interrupt
     1.75%     0.01%  swapper          [kernel.kallsyms]           [k] sysvec_apic_timer_interrupt
     1.73%     0.86%  mariadbd         [kernel.kallsyms]           [k] update_load_avg
     1.72%     0.08%  mariadbd         [kernel.kallsyms]           [k] load_balance
     1.64%     0.08%  mariadbd         [kernel.kallsyms]           [k] ttwu_do_activate
     1.63%     0.03%  mariadbd         [kernel.kallsyms]           [k] ext4_ext_map_blocks
     1.62%     0.39%  mariadbd         [kernel.kallsyms]           [k] enqueue_task_fair
     1.59%     0.00%  mariadbd         [kernel.kallsyms]           [k] common_interrupt
     1.58%     0.68%  mariadbd         [kernel.kallsyms]           [k] _raw_spin_lock
     1.57%     0.02%  swapper          [kernel.kallsyms]           [k] asm_common_interrupt
     1.56%     0.00%  kswapd0          [kernel.kallsyms]           [k] kswapd
     1.56%     0.00%  kswapd0          [kernel.kallsyms]           [k] kthread
     1.56%     0.00%  kswapd0          [kernel.kallsyms]           [k] ret_from_fork
     1.56%     0.00%  kswapd0          [kernel.kallsyms]           [k] balance_pgdat
     1.56%     0.00%  kswapd0          [kernel.kallsyms]           [k] shrink_node
     1.56%     0.00%  kswapd0          [kernel.kallsyms]           [k] shrink_node_memcgs
     1.53%     0.01%  swapper          [kernel.kallsyms]           [k] common_interrupt
     1.52%     0.04%  swapper          [kernel.kallsyms]           [k] ttwu_do_activate
     1.50%     0.00%  swapper          [kernel.kallsyms]           [k] start_kernel
     1.49%     0.31%  mariadbd         [kernel.kallsyms]           [k] ext4_find_extent
     1.49%     0.44%  swapper          [kernel.kallsyms]           [k] enqueue_task_fair
     1.48%     0.01%  mariadbd         [kernel.kallsyms]           [k] __common_interrupt
     1.47%     0.01%  mariadbd         [kernel.kallsyms]           [k] handle_edge_irq
     1.47%     0.00%  tclsh8.6         [kernel.kallsyms]           [k] __x64_sys_sendto
     1.46%     0.01%  tclsh8.6         [kernel.kallsyms]           [k] __sys_sendto
     1.44%     0.01%  tclsh8.6         [kernel.kallsyms]           [k] sock_sendmsg
     1.43%     0.01%  mariadbd         [kernel.kallsyms]           [k] handle_irq_event
     1.43%     0.02%  tclsh8.6         [kernel.kallsyms]           [k] unix_stream_sendmsg
     1.43%     0.03%  swapper          [kernel.kallsyms]           [k] tick_nohz_idle_stop_tick
     1.41%     0.22%  mariadbd         [kernel.kallsyms]           [k] select_idle_sibling
     1.37%     0.02%  mariadbd         [kernel.kallsyms]           [k] __handle_irq_event_percpu
     1.36%     0.02%  swapper          [kernel.kallsyms]           [k] __common_interrupt
     1.36%     0.01%  mariadbd         [kernel.kallsyms]           [k] nvme_irq
     1.35%     0.09%  mariadbd         [kernel.kallsyms]           [k] nvme_process_cq
     1.35%     0.12%  mariadbd         [kernel.kallsyms]           [k] exit_to_user_mode_prepare
     1.34%     0.03%  swapper          [kernel.kallsyms]           [k] handle_edge_irq
     1.34%     0.01%  swapper          [kernel.kallsyms]           [k] __sysvec_call_function_single
     1.32%     0.05%  mariadbd         [kernel.kallsyms]           [k] swap_readpage
     1.29%     0.54%  mariadbd         [kernel.kallsyms]           [k] update_curr
     1.29%     0.00%  kswapd0          [kernel.kallsyms]           [k] shrink_lruvec
     1.27%     0.01%  swapper          [kernel.kallsyms]           [k] handle_irq_event
     1.25%     0.01%  tclsh8.6         [kernel.kallsyms]           [k] __x64_sys_poll
     1.25%     0.01%  mariadbd         [kernel.kallsyms]           [k] io_schedule_timeout
     1.24%     0.12%  tclsh8.6         [kernel.kallsyms]           [k] do_sys_poll
     1.24%     0.02%  mariadbd         [kernel.kallsyms]           [k] __x64_sys_poll
     1.21%     0.02%  swapper          [kernel.kallsyms]           [k] __handle_irq_event_percpu
     1.21%     0.04%  mariadbd         [kernel.kallsyms]           [k] schedule_timeout
     1.19%     0.01%  swapper          [kernel.kallsyms]           [k] nvme_irq
     1.18%     0.10%  swapper          [kernel.kallsyms]           [k] nvme_process_cq
     1.18%     0.01%  mariadbd         [kernel.kallsyms]           [k] perf_event_task_tick
     1.18%     0.05%  mariadbd         [kernel.kallsyms]           [k] do_sys_poll
