# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 6625486293113
#
# Children      Self  Command          Shared Object               Symbol                                                                                                                                                                                                                    
# ........  ........  ...............  ..........................  ..........................................................................................................................................................................................................................
#
     1.64%     0.01%  swapper          [kernel.kallsyms]           [k] __sysvec_call_function_single
     1.63%     0.02%  swapper          [kernel.kallsyms]           [k] asm_sysvec_apic_timer_interrupt
     1.63%     0.03%  mariadbd         [kernel.kallsyms]           [k] scheduler_tick
     1.60%     0.01%  swapper          [kernel.kallsyms]           [k] sysvec_apic_timer_interrupt
     1.59%     0.04%  swapper          [kernel.kallsyms]           [k] ttwu_do_activate
     1.56%     0.01%  mariadbd         [kernel.kallsyms]           [k] __common_interrupt
     1.55%     0.45%  swapper          [kernel.kallsyms]           [k] enqueue_task_fair
     1.55%     0.01%  mariadbd         [kernel.kallsyms]           [k] handle_edge_irq
     1.51%     0.01%  mariadbd         [kernel.kallsyms]           [k] handle_irq_event
     1.49%     0.01%  mariadbd         [kernel.kallsyms]           [k] aio_write
     1.48%     0.00%  tclsh8.6         [kernel.kallsyms]           [k] __x64_sys_sendto
     1.48%     0.01%  tclsh8.6         [kernel.kallsyms]           [k] __sys_sendto
     1.46%     0.01%  tclsh8.6         [kernel.kallsyms]           [k] sock_sendmsg
     1.45%     0.01%  swapper          [kernel.kallsyms]           [k] asm_common_interrupt
     1.45%     0.02%  mariadbd         [kernel.kallsyms]           [k] __handle_irq_event_percpu
     1.45%     0.01%  mariadbd         [kernel.kallsyms]           [k] ext4_dio_write_iter
     1.44%     0.02%  tclsh8.6         [kernel.kallsyms]           [k] unix_stream_sendmsg
     1.43%     0.01%  swapper          [kernel.kallsyms]           [k] common_interrupt
     1.43%     0.01%  mariadbd         [kernel.kallsyms]           [k] nvme_irq
     1.42%     0.08%  mariadbd         [kernel.kallsyms]           [k] nvme_process_cq
     1.35%     0.65%  mariadbd         [kernel.kallsyms]           [k] update_load_avg
     1.33%     0.00%  swapper          [kernel.kallsyms]           [k] start_kernel
     1.32%     0.12%  mariadbd         [kernel.kallsyms]           [k] pick_next_task_fair
     1.27%     0.01%  swapper          [kernel.kallsyms]           [k] __common_interrupt
     1.26%     0.02%  swapper          [kernel.kallsyms]           [k] handle_edge_irq
     1.19%     0.02%  mariadbd         [kernel.kallsyms]           [k] blk_finish_plug
     1.18%     0.02%  swapper          [kernel.kallsyms]           [k] handle_irq_event
     1.17%     0.02%  mariadbd         [kernel.kallsyms]           [k] __x64_sys_poll
     1.16%     0.01%  tclsh8.6         [kernel.kallsyms]           [k] __x64_sys_recvfrom
     1.16%     0.01%  tclsh8.6         [kernel.kallsyms]           [k] __x64_sys_poll
     1.16%     0.03%  mariadbd         [kernel.kallsyms]           [k] blk_mq_flush_plug_list
     1.15%     0.04%  mariadbd         [kernel.kallsyms]           [k] ttwu_do_activate
     1.15%     0.12%  tclsh8.6         [kernel.kallsyms]           [k] do_sys_poll
     1.15%     0.02%  tclsh8.6         [kernel.kallsyms]           [k] __sys_recvfrom
     1.14%     0.02%  mariadbd         [kernel.kallsyms]           [k] iomap_dio_submit_bio
     1.13%     0.02%  swapper          [kernel.kallsyms]           [k] __handle_irq_event_percpu
     1.13%     0.01%  mariadbd         [kernel.kallsyms]           [k] io_schedule_timeout
     1.13%     0.26%  mariadbd         [kernel.kallsyms]           [k] enqueue_task_fair
     1.12%     0.02%  mariadbd         [kernel.kallsyms]           [k] blk_mq_sched_insert_requests
     1.12%     0.06%  mariadbd         [kernel.kallsyms]           [k] do_sys_poll
     1.11%     0.02%  mariadbd         [kernel.kallsyms]           [k] schedule_timeout
     1.11%     0.01%  swapper          [kernel.kallsyms]           [k] nvme_irq
     1.10%     0.08%  swapper          [kernel.kallsyms]           [k] nvme_process_cq
     1.10%     0.05%  mariadbd         [kernel.kallsyms]           [k] blk_mq_try_issue_list_directly
     1.09%     0.35%  swapper          [kernel.kallsyms]           [k] enqueue_entity
     1.09%     0.08%  swapper          [kernel.kallsyms]           [k] flush_smp_call_function_from_idle
     1.09%     0.44%  mariadbd         [kernel.kallsyms]           [k] _raw_spin_lock
     1.08%     0.17%  mariadbd         [kernel.kallsyms]           [k] select_idle_sibling
     1.07%     0.43%  mariadbd         [kernel.kallsyms]           [k] update_curr
     1.05%     0.01%  mariadbd         [kernel.kallsyms]           [k] blk_mq_end_request
     1.05%     0.05%  swapper          [kernel.kallsyms]           [k] __irq_exit_rcu
     1.04%     0.01%  swapper          [kernel.kallsyms]           [k] __sysvec_apic_timer_interrupt
     1.03%     0.01%  swapper          [kernel.kallsyms]           [k] hrtimer_interrupt
     1.03%     0.04%  mariadbd         [kernel.kallsyms]           [k] __blk_mq_try_issue_directly
     0.99%     0.27%  mariadbd         [kernel.kallsyms]           [k] syscall_exit_work
