# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 7284766439991
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
    38.19%     0.36%  java             [kernel.kallsyms]     [k] asm_exc_page_fault
    35.76%     0.43%  java             [kernel.kallsyms]     [k] exc_page_fault
    32.64%     0.49%  java             [kernel.kallsyms]     [k] do_user_addr_fault
    26.61%     1.29%  java             [kernel.kallsyms]     [k] handle_mm_fault
    22.94%     5.03%  java             [kernel.kallsyms]     [k] __handle_mm_fault
    18.69%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
    18.68%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] do_syscall_64
    13.97%     0.31%  java             [kernel.kallsyms]     [k] migrate_misplaced_page
    11.76%     0.81%  java             [kernel.kallsyms]     [k] migrate_pages
    11.67%     0.13%  LocalJobRunner   [kernel.kallsyms]     [k] asm_exc_page_fault
    10.48%     0.09%  LocalJobRunner   [kernel.kallsyms]     [k] exc_page_fault
     9.85%     0.17%  LocalJobRunner   [kernel.kallsyms]     [k] do_user_addr_fault
     9.15%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_write
     9.15%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ksys_write
     9.15%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] vfs_write
     9.15%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] new_sync_write
     9.14%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_file_write_iter
     9.14%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_buffered_write_iter
     9.12%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] generic_perform_write
     9.12%     0.28%  LocalJobRunner   [kernel.kallsyms]     [k] handle_mm_fault
     8.31%     1.16%  LocalJobRunner   [kernel.kallsyms]     [k] __handle_mm_fault
     8.09%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_read
     8.09%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ksys_read
     8.08%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] vfs_read
     8.08%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] new_sync_read
     8.08%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_file_read_iter
     8.08%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] generic_file_read_iter
     8.08%     0.15%  LocalJobRunner   [kernel.kallsyms]     [k] filemap_read
     8.01%     7.81%  LocalJobRunner   [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     4.77%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     4.73%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] sysvec_apic_timer_interrupt
     4.66%     0.15%  LocalJobRunner   [kernel.kallsyms]     [k] __alloc_pages
     4.48%     0.36%  LocalJobRunner   [kernel.kallsyms]     [k] get_page_from_freelist
     4.27%     0.09%  LocalJobRunner   [kernel.kallsyms]     [k] exit_to_user_mode_prepare
     4.25%     4.21%  java             [kernel.kallsyms]     [k] down_read_trylock
     4.23%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_da_write_begin
     4.16%     0.00%  swapper          [kernel.kallsyms]     [k] secondary_startup_64_no_verify
     4.16%     0.00%  swapper          [kernel.kallsyms]     [k] cpu_startup_entry
     4.15%     0.01%  swapper          [kernel.kallsyms]     [k] do_idle
     4.14%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] irqentry_exit
     4.13%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     4.06%     0.00%  swapper          [kernel.kallsyms]     [k] start_secondary
     3.95%     0.00%  swapper          [kernel.kallsyms]     [k] cpuidle_enter
     3.94%     0.00%  swapper          [kernel.kallsyms]     [k] cpuidle_enter_state
     3.91%     0.02%  java             [kernel.kallsyms]     [k] move_to_new_page
     3.89%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] task_work_run
     3.89%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] task_numa_work
     3.89%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] change_prot_numa
     3.89%     0.01%  java             [kernel.kallsyms]     [k] migrate_page
     3.86%     3.86%  swapper          [kernel.kallsyms]     [k] mwait_idle_with_hints.constprop.0
     3.50%     3.32%  LocalJobRunner   [kernel.kallsyms]     [k] change_protection
     3.48%     3.46%  LocalJobRunner   [kernel.kallsyms]     [k] clear_page_erms
     3.40%     0.01%  java             [kernel.kallsyms]     [k] rmap_walk
     3.38%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] grab_cache_page_write_begin
     3.34%     0.05%  LocalJobRunner   [kernel.kallsyms]     [k] pagecache_get_page
     3.10%     0.27%  java             [kernel.kallsyms]     [k] rmap_walk_anon
     3.06%     0.01%  java             [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     3.02%     0.01%  java             [kernel.kallsyms]     [k] sysvec_apic_timer_interrupt
     2.91%     0.05%  java             [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     2.84%     0.07%  java             [kernel.kallsyms]     [k] do_syscall_64
     2.62%     2.60%  java             [kernel.kallsyms]     [k] sync_regs
     2.58%     0.05%  LocalJobRunner   [kernel.kallsyms]     [k] alloc_pages_vma
     2.27%     0.26%  java             [kernel.kallsyms]     [k] exit_to_user_mode_prepare
     2.24%     2.21%  java             [kernel.kallsyms]     [k] up_read
     2.22%     0.00%  java             [kernel.kallsyms]     [k] try_to_migrate
     2.15%     2.12%  java             [kernel.kallsyms]     [k] copy_page
     2.03%     0.02%  java             [kernel.kallsyms]     [k] __x64_sys_sched_yield
     2.02%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] alloc_pages
     2.02%     0.09%  java             [kernel.kallsyms]     [k] __alloc_pages
     1.96%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_da_write_end
     1.95%     0.23%  LocalJobRunner   [kernel.kallsyms]     [k] add_to_page_cache_lru
     1.95%     0.10%  java             [kernel.kallsyms]     [k] do_sched_yield
     1.92%     0.18%  java             [kernel.kallsyms]     [k] get_page_from_freelist
     1.92%     0.09%  LocalJobRunner   [kernel.kallsyms]     [k] generic_write_end
     1.87%     0.03%  java             [kernel.kallsyms]     [k] irqentry_exit
     1.84%     0.02%  java             [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     1.81%     0.12%  java             [kernel.kallsyms]     [k] isolate_lru_page
     1.78%     0.30%  java             [kernel.kallsyms]     [k] try_to_migrate_one
     1.75%     0.03%  java             [kernel.kallsyms]     [k] schedule
     1.74%     0.22%  LocalJobRunner   [kernel.kallsyms]     [k] __mem_cgroup_charge
     1.71%     0.02%  java             [kernel.kallsyms]     [k] migrate_page_copy
