# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 509K of event 'cycles'
# Event count (approx.): 7640386455938
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
     2.66%     0.01%  InMemoryMerger   [kernel.kallsyms]     [k] generic_perform_write
     2.59%     0.19%  pool-4-thread-1  [kernel.kallsyms]     [k] add_to_page_cache_lru
     2.53%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] page_cache_async_ra
     2.51%     0.00%  kswapd0          [kernel.kallsyms]     [k] kthread
     2.51%     0.00%  kswapd0          [kernel.kallsyms]     [k] ret_from_fork
     2.51%     0.00%  kswapd0          [kernel.kallsyms]     [k] kswapd
     2.51%     0.00%  kswapd0          [kernel.kallsyms]     [k] balance_pgdat
     2.47%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_read
     2.47%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ksys_read
     2.47%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] vfs_read
     2.47%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] new_sync_read
     2.47%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_file_read_iter
     2.47%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] filemap_read
     2.47%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] generic_file_read_iter
     2.31%     0.00%  kswapd0          [kernel.kallsyms]     [k] shrink_node
     2.27%     0.07%  localfetcher#1   [kernel.kallsyms]     [k] __alloc_pages
     2.14%     0.23%  localfetcher#1   [kernel.kallsyms]     [k] get_page_from_freelist
     2.08%     0.01%  kswapd0          [kernel.kallsyms]     [k] shrink_lruvec
     2.06%     0.02%  kswapd0          [kernel.kallsyms]     [k] evict_pages
     2.00%     0.15%  kswapd1          [kernel.kallsyms]     [k] shrink_page_list
     1.97%     1.53%  pool-4-thread-1  [kernel.kallsyms]     [k] __add_to_page_cache_locked
     1.85%     1.79%  LocalJobRunner   [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     1.81%     0.02%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_da_write_end
     1.76%     0.03%  pool-4-thread-1  [kernel.kallsyms]     [k] generic_write_end
     1.61%     1.60%  pool-4-thread-1  [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     1.58%     1.56%  localfetcher#1   [kernel.kallsyms]     [k] clear_page_erms
     1.40%     0.02%  java             [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     1.38%     0.02%  java             [kernel.kallsyms]     [k] do_syscall_64
     1.38%     0.13%  localfetcher#1   [kernel.kallsyms]     [k] add_to_page_cache_lru
     1.37%     0.09%  kswapd0          [kernel.kallsyms]     [k] shrink_page_list
     1.37%     1.36%  java             [kernel.kallsyms]     [k] up_read
     1.36%     0.05%  pool-4-thread-1  [kernel.kallsyms]     [k] __mark_inode_dirty
     1.33%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_da_write_begin
     1.31%     0.01%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_dirty_inode
     1.21%     0.01%  InMemoryMerger   [kernel.kallsyms]     [k] ext4_da_write_begin
     1.21%     0.06%  pool-4-thread-1  [kernel.kallsyms]     [k] __alloc_pages
     1.19%     0.01%  localfetcher#1   [kernel.kallsyms]     [k] alloc_pages
     1.19%     0.01%  pool-4-thread-1  [kernel.kallsyms]     [k] asm_exc_page_fault
     1.19%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] __page_cache_alloc
     1.17%     0.02%  pool-4-thread-1  [kernel.kallsyms]     [k] alloc_pages
     1.13%     0.20%  pool-4-thread-1  [kernel.kallsyms]     [k] get_page_from_freelist
     1.12%     0.03%  localfetcher#1   [kernel.kallsyms]     [k] alloc_pages_vma
     1.09%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] grab_cache_page_write_begin
     1.09%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] pagecache_get_page
     1.08%     0.07%  java             [kernel.kallsyms]     [k] exit_to_user_mode_prepare
     1.05%     1.05%  swapper          [unknown]             [.] 0000000000000000
     1.05%     0.01%  pool-4-thread-1  [kernel.kallsyms]     [k] exc_page_fault
     1.01%     0.02%  pool-4-thread-1  [kernel.kallsyms]     [k] filemap_read
     1.01%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] __x64_sys_read
     1.01%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_file_read_iter
     1.01%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] generic_file_read_iter
     1.01%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ksys_read
     1.01%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] new_sync_read
     1.01%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] vfs_read
     1.00%     0.02%  InMemoryMerger   [kernel.kallsyms]     [k] pagecache_get_page
     0.99%     0.02%  pool-4-thread-1  [kernel.kallsyms]     [k] do_user_addr_fault
     0.98%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     0.97%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] sysvec_apic_timer_interrupt
     0.96%     0.71%  localfetcher#1   [kernel.kallsyms]     [k] __add_to_page_cache_locked
     0.96%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] grab_cache_page_write_begin
     0.95%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] filemap_get_pages
     0.95%     0.04%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_block_write_begin
     0.95%     0.00%  java             [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     0.95%     0.10%  localfetcher#1   [kernel.kallsyms]     [k] __mem_cgroup_charge
     0.93%     0.00%  java             [kernel.kallsyms]     [k] sysvec_apic_timer_interrupt
     0.92%     0.04%  LocalJobRunner   [kernel.kallsyms]     [k] __alloc_pages
     0.92%     0.03%  pool-4-thread-1  [kernel.kallsyms]     [k] handle_mm_fault
     0.91%     0.08%  LocalJobRunner   [kernel.kallsyms]     [k] add_to_page_cache_lru
     0.91%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] alloc_pages
     0.90%     0.07%  java             [kernel.kallsyms]     [k] migrate_misplaced_page
     0.87%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] kthread
     0.87%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] ret_from_fork
     0.87%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] worker_thread
     0.87%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] process_one_work
     0.87%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] ext4_end_io_rsv_work
     0.87%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] exit_to_user_mode_prepare
     0.86%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ondemand_readahead
     0.86%     0.01%  kworker/u96:0-e  [kernel.kallsyms]     [k] ext4_release_io_end
     0.86%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] page_cache_ra_unbounded
     0.86%     0.11%  kworker/u96:0-e  [kernel.kallsyms]     [k] ext4_finish_bio
     0.85%     0.85%  java             [kernel.kallsyms]     [k] sync_regs
     0.84%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] irqentry_exit
     0.83%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     0.83%     0.01%  java             [kernel.kallsyms]     [k] find_vma
     0.82%     0.82%  java             [kernel.kallsyms]     [k] vmacache_find
     0.82%     0.06%  LocalJobRunner   [kernel.kallsyms]     [k] get_page_from_freelist
     0.81%     0.01%  java             [kernel.kallsyms]     [k] __alloc_pages
     0.80%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] task_work_run
     0.80%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] task_numa_work
     0.80%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] change_prot_numa
     0.80%     0.79%  java             [kernel.kallsyms]     [k] native_queued_spin_lock_slowpath
     0.79%     0.14%  pool-4-thread-1  [kernel.kallsyms]     [k] __handle_mm_fault
     0.72%     0.67%  LocalJobRunner   [kernel.kallsyms]     [k] change_protection
     0.71%     0.01%  java             [kernel.kallsyms]     [k] alloc_pages_vma
     0.69%     0.07%  java             [kernel.kallsyms]     [k] migrate_pages
     0.68%     0.01%  pool-4-thread-1  [kernel.kallsyms]     [k] __ext4_mark_inode_dirty
     0.68%     0.29%  localfetcher#1   [kernel.kallsyms]     [k] charge_memcg
