# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles'
# Event count (approx.): 108795812652
#
# Children      Self  Command          Shared Object        Symbol                                                                                                            
# ........  ........  ...............  ...................  ..................................................................................................................
#
     1.98%     0.05%  mariadbd         [kernel.kallsyms]    [k] syscall_exit_to_user_mode
     1.97%     0.52%  swapper          [kernel.kallsyms]    [k] enqueue_task_fair
     1.96%     0.90%  mariadbd         [kernel.kallsyms]    [k] _raw_spin_lock
     1.92%     0.78%  mariadbd         [kernel.kallsyms]    [k] smp_call_function_many_cond
     1.92%     0.00%  mariadbd         [kernel.kallsyms]    [k] on_each_cpu_cond_mask
     1.88%     0.22%  mariadbd         [kernel.kallsyms]    [k] dequeue_entity
     1.85%     0.01%  swapper          [kernel.kallsyms]    [k] asm_sysvec_apic_timer_interrupt
     1.85%     0.00%  mariadbd         [kernel.kallsyms]    [k] common_interrupt
     1.85%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_futex
     1.85%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] do_futex
     1.84%     0.00%  swapper          [kernel.kallsyms]    [k] sysvec_apic_timer_interrupt
     1.84%     0.36%  mariadbd         [kernel.kallsyms]    [k] ext4_find_extent
     1.82%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_sendto
     1.81%     0.06%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_sendmsg
     1.81%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __sys_sendto
     1.81%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] sock_sendmsg
     1.78%     0.01%  mariadbd         [kernel.kallsyms]    [k] ptep_clear_flush
     1.77%     0.00%  mariadbd         [kernel.kallsyms]    [k] flush_tlb_mm_range
     1.76%     0.00%  mariadbd         [kernel.kallsyms]    [k] __alloc_pages_slowpath.constprop.0
     1.75%     0.03%  mariadbd         [kernel.kallsyms]    [k] __common_interrupt
     1.74%     0.04%  mariadbd         [kernel.kallsyms]    [k] scheduler_tick
     1.72%     0.00%  mariadbd         [kernel.kallsyms]    [k] do_try_to_free_pages
     1.72%     0.00%  mariadbd         [kernel.kallsyms]    [k] shrink_node
     1.72%     0.00%  mariadbd         [kernel.kallsyms]    [k] shrink_node_memcgs
     1.72%     0.00%  mariadbd         [kernel.kallsyms]    [k] shrink_zones
     1.72%     0.00%  mariadbd         [kernel.kallsyms]    [k] try_to_free_pages
     1.72%     0.04%  mariadbd         [kernel.kallsyms]    [k] handle_edge_irq
     1.70%     0.85%  mariadbd         [kernel.kallsyms]    [k] update_load_avg
     1.70%     0.11%  tclsh8.6         [kernel.kallsyms]    [k] _raw_spin_lock
     1.64%     0.01%  mariadbd         [kernel.kallsyms]    [k] handle_irq_event
     1.64%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_recvfrom
     1.63%     0.03%  tclsh8.6         [kernel.kallsyms]    [k] __sys_recvfrom
     1.63%     0.00%  swapper          [kernel.kallsyms]    [k] __sysvec_call_function_single
     1.62%     0.00%  mariadbd         [kernel.kallsyms]    [k] shrink_inactive_list
     1.62%     0.00%  mariadbd         [kernel.kallsyms]    [k] shrink_lruvec
     1.60%     0.05%  mariadbd         [kernel.kallsyms]    [k] bio_iov_iter_get_pages
     1.59%     0.10%  swapper          [kernel.kallsyms]    [k] flush_smp_call_function_from_idle
     1.59%     0.15%  mariadbd         [kernel.kallsyms]    [k] load_balance
     1.59%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_poll
     1.59%     1.59%  tclsh8.6         [kernel.kallsyms]    [k] native_queued_spin_lock_slowpath.part.0
     1.55%     0.09%  mariadbd         [kernel.kallsyms]    [k] nvme_process_cq
     1.55%     0.00%  mariadbd         [kernel.kallsyms]    [k] __handle_irq_event_percpu
     1.55%     0.00%  mariadbd         [kernel.kallsyms]    [k] nvme_irq
     1.55%     0.00%  mariadbd         [kernel.kallsyms]    [k] __bio_iov_iter_get_pages
     1.53%     0.06%  mariadbd         [kernel.kallsyms]    [k] do_sys_poll
     1.48%     0.22%  mariadbd         [kernel.kallsyms]    [k] select_idle_sibling
     1.44%     0.01%  mariadbd         [kernel.kallsyms]    [k] __read_swap_cache_async
     1.43%     0.31%  mariadbd         [kernel.kallsyms]    [k] enqueue_task_fair
     1.43%     0.13%  tclsh8.6         [kernel.kallsyms]    [k] do_sys_poll
     1.43%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_poll
     1.43%     0.59%  swapper          [kernel.kallsyms]    [k] enqueue_entity
     1.42%     0.01%  mariadbd         [kernel.kallsyms]    [k] __getblk_gfp
     1.42%     0.06%  mariadbd         [kernel.kallsyms]    [k] ttwu_do_activate
     1.41%     0.00%  mariadbd         [kernel.kallsyms]    [k] iov_iter_get_pages
     1.39%     0.02%  mariadbd         [kernel.kallsyms]    [k] __find_get_block
     1.39%     0.00%  mariadbd         [kernel.kallsyms]    [k] internal_get_user_pages_fast
     1.38%     0.01%  swapper          [kernel.kallsyms]    [k] asm_common_interrupt
     1.38%     0.01%  mariadbd         [kernel.kallsyms]    [k] io_schedule_timeout
     1.37%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_recvmsg
     1.37%     0.02%  mariadbd         [kernel.kallsyms]    [k] __read_extent_tree_block
     1.36%     0.05%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_read_generic
     1.36%     0.00%  mariadbd         [kernel.kallsyms]    [k] shrink_page_list
     1.36%     0.02%  swapper          [kernel.kallsyms]    [k] __sysvec_apic_timer_interrupt
     1.36%     0.06%  mariadbd         [kernel.kallsyms]    [k] do_poll.constprop.0
     1.35%     0.00%  swapper          [kernel.kallsyms]    [k] hrtimer_interrupt
     1.34%     0.13%  mariadbd         [kernel.kallsyms]    [k] exit_to_user_mode_prepare
     1.33%     0.04%  swapper          [kernel.kallsyms]    [k] common_interrupt
     1.32%     0.03%  mariadbd         [kernel.kallsyms]    [k] schedule_timeout
     1.31%     0.46%  mariadbd         [kernel.kallsyms]    [k] update_curr
     1.30%     0.00%  mariadbd         [kernel.kallsyms]    [k] __wake_up_common_lock
     1.28%     0.00%  swapper          [kernel.kallsyms]    [k] start_kernel
     1.28%     0.14%  mariadbd         [kernel.kallsyms]    [k] __wake_up_common
     1.27%     1.12%  mariadbd         [kernel.kallsyms]    [k] ext4_es_lookup_extent
     1.25%     0.03%  mariadbd         [kernel.kallsyms]    [k] pagecache_get_page
     1.23%     0.03%  mariadbd         [kernel.kallsyms]    [k] sock_def_readable
     1.18%     0.03%  swapper          [kernel.kallsyms]    [k] tick_nohz_idle_stop_tick
     1.16%     0.06%  tclsh8.6         [kernel.kallsyms]    [k] do_poll.constprop.0
     1.14%     0.01%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_recvfrom
     1.14%     0.03%  swapper          [kernel.kallsyms]    [k] __common_interrupt
     1.13%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_pwrite64
     1.13%     0.00%  mariadbd         [kernel.kallsyms]    [k] ext4_buffered_write_iter
     1.13%     0.00%  mariadbd         [kernel.kallsyms]    [k] new_sync_write
     1.13%     0.00%  mariadbd         [kernel.kallsyms]    [k] vfs_write
     1.13%     0.01%  mariadbd         [kernel.kallsyms]    [k] __sys_recvfrom
     1.12%     0.03%  mariadbd         [kernel.kallsyms]    [k] schedule_hrtimeout_range_clock
     1.12%     0.00%  swapper          [kernel.kallsyms]    [k] handle_edge_irq
     1.11%     0.02%  mariadbd         [kernel.kallsyms]    [k] generic_perform_write
     1.11%     0.32%  mariadbd         [kernel.kallsyms]    [k] select_idle_cpu
     1.10%     0.98%  mariadbd         [kernel.kallsyms]    [k] xas_load
     1.08%     0.06%  mariadbd         [kernel.kallsyms]    [k] pollwake
     1.07%     1.02%  mariadbd         [kernel.kallsyms]    [k] native_queued_spin_lock_slowpath.part.0
     1.07%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] futex_wake
     1.07%     0.02%  swapper          [kernel.kallsyms]    [k] handle_irq_event
     1.06%     0.02%  mariadbd         [kernel.kallsyms]    [k] perf_event_task_tick
     1.05%     0.11%  mariadbd         [kernel.kallsyms]    [k] perf_adjust_freq_unthr_context
     1.04%     0.02%  swapper          [kernel.kallsyms]    [k] __handle_irq_event_percpu
     1.04%     0.03%  mariadbd         [kernel.kallsyms]    [k] blk_finish_plug
     1.04%     0.00%  mariadbd         [kernel.kallsyms]    [k] blk_mq_end_request
     1.04%     0.02%  mariadbd         [kernel.kallsyms]    [k] __submit_bio_noacct_mq
