# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 258K of event 'cycles'
# Event count (approx.): 8638099341560
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
     2.39%     0.02%  InMemoryMerger   [kernel.kallsyms]  [k] ext4_da_write_begin
     2.35%     0.16%  localfetcher#1   [kernel.kallsyms]  [k] __handle_mm_fault
     2.33%     1.12%  java             [kernel.kallsyms]  [k] __handle_mm_fault
     2.29%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_da_write_begin
     2.06%     1.37%  pool-4-thread-1  [kernel.kallsyms]  [k] __add_to_page_cache_locked
     2.04%     0.11%  localfetcher#1   [kernel.kallsyms]  [k] add_to_page_cache_lru
     1.91%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] grab_cache_page_write_begin
     1.90%     0.03%  InMemoryMerger   [kernel.kallsyms]  [k] pagecache_get_page
     1.88%     0.06%  localfetcher#1   [kernel.kallsyms]  [k] __alloc_pages
     1.81%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] grab_cache_page_write_begin
     1.80%     0.19%  localfetcher#1   [kernel.kallsyms]  [k] get_page_from_freelist
     1.80%     0.03%  pool-4-thread-1  [kernel.kallsyms]  [k] pagecache_get_page
     1.60%     1.59%  java             [kernel.kallsyms]  [k] down_read_trylock
     1.57%     0.00%  kswapd1          [kernel.kallsyms]  [k] balance_pgdat
     1.57%     0.00%  kswapd1          [kernel.kallsyms]  [k] kswapd
     1.57%     0.00%  kswapd1          [kernel.kallsyms]  [k] kthread
     1.57%     0.00%  kswapd1          [kernel.kallsyms]  [k] ret_from_fork
     1.56%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_node
     1.42%     1.40%  pool-4-thread-1  [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     1.34%     0.01%  kswapd1          [kernel.kallsyms]  [k] shrink_lruvec
     1.30%     0.10%  InMemoryMerger   [kernel.kallsyms]  [k] add_to_page_cache_lru
     1.27%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     1.27%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] do_syscall_64
     1.26%     1.24%  localfetcher#1   [kernel.kallsyms]  [k] clear_page_erms
     1.23%     0.00%  kswapd0          [kernel.kallsyms]  [k] kswapd
     1.23%     0.00%  kswapd0          [kernel.kallsyms]  [k] kthread
     1.23%     0.00%  kswapd0          [kernel.kallsyms]  [k] ret_from_fork
     1.22%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_node
     1.22%     0.00%  kswapd0          [kernel.kallsyms]  [k] balance_pgdat
     1.17%     0.03%  InMemoryMerger   [kernel.kallsyms]  [k] ext4_da_write_end
     1.13%     0.02%  InMemoryMerger   [kernel.kallsyms]  [k] generic_write_end
     1.08%     0.01%  kswapd0          [kernel.kallsyms]  [k] shrink_lruvec
     1.06%     0.13%  kswapd1          [kernel.kallsyms]  [k] shrink_page_list
     1.06%     0.79%  InMemoryMerger   [kernel.kallsyms]  [k] __add_to_page_cache_locked
     1.01%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_da_write_end
     0.99%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] generic_write_end
     0.97%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] alloc_pages
     0.96%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] __page_cache_alloc
     0.93%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] alloc_pages
     0.93%     0.04%  pool-4-thread-1  [kernel.kallsyms]  [k] __alloc_pages
