# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 32K of event 'cycles'
# Event count (approx.): 478879349612
#
# Children      Self  Command          Shared Object            Symbol                                                                                                                           
# ........  ........  ...............  .......................  .................................................................................................................................
#
     1.78%     0.01%  mariadbd         [kernel.kallsyms]        [k] common_interrupt
     1.77%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] __x64_sys_sendto
     1.76%     0.00%  tclsh8.6         [kernel.kallsyms]        [k] __sys_sendto
     1.75%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] sock_sendmsg
     1.74%     0.04%  tclsh8.6         [kernel.kallsyms]        [k] unix_stream_sendmsg
     1.72%     0.00%  kswapd0          [kernel.kallsyms]        [k] balance_pgdat
     1.72%     0.00%  kswapd0          [kernel.kallsyms]        [k] kswapd
     1.72%     0.00%  kswapd0          [kernel.kallsyms]        [k] kthread
     1.72%     0.00%  kswapd0          [kernel.kallsyms]        [k] ret_from_fork
     1.71%     0.68%  mariadbd         [kernel.kallsyms]        [k] _raw_spin_lock
     1.64%     0.00%  kswapd0          [kernel.kallsyms]        [k] shrink_node
     1.64%     0.00%  kswapd0          [kernel.kallsyms]        [k] shrink_node_memcgs
     1.63%     0.37%  mariadbd         [kernel.kallsyms]        [k] enqueue_task_fair
     1.63%     0.01%  mariadbd         [kernel.kallsyms]        [k] __common_interrupt
     1.63%     0.03%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_poll
     1.62%     0.03%  mariadbd         [kernel.kallsyms]        [k] handle_edge_irq
     1.61%     0.00%  kswapd0          [kernel.kallsyms]        [k] evict_pages
     1.61%     0.00%  kswapd0          [kernel.kallsyms]        [k] lru_gen_shrink_lruvec
     1.60%     0.05%  mariadbd         [kernel.kallsyms]        [k] ttwu_do_activate
     1.57%     0.03%  swapper          [kernel.kallsyms]        [k] ttwu_do_activate
     1.56%     0.00%  mariadbd         [kernel.kallsyms]        [k] handle_irq_event
     1.56%     0.05%  mariadbd         [kernel.kallsyms]        [k] do_sys_poll
     1.55%     0.43%  swapper          [kernel.kallsyms]        [k] enqueue_task_fair
     1.53%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] __x64_sys_poll
     1.53%     0.28%  mariadbd         [kernel.kallsyms]        [k] select_idle_sibling
     1.52%     0.18%  tclsh8.6         [kernel.kallsyms]        [k] do_sys_poll
     1.51%     0.10%  mariadbd         [kernel.kallsyms]        [k] exit_to_user_mode_prepare
     1.50%     0.01%  mariadbd         [kernel.kallsyms]        [k] bio_iov_iter_get_pages
     1.49%     0.04%  mariadbd         [kernel.kallsyms]        [k] __bio_iov_iter_get_pages
     1.49%     0.01%  mariadbd         [kernel.kallsyms]        [k] __handle_irq_event_percpu
     1.48%     0.02%  mariadbd         [kernel.kallsyms]        [k] nvme_irq
     1.47%     0.00%  kswapd0          [kernel.kallsyms]        [k] shrink_page_list
     1.46%     0.09%  mariadbd         [kernel.kallsyms]        [k] nvme_process_cq
     1.42%     0.05%  mariadbd         [kernel.kallsyms]        [k] do_poll.constprop.0
     1.40%     0.01%  swapper          [kernel.kallsyms]        [k] asm_common_interrupt
     1.39%     0.00%  swapper          [kernel.kallsyms]        [k] start_kernel
     1.37%     0.01%  swapper          [kernel.kallsyms]        [k] common_interrupt
     1.36%     0.11%  mariadbd         [kernel.kallsyms]        [k] __wake_up_common
     1.36%     0.02%  mariadbd         [kernel.kallsyms]        [k] __wake_up_common_lock
     1.35%     0.00%  swapper          [kernel.kallsyms]        [k] __sysvec_call_function_single
     1.33%     0.55%  mariadbd         [kernel.kallsyms]        [k] update_curr
     1.32%     0.05%  mariadbd         [kernel.kallsyms]        [k] sock_def_readable
     1.30%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] __x64_sys_recvfrom
     1.30%     0.02%  mariadbd         [kernel.kallsyms]        [k] iov_iter_get_pages
     1.29%     0.02%  tclsh8.6         [kernel.kallsyms]        [k] __sys_recvfrom
     1.29%     0.05%  mariadbd         [kernel.kallsyms]        [k] find_busiest_group
     1.28%     0.00%  mariadbd         [kernel.kallsyms]        [k] ptep_clear_flush
     1.28%     0.02%  mariadbd         [kernel.kallsyms]        [k] flush_tlb_mm_range
     1.27%     0.01%  mariadbd         [kernel.kallsyms]        [k] internal_get_user_pages_fast
     1.24%     0.13%  tclsh8.6         [kernel.kallsyms]        [k] do_poll.constprop.0
     1.24%     0.08%  mariadbd         [kernel.kallsyms]        [k] update_sd_lb_stats.constprop.0
     1.24%     0.02%  mariadbd         [kernel.kallsyms]        [k] io_schedule_timeout
     1.24%     0.03%  swapper          [kernel.kallsyms]        [k] handle_edge_irq
     1.24%     0.00%  swapper          [kernel.kallsyms]        [k] __common_interrupt
     1.24%     0.23%  mariadbd         [kernel.kallsyms]        [k] syscall_exit_work
     1.22%     0.00%  swapper          [kernel.kallsyms]        [k] tick_nohz_idle_stop_tick
     1.22%     0.02%  mariadbd         [kernel.kallsyms]        [k] schedule_timeout
     1.21%     0.01%  mariadbd         [kernel.kallsyms]        [k] schedule_hrtimeout_range_clock
     1.19%     0.01%  swapper          [kernel.kallsyms]        [k] __sysvec_apic_timer_interrupt
     1.18%     0.00%  swapper          [kernel.kallsyms]        [k] hrtimer_interrupt
     1.18%     0.07%  swapper          [kernel.kallsyms]        [k] flush_smp_call_function_from_idle
     1.16%     0.04%  mariadbd         [kernel.kallsyms]        [k] pollwake
     1.14%     0.91%  mariadbd         [kernel.kallsyms]        [k] update_sg_lb_stats
     1.14%     0.05%  swapper          [kernel.kallsyms]        [k] __irq_exit_rcu
     1.13%     0.02%  swapper          [kernel.kallsyms]        [k] handle_irq_event
     1.13%     0.03%  tclsh8.6         [kernel.kallsyms]        [k] unix_stream_recvmsg
     1.12%     0.02%  mariadbd         [kernel.kallsyms]        [k] blk_mq_end_request
     1.12%     0.02%  mariadbd         [kernel.kallsyms]        [k] __submit_bio_noacct_mq
     1.11%     0.00%  mariadbd         [kernel.kallsyms]        [k] vfs_write
     1.11%     0.00%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_pwrite64
     1.11%     0.12%  tclsh8.6         [kernel.kallsyms]        [k] unix_stream_read_generic
     1.11%     0.38%  swapper          [kernel.kallsyms]        [k] enqueue_entity
     1.10%     0.00%  mariadbd         [kernel.kallsyms]        [k] ext4_buffered_write_iter
     1.10%     0.00%  mariadbd         [kernel.kallsyms]        [k] new_sync_write
     1.09%     0.02%  swapper          [kernel.kallsyms]        [k] __handle_irq_event_percpu
     1.08%     0.01%  mariadbd         [kernel.kallsyms]        [k] generic_perform_write
     1.08%     0.41%  mariadbd         [kernel.kallsyms]        [k] smp_call_function_many_cond
     1.08%     0.00%  mariadbd         [kernel.kallsyms]        [k] on_each_cpu_cond_mask
     1.08%     0.07%  mariadbd         [kernel.kallsyms]        [k] blk_mq_submit_bio
     1.07%     0.00%  swapper          [kernel.kallsyms]        [k] nvme_irq
     1.06%     0.02%  mariadbd         [kernel.kallsyms]        [k] iomap_dio_submit_bio
     1.06%     0.11%  swapper          [kernel.kallsyms]        [k] nvme_process_cq
     1.05%     0.27%  mariadbd         [kernel.kallsyms]        [k] enqueue_entity
     1.05%     1.01%  mariadbd         [kernel.kallsyms]        [k] native_queued_spin_lock_slowpath.part.0
     1.02%     0.37%  mariadbd         [kernel.kallsyms]        [k] futex_wait_setup
     1.02%     0.00%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_recvfrom
     1.02%     0.02%  mariadbd         [kernel.kallsyms]        [k] perf_event_task_tick
     1.02%     0.01%  mariadbd         [kernel.kallsyms]        [k] blk_finish_plug
     1.01%     0.02%  swapper          [kernel.kallsyms]        [k] __softirqentry_text_start
     1.01%     0.02%  mariadbd         [kernel.kallsyms]        [k] blk_mq_flush_plug_list
     1.01%     0.02%  mariadbd         [kernel.kallsyms]        [k] __sys_recvfrom
     1.01%     0.09%  swapper          [kernel.kallsyms]        [k] tick_nohz_get_sleep_length
     1.00%     0.55%  mariadbd         [kernel.kallsyms]        [k] __audit_syscall_exit
     1.00%     0.28%  mariadbd         [kernel.kallsyms]        [k] select_idle_cpu
     1.00%     0.13%  mariadbd         [kernel.kallsyms]        [k] perf_adjust_freq_unthr_context
     1.00%     0.04%  mariadbd         [kernel.kallsyms]        [k] blk_mq_sched_insert_requests
     0.98%     0.04%  mariadbd         [kernel.kallsyms]        [k] blk_update_request
     0.98%     0.01%  swapper          [kernel.kallsyms]        [k] __hrtimer_run_queues
     0.97%     0.01%  swapper          [kernel.kallsyms]        [k] __run_hrtimer
     0.96%     0.07%  mariadbd         [kernel.kallsyms]        [k] ext4_map_blocks
     0.94%     0.30%  mariadbd         [kernel.kallsyms]        [k] ttwu_queue_wakelist
     0.94%     0.01%  swapper          [kernel.kallsyms]        [k] tick_sched_timer
     0.93%     0.06%  mariadbd         [kernel.kallsyms]        [k] blk_mq_try_issue_list_directly
     0.91%     0.02%  mariadbd         [kernel.kallsyms]        [k] unix_stream_recvmsg
     0.90%     0.05%  swapper          [kernel.kallsyms]        [k] tick_nohz_idle_exit
     0.89%     0.08%  mariadbd         [kernel.kallsyms]        [k] unix_stream_read_generic
     0.89%     0.49%  swapper          [kernel.kallsyms]        [k] update_load_avg
     0.89%     0.00%  mariadbd         [kernel.kallsyms]        [k] get_user_pages_unlocked
     0.89%     0.02%  mariadbd         [kernel.kallsyms]        [k] __blk_mq_try_issue_directly
     0.89%     0.06%  mariadbd         [kernel.kallsyms]        [k] asm_sysvec_call_function_single
     0.89%     0.01%  mariadbd         [kernel.kallsyms]        [k] __get_user_pages
     0.88%     0.88%  mariadbd         [kernel.kallsyms]        [k] available_idle_cpu
     0.87%     0.03%  tclsh8.6         [kernel.kallsyms]        [k] schedule_hrtimeout_range_clock
     0.86%     0.04%  tclsh8.6         [kernel.kallsyms]        [k] schedule
     0.85%     0.01%  mariadbd         [kernel.kallsyms]        [k] amd_pmu_disable_all
     0.84%     0.12%  mariadbd         [kernel.kallsyms]        [k] nvme_queue_rq
     0.84%     0.16%  swapper          [kernel.kallsyms]        [k] pick_next_task_fair
     0.84%     0.01%  mariadbd         [kernel.kallsyms]        [k] sock_alloc_send_pskb
     0.82%     0.06%  mariadbd         [kernel.kallsyms]        [k] alloc_skb_with_frags
     0.82%     0.07%  swapper          [kernel.kallsyms]        [k] tick_nohz_stop_tick
     0.82%     0.09%  tclsh8.6         [kernel.kallsyms]        [k] __schedule
     0.82%     0.57%  mariadbd         [kernel.kallsyms]        [k] finish_task_switch.isra.0
     0.81%     0.00%  swapper          [kernel.kallsyms]        [k] tick_sched_handle
     0.81%     0.04%  swapper          [kernel.kallsyms]        [k] update_process_times
     0.80%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] __wake_up_common_lock
     0.80%     0.40%  swapper          [kernel.kallsyms]        [k] ktime_get
     0.79%     0.06%  tclsh8.6         [kernel.kallsyms]        [k] __wake_up_common
     0.78%     0.19%  mariadbd         [kernel.kallsyms]        [k] switch_fpu_return
     0.78%     0.04%  mariadbd         [kernel.kallsyms]        [k] ext4_iomap_begin
     0.76%     0.05%  mariadbd         [kernel.kallsyms]        [k] __alloc_skb
     0.75%     0.02%  tclsh8.6         [kernel.kallsyms]        [k] sock_def_readable
     0.73%     0.01%  mariadbd         [kernel.kallsyms]        [k] __read_swap_cache_async
     0.72%     0.02%  mariadbd         [kernel.kallsyms]        [k] wake_affine
     0.72%     0.13%  mariadbd         [kernel.kallsyms]        [k] task_tick_fair
     0.72%     0.02%  mariadbd         [kernel.kallsyms]        [k] swap_readpage
     0.72%     0.01%  mariadbd         [kernel.kallsyms]        [k] pagecache_get_page
     0.71%     0.00%  swapper          [kernel.kallsyms]        [k] blk_mq_end_request
     0.71%     0.05%  tclsh8.6         [kernel.kallsyms]        [k] pollwake
     0.71%     0.02%  tclsh8.6         [kernel.kallsyms]        [k] try_to_wake_up
     0.69%     0.60%  swapper          [kernel.kallsyms]        [k] switch_mm_irqs_off
     0.69%     0.69%  mariadbd         [kernel.kallsyms]        [k] __default_send_IPI_dest_field
     0.69%     0.02%  kswapd0          [kernel.kallsyms]        [k] arch_tlbbatch_flush
     0.68%     0.02%  swapper          [kernel.kallsyms]        [k] hrtimer_start_range_ns
     0.68%     0.01%  swapper          [kernel.kallsyms]        [k] scheduler_tick
     0.68%     0.01%  mariadbd         [kernel.kallsyms]        [k] sysvec_call_function_single
     0.68%     0.00%  tclsh8.6         [kernel.kallsyms]        [k] sock_alloc_send_pskb
     0.67%     0.04%  tclsh8.6         [kernel.kallsyms]        [k] alloc_skb_with_frags
     0.66%     0.01%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_io_getevents
     0.66%     0.00%  kswapd0          [kernel.kallsyms]        [k] try_to_unmap_flush_dirty
     0.65%     0.14%  mariadbd         [kernel.kallsyms]        [k] __irq_exit_rcu
     0.65%     0.01%  mariadbd         [kernel.kallsyms]        [k] do_io_getevents
     0.64%     0.00%  mariadbd         [kernel.kallsyms]        [k] __sysvec_call_function_single
     0.63%     0.03%  tclsh8.6         [kernel.kallsyms]        [k] __alloc_skb
     0.63%     0.52%  mariadbd         [kernel.kallsyms]        [k] xas_load
     0.63%     0.06%  swapper          [kernel.kallsyms]        [k] blk_update_request
     0.62%     0.05%  mariadbd         [kernel.kallsyms]        [k] exit_to_user_mode_loop
     0.62%     0.03%  mariadbd         [kernel.kallsyms]        [k] iomap_dio_bio_end_io
     0.61%     0.01%  mariadbd         [kernel.kallsyms]        [k] read_events
     0.60%     0.12%  swapper          [kernel.kallsyms]        [k] finish_task_switch.isra.0
     0.60%     0.03%  mariadbd         [kernel.kallsyms]        [k] sched_ttwu_pending
     0.60%     0.24%  kswapd0          [kernel.kallsyms]        [k] smp_call_function_many_cond
     0.60%     0.00%  kswapd0          [kernel.kallsyms]        [k] on_each_cpu_cond_mask
     0.59%     0.59%  mariadbd         [kernel.kallsyms]        [k] __restore_fpregs_from_fpstate
     0.59%     0.07%  swapper          [kernel.kallsyms]        [k] tick_nohz_restart_sched_tick
     0.59%     0.01%  swapper          [kernel.kallsyms]        [k] perf_event_task_tick
     0.57%     0.05%  swapper          [kernel.kallsyms]        [k] perf_adjust_freq_unthr_context
     0.57%     0.00%  mariadbd         [kernel.kallsyms]        [k] ext4_dio_write_checks
     0.55%     0.33%  mariadbd         [kernel.kallsyms]        [k] x86_pmu_disable_all
     0.54%     0.54%  mariadbd         [kernel.kallsyms]        [k] update_cfs_group
     0.54%     0.14%  swapper          [kernel.kallsyms]        [k] tick_nohz_next_event
     0.53%     0.53%  swapper          [kernel.kallsyms]        [k] get_typical_interval
     0.52%     0.03%  swapper          [kernel.kallsyms]        [k] _nohz_idle_balance.constprop.0.isra.0
     0.52%     0.52%  mariadbd         [kernel.kallsyms]        [k] __update_load_avg_cfs_rq
     0.52%     0.45%  mariadbd         [kernel.kallsyms]        [k] ext4_es_lookup_extent
     0.52%     0.00%  mariadbd         [kernel.kallsyms]        [k] irqentry_exit_to_user_mode
     0.51%     0.51%  swapper          [kernel.kallsyms]        [k] __switch_to_asm
