# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 81K of event 'cycles'
# Event count (approx.): 6486313969415
#
# Children      Self  Command          Shared Object      Symbol                                           
# ........  ........  ...............  .................  .................................................
#
     0.05%     0.04%  postgres         [kernel.kallsyms]  [k] update_numa_stats
     0.05%     0.00%  kswapd1          [kernel.kallsyms]  [k] __mod_lruvec_state
     0.05%     0.05%  kswapd1          [kernel.kallsyms]  [k] drop_buffers
     0.05%     0.05%  postgres         [kernel.kallsyms]  [k] iterate_groups
     0.05%     0.03%  postgres         [kernel.kallsyms]  [k] ext4_mark_iloc_dirty
     0.05%     0.00%  kworker/u97:0-w  [kernel.kallsyms]  [k] mempool_alloc
     0.05%     0.05%  postgres         [kernel.kallsyms]  [k] mem_cgroup_update_lru_size
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] obj_cgroup_charge
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] ip_local_deliver
     0.05%     0.00%  swapper          [kernel.kallsyms]  [k] load_balance
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] ip_local_deliver_finish
     0.05%     0.01%  kswapd1          [kernel.kallsyms]  [k] __mod_lruvec_page_state
     0.05%     0.05%  swapper          [kernel.kallsyms]  [k] __update_load_avg_se
     0.05%     0.03%  postgres         [kernel.kallsyms]  [k] _raw_read_lock
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] ip_protocol_deliver_rcu
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] test_clear_page_writeback
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] switch_fpu_return
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_close
     0.05%     0.02%  postgres         [kernel.kallsyms]  [k] __check_object_size
     0.05%     0.01%  swapper          [kernel.kallsyms]  [k] scheduler_tick
     0.05%     0.01%  kworker/u98:4+f  [kernel.kallsyms]  [k] __alloc_pages
     0.05%     0.00%  kworker/u98:4+f  [kernel.kallsyms]  [k] alloc_pages
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] rcu_core_si
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] __udp4_lib_rcv
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] refill_obj_stock
     0.05%     0.01%  postgres         [kernel.kallsyms]  [k] skb_release_data
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] account_process_tick
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] sockfd_lookup_light
     0.05%     0.01%  kcompactd0       [kernel.kallsyms]  [k] ptep_clear_flush
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] __ip_append_data
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] asm_common_interrupt
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] mempool_kmalloc
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] rcu_core
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] udp_rcv
     0.05%     0.05%  postgres         [kernel.kallsyms]  [k] up_read
     0.05%     0.04%  tclsh8.6         [kernel.kallsyms]  [k] __restore_fpregs_from_fpstate
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] generic_update_time
     0.05%     0.01%  kworker/u97:1-w  [kernel.kallsyms]  [k] test_clear_page_writeback
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] common_interrupt
     0.05%     0.03%  kcompactd0       [kernel.kallsyms]  [k] vma_interval_tree_iter_next
     0.04%     0.00%  swapper          [kernel.kallsyms]  [k] rcu_core
     0.04%     0.04%  kcompactd0       [kernel.kallsyms]  [k] _raw_spin_lock
     0.04%     0.01%  postgres         [kernel.kallsyms]  [k] lookup_fast
     0.04%     0.00%  kworker/u97:1-w  [kernel.kallsyms]  [k] kmem_cache_alloc
     0.04%     0.04%  postgres         [kernel.kallsyms]  [k] update_min_vruntime
     0.04%     0.00%  swapper          [kernel.kallsyms]  [k] rcu_core_si
     0.04%     0.01%  postgres         [kernel.kallsyms]  [k] __xa_set_mark
     0.04%     0.00%  postgres         [kernel.kallsyms]  [k] close_fd
     0.04%     0.00%  postgres         [kernel.kallsyms]  [k] deactivate_task
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] futex_wait
     0.04%     0.01%  kworker/u97:0-w  [kernel.kallsyms]  [k] ext4_finish_bio
     0.04%     0.00%  postgres         [kernel.kallsyms]  [k] udp_unicast_rcv_skb
     0.04%     0.00%  kcompactd1       [kernel.kallsyms]  [k] isolate_freepages_block
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] asm_sysvec_call_function_single
     0.04%     0.02%  postgres         [kernel.kallsyms]  [k] __mod_zone_page_state
     0.04%     0.03%  postgres         [kernel.kallsyms]  [k] send_call_function_single_ipi
     0.04%     0.00%  postgres         [kernel.kallsyms]  [k] ttwu_do_wakeup
     0.04%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] psi_task_change
     0.04%     0.04%  postgres         [kernel.kallsyms]  [k] rb_next
     0.04%     0.01%  postgres         [kernel.kallsyms]  [k] udp_queue_rcv_one_skb
     0.04%     0.04%  postgres         [kernel.kallsyms]  [k] page_counter_try_charge
     0.04%     0.00%  postgres         [kernel.kallsyms]  [k] udp_queue_rcv_skb
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] sysvec_call_function_single
     0.04%     0.01%  swapper          [kernel.kallsyms]  [k] __read_end_io
     0.04%     0.02%  postgres         [kernel.kallsyms]  [k] drain_obj_stock
     0.04%     0.00%  kworker/u97:0-w  [kernel.kallsyms]  [k] blk_mq_try_issue_list_directly
     0.04%     0.00%  kworker/u97:0-w  [kernel.kallsyms]  [k] blk_flush_plug_list
     0.04%     0.00%  kworker/u97:0-w  [kernel.kallsyms]  [k] blk_mq_flush_plug_list
     0.04%     0.00%  kworker/u97:0-w  [kernel.kallsyms]  [k] blk_mq_sched_insert_requests
     0.04%     0.00%  swapper          [kernel.kallsyms]  [k] mpage_end_io
     0.04%     0.00%  postgres         [kernel.kallsyms]  [k] sock_alloc_send_skb
     0.04%     0.01%  kworker/u98:4+f  [kernel.kallsyms]  [k] __mod_lruvec_page_state
     0.04%     0.04%  kcompactd1       [kernel.kallsyms]  [k] copy_page
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] refill_obj_stock
     0.04%     0.00%  postgres         [kernel.kallsyms]  [k] __smp_call_single_queue
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] dequeue_entity
     0.04%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_lseek
     0.04%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] update_curr
     0.04%     0.01%  postgres         [kernel.kallsyms]  [k] strncpy_from_user
     0.04%     0.00%  kworker/u97:1-w  [kernel.kallsyms]  [k] __alloc_pages
     0.04%     0.00%  kworker/u97:1-w  [kernel.kallsyms]  [k] alloc_pages
     0.04%     0.02%  postgres         [kernel.kallsyms]  [k] mod_objcg_state
     0.04%     0.04%  kswapd1          [kernel.kallsyms]  [k] mem_cgroup_from_obj
     0.04%     0.04%  postgres         [kernel.kallsyms]  [k] get_mem_cgroup_from_mm
     0.04%     0.01%  postgres         [kernel.kallsyms]  [k] sched_clock_cpu
     0.04%     0.02%  swapper          [kernel.kallsyms]  [k] tick_nohz_idle_enter
     0.04%     0.02%  postgres         [kernel.kallsyms]  [k] __kmalloc_node_track_caller
     0.04%     0.01%  postgres         [kernel.kallsyms]  [k] link_path_walk.part.0
     0.04%     0.00%  postgres         [kernel.kallsyms]  [k] skb_free_head
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] skb_release_data
     0.04%     0.01%  kswapd1          [kernel.kallsyms]  [k] __mod_memcg_lruvec_state
     0.04%     0.04%  postgres         [kernel.kallsyms]  [k] node_page_state
     0.04%     0.03%  postgres         [kernel.kallsyms]  [k] page_vma_mapped_walk
     0.04%     0.01%  postgres         [kernel.kallsyms]  [k] udp_recvmsg
     0.04%     0.00%  kcompactd0       [kernel.kallsyms]  [k] flush_tlb_mm_range
     0.04%     0.03%  postgres         [kernel.kallsyms]  [k] apparmor_file_alloc_security
     0.04%     0.04%  postgres         [kernel.kallsyms]  [k] llist_add_batch
     0.04%     0.04%  swapper          [kernel.kallsyms]  [k] load_new_mm_cr3
     0.04%     0.00%  postgres         [kernel.kallsyms]  [k] attach_task
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] generic_smp_call_function_single_interrupt
     0.04%     0.00%  postgres         [kernel.kallsyms]  [k] inet_recvmsg
     0.04%     0.03%  kswapd1          [kernel.kallsyms]  [k] _raw_spin_lock
     0.04%     0.01%  postgres         [kernel.kallsyms]  [k] check_preempt_curr
     0.04%     0.00%  kworker/u97:1-w  [kernel.kallsyms]  [k] mempool_kmalloc
     0.04%     0.00%  postgres         [kernel.kallsyms]  [k] steal_suitable_fallback
     0.04%     0.00%  kworker/u97:0-w  [kernel.kallsyms]  [k] __blk_mq_try_issue_directly
     0.04%     0.04%  postgres         [kernel.kallsyms]  [k] __d_lookup_rcu
     0.04%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] psi_task_switch
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] kfree
     0.04%     0.01%  kworker/u97:1-w  [kernel.kallsyms]  [k] __mod_lruvec_page_state
     0.04%     0.00%  postgres         [kernel.kallsyms]  [k] migrate_page
     0.04%     0.00%  postgres         [kernel.kallsyms]  [k] move_to_new_page
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] futex_wait_setup
     0.04%     0.03%  postgres         [kernel.kallsyms]  [k] move_freepages_block
     0.04%     0.01%  kswapd1          [kernel.kallsyms]  [k] __mod_memcg_state.part.0
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __common_interrupt
     0.04%     0.00%  kcompactd1       [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.04%     0.03%  postgres         [kernel.kallsyms]  [k] copy_page_from_iter_atomic
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] irq_exit_rcu
     0.04%     0.00%  postgres         [kernel.kallsyms]  [k] activate_task
     0.04%     0.00%  kcompactd1       [kernel.kallsyms]  [k] compact_lock_irqsave
     0.04%     0.03%  kworker/u98:4+f  [kernel.kallsyms]  [k] memset_erms
     0.04%     0.02%  kcompactd1       [kernel.kallsyms]  [k] __cond_resched
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] skb_free_head
     0.04%     0.03%  postgres         [kernel.kallsyms]  [k] __radix_tree_lookup
     0.04%     0.00%  kcompactd0       [kernel.kallsyms]  [k] on_each_cpu_cond_mask
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] handle_edge_irq
     0.04%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] flush_smp_call_function_queue
     0.04%     0.03%  postgres         [kernel.kallsyms]  [k] copy_page_to_iter
     0.04%     0.04%  kswapd1          [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.04%     0.03%  postgres         [kernel.kallsyms]  [k] down_read_trylock
     0.04%     0.03%  postgres         [kernel.kallsyms]  [k] uncharge_page
     0.04%     0.02%  tclsh8.6         [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] try_to_migrate_one
     0.03%     0.00%  kworker/u97:0-w  [kernel.kallsyms]  [k] bio_alloc_bioset
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] handle_irq_event
     0.03%     0.02%  tclsh8.6         [kernel.kallsyms]  [k] select_task_rq_fair
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] alloc_misplaced_dst_page
     0.03%     0.00%  swapper          [kernel.kallsyms]  [k] sched_clock_cpu
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] radix_tree_lookup
     0.03%     0.01%  postgres         [kernel.kallsyms]  [k] blk_mq_get_tag
     0.03%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] memcg_slab_free_hook
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] filp_close
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] remove_entity_load_avg
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __softirqentry_text_start
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] remove_migration_pte
     0.03%     0.02%  kworker/u97:1-w  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.03%     0.03%  kcompactd0       [kernel.kallsyms]  [k] smp_call_function_many_cond
     0.03%     0.03%  kworker/u97:1-w  [unknown]          [.] 0000000000000000
     0.03%     0.03%  postgres         [kernel.kallsyms]  [k] rcu_all_qs
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_pselect6
     0.03%     0.01%  kswapd1          [kernel.kallsyms]  [k] cgroup_rstat_updated
     0.03%     0.03%  postgres         [kernel.kallsyms]  [k] load_new_mm_cr3
     0.03%     0.01%  kworker/u98:4+f  [kernel.kallsyms]  [k] get_page_from_freelist
     0.03%     0.00%  kworker/u98:4+f  [kernel.kallsyms]  [k] mempool_kmalloc
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] nvme_process_cq
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __handle_irq_event_percpu
     0.03%     0.00%  swapper          [kernel.kallsyms]  [k] wake_up_page_bit
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] nvme_irq
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] do_pselect.constprop.0
     0.03%     0.00%  swapper          [kernel.kallsyms]  [k] unlock_page
     0.03%     0.01%  swapper          [kernel.kallsyms]  [k] tick_nohz_idle_exit
     0.03%     0.03%  postgres         [kernel.kallsyms]  [k] cpufreq_this_cpu_can_update
     0.03%     0.03%  kcompactd1       [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] nvme_pci_complete_rq
     0.03%     0.01%  postgres         [kernel.kallsyms]  [k] bio_alloc_bioset
     0.03%     0.00%  swapper          [kernel.kallsyms]  [k] __wake_up_common
     0.03%     0.00%  kswapd0          [kernel.kallsyms]  [k] try_to_release_page
     0.03%     0.00%  kworker/u97:0-w  [kernel.kallsyms]  [k] nvme_queue_rq
     0.03%     0.00%  swapper          [kernel.kallsyms]  [k] try_to_wake_up
     0.03%     0.03%  kworker/u97:1-w  [kernel.kallsyms]  [k] memset_erms
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] migrate_misplaced_page
     0.03%     0.03%  postgres         [kernel.kallsyms]  [k] syscall_return_via_sysret
     0.03%     0.03%  swapper          [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.03%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] drain_obj_stock
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] migrate_pages
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] touch_atime
     0.03%     0.00%  kcompactd0       [kernel.kallsyms]  [k] native_flush_tlb_multi
     0.03%     0.03%  postgres         [kernel.kallsyms]  [k] native_sched_clock
     0.03%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] __fget_light
     0.03%     0.00%  swapper          [kernel.kallsyms]  [k] __wake_up_locked_key_bookmark
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] core_sys_select
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] blk_mq_end_request
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] nvme_complete_rq
     0.03%     0.00%  swapper          [kernel.kallsyms]  [k] kmem_cache_free
     0.03%     0.02%  swapper          [kernel.kallsyms]  [k] perf_event_task_tick
     0.03%     0.02%  postgres         [kernel.kallsyms]  [k] xas_find_conflict
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] unix_destruct_scm
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] do_select
     0.03%     0.03%  postgres         [kernel.kallsyms]  [k] native_write_msr
     0.03%     0.03%  postgres         [kernel.kallsyms]  [k] aa_sk_perm
     0.03%     0.00%  kworker/u97:0-w  [kernel.kallsyms]  [k] end_page_writeback
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] skb_release_head_state
     0.03%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_slab
     0.03%     0.00%  kworker/u97:0-w  [kernel.kallsyms]  [k] mempool_alloc_slab
     0.03%     0.01%  kswapd1          [kernel.kallsyms]  [k] workingset_eviction
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] nvme_unmap_data.part.0
     0.03%     0.03%  postgres         [kernel.kallsyms]  [k] __set_page_dirty_no_writeback
     0.03%     0.03%  postgres         [kernel.kallsyms]  [k] native_irq_return_iret
     0.03%     0.00%  kworker/u97:0-w  [kernel.kallsyms]  [k] bvec_alloc
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] __check_block_validity.constprop.0
     0.03%     0.00%  swapper          [kernel.kallsyms]  [k] wake_page_function
     0.03%     0.03%  kswapd1          [kernel.kallsyms]  [k] __slab_free
     0.03%     0.03%  kworker/u98:4+f  [unknown]          [.] 0000000000000000
     0.03%     0.01%  postgres         [kernel.kallsyms]  [k] free_unref_page
     0.03%     0.03%  swapper          [kernel.kallsyms]  [k] native_sched_clock
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] dev_queue_xmit
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] __mod_lruvec_kmem_state
     0.03%     0.03%  kcompactd0       [kernel.kallsyms]  [k] PageHuge
     0.03%     0.03%  postgres         [kernel.kallsyms]  [k] psi_flags_change
     0.03%     0.01%  postgres         [kernel.kallsyms]  [k] account_user_time
     0.03%     0.00%  kworker/u97:1-w  [kernel.kallsyms]  [k] __lock_text_start
     0.03%     0.00%  kswapd0          [kernel.kallsyms]  [k] ext4_releasepage
     0.03%     0.00%  kswapd0          [kernel.kallsyms]  [k] jbd2_journal_try_to_free_buffers
     0.03%     0.03%  kcompactd1       [kernel.kallsyms]  [k] rcu_all_qs
     0.03%     0.00%  kcompactd0       [kernel.kallsyms]  [k] move_to_new_page
     0.03%     0.00%  swapper          [kernel.kallsyms]  [k] wake_up_state
     0.03%     0.00%  kworker/u97:1-w  [kernel.kallsyms]  [k] get_page_from_freelist
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] run_rebalance_domains
     0.03%     0.02%  kswapd1          [kernel.kallsyms]  [k] _raw_spin_lock_irq
     0.03%     0.03%  postgres         [kernel.kallsyms]  [k] __blk_rq_map_sg
     0.03%     0.00%  kworker/u97:0-w  [kernel.kallsyms]  [k] ___slab_alloc
     0.03%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] __kmalloc_node_track_caller
     0.03%     0.01%  kswapd1          [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __fdget
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] skb_copy_datagram_iter
     0.03%     0.00%  kworker/u98:4+f  [kernel.kallsyms]  [k] __kmalloc
     0.03%     0.03%  kcompactd0       [kernel.kallsyms]  [k] check_pte
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] __udp_enqueue_schedule_skb
     0.03%     0.01%  swapper          [kernel.kallsyms]  [k] file_free_rcu
     0.03%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] sock_poll
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] __put_page
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] blk_update_request
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __sysvec_call_function_single
     0.03%     0.00%  swapper          [kernel.kallsyms]  [k] find_busiest_group
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] ksys_lseek
     0.03%     0.01%  postgres         [kernel.kallsyms]  [k] __es_remove_extent
     0.03%     0.02%  kswapd0          [kernel.kallsyms]  [k] vma_interval_tree_iter_next
     0.03%     0.00%  kworker/u97:0-w  [kernel.kallsyms]  [k] mempool_free
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] unix_stream_read_actor
     0.03%     0.00%  kworker/u97:0-w  [kernel.kallsyms]  [k] test_clear_page_writeback
     0.03%     0.00%  kswapd0          [kernel.kallsyms]  [k] __remove_mapping
     0.03%     0.02%  postgres         [kernel.kallsyms]  [k] alloc_fd
     0.03%     0.00%  kworker/u97:0-w  [kernel.kallsyms]  [k] new_slab
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] simple_copy_to_iter
     0.03%     0.01%  postgres         [kernel.kallsyms]  [k] kernel_init_free_pages.part.0
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] obj_cgroup_charge_pages
     0.03%     0.03%  swapper          [kernel.kallsyms]  [k] llist_reverse_order
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] obj_cgroup_charge_pages
     0.03%     0.02%  postgres         [kernel.kallsyms]  [k] anon_vma_interval_tree_iter_next
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] mempool_free
     0.03%     0.03%  swapper          [kernel.kallsyms]  [k] nr_iowait_cpu
     0.03%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] sock_wfree
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_reserve_inode_write
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] submit_bio_checks
     0.03%     0.00%  kworker/u97:1-w  [kernel.kallsyms]  [k] __mod_lruvec_state
     0.03%     0.02%  swapper          [kernel.kallsyms]  [k] update_sd_lb_stats.constprop.0
     0.03%     0.00%  kswapd0          [kernel.kallsyms]  [k] do_shrink_slab
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] try_charge_memcg
     0.03%     0.02%  tclsh8.6         [kernel.kallsyms]  [k] __fget_files
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __skb_datagram_iter
     0.03%     0.02%  kswapd1          [kernel.kallsyms]  [k] xas_clear_mark
     0.03%     0.00%  kworker/u97:0-w  [kernel.kallsyms]  [k] __test_set_page_writeback
     0.03%     0.00%  kcompactd1       [kernel.kallsyms]  [k] post_alloc_hook
     0.03%     0.00%  kcompactd1       [kernel.kallsyms]  [k] split_map_pages
     0.03%     0.02%  postgres         [kernel.kallsyms]  [k] ext4_inode_block_valid
     0.02%     0.01%  postgres         [kernel.kallsyms]  [k] __dev_queue_xmit
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] bio_endio
     0.02%     0.01%  kworker/u97:0-w  [kernel.kallsyms]  [k] __mod_lruvec_page_state
     0.02%     0.00%  kswapd1          [kernel.kallsyms]  [k] es_do_reclaim_extents
     0.02%     0.02%  kworker/u97:0-w  [unknown]          [.] 0000000000000000
     0.02%     0.02%  swapper          [kernel.kallsyms]  [k] iterate_groups
     0.02%     0.00%  postgres         [kernel.kallsyms]  [k] complete_walk
     0.02%     0.01%  postgres         [kernel.kallsyms]  [k] ext4_file_open
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] futex_wake
     0.02%     0.01%  postgres         [kernel.kallsyms]  [k] fsnotify_perm.part.0
     0.02%     0.00%  kworker/u97:1-w  [kernel.kallsyms]  [k] __kmalloc
     0.02%     0.02%  postgres         [kernel.kallsyms]  [k] syscall_enter_from_user_mode
     0.02%     0.00%  kswapd0          [kernel.kallsyms]  [k] __delete_from_page_cache
     0.02%     0.00%  kworker/u97:0-w  [kernel.kallsyms]  [k] clear_page_dirty_for_io
     0.02%     0.01%  postgres         [kernel.kallsyms]  [k] file_free_rcu
     0.02%     0.00%  postgres         [kernel.kallsyms]  [k] fput
     0.02%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] cgroup_rstat_updated
     0.02%     0.02%  kworker/u98:4+f  [kernel.kallsyms]  [k] xas_find_marked
     0.02%     0.02%  postgres         [kernel.kallsyms]  [k] cpus_share_cache
     0.02%     0.00%  postgres         [kernel.kallsyms]  [k] walk_component
     0.02%     0.00%  kswapd1          [kernel.kallsyms]  [k] __mem_cgroup_uncharge_list
     0.02%     0.02%  postgres         [kernel.kallsyms]  [k] _find_first_bit
     0.02%     0.02%  postgres         [kernel.kallsyms]  [k] __memcg_kmem_charge_page
     0.02%     0.02%  postgres         [kernel.kallsyms]  [k] bio_associate_blkg_from_css
     0.02%     0.02%  postgres         [kernel.kallsyms]  [k] __update_load_avg_blocked_se
     0.02%     0.02%  postgres         [kernel.kallsyms]  [k] down_read
     0.02%     0.00%  postgres         [kernel.kallsyms]  [k] security_file_free
     0.02%     0.00%  postgres         [kernel.kallsyms]  [k] migrate_swap
     0.02%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_get_inode_loc
     0.02%     0.01%  kworker/u97:0-w  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.02%     0.00%  postgres         [kernel.kallsyms]  [k] bio_associate_blkg
     0.02%     0.00%  postgres         [kernel.kallsyms]  [k] try_to_unlazy
     0.02%     0.02%  kworker/u98:4+f  [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.02%     0.00%  postgres         [kernel.kallsyms]  [k] __filemap_fdatawait_range
     0.02%     0.00%  kworker/u97:1-w  [kernel.kallsyms]  [k] mempool_free
     0.02%     0.02%  postgres         [kernel.kallsyms]  [k] xas_set_mark
     0.02%     0.02%  kcompactd1       [kernel.kallsyms]  [k] clear_page_erms
     0.02%     0.01%  swapper          [kernel.kallsyms]  [k] rcu_idle_exit
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] put_prev_entity
     0.02%     0.00%  postgres         [kernel.kallsyms]  [k] stop_two_cpus
     0.02%     0.02%  postgres         [kernel.kallsyms]  [k] __blk_mq_sched_bio_merge
     0.02%     0.01%  postgres         [kernel.kallsyms]  [k] down_write
     0.02%     0.02%  kswapd1          [kernel.kallsyms]  [k] rb_erase
     0.02%     0.00%  postgres         [kernel.kallsyms]  [k] new_slab
     0.02%     0.02%  postgres         [kernel.kallsyms]  [k] rb_insert_color
     0.02%     0.02%  kswapd1          [kernel.kallsyms]  [k] _find_next_bit
     0.02%     0.01%  postgres         [kernel.kallsyms]  [k] sock_wfree
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] sched_ttwu_pending
     0.02%     0.00%  postgres         [kernel.kallsyms]  [k] refill_stock
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] rmap_walk
     0.02%     0.02%  kworker/u97:1-w  [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.02%     0.02%  swapper          [kernel.kallsyms]  [k] pick_next_entity
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __read_end_io
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] mpage_end_io
     0.02%     0.00%  kcompactd0       [kernel.kallsyms]  [k] migrate_page
     0.02%     0.02%  postgres         [kernel.kallsyms]  [k] idle_cpu
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] asm_sysvec_reschedule_ipi
     0.02%     0.01%  postgres         [kernel.kallsyms]  [k] flush_tlb_mm_range
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] obj_cgroup_uncharge
     0.02%     0.01%  postgres         [kernel.kallsyms]  [k] get_next_freq
     0.02%     0.02%  postgres         [kernel.kallsyms]  [k] task_work_add
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] rmap_walk_anon
     0.02%     0.02%  postgres         [kernel.kallsyms]  [k] copy_page
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] wake_up_page_bit
     0.02%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] unix_write_space
