# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 977K of event 'cycles'
# Event count (approx.): 2295495674106
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                                                                         
# ........  ........  ...............  ..................................  ...............................................................................................................................................................................................................
#
     1.30%     0.01%  kcompactd0       [kernel.kallsyms]                   [k] ptep_clear_flush
     1.29%     0.06%  kcompactd0       [kernel.kallsyms]                   [k] flush_tlb_mm_range
     1.29%     0.01%  kswapd0          [kernel.kallsyms]                   [k] shrink_inactive_list
     1.25%     0.01%  kcompactd0       [kernel.kallsyms]                   [k] move_to_new_page
     1.24%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] migrate_page
     1.22%     0.00%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter
     1.22%     0.03%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter_state
     1.18%     1.15%  kcompactd0       [kernel.kallsyms]                   [k] copy_page
     1.18%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] migrate_page_copy
     1.16%     0.10%  Executor task l  [kernel.kallsyms]                   [k] rcu_core
     1.15%     0.46%  kcompactd0       [kernel.kallsyms]                   [k] smp_call_function_many_cond
     1.15%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] on_each_cpu_cond_mask
     1.07%     0.05%  Executor task l  [kernel.kallsyms]                   [k] exit_to_user_mode_loop
     1.06%     0.01%  Executor task l  [kernel.kallsyms]                   [k] irqentry_exit_to_user_mode
     1.04%     0.39%  Executor task l  [kernel.kallsyms]                   [k] rcu_pending
     1.03%     0.54%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_read_batch
     1.00%     0.70%  Executor task l  [kernel.kallsyms]                   [k] __cgroup_account_cputime_field
     0.96%     0.85%  Executor task l  [kernel.kallsyms]                   [k] ktime_get
     0.94%     0.05%  kswapd0          [kernel.kallsyms]                   [k] shrink_page_list
     0.92%     0.00%  Executor task l  [kernel.kallsyms]                   [k] read_pages
     0.88%     0.81%  Executor task l  [kernel.kallsyms]                   [k] __update_load_avg_se
     0.88%     0.07%  Executor task l  [kernel.kallsyms]                   [k] rmqueue
     0.86%     0.47%  Executor task l  [kernel.kallsyms]                   [k] update_rq_clock_task
     0.85%     0.02%  Executor task l  [kernel.kallsyms]                   [k] do_open
     0.83%     0.04%  Executor task l  [kernel.kallsyms]                   [k] schedule
     0.82%     0.23%  Executor task l  [kernel.kallsyms]                   [k] amd_pmu_wait_on_overflow
     0.81%     0.00%  GC Thread#4      [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.81%     0.00%  GC Thread#4      [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.79%     0.13%  Executor task l  [kernel.kallsyms]                   [k] __schedule
     0.78%     0.00%  GC Thread#21     [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.78%     0.00%  GC Thread#5      [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.78%     0.00%  GC Thread#21     [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.77%     0.00%  GC Thread#5      [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.77%     0.00%  GC Thread#0      [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.77%     0.01%  Executor task l  [kernel.kallsyms]                   [k] lookup_fast
     0.76%     0.02%  swapper          [kernel.kallsyms]                   [k] asm_sysvec_call_function_single
     0.76%     0.00%  GC Thread#0      [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.75%     0.01%  GC Thread#4      [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.75%     0.74%  Executor task l  [kernel.kallsyms]                   [k] __d_lookup_rcu
     0.74%     0.00%  GC Thread#11     [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.74%     0.00%  GC Thread#13     [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.74%     0.02%  GC Thread#4      [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.74%     0.01%  Executor task l  [kernel.kallsyms]                   [k] add_to_page_cache_lru
     0.74%     0.00%  swapper          [kernel.kallsyms]                   [k] sysvec_call_function_single
     0.74%     0.00%  GC Thread#13     [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.74%     0.00%  GC Thread#11     [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.74%     0.00%  GC Thread#16     [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.73%     0.00%  GC Thread#2      [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.73%     0.00%  GC Thread#16     [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.72%     0.00%  GC Thread#18     [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.72%     0.00%  GC Thread#2      [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.72%     0.01%  GC Thread#5      [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.72%     0.01%  GC Thread#21     [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.72%     0.01%  swapper          [kernel.kallsyms]                   [k] __irq_exit_rcu
     0.72%     0.00%  GC Thread#18     [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.71%     0.01%  GC Thread#0      [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.71%     0.70%  Executor task l  [kernel.kallsyms]                   [k] __update_load_avg_cfs_rq
     0.71%     0.02%  GC Thread#21     [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.71%     0.02%  GC Thread#5      [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.70%     0.00%  swapper          [kernel.kallsyms]                   [k] __softirqentry_text_start
     0.70%     0.00%  GC Thread#3      [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.70%     0.02%  GC Thread#0      [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.70%     0.00%  GC Thread#3      [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.70%     0.00%  GC Thread#14     [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.70%     0.01%  GC Thread#11     [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.69%     0.00%  GC Thread#20     [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.69%     0.01%  GC Thread#13     [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.69%     0.00%  GC Thread#14     [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.69%     0.00%  GC Thread#20     [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.69%     0.02%  GC Thread#11     [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.68%     0.01%  GC Thread#16     [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.68%     0.02%  GC Thread#13     [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.68%     0.00%  GC Thread#17     [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.68%     0.01%  GC Thread#2      [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.68%     0.00%  GC Thread#22     [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.67%     0.00%  GC Thread#17     [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.67%     0.00%  GC Thread#22     [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.67%     0.02%  GC Thread#16     [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.67%     0.01%  GC Thread#18     [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.67%     0.02%  GC Thread#2      [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.66%     0.66%  Executor task l  [kernel.kallsyms]                   [k] __list_del_entry_valid
     0.66%     0.00%  GC Thread#15     [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.66%     0.02%  GC Thread#4      [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.66%     0.02%  GC Thread#18     [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.66%     0.00%  GC Thread#15     [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.65%     0.65%  Executor task l  [kernel.kallsyms]                   [k] update_cfs_group
