# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3680442591328
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                                                                         
# ........  ........  ...............  ..................................  ...............................................................................................................................................................................................................
#
    46.30%     0.05%  Executor task l  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
    46.25%     0.05%  Executor task l  [kernel.kallsyms]                   [k] do_syscall_64
    34.51%     0.04%  Executor task l  [kernel.kallsyms]                   [k] ksys_read
    34.25%     0.06%  Executor task l  [kernel.kallsyms]                   [k] vfs_read
    33.91%     0.12%  Executor task l  [kernel.kallsyms]                   [k] new_sync_read
    33.69%     0.49%  Executor task l  [kernel.kallsyms]                   [k] filemap_read
    25.68%     0.16%  Executor task l  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
    24.91%     0.07%  Executor task l  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
    24.37%    23.53%  Executor task l  [kernel.kallsyms]                   [k] copy_user_generic_string
    22.74%     0.32%  Executor task l  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
    22.30%     0.57%  Executor task l  [kernel.kallsyms]                   [k] hrtimer_interrupt
    21.96%     0.07%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter
    21.88%     0.11%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter_iovec
    19.86%     0.47%  Executor task l  [kernel.kallsyms]                   [k] __hrtimer_run_queues
    19.38%     0.05%  Executor task l  [kernel.kallsyms]                   [k] __run_hrtimer
    18.45%     0.08%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_timer
    17.43%     0.08%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_handle
    17.22%     0.60%  Executor task l  [kernel.kallsyms]                   [k] update_process_times
    12.75%     0.53%  Executor task l  [kernel.kallsyms]                   [k] scheduler_tick
    10.89%     0.10%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_pages
     9.61%     0.01%  Executor task l  [kernel.kallsyms]                   [k] ksys_write
     9.54%     0.08%  Executor task l  [kernel.kallsyms]                   [k] vfs_write
     9.48%     0.06%  Executor task l  [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     9.44%     0.02%  Executor task l  [kernel.kallsyms]                   [k] new_sync_write
     9.39%     0.02%  Executor task l  [kernel.kallsyms]                   [k] ext4_buffered_write_iter
     8.71%     0.07%  Executor task l  [kernel.kallsyms]                   [k] generic_perform_write
     6.02%     0.72%  Executor task l  [kernel.kallsyms]                   [k] task_tick_fair
     5.41%     0.37%  Executor task l  [kernel.kallsyms]                   [k] __alloc_pages
     5.30%     0.04%  Executor task l  [kernel.kallsyms]                   [k] add_to_page_cache_lru
     4.94%     0.04%  Executor task l  [kernel.kallsyms]                   [k] asm_exc_page_fault
     4.93%     0.59%  Executor task l  [kernel.kallsyms]                   [k] perf_event_task_tick
     4.76%     0.01%  Executor task l  [kernel.kallsyms]                   [k] exc_page_fault
     4.67%     0.01%  Executor task l  [kernel.kallsyms]                   [k] do_user_addr_fault
     4.34%     2.25%  Executor task l  [kernel.kallsyms]                   [k] perf_adjust_freq_unthr_context
     4.29%     0.03%  Executor task l  [kernel.kallsyms]                   [k] handle_mm_fault
     4.22%     0.05%  Executor task l  [kernel.kallsyms]                   [k] __handle_mm_fault
     4.15%     0.21%  Executor task l  [kernel.kallsyms]                   [k] get_page_from_freelist
     4.15%     0.03%  Executor task l  [kernel.kallsyms]                   [k] do_anonymous_page
     4.03%     0.53%  Executor task l  [kernel.kallsyms]                   [k] __add_to_page_cache_locked
     3.74%     0.07%  Executor task l  [kernel.kallsyms]                   [k] ext4_da_write_begin
     3.09%     0.04%  Executor task l  [kernel.kallsyms]                   [k] alloc_pages_vma
     2.81%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kswapd
     2.81%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kthread
