# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 570K of event 'cycles'
# Event count (approx.): 8154840654925
#
# Children      Self  Command          Shared Object       Symbol                                             
# ........  ........  ...............  ..................  ...................................................
#
    38.27%     0.00%  swapper          [kernel.kallsyms]   [k] secondary_startup_64_no_verify
    38.27%     0.00%  swapper          [kernel.kallsyms]   [k] cpu_startup_entry
    38.26%     0.02%  swapper          [kernel.kallsyms]   [k] do_idle
    37.92%     0.00%  swapper          [kernel.kallsyms]   [k] cpuidle_enter
    37.91%     0.01%  swapper          [kernel.kallsyms]   [k] cpuidle_enter_state
    37.57%    36.59%  swapper          [kernel.kallsyms]   [k] mwait_idle_with_hints.constprop.0
    34.99%     0.00%  swapper          [kernel.kallsyms]   [k] start_secondary
    15.33%     0.11%  java             [kernel.kallsyms]   [k] asm_exc_page_fault
    14.65%     0.30%  java             [kernel.kallsyms]   [k] exc_page_fault
    12.60%     0.15%  java             [kernel.kallsyms]   [k] do_user_addr_fault
     9.26%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     9.26%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] do_syscall_64
     8.59%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] __x64_sys_read
     8.59%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] ksys_read
     8.59%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] vfs_read
     8.59%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] new_sync_read
     8.59%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] ext4_file_read_iter
     8.59%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] generic_file_read_iter
     8.59%     0.05%  localfetcher#1   [kernel.kallsyms]   [k] filemap_read
     8.27%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     8.27%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] do_syscall_64
     8.08%     0.55%  java             [kernel.kallsyms]   [k] handle_mm_fault
     7.51%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     7.50%     0.01%  LocalJobRunner   [kernel.kallsyms]   [k] do_syscall_64
     6.74%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] __x64_sys_write
     6.74%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ksys_write
     6.74%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] vfs_write
     6.74%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_file_write_iter
     6.74%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] new_sync_write
     6.74%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_buffered_write_iter
     6.73%     0.02%  pool-4-thread-1  [kernel.kallsyms]   [k] generic_perform_write
     6.53%     2.63%  java             [kernel.kallsyms]   [k] __handle_mm_fault
     5.32%     2.24%  localfetcher#1   [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     4.82%     0.02%  localfetcher#1   [kernel.kallsyms]   [k] asm_exc_page_fault
     3.62%     0.02%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_da_write_begin
     3.62%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] __x64_sys_write
     3.62%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ksys_write
     3.62%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] vfs_write
     3.61%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] new_sync_write
     3.61%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ext4_file_write_iter
     3.61%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ext4_buffered_write_iter
     3.60%     0.01%  LocalJobRunner   [kernel.kallsyms]   [k] generic_perform_write
     3.39%     3.37%  java             [kernel.kallsyms]   [k] down_read_trylock
     3.27%     0.00%  swapper          [kernel.kallsyms]   [k] arch_call_rest_init
     3.27%     0.00%  swapper          [kernel.kallsyms]   [k] rest_init
     3.27%     0.00%  swapper          [kernel.kallsyms]   [k] start_kernel
     3.27%     0.00%  swapper          [kernel.kallsyms]   [k] x86_64_start_kernel
     3.27%     0.00%  swapper          [kernel.kallsyms]   [k] x86_64_start_reservations
     3.26%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] __x64_sys_read
     3.26%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ksys_read
     3.26%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] vfs_read
     3.26%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] new_sync_read
     3.26%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ext4_file_read_iter
     3.26%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] generic_file_read_iter
     3.25%     0.05%  LocalJobRunner   [kernel.kallsyms]   [k] filemap_read
     3.16%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     3.16%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] do_syscall_64
     3.14%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] __x64_sys_write
     3.14%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] ksys_write
     3.14%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] vfs_write
     3.14%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] new_sync_write
     3.14%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] ext4_buffered_write_iter
     3.14%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] ext4_file_write_iter
     3.14%     0.01%  InMemoryMerger   [kernel.kallsyms]   [k] generic_perform_write
     3.07%     0.01%  localfetcher#1   [kernel.kallsyms]   [k] filemap_get_pages
     2.95%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] ondemand_readahead
     2.94%     0.04%  localfetcher#1   [kernel.kallsyms]   [k] page_cache_ra_unbounded
     2.92%     0.02%  localfetcher#1   [kernel.kallsyms]   [k] exc_page_fault
     2.86%     0.03%  localfetcher#1   [kernel.kallsyms]   [k] do_user_addr_fault
     2.82%     0.01%  pool-4-thread-1  [kernel.kallsyms]   [k] grab_cache_page_write_begin
     2.81%     0.04%  pool-4-thread-1  [kernel.kallsyms]   [k] pagecache_get_page
