# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 13352864578870
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
     3.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] task_numa_work
     3.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] change_prot_numa
     2.95%     1.11%  localfetcher#1   [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     2.94%     0.02%  localfetcher#1   [kernel.kallsyms]  [k] asm_exc_page_fault
     2.69%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] vfs_read
     2.69%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __x64_sys_read
     2.69%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ksys_read
     2.69%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_file_read_iter
     2.69%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] generic_file_read_iter
     2.69%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] new_sync_read
     2.69%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] filemap_read
     2.58%     0.05%  pool-4-thread-1  [kernel.kallsyms]  [k] add_to_page_cache_lru
     2.57%     2.39%  LocalJobRunner   [kernel.kallsyms]  [k] change_protection
     2.44%     0.03%  localfetcher#1   [kernel.kallsyms]  [k] workingset_refault
     2.39%     0.05%  LocalJobRunner   [kernel.kallsyms]  [k] alloc_pages_vma
     2.36%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] mem_cgroup_flush_stats
     2.35%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] cgroup_rstat_flush_irqsafe
     2.34%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] filemap_get_pages
     2.33%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] page_cache_async_ra
     2.33%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ondemand_readahead
     2.32%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] page_cache_ra_unbounded
     2.29%     2.28%  LocalJobRunner   [kernel.kallsyms]  [k] clear_page_erms
     2.21%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_da_write_begin
     2.10%     0.39%  localfetcher#1   [kernel.kallsyms]  [k] cgroup_rstat_flush_locked
     2.05%     2.04%  java             [kernel.kallsyms]  [k] up_read
     2.01%     0.00%  swapper          [kernel.kallsyms]  [k] arch_call_rest_init
     2.01%     0.00%  swapper          [kernel.kallsyms]  [k] rest_init
