# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 10743686492132
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
    25.56%     0.00%  swapper          [kernel.kallsyms]         [k] secondary_startup_64_no_verify
    25.56%     0.00%  swapper          [kernel.kallsyms]         [k] cpu_startup_entry
    25.55%     0.01%  swapper          [kernel.kallsyms]         [k] do_idle
    25.39%     0.00%  swapper          [kernel.kallsyms]         [k] cpuidle_enter
    25.39%     0.01%  swapper          [kernel.kallsyms]         [k] cpuidle_enter_state
    25.21%    24.49%  swapper          [kernel.kallsyms]         [k] mwait_idle_with_hints.constprop.0
    24.62%     0.18%  java             [kernel.kallsyms]         [k] asm_exc_page_fault
    24.08%     0.00%  swapper          [kernel.kallsyms]         [k] start_secondary
    23.25%     0.34%  java             [kernel.kallsyms]         [k] exc_page_fault
    20.71%     0.24%  java             [kernel.kallsyms]         [k] do_user_addr_fault
    15.29%     0.68%  java             [kernel.kallsyms]         [k] handle_mm_fault
    13.40%     3.27%  java             [kernel.kallsyms]         [k] __handle_mm_fault
    11.37%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
    11.36%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] do_syscall_64
     8.77%     0.13%  LocalJobRunner   [kernel.kallsyms]         [k] asm_exc_page_fault
     7.63%     0.08%  LocalJobRunner   [kernel.kallsyms]         [k] exc_page_fault
     7.16%     0.20%  LocalJobRunner   [kernel.kallsyms]         [k] do_user_addr_fault
     6.65%     0.27%  LocalJobRunner   [kernel.kallsyms]         [k] handle_mm_fault
     5.96%     0.95%  LocalJobRunner   [kernel.kallsyms]         [k] __handle_mm_fault
     5.71%     0.16%  java             [kernel.kallsyms]         [k] migrate_misplaced_page
     5.60%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] __x64_sys_read
     5.60%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ksys_read
     5.60%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] vfs_read
     5.60%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] new_sync_read
     5.60%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_file_read_iter
     5.60%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] generic_file_read_iter
     5.60%     0.14%  LocalJobRunner   [kernel.kallsyms]         [k] filemap_read
     5.47%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] __x64_sys_write
     5.47%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ksys_write
     5.47%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] vfs_write
     5.47%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] new_sync_write
     5.47%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_file_write_iter
     5.47%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_buffered_write_iter
     5.45%     0.02%  LocalJobRunner   [kernel.kallsyms]         [k] generic_perform_write
     5.40%     5.35%  LocalJobRunner   [kernel.kallsyms]         [k] copy_user_enhanced_fast_string
     5.37%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     5.36%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] do_syscall_64
     5.00%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] __x64_sys_read
     5.00%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] ksys_read
     4.99%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] vfs_read
     4.99%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] ext4_file_read_iter
