# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 246K of event 'cycles'
# Event count (approx.): 6610041225293
#
# Children      Self  Command          Shared Object       Symbol                                             
# ........  ........  ...............  ..................  ...................................................
#
     1.66%     0.00%  kswapd0          [kernel.kallsyms]   [k] kthread
     1.66%     0.00%  kswapd0          [kernel.kallsyms]   [k] ret_from_fork
     1.66%     0.00%  kswapd0          [kernel.kallsyms]   [k] balance_pgdat
     1.66%     0.00%  kswapd0          [kernel.kallsyms]   [k] shrink_node
     1.58%     0.03%  InMemoryMerger   [kernel.kallsyms]   [k] ext4_da_write_end
     1.54%     0.14%  InMemoryMerger   [kernel.kallsyms]   [k] add_to_page_cache_lru
     1.53%     0.05%  InMemoryMerger   [kernel.kallsyms]   [k] generic_write_end
     1.49%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     1.48%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] do_syscall_64
     1.43%     0.00%  kswapd0          [kernel.kallsyms]   [k] shrink_lruvec
     1.42%     0.00%  kswapd0          [kernel.kallsyms]   [k] evict_pages
     1.35%     0.00%  kswapd1          [kernel.kallsyms]   [k] kthread
     1.35%     0.00%  kswapd1          [kernel.kallsyms]   [k] ret_from_fork
     1.35%     0.00%  kswapd1          [kernel.kallsyms]   [k] kswapd
     1.35%     0.00%  kswapd1          [kernel.kallsyms]   [k] balance_pgdat
     1.35%     0.00%  kswapd1          [kernel.kallsyms]   [k] shrink_node
     1.35%     0.04%  java             [kernel.kallsyms]   [k] migrate_misplaced_page
     1.33%     0.04%  pool-4-thread-1  [kernel.kallsyms]   [k] __mark_inode_dirty
     1.32%     0.02%  pool-4-thread-1  [kernel.kallsyms]   [k] alloc_pages
     1.31%     1.29%  java             [kernel.kallsyms]   [k] native_queued_spin_lock_slowpath
     1.31%     0.07%  pool-4-thread-1  [kernel.kallsyms]   [k] __alloc_pages
     1.29%     0.01%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_dirty_inode
     1.23%     0.23%  pool-4-thread-1  [kernel.kallsyms]   [k] get_page_from_freelist
     1.22%     1.21%  InMemoryMerger   [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     1.21%     1.20%  java             [kernel.kallsyms]   [k] up_read
     1.19%     0.00%  kworker/u98:0-w  [kernel.kallsyms]   [k] kthread
     1.19%     0.00%  kworker/u98:0-w  [kernel.kallsyms]   [k] process_one_work
     1.19%     0.00%  kworker/u98:0-w  [kernel.kallsyms]   [k] ret_from_fork
     1.19%     0.00%  kworker/u98:0-w  [kernel.kallsyms]   [k] wb_workfn
     1.19%     0.00%  kworker/u98:0-w  [kernel.kallsyms]   [k] worker_thread
     1.19%     0.00%  kworker/u98:0-w  [kernel.kallsyms]   [k] __writeback_inodes_wb
     1.19%     0.00%  kworker/u98:0-w  [kernel.kallsyms]   [k] wb_writeback
     1.19%     0.00%  kworker/u98:0-w  [kernel.kallsyms]   [k] __writeback_single_inode
     1.19%     0.00%  kworker/u98:0-w  [kernel.kallsyms]   [k] do_writepages
     1.19%     0.00%  kworker/u98:0-w  [kernel.kallsyms]   [k] writeback_sb_inodes
     1.19%     0.06%  kworker/u98:0-w  [kernel.kallsyms]   [k] ext4_writepages
     1.18%     0.85%  InMemoryMerger   [kernel.kallsyms]   [k] __add_to_page_cache_locked
     1.17%     0.16%  java             [kernel.kallsyms]   [k] _raw_spin_lock
     1.17%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] filemap_get_pages
     1.17%     0.03%  InMemoryMerger   [kernel.kallsyms]   [k] __mark_inode_dirty
     1.15%     0.11%  kswapd0          [kernel.kallsyms]   [k] shrink_page_list
     1.15%     0.09%  java             [kernel.kallsyms]   [k] migrate_pages
     1.13%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] ondemand_readahead
     1.13%     0.01%  InMemoryMerger   [kernel.kallsyms]   [k] ext4_dirty_inode
     1.13%     0.03%  localfetcher#1   [kernel.kallsyms]   [k] page_cache_ra_unbounded
     1.11%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] page_cache_async_ra
     1.07%     0.00%  kswapd1          [kernel.kallsyms]   [k] shrink_lruvec
     1.06%     0.00%  kswapd1          [kernel.kallsyms]   [k] evict_pages
     1.04%     0.01%  localfetcher#1   [kernel.kallsyms]   [k] exc_page_fault
     1.02%     0.01%  localfetcher#1   [kernel.kallsyms]   [k] do_user_addr_fault
     1.02%     0.00%  kworker/u96:1-e  [kernel.kallsyms]   [k] kthread
     1.02%     0.00%  kworker/u96:1-e  [kernel.kallsyms]   [k] ret_from_fork
     1.02%     0.00%  kworker/u96:1-e  [kernel.kallsyms]   [k] worker_thread
     1.01%     0.00%  kworker/u96:1-e  [kernel.kallsyms]   [k] process_one_work
     1.01%     0.00%  kworker/u96:1-e  [kernel.kallsyms]   [k] ext4_end_io_rsv_work
     1.00%     0.00%  kworker/u96:1-e  [kernel.kallsyms]   [k] ext4_release_io_end
     0.99%     0.17%  kworker/u96:1-e  [kernel.kallsyms]   [k] ext4_finish_bio
     0.98%     0.02%  localfetcher#1   [kernel.kallsyms]   [k] handle_mm_fault
