# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 9935501061521
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
     2.08%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] vfs_write
     2.08%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] ext4_file_write_iter
     2.08%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] new_sync_write
     2.08%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] ext4_buffered_write_iter
     2.08%     0.01%  InMemoryMerger   [kernel.kallsyms]     [k] generic_perform_write
     2.08%     2.06%  java             [kernel.kallsyms]     [k] up_read
     2.06%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] filemap_get_pages
     2.04%     0.03%  localfetcher#1   [kernel.kallsyms]     [k] handle_mm_fault
     1.99%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] ondemand_readahead
     1.99%     0.04%  LocalJobRunner   [kernel.kallsyms]     [k] alloc_pages_vma
     1.99%     0.02%  localfetcher#1   [kernel.kallsyms]     [k] page_cache_ra_unbounded
     1.97%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] page_cache_async_ra
     1.96%     0.13%  localfetcher#1   [kernel.kallsyms]     [k] __handle_mm_fault
     1.96%     1.95%  java             [kernel.kallsyms]     [k] native_queued_spin_lock_slowpath
     1.67%     0.20%  java             [kernel.kallsyms]     [k] get_page_from_freelist
     1.62%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     1.62%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] do_syscall_64
     1.57%     0.05%  localfetcher#1   [kernel.kallsyms]     [k] __alloc_pages
     1.54%     0.01%  java             [kernel.kallsyms]     [k] move_to_new_page
     1.52%     0.00%  java             [kernel.kallsyms]     [k] migrate_page
     1.52%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] __x64_sys_write
     1.52%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ksys_write
     1.52%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] vfs_write
     1.52%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_buffered_write_iter
     1.52%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_file_write_iter
     1.52%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] new_sync_write
     1.51%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] generic_perform_write
     1.49%     0.15%  LocalJobRunner   [kernel.kallsyms]     [k] __mem_cgroup_charge
     1.42%     0.15%  LocalJobRunner   [kernel.kallsyms]     [k] add_to_page_cache_lru
     1.42%     0.00%  java             [kernel.kallsyms]     [k] rmap_walk
     1.39%     1.37%  java             [kernel.kallsyms]     [k] sync_regs
     1.37%     0.04%  LocalJobRunner   [kernel.kallsyms]     [k] migrate_misplaced_page
     1.35%     0.18%  localfetcher#1   [kernel.kallsyms]     [k] get_page_from_freelist
     1.34%     0.00%  java             [kernel.kallsyms]     [k] __alloc_pages_slowpath.constprop.0
     1.33%     0.07%  java             [kernel.kallsyms]     [k] _raw_spin_lock_irq
     1.33%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_da_write_end
     1.30%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] generic_write_end
     1.28%     0.12%  java             [kernel.kallsyms]     [k] rmap_walk_anon
     1.24%     0.00%  kswapd0          [kernel.kallsyms]     [k] kthread
     1.24%     0.00%  kswapd0          [kernel.kallsyms]     [k] ret_from_fork
     1.24%     0.00%  kswapd0          [kernel.kallsyms]     [k] kswapd
     1.24%     0.00%  kswapd0          [kernel.kallsyms]     [k] balance_pgdat
     1.24%     0.00%  kswapd0          [kernel.kallsyms]     [k] shrink_node
     1.21%     0.00%  java             [kernel.kallsyms]     [k] try_to_free_pages
     1.21%     0.00%  java             [kernel.kallsyms]     [k] shrink_node
     1.21%     0.00%  java             [kernel.kallsyms]     [k] do_try_to_free_pages
