# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10K of event 'cycles'
# Event count (approx.): 1828690369660
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
    45.11%     0.02%  postgres         [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    45.10%     0.02%  postgres         [kernel.kallsyms]  [k] do_syscall_64
    44.36%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    44.36%     0.01%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    44.32%     0.02%  swapper          [kernel.kallsyms]  [k] do_idle
    43.63%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    43.33%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    43.32%     0.01%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    41.84%    40.68%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    31.46%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_exit_group
    31.46%     0.00%  postgres         [kernel.kallsyms]  [k] do_exit
    31.46%     0.00%  postgres         [kernel.kallsyms]  [k] do_group_exit
    31.45%     0.00%  postgres         [kernel.kallsyms]  [k] exit_mmap
    31.45%     0.00%  postgres         [kernel.kallsyms]  [k] mmput
    29.68%     0.00%  postgres         [kernel.kallsyms]  [k] unmap_single_vma
    29.68%     0.00%  postgres         [kernel.kallsyms]  [k] unmap_vmas
    29.03%    21.10%  postgres         [kernel.kallsyms]  [k] unmap_page_range
     5.55%     0.00%  kcompactd1       [kernel.kallsyms]  [k] compact_zone
     5.55%     0.00%  kcompactd1       [kernel.kallsyms]  [k] kcompactd
     5.55%     0.00%  kcompactd1       [kernel.kallsyms]  [k] kthread
     5.55%     0.00%  kcompactd1       [kernel.kallsyms]  [k] proactive_compact_node
     5.55%     0.00%  kcompactd1       [kernel.kallsyms]  [k] ret_from_fork
     5.54%     0.00%  kcompactd1       [kernel.kallsyms]  [k] migrate_pages
     5.17%     0.00%  kcompactd1       [kernel.kallsyms]  [k] rmap_walk
     4.92%     0.03%  kcompactd1       [kernel.kallsyms]  [k] rmap_walk_file
     4.87%     4.05%  postgres         [kernel.kallsyms]  [k] page_remove_rmap
     4.36%     0.01%  postgres         [kernel.kallsyms]  [k] __x64_sys_futex
     4.35%     0.01%  postgres         [kernel.kallsyms]  [k] do_futex
     3.80%     3.75%  kcompactd1       [kernel.kallsyms]  [k] page_vma_mapped_walk
     3.60%     0.00%  postgres         [kernel.kallsyms]  [k] vfs_read
     3.60%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_file_read_iter
     3.60%     0.00%  postgres         [kernel.kallsyms]  [k] generic_file_read_iter
     3.60%     0.00%  postgres         [kernel.kallsyms]  [k] new_sync_read
     3.59%     0.01%  postgres         [kernel.kallsyms]  [k] filemap_read
